1656459311,column,column,column,column,2530769,________________armorstandart,armorstandart,___armorstandart_hang_case_for_apple_airpods_3_pine_needle_green_arm60319,column,249,1,httpscomfyuacheholdljanaushnikovarmorstandarthangcaseforappleairpods3pineneedlegreenarm60319html,column,05112025_1824,column,__42,Фастів,0
1656459623,,,,,2550516,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников Armorstandart",armorstandart,Чохол для навушників ArmorStandart Hang Case for Xiaomi Redmi Buds 4 Pro White (ARM68431),,209,1,https://comfy.ua/chehol-dlja-naushnikov-armorstandart-silicone-case-for-xiaomi-redmi-buds-4-pro-white-arm68431.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1656459628,,,,,2550515,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников Armorstandart",armorstandart,Чохол для навушників ArmorStandart Hang Case for Xiaomi Redmi Buds 4 White (ARM68430),,209,1,https://comfy.ua/chehol-dlja-naushnikov-armorstandart-silicone-case-for-xiaomi-redmi-buds-4-white-arm68430.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1656460179,,,,,2862962,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo Full Glue for Samsung S23 Plus (1283126559716),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-full-glue-for-samsung-s23-plus-1283126559716.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1656460181,,,,,.2862974,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo Full Glue for Samsung M14 (1283126579912),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-full-glue-for-samsung-m14-1283126579912.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1656461142,,,,,.2862951,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo Full Glue for Apple iPhone 15 (1283126575242),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-full-glue-for-apple-iphone-15-1283126575242.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1656461143,,,,,.2862948,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo Full Glue for Oppo A58 (1283126565175),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-full-glue-for-oppo-a58-1283126565175.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1656462929,,,,,.2822153,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Poco M6 Pro 4G (ARM74166),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-poco-m6-pro-4g-arm74166.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1656464402,6947530,ROTEX,Тостер ROTEX RTM121-B,659,2786177,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Rotex,rotex,Тостер Rotex RTM121-B,,599,1,https://comfy.ua/toster-rotex-rtm121-b.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1656464450,,,,,2819514,Техника для кухни >> Мелкая техника,wmf,Тостер WMF 414120071 KITCHENminis longslice,,4999,1,https://comfy.ua/toster-wmf-414120071-kitchenminis-longslice.html,6499,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1656466763,,,,,2857968,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Ajax,ajax,Бездротовий датчик витоку газу Ajax FireProtect 2 RB CO (000034669),,3569,1,https://comfy.ua/besprovodnoj-datchik-utechki-gaza-ajax-fireprotect-2-rb-co-000034669.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1656469178,,,,,2857966,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Ajax",ajax,Бездротовий датчик температури Ajax FireProtect 2 RB Heat CO (000034665),,3599,1,https://comfy.ua/besprovodnoj-datchik-temperatury-ajax-fireprotect-2-rb-heat-co-000034665.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1656469191,,,,,.2548603,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 12V 17AH (GL12170M5/10943) GEL,,1700,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-12v-17ah-gl12170m5-10943-gel.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1656469897,,,,,.2594866,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ritar,Акумулятор для ДБЖ Ritar RA12-150,,12499,1,https://comfy.ua/akkumuljator-dlja-ibp-ritar-ra12-150.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1656469898,,,,,2571924,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ritar,Акумулятор для ДБЖ Ritar 12V 150 Ah Gel (DG12-150),,12499,1,https://comfy.ua/akkumuljator-dlja-ibp-ritar-12v-150-ah-gel-dg12-150.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1656470209,,,,,2872620,Смартфоны и телефоны >> Аксессуары для смартфонов,denmen,Мережевий зарядний пристрій Denmen DC06 20W 3.6A USB-C White (DM-DC06-WH),,169,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-denmen-dc06-20w-3-6a-usb-c-white-dm-dc06-wh.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1656471877,,,,,2866701,Бытовая химия >> Средства для стирки >> Ополаскиватели для белья >> Ополаскиватели для белья Silan,silan,"Ополіскувач для білизни Silan Елеганс 1,012 л",,154,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-silan-jelegans-1-012-l.html,241,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,4
1656471905,,,,,2832610,Бытовая химия >> Средства для стирки,balance,"Ополіскувач для білизни BALANCE з додаванням бавовни 1,5",,233,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-balance-s-dobavleniem-hlopka-1-5.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1656473153,,,,,2866862,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Barbie,barbie,"""Лялька Barbie """"Супер стиль"""" у брендованій сукні – блондинка (HRH07)""",,279,1,https://comfy.ua/kukla-barbie-super-stil-v-brendirovannom-plat-e-blondinka-hrh07.html,399,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1656473384,6967760,CANYON,Комплект CANYON SET-1 Black (CNE-CSET1),549,2873631,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Canyon",canyon,Клавіатура+миша Canyon SET-1 Water resistant ENG/UKR Black (CNE-CSET1),,549,1,https://comfy.ua/klaviatura-mysh-canyon-set-1-water-resistant-eng-ukr-black-cne-cset1.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1656473730,6967761,CANYON,Комплект CANYON Velvet W20 ENG/UKR (CNS-HSETW02),999,2873634,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Canyon",canyon,Клавіатура + миша бездротова Canyon SET-W20 Velvet Wireless Silent ENG/UKR Black (CNS-HSETW02),,999,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-canyon-set-w20-velvet-wireless-silent-eng-ukr-black-cns-hsetw02.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1656473979,6983768,CANYON,Клавиатура CANYON HKB-20 Velvet Silent ENG/UKR Black (CNS-HKB02),579,2873632,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Canyon",canyon,Клавіатура дротова Canyon HKB-20 Velvet Silent ENG/UKR Black (CNS-HKB02),,579,1,https://comfy.ua/klaviatura-provodnaja-canyon-hkb-20-velvet-silent-eng-ukr-black-cns-hkb02.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1656476067,6926744,CELLFAST,Газонный бордюр CELLFAST 10см х 9м Black (30-031H),220,2536681,Инструменты и автотовары >> Садовые инструменты >> Садовые ограждения >> Садовые ограждения Cellfast,cellfast,Стрічка газонна Cellfast 30-031H,,219,1,https://comfy.ua/lenta-gazonnaja-cellfast-30-031h.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1656476069,6926742,CELLFAST,Газонный бордюр CELLFAST 10см х 9м Black (30-231H),195,2536690,Инструменты и автотовары >> Садовые инструменты >> Садовые ограждения >> Садовые ограждения Cellfast,cellfast,Стрічка газонна Cellfast 30-231H,,195,1,https://comfy.ua/lenta-gazonnaja-cellfast-30-231h.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1656476070,6926743,CELLFAST,Газонный бордюр CELLFAST 10см х 9м Brown (30-231H),225,2536675,Инструменты и автотовары >> Садовые инструменты >> Садовые ограждения >> Садовые ограждения Cellfast,cellfast,Стрічка газонна Cellfast 30-011H,,225,1,https://comfy.ua/lenta-gazonnaja-cellfast-30-011h.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1656476072,6926423,CELLFAST,Держатель для шланга Cellfast (55-993),120,2531370,Инструменты и автотовары >> Полив >> Катушки для шлангов >> Катушки для шлангов Cellfast,cellfast,Тримач для шлангу Cellfast 55-993,,139,1,https://comfy.ua/derzhatel-dlja-shlanga-cellfast-55-993.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1656476078,6926403,CELLFAST,Коннектор CELLFAST BASIC с внутренней нарезкой (51-215H),25,2649135,Инструменты и автотовары >> Полив >> Соединители для шлангов >> Соединители для шлангов Cellfast,cellfast,З'єднувач для шланга Cellfast BASIC 3/4' (51-215H),,20,1,https://comfy.ua/soedinitel-dlja-shlanga-cellfast-basic-3-4-51-215h.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1656476086,6926406,CELLFAST,Коннектор для крана Cellfast ERGO с внешней нарезкой (53-235),99,2649141,Инструменты и автотовары >> Полив >> Соединители для шлангов >> Соединители для шлангов Cellfast,cellfast,З'єднувач для шланга Cellfast ERGO 3/4' (53-235),,99,1,https://comfy.ua/soedinitel-dlja-shlanga-cellfast-ergo-3-4-53-235.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
