832853843,column,column,column,column,1797930,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,____gg__canon_054h_mf641643645_lbp621623_3025c002_yellow_2300_,column,1765,1,httpscomfyuakartridzhdljalazernyhprinterovmfuggdljacanon054hmf641643645lbp6216233025c002yellow2300storhtml,column,05112025_1804,column,__42,Фастів,0
833245915,,,,,1799377,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для лазерних принтерів/БФП Canon 045H Magenta (2.8K) (1244C002AA),,4489,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-045h-magenta-2-8k-1244c002aa.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
833245962,,,,,1798968,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для лазерних принтерів/БФП Canon Cartridge 054H Cyan (2.3K) (3027C002AA),,4569,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-cartridge-054h-cyan-2-3k-3027c002aa.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
833245970,,,,,1798967,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для лазерних принтерів/БФП Canon Cartridge 054H Magenta (2.3K) (3026C002AA),,4569,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-cartridge-054h-magenta-2-3k-3026c002aa.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
833245990,,,,,1798955,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для лазерних принтерів/БФП Canon 054H Black (3028C002),,4569,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-054h-black-3028c002.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
835118916,,,,,1805657,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Berghoff,berghoff,Ланч-бокс Berghoff 3950230 Leo 2 пр.,,459,1,https://comfy.ua/lanch-boks-berghoff-3950230-leo-2-pr.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
836413712,,,,,1796426,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель 3.5 мм -3.5 мм Baseus Jack 3.5mm Yiven Audio Cable M30 M/M 1m Red/Black (CAM30-B91),,155,1,https://comfy.ua/catalog/product/view/id/2394643,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
836413729,,,,,1796425,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель 3.5 мм -3.5 мм Baseus Jack 3.5mm Yiven Audio Cable M30 M/M 1m Silver/Black (CAM30-BS1),,189,1,https://comfy.ua/catalog/product/view/id/2394633,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
837098286,6705222,AURETI,Сковорода AURETI Pratico 20 см Black (AU-101-20),459,1806543,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Pratico 20 см (AU-101-20),,559,1,https://comfy.ua/skovoroda-universal-naja-aureti-pratico-20-sm-au-101-20.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
837098329,6705226,AURETI,Сковорода AURETI Marble 20 см Grey (AU-301-20),499,1806556,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Marble 20 см (AU-301-20),,499,1,https://comfy.ua/skovoroda-universal-naja-aureti-marble-20-sm-au-301-20.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
837098337,6705234,AURETI,Сковорода AURETI Titanium 20 см Black (AU-401-20),494,1806560,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Titanium 20 см (AU-401-20),,549,1,https://comfy.ua/skovoroda-universal-naja-aureti-titanium-20-sm-au-401-20.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
837136587,6705223,AURETI,Сковорода AURETI Pratico 24 см Black (AU-102-24),638,1806544,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Pratico 24 см (AU-102-24),,709,1,https://comfy.ua/skovoroda-universal-naja-aureti-pratico-24-sm-au-102-24.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
837136705,6705227,AURETI,Сковорода AURETI Marble 24 см Grey (AU-302-24),625,1806557,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Marble 24 см (AU-302-24),,710,1,https://comfy.ua/skovoroda-universal-naja-aureti-marble-24-sm-au-302-24.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
837136714,6705235,AURETI,Сковорода AURETI Titanium 24 см Black (AU-401-24),625,1806561,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Titanium 24 см (AU-402-24),,719,1,https://comfy.ua/skovoroda-universal-naja-aureti-titanium-24-sm-au-402-24.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
837136753,6705224,AURETI,Сковорода AURETI Pratico 26 см Black (AU-103-26),697,1806545,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Pratico 26 см (AU-103-26),,789,1,https://comfy.ua/skovoroda-universal-naja-aureti-pratico-26-sm-au-103-26.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
837156416,6705228,AURETI,Сковорода AURETI Marble 26 см Grey (AU-303-26),679,1806558,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Marble 26 см (AU-303-26),,785,1,https://comfy.ua/skovoroda-universal-naja-aureti-marble-26-sm-au-303-26.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
837156425,6705236,AURETI,Сковорода AURETI Titanium 26 см (AU-401-26),775,1806562,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Titanium 26 см (AU-403-26),,775,1,https://comfy.ua/skovoroda-universal-naja-aureti-titanium-26-sm-au-403-26.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
837156512,6705231,AURETI,Сковорода AURETI Granite 24 см Гранитно-серая (AU-202-24),733,1806549,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Granite 24 см (AU-202-24),,733,1,https://comfy.ua/skovoroda-universal-naja-aureti-granite-24-sm-au-202-24.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
837172969,6705237,AURETI,Сковорода AURETI Titanium 28 см (AU-401-28),865,1806563,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Titanium 28 см (AU-404-28),,889,1,https://comfy.ua/skovoroda-universal-naja-aureti-titanium-28-sm-au-404-28.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
837173020,,,,,1806550,Посуда >> Для приготовления >> Сковороды >> Сковороды Aureti,aureti,Сковорода універсальна Aureti Granite 26 см (AU-203-26),,895,1,https://comfy.ua/skovoroda-universal-naja-aureti-granite-26-sm-au-203-26.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
837276733,6714401,FISKARS,Лопатка FISKARS Functional Form 29 см (1023612),819,1807039,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Fiskars,fiskars,Лопатка для млинців Fiskars Functional Form 29 см (1023612),,819,1,https://comfy.ua/lopatka-dlja-blinov-fiskars-functional-form-29-sm-1023612.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
837608823,,,,,.1803195,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson L-7160/7180 70 мл Cyan (CW-EW716C01),,95,1,https://comfy.ua/chernila-colorway-epson-l-7160-7180-70-ml-cyan-cw-ew716c01.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
837979718,6842040,LIBERTY,Вытяжка LIBERTY Emily 60 B,4329,1806651,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Liberty,liberty,Витяжка декоративна Liberty Emily 60 B,,4329,1,https://comfy.ua/vytjazhka-dekorativnaja-liberty-emily-60-b.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
838058976,6947638,LIBERTY,Вытяжка LIBERTY Charlotte 60 B,5469,1806650,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Liberty,liberty,Витяжка декоративна Liberty Charlotte 60 B,,5469,1,https://comfy.ua/vytjazhka-dekorativnaja-liberty-charlotte-60-b.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
839098124,6987461,WUESTHOF,Набор ножей WUESTHOF Classic White 6 пр (1090270501),36699,1806907,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Набір ножів Wuesthof 1090270501,,36699,1,https://comfy.ua/nabor-nozhej-wuesthof-1090270501.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
840579879,6306595,STANLEY,Лезвия запасные STANLEY Carbide (STHT0-11825),318,1789664,Инструменты и автотовары >> Расходные материалы >> Лезвия >> Лезвия Stanley,stanley,Лезо Stanley Carbide 25 мм 5 шт. (STHT0-11825),,405,1,https://comfy.ua/lezvie-stanley-carbide-25-mm-5-sht-stht0-11825.html,,05.11.2025 22:10,,"вул. Соборна, 42",Фастів,0
841216235,6482299,STANLEY,Ножницы по металлу STANLEY (FMHT73755-0),1938,1789662,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Stanley,stanley,Ножиці по металу Stanley FMHT73755-0 250 мм,,1939,1,https://comfy.ua/nozhnicy-po-metallu-stanley-fmht73755-0-250-mm.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
841216246,6482296,STANLEY,Ножницы по металлу STANLEY FatMax ERGO Aviation (FMHT73557-0),1943,1789661,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Stanley,stanley,Ножиці по металу Stanley FMHT73557-0 250 мм,,1945,1,https://comfy.ua/nozhnicy-po-metallu-stanley-fmht73557-0-250-mm.html,,05.11.2025 22:20,,"вул. Соборна, 42",Фастів,0
841319793,,,,,1800805,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Canon PG440/510/512/PGI520 BlackPigmen (C10/BP),,145,1,https://comfy.ua/catalog/product/view/id/2385983,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
843264751,,,,,1805586,Посуда >> Кухонные аксессуары,berghoff,Відкривачка для пляшок Berghoff 3950158 Leo,,199,1,https://comfy.ua/otkryvalka-dlja-butylok-berghoff-3950158-leo.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
843292486,,,,,1796426,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель 3.5 мм -3.5 мм Baseus Jack 3.5mm Yiven Audio Cable M30 M/M 1m Red/Black (CAM30-B91),,155,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-baseus-jack-3-5mm-yiven-audio-cable-m30-m-m-1m-red-black-cam30-b91.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
843292495,,,,,1796425,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель 3.5 мм -3.5 мм Baseus Jack 3.5mm Yiven Audio Cable M30 M/M 1m Silver/Black (CAM30-BS1),,189,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-baseus-jack-3-5mm-yiven-audio-cable-m30-m-m-1m-silver-black-cam30-bs1.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
843587975,,,,,1807844,Comfy KIDS >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Annet Blue Denim,,7759,1,https://comfy.ua/koljaska-progulochnaja-lionelo-annet-blue-denim.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
843590539,,,,,1807347,"Дом, отдых и зоотовары >> Декор для дома",strateg,"Алмазний живопис Strateg Зелене серце, 40х50 см (FA40801)",,419,1,https://comfy.ua/almaznaja-zhivopis-strateg-zelenoe-serdce-40h50-sm-fa40801.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
843616403,,,,,1807268,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,Одноразові підгузки-трусики Huggies Pant Boy 5 12-17 кг Jumbo 34 (5029053564289),,473,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-huggies-pant-boy-5-12-17-kg-jumbo-34-5029053564289.html,692,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
843626375,,,,,1807433,"Дом, отдых и зоотовары >> Декор для дома",strateg,"Алмазний живопис Strateg Цар звірів, 40х50 см (FA10001)",,419,1,https://comfy.ua/almaznaja-zhivopis-strateg-car-zverej-40h50-sm-fa10001.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
843636136,,,,,1807845,Comfy KIDS >> Детский транспорт >> Велосипеды >> Велосипеды Lionelo,lionelo,Триколісний велосипед Lionelo Haari Blue Navy,,4875,1,https://comfy.ua/trjohkoljosnyj-velosiped-lionelo-haari-blue-navy.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
843642302,6702144,BASEUS,Гарнитура BASEUS Encok H06 черная (NGH06-01),335,1796013,"Аудио, фото и видео >> Наушники",baseus,Навушники вкладиші Baseus Encok H06 Black (NGH06-01),,335,1,https://comfy.ua/catalog/product/view/id/2404233,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
846558548,6678918,SATURN,Кофеварка SATURN ST-CM7079,819,1800326,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Saturn,saturn,Кавоварка крапельна Saturn ST-CM7079,,819,1,https://comfy.ua/kofevarka-kapel-naja-saturn-st-cm7079.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
848004136,6721335,TEAM,SSD накопитель TEAM Team M.2 NVMe PCIe 3.0 x4 1TB MP33 2280 TLC (TM8FP6001T0C101),3999,1806678,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",team,SSD-накопичувач внутрішній Team M.2 NVMe PCIe 3.0 x4 1TB MP33 2280 TLC (TM8FP6001T0C101),,2775,1,https://comfy.ua/catalog/product/view/id/2400493,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
848004234,6766350,TEFAL,Набор кухонных аксессуаров TEFAL Ingenio 4 пр (K206S414),899,1807264,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Кухарський набір приладів Tefal K206S414 Ingenio 4 пр.,,899,1,https://comfy.ua/povarskoj-nabor-prinadlezhnostej-tefal-k206s414-ingenio-4-pr.html,1599,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
848004336,6682560,TRANSCEND,"""SSD накопитель TRANSCEND 2.5"""" 230 2TB SATA TLC (TS2TSSD230S)""",8148,1800317,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,SSD-накопичувач внутрішній Transcend 2TB (TS2TSSD230S),,7089,1,https://comfy.ua/catalog/product/view/id/2400383,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
848015769,,,,,1092604,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway EPSON TX650 (Light Cyan) (CW-EW650LC01) 100мл,,95,1,https://comfy.ua/catalog/product/view/id/2386953,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
848137190,6703985,FRANKE,Вытяжка FRANKE Inca Smart FBI 525 XS (305.0599.507),5895,1807236,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Franke,franke,Витяжка вбудована Franke Inca Smart FBI 525 XS,,5895,1,https://comfy.ua/vytjazhka-vstraivaemaja-franke-inca-smart-fbi-525-xs.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
848137250,6736059,FRANKE,Вытяжка FRANKE FBI 705 XS (305.0599.508),5309,1807237,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Franke,franke,Витяжка вбудована Franke Inca Smart FBI 705 XS,,6119,1,https://comfy.ua/vytjazhka-vstraivaemaja-franke-inca-smart-fbi-705-xs.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
848166689,,,,,1090651,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon GI-490 100мл Magenta (CW-CW490M01),,95,1,https://comfy.ua/catalog/product/view/id/2400483,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
848166705,,,,,1090652,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon GI-490 100мл Yellow (CW-CW490Y01),,95,1,https://comfy.ua/catalog/product/view/id/2400583,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
