929221120,6710397,melica_organic,__melica_organic_c___100__4770416002221,183,1749343,____________________melica,melica,__melica_____4770416002221,column,215,1,httpscomfyuazubnajapastamelicaotbelivajuschajasjekstraktommozhzhevelnika4770416002221html,column,05112025_1854,column,__42,Фастів,0
929221350,,,,,1687408,Посуда >> Для сервировки,wmf,Набір для бара WMF 662866040 BARIC 5 пр.,,5799,1,https://comfy.ua/nabor-dlja-bara-wmf-662866040-baric-5-pr.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
929221351,,,,,1687493,Посуда >> Для сервировки,wmf,Термометр для вина WMF 658516030 CLEVER & MORE,,599,1,https://comfy.ua/termometr-dlja-vina-wmf-658516030-clever-more.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
929221358,,,,,1796681,Красота и здоровье >> Косметика для тела,nivea,Дезодорант кульковий NIVEA Pearl & Beauty Краса перлів 50мл,,90,1,https://comfy.ua/dezodorant-sharikovyj-nivea-pearl-beauty-krasota-zhemchuga-50ml.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
929221395,,,,,1751116,Красота и здоровье >> Уходовая косметика для лица,missha,Маска для обличчя Missha MascureCalming Solution Sheet успокающего 27 мл (8809581456617),,99,1,https://comfy.ua/maska-dlja-lica-missha-mascurecalming-solution-sheet-uspokajuschaja-27-ml-8809581456617.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
929221397,,,,,1814971,Красота и здоровье >> Уходовая косметика для лица,missha,Маска для обличчя Missha Mascure Solution 27 мл (8809581456600),,119,1,https://comfy.ua/maska-dlja-lica-missha-mascure-solution-27-ml-8809581456600.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
929221412,,,,,1751122,Красота и здоровье >> Уходовая косметика для лица,missha,Маска для обличчя Missha Talk Vegan Squeeze Mega Nutritious тканевая 27 г (8809643533782),,169,1,https://comfy.ua/maska-dlja-lica-missha-talk-vegan-squeeze-mega-nutritious-tkanevaja-27-g-8809643533782.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
929221422,6710441,MELICA ORGANIC,Средство для интимной гигиены MELICA ORGANIC с молочной кислотой и экстрактом алоэ 300 мл (4770416342105),172,1752870,Красота и здоровье >> Косметика для тела >> Гели для душа >> Гели для душа Melica,melica,Гель для інтимної гігієни Melica Organic молочной кислотой и экстрактом алоэ 300 г (4770416342105),,185,1,https://comfy.ua/gel-dlja-intimnoj-gigieny-melica-organic-molochnoj-kislotoj-i-jekstraktom-aloje-300-g-4770416342105.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
929221439,,,,,1813857,Красота и здоровье >> Косметика для волос,gliss,Бальзам для волосся Schwarzkopf Prof. Gliss Kur Oil Nutritive 200 мл (9000100398534),,120,1,https://comfy.ua/bal-zam-dlja-volos-schwarzkopf-prof-gliss-kur-oil-nutritive-200-ml-9000100398534.html,150,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
929221441,7020396,GLISS,Кондиционер для волос GLISS Ultimate Repair 200 мл (2880254),250,1813849,"Красота и здоровье >> Косметика для волос >> Бальзамы, маски и сыворотки >> Бальзамы, маски и сыворотки GLISS",gliss,Спрей для волосся Schwarzkopf Prof. Gliss Kur 200 мл (4015000941334),,182,1,https://comfy.ua/sprej-dlja-volos-schwarzkopf-prof-gliss-kur-200-ml-4015000941334.html,260,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
929221444,6710434,MELICA,Бальзам-кондиционер MELICA с экстрактом лука для поврежденных волос 250 мл (4770416003549),119,1749632,"Красота и здоровье >> Косметика для волос >> Бальзамы, маски и сыворотки >> Бальзамы, маски и сыворотки Melica",melica,Бальзам для волосся Melica с экстрактом лука для поврежденных и слабых волос 250 мл (4770416003549),,129,1,https://comfy.ua/bal-zam-dlja-volos-melica-s-jekstraktom-luka-dlja-povrezhdennyh-i-slabyh-volos-250-ml-4770416003549.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
929221474,,,,,1755093,Красота и здоровье >> Уходовая косметика для лица,missha,Пінка для вмивання Missha Vita C Plus Clear Complexion 120 мл (8809643523479),,695,1,https://comfy.ua/penka-dlja-umyvanija-missha-vita-c-plus-clear-complexion-120-ml-8809643523479.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
929221477,,,,,1752775,Красота и здоровье >> Уходовая косметика для лица,missha,Пінка для вмивання Missha Cicadin pH Blemish 250 мл (8809643526210),,1025,1,https://comfy.ua/penka-dlja-umyvanija-missha-cicadin-ph-blemish-250-ml-8809643526210.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
929221482,7023618,NAIPO,Массажная подушка NAIPO MGP-129M,1699,1800203,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Naipo,naipo,Масажер для шиї та спини Naipo Plush MGP-129M,,1699,1,https://comfy.ua/massazher-dlja-shei-naipo-i-spiny-plush-mgp-129m.html,1899,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
929221531,6711145,KELA,Подставка под горячее KELA Kian 20 см (11798),319,1815929,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Kela,kela,Підставка для кухонного приладдя Kela Kian 20 см (11798),,319,1,https://comfy.ua/podstavka-dlja-kuhonnyh-prinadlezhnostej-kela-kian-20-sm-11798.html,389,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
929221721,6700789,VINZER,Магнитная планка VINZER 33 см (50307),474,1810482,Посуда >> Нарезка и измельчение >> Подставки для ножей >> Подставки для ножей Vinzer,vinzer,Планка для кухонних інструментІв Vinzer 50307,,476,1,https://comfy.ua/planka-dlja-kuhonnyh-instrumentov-vinzer-50307.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
929221723,,,,,1805692,Посуда >> Нарезка и измельчение,berghoff,Підставка для ножів Berghoff 3900020 RON з магнітом 38.5 см,,919,1,https://comfy.ua/podstavka-dlja-nozhej-berghoff-3900020-ron-s-magnitom-38-5-sm.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
929221725,,,,,1819038,Посуда >> Нарезка и измельчение >> Подставки для ножей >> Подставки для ножей Tescoma,tescoma,Підставка для ножів tescoma 900891 Online,,1599,1,https://comfy.ua/podstavka-dlja-nozhej-tescoma-900891-online.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
929221851,,,,,1769983,Бытовая химия >> Средства для стирки,dr-beckmann,Засіб для делікатного прання Dr.BECKMANN Серветки для обнов лення чорного кольору і тканини 3 в 1,,226,1,https://comfy.ua/sredstvo-dlja-delikatnoj-stirki-dr-beckmann-salfetki-dlja-obnov-lenija-chernogo-cveta-i-tkani-2-v-1.html,282,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
929221863,,,,,1754706,Красота и здоровье >> Косметика для тела,naris-cosmetics,Засіб для засмаги Naris Cosmetics Parasola Illumi Солнцезащитная UV эссенция 80 г (4955814148768),,599,1,https://comfy.ua/sredstvo-dlja-zagara-naris-cosmetics-parasola-illumi-solncezaschitnaja-uv-jessencija-80-g-4955814148768.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
929221872,6714431,FISKARS,Пинцет для рыбы Fiskars Form (1003023),656,1815599,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Fiskars,fiskars,Пінцет кухонний Fiskars 1003023 Form,,875,1,https://comfy.ua/pincet-kuhonnyj-fiskars-1003023-form.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
929221875,,,,,1752041,Красота и здоровье >> Косметика для тела,missha,Засіб для засмаги Missha Safe Block RX Cover SPF50+PA++++ 50 мл (8809643523486),,1399,1,https://comfy.ua/sredstvo-dlja-zagara-missha-safe-block-rx-cover-spf50-pa-50-ml-8809643523486.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
929221884,,,,,1752312,Красота и здоровье >> Косметика для тела,naris-cosmetics,Засіб для засмаги Naris Cosmetics Parasola Fragrance Увлажняющий солнцезащитный UV гель 90 г (4955814147419),,639,1,https://comfy.ua/sredstvo-dlja-zagara-naris-cosmetics-parasola-fragrance-uvlazhnjajuschij-solncezaschitnyj-uv-gel-90-g-4955814147419.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
929221891,,,,,1814977,Красота и здоровье >> Уходовая косметика для лица,missha,Тонік для обличчя Missha Cicadin Hydro PH (8809643502177),,929,1,https://comfy.ua/tonik-dlja-lica-missha-cicadin-hydro-ph-8809643502177.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
929232695,6711061,KELA,Салфетки универсальные KELA Supor Mint Green 4 шт (12731),239,1813292,Бытовая химия >> Все для уборки >> Салфетки бытовые >> Салфетки бытовые Kela,kela,Серветка побутова Kela Supor 35x35 см 4 шт. Mint-Green (12731),,239,1,https://comfy.ua/salfetka-bytovaja-kela-supor-35x35-sm-4-sht-mint-green-12731.html,369,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
929232696,6711060,KELA,Салфетки универсальные KELA Supor Blue 4 шт (12730),239,1813291,Бытовая химия >> Все для уборки >> Салфетки бытовые >> Салфетки бытовые Kela,kela,Серветка побутова Kela Supor 35x35 см 4 шт. Blue (12730),,239,1,https://comfy.ua/salfetka-bytovaja-kela-supor-35x35-sm-4-sht-blue-12730.html,369,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
929232711,6874057,MR MUSCLE,Средство для мытья стекол Mr Muscle с нашатырным спиртом Утренняя роса сменный блок 500 мл (4823002000160),111,1750149,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон SC Johnson,sc-johnson,Засіб для чищення скла SC Johnson Mr. Muscle Профессионал с нашатырным спиртом 500 мл Зеленый (4823002000160),,111,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-sc-johnson-mr-muscle-professional-s-nashatyrnym-spirtom-500-ml-zelenyj-4823002000160.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
929232713,6874063,MR MUSCLE,Средство для мытья стекол Mr Muscle 500 мл (4823002001020),111,1750191,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Mr. Muscle 500 мл Голубой (4823002001020),,94,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-mr-muscle-500-ml-goluboj-4823002001020.html,111,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
929232719,6874062,MR MUSCLE,Средство для мытья стекол Mr Muscle 500 мл (4823002001013),141,1750192,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Mr. Muscle 500 мл Голубой (4823002001013),,141,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-mr-muscle-500-ml-goluboj-4823002001013.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
929232721,6874056,MR MUSCLE,Средство для мытья стекол Mr Muscle с нашатырным спиртом Утренняя роса 500 мл (4823002000153),141,1750186,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон SC Johnson,sc-johnson,Засіб для чищення скла SC Johnson Mr. Muscle с нашатырным спиртом 500 мл Зеленый (4823002000153),,119,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-sc-johnson-mr-muscle-s-nashatyrnym-spirtom-500-ml-zelenyj-4823002000153.html,141,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
929232725,6710454,SANO,Средство для мытья стекол Sano Clear Blue 750 мл/запаска (7290012117275,146,1751909,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон Sano,sano,Засіб для чищення скла Sano Запаска 750 мл (7290012117275),,118,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-sano-zapaska-750-ml-7290012117275.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
929232741,7021656,DUCK,Таблетки для сливного бачка Duck Морской 2 х 50 г (5000204004755),157,1810927,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза SC Johnson,sc-johnson,Туалетний блок SC Johnson Duck Таблетка Чистоти Морський 50 г 2 шт. (5000204004755),,130,1,https://comfy.ua/tualetnyj-blok-sc-johnson-duck-tabletka-chistoty-morskoj-50-g-2-sht-5000204004755.html,136,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
929232744,7021651,DUCK,Туалетный блок Duck Морской 55 мл (5010182990827),119,1750797,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза SC Johnson,sc-johnson,Туалетний блок SC Johnson Морський 55 мл (5010182990827),,101,1,https://comfy.ua/tualetnyj-blok-sc-johnson-morskoj-55-ml-5010182990827.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
929232866,6874043,MILAM,Средство для чистки MILAM Сантри 1 л (4820077610331),91,1751246,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Милам,milam,Засіб для миття у ванній кімнаті Милам Сантри Дезинфицирующее 1 л (4820077610331),,86,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-milam-santri-dezinficirujuschee-1-l-4820077610331.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
929232868,7021712,SAN CLEAN,Средство для чистки SAN CLEAN для удаления ржавчины без распылителя 500г (4820003540565),93,1754177,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной San Clean,san-clean,Засіб для миття у ванній кімнаті San Clean для видалення іржі без розпилювача 500 мл (4820003540565),,87,1,https://comfy.ua/chistjaschee-sredstvo-dlja-kuhonnoj-tehniki-san-klin-dlja-udalenija-rzhavchiny-bez-raspylitelja-500-ml-4820003540565.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
929232869,6874044,MILAM,Средство для чистки MILAM Сhemical Антиплесень с распылителем 750 мл (4820152290687,107,1749790,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Милам,milam,Засіб для видалення нальоту Милам Антиплесень 750 мл (4820152290687),,87,1,https://comfy.ua/sredstvo-dlja-udalenija-naleta-milam-antiplesen-750-ml-4820152290687.html,119,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
929232871,7021810,MILAM,Чистящее средство MILAM Сантри спрей 750 мл (4820152290731),110,1753999,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Милам,milam,Засіб для миття у ванній кімнаті Милам Сhemical Сантри 0.75 л (4820152290731),,110,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-milam-shemical-santri-0-75-l-4820152290731.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
929232873,7021806,MILAM,Гель для чистки MILAM Сhemical санитарно-гигиенический ароматизированный 1 л (4820152290748),108,1753998,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Милам,milam,Засіб для миття у ванній кімнаті Милам санитарно-гигиенический ароматизированный 1 л (4820152290748),,93,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-milam-sanitarno-gigienicheskij-aromatizirovannyj-1-l-4820152290748.html,108,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
