1650817868,6937078,severin,_severin_km_3867,2477,2830034,__________severin,severin,_severin_km_3867,column,2479,1,httpscomfyuaizmelchitelseverinkm3867html,column,05112025_1914,column,__42,Фастів,0
1650922123,,,,,2825971,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax Vista MW без БЖ,,2369,1,https://comfy.ua/korpus-gamemax-vista-mw-bez-bp.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1650922124,,,,,.2825942,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax MT300-2U3-90W,,2219,1,https://comfy.ua/korpus-gamemax-mt300-2u3-90w.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1650922180,,,,,.2826011,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax Violin Silver,,3279,1,https://comfy.ua/korpus-gamemax-violin-silver.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1650922192,,,,,2825973,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax Vista AW без БЖ,,4329,1,https://comfy.ua/korpus-gamemax-vista-aw-bez-bp.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1650998116,,,,,2823915,Посуда >> Для приготовления,wmf,Набір посуду WMF 517065290 FUSIONTEC ESSENTIAL BLUEBERRY 3 пр,,17999,1,https://comfy.ua/nabor-posudy-wmf-517065290-fusiontec-essential-blueberry-3-pr.html,23999,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1650998119,,,,,2823914,Посуда >> Для приготовления,wmf,Набір посуду WMF 516995290 FUSIONTEC ESSENTIAL CALM GREY 3 пр,,17999,1,https://comfy.ua/nabor-posudy-wmf-516995290-fusiontec-essential-calm-grey-3-pr.html,23999,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1651033785,6949376,GORENJE,Стиральная машина GORENJE WNHEI74SAS/UA (20012755),13899,2795192,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Gorenje,gorenje,Пральна машина Gorenje WNHEI74SAS/UA,,13499,1,https://comfy.ua/stiral-naja-mashina-gorenje-wnhei74sas-ua.html,17399,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1651051837,,,,,2741611,Техника для кухни >> Мелкая техника,wmf,"Електричний чайник WMF 413210011 Lono 1,3 л",,5399,1,https://comfy.ua/jelektricheskij-chajnik-wmf-413210011-lono-1-3-l.html,6499,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1651069690,,,,,2830351,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",lenovo,Ноутбук ігровий Lenovo LOQ 15IAX9I (83FQ002ERA) Luna Grey,,33999,1,https://comfy.ua/noutbuk-igrovoj-lenovo-loq-15iax9i-83fq002era-luna-grey.html,40999,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1651070431,6951487,LENOVO,Ноутбук LENOVO V17-G4 IRU Iron Grey (83A2001XRA),37499,2832169,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Lenovo >> Серия Lenovo V",lenovo,Ноутбук Lenovo V17 G4 IRU (83A2001XRA) Iron Grey,,37499,1,https://comfy.ua/noutbuk-lenovo-v17-g4-iru-83a2001xra-iron-grey.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1651078828,,,,,2734670,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Smeg,smeg,Кавомашина Smeg BCC13EGMEU,,32639,1,https://comfy.ua/kofemashina-smeg-bcc13egmeu.html,38399,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1651078866,6977507,SML,Маникюрный аппарат SML M-8 (SML-M8WT),1519,2772941,Красота и здоровье >> Уход за телом >> Маникюрные наборы >> Маникюрные наборы SML,sml,Манікюрний набір апаратний SML M-8,,1519,1,https://comfy.ua/manikjurnyj-nabor-apparatnyj-sml-m-8.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1651078867,6856292,SML,Фрезер для маникюра SML Nail Sander M12 с педалью White,1709,2772940,Красота и здоровье >> Уход за телом >> Маникюрные наборы >> Маникюрные наборы SML,sml,Манікюрний набір апаратний SML Nail Sander M12 з педаллю White,,1709,1,https://comfy.ua/manikjurnyj-nabor-apparatnyj-sml-nail-sander-m12-s-pedal-ju-white.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1651078868,6977508,SML,Маникюрный аппарат SML M-11 (SML-M11BL),1709,2772942,Красота и здоровье >> Уход за телом >> Маникюрные наборы >> Маникюрные наборы SML,sml,Манікюрний набір апаратний SML M-11,,1709,1,https://comfy.ua/manikjurnyj-nabor-apparatnyj-sml-m-11.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1651078989,,,,,.2821329,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte B650M S2H sAM5 DDR5,,4499,1,https://comfy.ua/materinskaja-plata-gigabyte-b650m-s2h-sam5-ddr5.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1651078990,,,,,2702982,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B760M-K DDR5,,5139,1,https://comfy.ua/materinskaja-plata-asus-prime-b760m-k-ddr5.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1651078993,,,,,.2032695,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte sAM4 AMD B550 (B550 AORUS ELITE V2),,5999,1,https://comfy.ua/materinskaja-plata-gigabyte-sam4-amd-b550-b550-aorus-elite-v2.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1651078995,,,,,.2821111,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B760M-A-CSM DDR5,,6289,1,https://comfy.ua/materinskaja-plata-asus-prime-b760m-a-csm-ddr5.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1651078997,,,,,2821350,Игровые консоли и гейминг >> Комплектующие для игровых ПК,msi,Материнська плата MSI B760M GAMING PLUS WIFI DDR5,,8025,1,https://comfy.ua/materinskaja-plata-msi-b760m-gaming-plus-wifi-ddr5.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1651079000,,,,,.2702996,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus TUF GAMING B760-PLUS WIFI DDR5,,8335,1,https://comfy.ua/materinskaja-plata-asus-tuf-gaming-b760-plus-wifi-ddr5.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
