1401286588,6890613,kisonli,_kisonli_k50023410_black,382,2128471,____________kisonli,kisonli,__kisonli_k50023410_black,column,369,1,httpscomfyuaakusticheskajasistemakisonlik50023410blackhtml,column,05112025_1847,column,__42,Фастів,0
1401549472,,,,,1070500,Посуда >> Для приготовления >> Кастрюли >> Кастрюли de Buyer,de-buyer,Каструля de Buyer 28 см 6241.28,,39635,1,https://comfy.ua/kastrjulja-de-buyer-28-sm-6241-28.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1401606556,6819723,PHILIPS,Гарнитура PHILIPS TAT1207 True Wireless IPX4 White (TAT1207WT/00),999,2135515,"Аудио, фото и видео >> Наушники >> Наушники Philips",philips,Навушники вкладиші бездротові TWS Philips TAT1207WT/00,,999,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-philips-tat1207wt-00.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1401606557,6819724,PHILIPS,Гарнитура PHILIPS TAT1207 True Wireless IPX4 Black (TAT1207BK/00),999,2135514,"Аудио, фото и видео >> Наушники >> Наушники Philips",philips,Навушники вкладиші бездротові TWS Philips TAT1207BK/00,,1399,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-philips-tat1207bk-00.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1401647867,6813551,PHILIPS,Блендер PHILIPS HR2041/17,1699,2124990,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Philips,philips,Блендер стаціонарний Philips HR2041/17,,1799,1,https://comfy.ua/blender-stacionarnyj-philips-hr2041-17.html,2399,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1401662770,,,,,.2132707,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE Black (SHADOW_FCNU3),,2455,1,https://comfy.ua/korpus-qube-black-shadow-fcnu3.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1401662779,,,,,2134017,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE Black (MESH_FMNU3),,2599,1,https://comfy.ua/korpus-qube-black-mesh-fmnu3.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1401662792,,,,,.2134015,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE Black (GALAXY_FCNU3),,3399,1,https://comfy.ua/korpus-qube-black-galaxy-fcnu3.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1401683804,6815840,BOSCH,Встраиваемая посудомоечная машина BOSCH SPV2IKX10K,19599,2130184,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Bosch,bosch,Посудомийна машина вбудована Bosch SPV2IKX10K,,19599,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-bosch-spv2ikx10k.html,21999,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1401684980,6815833,BOSCH,Встраиваемая посудомоечная машина BOSCH SMV2IVX00K,23999,2130181,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Bosch,bosch,Посудомийна машина вбудована Bosch SMV2IVX00K,,23999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-bosch-smv2ivx00k.html,26999,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1401690441,,,,,1724877,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров iTECH,itech,Кріплення для телевізора iTECH Celb-54N,,2245,1,https://comfy.ua/kreplenie-dlja-televizora-itech-celb-54n.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,1
1401694894,6809215,AMICA,Электрочайник AMICA KF 1014,949,2117842,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Amica,amica,Електричний чайник Amica KF 1014,,949,1,https://comfy.ua/jelektricheskij-chajnik-amica-kf-1014.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1401698503,6811245,GORENJE,Плита электрическая GORENJE GECS 5C70 WA,20999,2135986,Техника для кухни >> Крупная техника >> Плиты >> Плиты Gorenje,gorenje,Плита електрична Gorenje GECS 5C70 WA,,20899,1,https://comfy.ua/plita-jelektricheskaja-gorenje-gecs-5c70-wa.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1401709605,6816090,2E,Терморюкзак 2E Picnic 25 л Dark Olive (2E-TBKP25L-DO),1549,2135523,Дом и отдых >> Отдых и путешествия >> Термосумки >> Термосумки 2E,2e,Сумка ізотермічна 2E Picnic 25 л Dark Olyvkova (2E-TBKP25L-DO),,1549,1,https://comfy.ua/sumka-izotermicheskaja-2e-picnic-25-l-dark-olyvkova-2e-tbkp25l-do.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1401709606,6816093,2E,Термосумка 2E Picnic 50 л Dark Blue (2E-TWBP50L-DB),3999,2135524,"Дом, отдых и зоотовары >> Отдых и путешествия >> Термосумки >> Термосумки 2E",2e,Сумка ізотермічна 2E Picnic 50 л Dark Blue (2E-TWBP50L-DB),,3999,1,https://comfy.ua/sumka-izotermicheskaja-2e-picnic-50-l-dark-blue-2e-twbp50l-db.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1401709607,6816092,2E,Термосумка 2E Picnic 50 л Dark Olive (2E-TWBP50L-DO),3999,2135525,"Дом, отдых и зоотовары >> Отдых и путешествия >> Термосумки >> Термосумки 2E",2e,Сумка ізотермічна 2E Picnic 50 л Dark Olyvkova (2E-TWBP50L-DO),,3999,1,https://comfy.ua/sumka-izotermicheskaja-2e-picnic-50-l-dark-olyvkova-2e-twbp50l-do.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1401740063,,,,,2081828,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Whirlpool,whirlpool,Холодильник Whirlpool W7X 82I W,,20777,1,https://comfy.ua/holodil-nik-whirlpool-w7x-82i-w.html,25599,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1401742871,6842110,ARTEL,Электропечь ARTEL MD 3216 L Black Red,3599,2086570,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ARTEL,artel,Піч електрична ARTEL MD 3216 L Black-Red,,3599,1,https://comfy.ua/pech-jelektricheskaja-artel-md-3216-l-black-red.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1401742874,6842159,SAMDAN,Электропечь SAMDAN 2003 Red 48 л,2919,2068663,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Samdan,samdan,Піч електрична Samdan 2003 Red,,2919,1,https://comfy.ua/pech-jelektricheskaja-samdan-2003-red.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1401742876,6842162,SAMDAN,Электропечь SAMDAN 2005 Red 48 л,3249,2068667,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Samdan,samdan,Піч електрична Samdan 2005 Red,,3249,1,https://comfy.ua/pech-jelektricheskaja-samdan-2005-red.html,3825,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1401742877,,,,,.2086571,Техника для кухни >> Крупная техника,artel,Піч електрична ARTEL MD 3216 L Grey-Black,,3599,1,https://comfy.ua/pech-jelektricheskaja-artel-md-3216-l-grey-black.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1401786581,,,,,1941863,Техника для кухни >> Крупная техника,ventolux,Духова шафа електрична Ventolux BARI 3 MT (BK),,6029,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-bari-3-mt-bk.html,6999,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1401786980,6816226,HONEYWELL,Очиститель воздуха HONEYWELL HPA830WE4 (TOW017931),14999,2129397,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха Honeywell,honeywell,Очищувач повітря Honeywell HPA830WE4 (TOW017931),,9067,1,https://comfy.ua/ochistitel-vozduha-honeywell-hpa830we4-tow017931.html,14999,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1401787160,6811440,GORENJE,Духовой шкаф GORENJE BPSA6747A08BG (BO3PS5I01-4),27799,2137377,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BPSA6747A08BG (BO3PS5I01-4),,26999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bpsa6747a08bg-bo3ps5i01-4.html,29599,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1401787771,6659029,ASUS,Маршрутизатор ASUS RT-AX89X,17709,2127817,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Asus",asus,Маршрутизатор інтернет WiFi6 Asus RT-AX89X,,17709,1,https://comfy.ua/marshrutizator-internet-wifi6-asus-rt-ax89x.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1401789644,,,,,2136000,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Мережевий зарядний пристрій SkyDolphin SC36 (1USB, 2.4A) Black (MZP-000173)",,149,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-skydolphin-sc36-1usb-2-4a-black-mzp-000173.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1401803607,6861541,ESPERANZA,Блендер ESPERANZA EKM003E,999,2138333,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Esperanza,esperanza,Блендер заглибний Esperanza EKM003E Pesto Grey,,999,1,https://comfy.ua/blender-pogruzhnoj-esperanza-ekm003e-pesto-grey.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1401803608,6861540,ESPERANZA,Блендер ESPERANZA EKM003G,999,2138332,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Esperanza,esperanza,Блендер заглибний Esperanza EKM003G Pesto Green,,999,1,https://comfy.ua/blender-pogruzhnoj-esperanza-ekm003g-pesto-green.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1401813165,6816442,GORENJE,Духовой шкаф GORENJE BOS6747A01X (BO3CO5I02-3),20999,2135979,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BOS 6747 A01X,,20999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bos-6747-a01x.html,22199,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1401838642,7081963,BEKO,Варочная поверхность BEKO HII64822UFT,15999,2137358,Техника для кухни >> Крупная техника,beko,Варильна поверхня електрична Beko HII64822UFT,,14534,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-beko-hii64822uft.html,18999,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1401838644,6824666,GORENJE,Варочная поверхность GORENJE IT 641 BCSC7,19199,2135980,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня електрична Gorenje IT641BCSC7,,15119,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-gorenje-it-641-bcsc7.html,21599,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1401841469,6829491,RAZER,Гарнитура Razer Blackshark V2 X White (RZ04-03240700-R3M1),2999,2124553,"Аудио, фото и видео >> Наушники >> Наушники Razer",razer,Гарнітура дротова ігрова Razer Blackshark V2 X (RZ04-03240700-R3M1) White,,2999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-razer-blackshark-v2-x-rz04-03240700-r3m1-white.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1401842675,6689185,PHILIPS,Фен PHILIPS BHD300/10,1099,2122043,Красота и здоровье >> Уход за волосами >> Фены >> Фены Philips,philips,Фен Philips BHD300/10,,1099,1,https://comfy.ua/fen-philips-bhd300-10.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1401860450,6807693,GORENJE,Посудомоечная машина GORENJE GS520E15S (WQP8-7606V),14999,2137145,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Gorenje,gorenje,Посудомийна машина окремостояча Gorenje GS520E15S,,15999,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-gorenje-gs520e15s.html,20399,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1401860451,6811445,GORENJE,Посудомоечная машина GORENJE GS520E15W (WQP8-7606V),14699,2137144,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Gorenje,gorenje,Посудомийна машина окремостояча Gorenje GS520E15W,,15799,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-gorenje-gs520e15w.html,17299,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1401860454,6811444,GORENJE,Встраиваемая посудомоечная машина GORENJE GV520E15 (WQP8-7712R),14699,2137143,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Gorenje,gorenje,Посудомийна машина вбудована Gorenje GV520E15,,14699,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-gorenje-gv520e15.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1401860845,6854663,SAMDAN,Электропечь SAMDAN 2003 Grey,3173,2137154,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Samdan,samdan,Піч електрична Samdan 2003 Grey,,3175,1,https://comfy.ua/pech-jelektricheskaja-samdan-2003-grey.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1401937158,6879042,RAZER,Кресло Razer Enki X Black Green (RZ38-03880100-R3G1),19999,2124551,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Razer",razer,Крісло для геймерів Razer Enki X (RZ38-03880100-R3G1) Green,,19999,1,https://comfy.ua/kreslo-dlja-gejmerov-razer-enki-x-rz38-03880100-r3g1-green.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1401943635,,,,,2127950,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Dell >> Серия Dell Vostro",dell,Ноутбук Dell Vostro 5625 (N1005VNB5625UA_WP11) Grey,,29723,1,https://comfy.ua/noutbuk-dell-vostro-5625-n1005vnb5625ua-wp11-grey.html,50809,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1401943657,,,,,2119280,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники MAKE",make,Кабель синхронізації даних MAKE USB to Type-C 2.4A 1м Denim Grey (MCB-CD9GR),,249,1,https://comfy.ua/kabel-sinhronizacii-dannyh-make-usb-to-type-c-2-4a-1m-denim-grey-mcb-cd9gr.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,1
1401943753,,,,,2119281,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники MAKE",make,Кабель синхронізації даних MAKE USB to Lightning 2.4A 1м Denim Grey (MCB-LD3GR),,279,1,https://comfy.ua/kabel-sinhronizacii-dannyh-make-usb-to-lightning-2-4a-1m-denim-grey-mcb-ld3gr.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,1
1401943754,,,,,2119282,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники MAKE",make,Кабель синхронізації даних MAKE USB to Type-C 3A 1м Denim Grey (MCB-CD10GR),,299,1,https://comfy.ua/kabel-sinhronizacii-dannyh-make-usb-to-type-c-3a-1m-denim-grey-mcb-cd10gr.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,1
1401947181,6862884,ELECTROLUX,Стирально-сушильная машина ELECTROLUX PerfectCare 700 EW7WO368SU,30855,1994132,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Electrolux,electrolux,Прально-сушильна машина Electrolux EW7WO368SU,,28999,1,https://comfy.ua/stiral-no-sushil-naja-mashina-electrolux-ew7wo368su.html,32999,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1401950236,7050563,VIOLET HOUSE,Стульчик VIOLET HOUSE 0734 CREM 40*36 см,398,2037224,"Дом, отдых и зоотовары >> Мебель",violet-house,Табурет пластиковий VIOLET HOUSE 0734 Роттанг Brown 40x36 см,,859,1,https://comfy.ua/taburet-plastikovyj-violet-house-0734-rottang-brown-40x36-sm.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1401950237,6789971,SPECIAL4YOU,Стул SPECIAL4YOU Inspiration Black (E6552),1499,1981705,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты Special4You",special4you,Стілець кухоний Special4You Inspiration Black  (E6552),,1499,1,https://comfy.ua/stul-kuhonnyj-special4you-inspiration-black-e6552.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1402005354,,,,,.2140415,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",yenkee,Сумка для ноутбуку YENKEE YBN 17BDL01 Black,,825,1,https://comfy.ua/sumka-dlja-noutbuka-yenkee-ybn-17bdl01-black.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1402005501,,,,,2139501,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tucano,Чохол для ноутбуку Tucano Sandy 13/14'' Blue (BFSAN1314-B),,1549,1,https://comfy.ua/chehol-dlja-noutbuka-tucano-sandy-13-14-blue-bfsan1314-b.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
