752438148,6611157,goki,__goki____3__51590g,214,1699827,____________goki,goki,__goki___51590g,column,259,1,httpscomfyuapalchikovyjteatrgokinaborkukol51590ghtml,column,05112025_2031,column,__42,Фастів,0
752438179,6553705,MOLUK,Набор прорезывателей Moluk Nigi Nagi Nogi 3 шт (43400),329,1695131,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Moluk,moluk,Прорізувач Moluk Nigi + Nagi + Nogi 3 шт. в уп. (43400),,299,1,https://comfy.ua/prorezyvatel-moluk-nigi-nagi-nogi-3-sht-v-up-43400.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
752438190,6553716,MATCHSTICK MONKEY,Прорезыватель MATCHSTICK MONKEY Танцующая Обезьянка Blue (MM-DMT-002),759,1695098,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Matchstick Monkey,matchstick-monkey,"Прорізувач Matchstick Monkey Танцующая Обезьянка, синий 14 см (MM-DMT-002)",,699,1,https://comfy.ua/prorezyvatel-matchstick-monkey-tancujuschaja-obez-janka-sinij-14-sm-mm-dmt-002.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
752438199,,,,,1697554,Детские товары >> Творчество и развитие >> Лепка >> Лепка Kinetic Sand,kinetic-sand,Кінетичний пісок Kinetic Sand Colour Фіолетовий 907 г (71453P),,499,1,https://comfy.ua/kineticheskij-pesok-kinetic-sand-kinetic-rock-colour-fioletovyj-907-g-71453p.html,745,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
752438201,,,,,1696432,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Підвіска Canpol babies Pastel Friends Coral (68/065_cor),,525,1,https://comfy.ua/podveska-canpol-babies-pastel-friends-coral-68-065-cor.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
752438206,,,,,1698338,Детские товары >> Игрушки для малышей >> Развивающие коврики >> Развивающие коврики Taf Toys,taf-toys,"""Розвиваючий килимок Taf Toys Музичний колекції"""" Мрійливі коали"""" - Світ Навколо (100х80х53 cm) (12435)""",,3947,1,https://comfy.ua/razvivajuschij-kovrik-taf-toys-muzykal-nyj-kollekcii-mechtatel-nye-koaly-mir-vokrug-100h80h53-cm-12435.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
752438210,,,,,1696415,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Підвіска Canpol babies Jungle 0 + сплячий фламінго коралова (68/060_cor),,519,1,https://comfy.ua/podveska-canpol-babies-jungle-0-spjaschij-flamingo-korallovaja-68-060-cor.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
752438213,,,,,1696412,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Підвіска Canpol babies Jungle 0 + сплячий лемур коралова (68/059_cor),,385,1,https://comfy.ua/podveska-canpol-babies-jungle-0-spjaschij-lemur-korallovaja-68-059-cor.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
752438214,,,,,1698330,Детские товары >> Игрушки для малышей >> Развивающие коврики >> Развивающие коврики Taf Toys,taf-toys,Розвиваючий килимок Taf Toys Великий - Мої Захоплення (100х150 см) (12175),,2799,1,https://comfy.ua/razvivajuschij-kovrik-taf-toys-bol-shoj-moi-uvlechenija-100h150-sm-12175.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
752438215,,,,,1696411,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Підвіска Canpol babies Jungle 0 + сплячий лемур синя (68/059_blu),,395,1,https://comfy.ua/podveska-canpol-babies-jungle-0-spjaschij-lemur-sinjaja-68-059-blu.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
752438224,,,,,1696397,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Брязкальце Canpol babies Zig Zag 0 + з дзеркалом синя (68/056_blu),,259,1,https://comfy.ua/podveska-canpol-babies-zig-zag-0-s-zerkalom-sinjaja-68-056-blu.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
752438227,6873262,MATCHSTICK MONKEY,Игрушка-прорезыватель Matchstick Monkey Слон Turquoise 11 см (MM-E-001),429,1695125,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Matchstick Monkey,matchstick-monkey,"Прорізувач Matchstick Monkey Слон, бирюзовый 11 см (MM-E-001)",,455,1,https://comfy.ua/prorezyvatel-matchstick-monkey-slon-birjuzovyj-11-sm-mm-e-001.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
752438229,6873261,MATCHSTICK MONKEY,Игрушка-прорезыватель Matchstick Monkey Свинка Pink 11 см (MM-PG-001),429,1695055,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Matchstick Monkey,matchstick-monkey,"Прорізувач Matchstick Monkey Свинка, светло-розовый 11 см (MM-PG-001)",,455,1,https://comfy.ua/prorezyvatel-matchstick-monkey-svinka-svetlo-rozovyj-11-sm-mm-pg-001.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
752438236,6873255,MATCHSTICK MONKEY,Прорезыватель MATCHSTICK MONKEY Обезьянка 11 см Blue (MM-ONT-017),629,1695118,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Matchstick Monkey,matchstick-monkey,"Прорізувач Matchstick Monkey Обезьянка, синий 11 см (MM-ONT-017)",,599,1,https://comfy.ua/prorezyvatel-matchstick-monkey-obez-janka-sinij-11-sm-mm-ont-017.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
752438245,,,,,1696425,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Дуга-спіраль Canpol babies Zig Zag Red (68/063_red),,899,1,https://comfy.ua/duga-spiral-canpol-babies-zig-zag-red-68-063-red.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
752438247,,,,,1696422,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Дуга-спіраль Canpol babies Zig Zag Blue (68/063_blu),,899,1,https://comfy.ua/duga-spiral-canpol-babies-zig-zag-blue-68-063-blu.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
752438250,6873252,MATCHSTICK MONKEY,Прорезыватель MATCHSTICK MONKEY Обезьянка 11 см Orange (MM-ONT-020),629,1695121,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Matchstick Monkey,matchstick-monkey,"Прорізувач Matchstick Monkey Обезьянка, оранжевый 11 см (MM-ONT-020)",,599,1,https://comfy.ua/prorezyvatel-matchstick-monkey-obez-janka-oranzhevyj-11-sm-mm-ont-020.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
752438251,,,,,1696382,Детские товары >> Игрушки для малышей >> Развивающие коврики >> Развивающие коврики Canpol babies,canpol-babies,Розвиваючий килимок Canpol babies Sensory Toys (68/077),,4025,1,https://comfy.ua/razvivajuschij-kovrik-canpol-babies-sensory-toys-68-077.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
752438253,,,,,1696385,Детские товары >> Игрушки для малышей,canpol-babies,Розвиваючий килимок Canpol babies Pastel Friends 0+ (68/078_pin),,3475,1,https://comfy.ua/razvivajuschij-kovrik-canpol-babies-pastel-friends-0-68-078-pin.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
752438280,,,,,1697579,"Детские товары >> Игрушки для малышей >> Каталки, толкачи и прыгуны >> Каталки, толкачи и прыгуны Battat",battat,Каталка Battat Крокодил Клац-Клаус (BX1674Z),,723,1,https://comfy.ua/katalka-battat-krokodil-klac-klaus-bx1674z.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
752438291,6873264,MATCHSTICK MONKEY,Прорезыватель MATCHSTICK MONKEY Bio Cote Обезьянка Green 8 см (MM-FMT-001),155,1695130,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Matchstick Monkey,matchstick-monkey,"Прорізувач Matchstick Monkey Обезьянка, зелёный 8 см Bio Cote (MM-FMT-001)",,155,1,https://comfy.ua/prorezyvatel-matchstick-monkey-obez-janka-zeljonyj-8-sm-bio-cote-mm-fmt-001.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
752438315,6611139,GOKI,Кукла Goki для пальчикового театра Дракон (SO401G-7),60,1699915,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки goki,goki,Пальчиковий театр goki Дракон (SO401G-7),,73,1,https://comfy.ua/pal-chikovyj-teatr-goki-drakon-so401g-7.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
752438318,6611136,GOKI,Кукла GOKI для пальчикового театра Вампир (SO401G-6),60,1699914,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки goki,goki,Пальчиковий театр goki Вампір (SO401G-6),,73,1,https://comfy.ua/pal-chikovyj-teatr-goki-vampir-so401g-6.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
752438324,6608608,LEGO,Конструктор LEGO City Товарный поезд (60198),7181,1700451,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Вантажний потяг (60198),,7152,1,https://comfy.ua/konstruktor-lego-city-gruzovoj-poezd-60198.html,9597,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
752438347,6439584,GOKI,Погрузчик GOKI (55901),1319,1700580,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника goki,goki,Базовий ігровий транспорт для малюка goki Автонавантажувач Натуральний (55901),,1319,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-goki-avtopogruzchik-natural-nyj-55901.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
752438355,,,,,1695129,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Matchstick Monkey,matchstick-monkey,"Прорізувач Matchstick Monkey Лев, желтый 8 см Bio Cote (MM-FLT-001)",,189,1,https://comfy.ua/prorezyvatel-matchstick-monkey-lev-zheltyj-8-sm-bio-cote-mm-flt-001.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
752438364,6439587,GOKI,Мусоровоз GOKI зеленый (55964G),640,1700586,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника goki,goki,Базовий ігровий транспорт для малюка goki Сміттєвоз Зелений (55964G),,625,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-goki-musorovoz-zelenyj-55964g.html,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
752438379,6873263,MATCHSTICK MONKEY,Прорезыватель MATCHSTICK MONKEY Bio Cote Жираф Brown 8 см (MM-FGT-001),179,1695128,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Matchstick Monkey,matchstick-monkey,Прорізувач Matchstick Monkey Жираф коричневый 8 см Bio Cote (MM-FGT-001),,189,1,https://comfy.ua/prorezyvatel-matchstick-monkey-zhiraf-korichnevyj-8-sm-bio-cote-mm-fgt-001.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
752438412,6608688,LEGO,Конструктор LEGO DUPLO Town Грузовик и гусеничный экскаватор 20 деталей(10931),799,1693524,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO DUPLO Вантажівка і гусеничний екскаватор (10931),,665,1,https://comfy.ua/konstruktor-lego-duplo-gruzovik-i-gusenichnyj-jekskavator-10931.html,927,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
752438431,6440150,SIGIKID,Мягкая игрушка SIGIKID Овечка 26 см (41465SK),1219,1700055,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Овечка 26 см (41465SK),,1485,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-ovechka-26-sm-41465sk.html,,06.11.2025 1:26,,"вул. Соборна, 42",Фастів,0
752438438,6440156,SIGIKID,Мягкая игрушка SIGIKID Собачка 26 см (38785SK),806,1700123,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Собачка Квадратна (38785SK),,979,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-sobachka-kvadratnaja-38785sk.html,,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
752438442,6440157,SIGIKID,Мягкая игрушка SIGIKID Собачка 26 см (38792SK),800,1700128,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Sigikid,sigikid,Брязкальце Sigikid Собачка (38792SK),,975,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-sobachka-38792sk.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
752438447,6376001,SIGIKID,Мягкая игрушка SIGIKID 38790SK,1233,1700126,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка тварина Sigikid Собачка (38790SK),,975,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-sobachka-38790sk.html,1499,06.11.2025 1:45,,"вул. Соборна, 42",Фастів,0
