993778870,6681330,bic,__bic_flex_4_comfort_3__3086123220614,249,1753952,___________________bic,bic,___bic_flex_4_comfort_3__3086123220614,column,255,1,httpscomfyuastanokmuzhskojodnorazovyjbicflex4comfort3sht3086123220614html,column,05112025_1839,column,__42,Фастів,0
993781356,,,,,1844840,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Natural House",natural-house,Корзина для зберігання Natural House Graphics 29х10/16 см (FB-56),,335,1,https://comfy.ua/korzina-dlja-hranenija-natural-house-graphics-29h10-16-sm-fb-56.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
993781405,6870346,EVELINE,Гиалуроновый гель для умывания Eveline Facemed+ 3 в 1 150 мл (5901761954951),161,1833631,Красота и здоровье >> Уходовая косметика для лица >> Средства для умывания >> Средства для умывания EVELINE,eveline,Гель для вмивання EVELINE Гиалуроновий 150 мл FACEMED + (5901761954951),,159,1,https://comfy.ua/gel-dlja-umyvanija-eveline-gialuronovyj-150-ml-facemed-5901761954951.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
993781409,6870428,EVELINE,Пенка для умывания  EVELINE Rich Coconut 150 мл (5903416026877),214,1833684,Красота и здоровье >> Уходовая косметика для лица >> Средства для умывания >> Средства для умывания EVELINE,eveline,Гель для вмивання EVELINE 3в1 RICH COCONUT 150 мл (5903416026877),,209,1,https://comfy.ua/gel-dlja-umyvanija-eveline-3v1-rich-coconut-150-ml-5903416026877.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
993781556,,,,,1835928,"Красота и здоровье >> Косметика для волос >> Бальзамы, маски и сыворотки >> Бальзамы, маски и сыворотки Schwarzkopf",schwarzkopf,Мус для укладки волосся Schwarzkopf Prof. SILHOUETTE 200 мл (4045787299816),,559,1,https://comfy.ua/muss-dlja-ukladki-volos-schwarzkopf-prof-silhouette-200-ml-4045787299816.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
993781598,,,,,1846118,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",handy-home,Короб для зберігання Handy Home 30х30х20 см (FB-22),,405,1,https://comfy.ua/korob-dlja-hranenija-handy-home-30h30h20-sm-fb-22.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
993781618,,,,,1844848,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",natural-house,Корзина для зберігання Natural House 25х25х23 см (TT-02),,539,1,https://comfy.ua/korzina-dlja-hranenija-natural-house-25h25h23-sm-tt-02.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
993781623,,,,,1844820,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Handy Home",handy-home,Корзина для зберігання Handy Home Fly 32х32х37 см (NEW-05),,609,1,https://comfy.ua/korzina-dlja-hranenija-handy-home-fly-32h32h37-sm-new-05.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
993781635,,,,,1844827,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Handy Home",handy-home,Корзина для зберігання Handy Home 46х36х37 см (TG-01),,775,1,https://comfy.ua/korzina-dlja-hranenija-handy-home-46h36h37-sm-tg-01.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
993781665,6634558,LIMITED EDITION,Сервиз LIMITED EDITION HAPPY FOX 2 пр (YF6012),163,1836816,Посуда >> Для сервировки >> Столовые сервизы >> Столовые сервизы Limited Edition,limited-edition,Набір дитячий Limited Edition Happy Fox (YF6012),,163,1,https://comfy.ua/nabor-detskij-limited-edition-happy-fox-yf6012.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
993781744,7009936,RIEDEL,"Декантер RIEDEL Ukraine limited edition 1,21 л Winewings (2009/05UKR)",12803,1836810,Посуда >> Для сервировки >> Декантеры >> Декантеры Riedel,riedel,Декантер Riedel Ukraine 1.21 л 2009/05UKR,,15499,1,https://comfy.ua/dekanter-riedel-ukraine-1-21-l-2009-05ukr.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
993781879,6834934,KELA,Миска KELA Pina 5.5 л 30 см (11974),979,1844686,Посуда >> Кухонные аксессуары >> Миски >> Миски Kela,kela,"Миска Kela Pina 5,5 л (11974)",,979,1,https://comfy.ua/miska-kela-pina-5-5-l-11974.html,1499,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
993781886,6987355,BRABANTIA,Набор для выпечки BRABANTIA Tasty+ 4 пр Green (123207),1950,1835432,Посуда >> Кухонные аксессуары >> Миски >> Миски Brabantia,brabantia,"""Миска",,,,,,,,,,
"Brabantia +кухонне приладдя 4 пр. 123207""",,2599,1,https://comfy.ua/miska-brabantia-kuhonnye-prinadlezhnosti-4-pr-123207.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0,,,,,,,,
993782150,6634557,LIMITED EDITION,Набор посуды LIMITED EDITION HAPPY DOG 2 пр (YF6011),163,1836815,Посуда >> Для сервировки >> Столовые сервизы >> Столовые сервизы Limited Edition,limited-edition,Набір дитячий Limited Edition Happy Dog (YF6011),,163,1,https://comfy.ua/nabor-detskij-limited-edition-happy-dog-yf6011.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
993782151,6634560,LIMITED EDITION,Набор детской посуды Limited Edition Happy Owl 2 пр (YF6014),163,1836818,Посуда >> Для сервировки >> Столовые сервизы >> Столовые сервизы Limited Edition,limited-edition,Набір дитячий Limited Edition Happy Owl (YF6014),,163,1,https://comfy.ua/nabor-detskij-limited-edition-happy-owl-yf6014.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
993782260,,,,,1836873,Красота и здоровье >> Уход за полостью рта,lg,Зубна паста LG Perioe 46 см Pumping Cool mint 285 г (8801051065589),,449,1,https://comfy.ua/zubnaja-pasta-lg-perioe-46-sm-pumping-cool-mint-285-g-8801051065589.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
993782425,,,,,1834599,Посуда >> Кухонные аксессуары,tescoma,Підставка для кухонного приладдя tescoma 900854 Online,,559,1,https://comfy.ua/podstavka-dlja-kuhonnyh-prinadlezhnostej-tescoma-900854-online.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
993782426,6518990,JOSEPH JOSEPH,Ящик под полку JOSEPH JOSEPH CupboardStore (85148),1599,1719600,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Joseph Joseph,joseph-joseph,Органайзер для кухні Joseph Joseph 85148,,1355,1,https://comfy.ua/organajzer-dlja-kuhni-joseph-joseph-85148.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
993782448,6634545,LIMITED EDITION,Кружка LIMITED EDITION TERRA 400 мл (YF6001-4),59,1835264,Посуда >> Для напитков >> Чашки >> Чашки Limited Edition,limited-edition,Чашка Limited Edition Terra 400 мл Mocha (YF6001-4),,64,1,https://comfy.ua/chashka-limited-edition-terra-400-ml-mocha-yf6001-4.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
993782453,6634549,LIMITED EDITION,Кружка LIMITED EDITION TERRA 400 мл (YF6002-4),57,1835265,Посуда >> Для напитков >> Чашки >> Чашки Limited Edition,limited-edition,Чашка Limited Edition Terra 400 мл Blue (YF6002-4),,55,1,https://comfy.ua/chashka-limited-edition-terra-400-ml-blue-yf6002-4.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
993782514,,,,,1840707,Бытовая химия >> Средства для стирки >> Ополаскиватели для белья >> Ополаскиватели для белья Sodasan,sodasan,Ополіскувач для білизни Sodasan Fabric Softener Лаванда 0.75 л (4019886016131),,303,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-sodasan-fabric-softener-lavanda-0-75-l-4019886016131.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
993782923,,,,,1687683,Посуда >> Для сервировки,wmf,Ємність для фруктів WMF 0665086030 LOUNGE LIVING 19 см,,4999,1,https://comfy.ua/emkost-dlja-fruktov-wmf-665086030-lounge-living-19-sm-26-sm.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
993782954,,,,,1842256,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки O’key,okey,Пральний порошок O'key Universal 400 г (4820049380903),,29,1,https://comfy.ua/stiral-nyj-poroshok-o-key-universal-400-g-4820049380903.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
993782961,6800642,O'KEY,Пятновыводитель O'KEY 200 г (4820049381351),29,1842255,Бытовая химия >> Средства для стирки >> Средства для отбеливания и удаления пятен >> Средства для отбеливания и удаления пятен O’key,okey,Засіб для видалення плям O'key з ензимами 200 г (4820049381351),,26,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-o-key-s-jenzimami-200-g-4820049381351.html,35,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
993782997,,,,,1831570,Красота и здоровье >> Косметика для волос,headshoulders,Шампунь чоловічий Head&Shoulders проти лупи Ментол 400мл,,199,1,https://comfy.ua/shampun-muzhskoj-head-shoulders-protiv-perhoti-mentol-400ml.html,249,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
993782998,,,,,1831582,Красота и здоровье >> Косметика для волос,headshoulders,Шампунь чоловічий Head&Shoulders проти лупи Глибоке зволоження 400мл,,249,1,https://comfy.ua/shampun-muzhskoj-head-shoulders-protiv-perhoti-glubokoe-uvlazhnenie-400ml.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
993783032,7088279,JOSEPH JOSEPH,Органайзер JOSEPH JOSEPH CupboardStore Grey (85197),1835,1818441,Бытовая химия >> Для кухни и мытья посуды >> Аксессуары для сушки и мытья посуды >> Аксессуары для сушки и мытья посуды Joseph Joseph,joseph-joseph,Органайзер для миючих засобів Joseph Joseph 85197,,1555,1,https://comfy.ua/organajzer-dlja-mojuschih-sredstv-joseph-joseph-85197.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
993783427,7018523,CAREFREE,Ежедневные прокладки Carefree Plus Large Fresh 36 шт (3574661487656),152,1836915,Красота и здоровье >> Личная гигиена >> Женская гигиена >> Женская гигиена Carefree,carefree,Прокладки гігієнічні Carefree Plus Large Fresh 36 шт. (3574661604770),,179,1,https://comfy.ua/prokladki-gigienicheskie-carefree-plus-large-fresh-36-sht-3574661604770.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
993783427,7190631,CAREFREE,Ежедневные гигиенические прокладки CAREFREE Plus Large 36шт (3574661604787/3574661487540),159,1836915,Красота и здоровье >> Личная гигиена >> Женская гигиена >> Женская гигиена Carefree,carefree,Прокладки гігієнічні Carefree Plus Large Fresh 36 шт. (3574661604770),,179,1,https://comfy.ua/prokladki-gigienicheskie-carefree-plus-large-fresh-36-sht-3574661604770.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
993784148,6514036,MAGIO,Весы для багажа MAGIO MG-145,185,1840859,Техника для кухни >> Крупная техника,magio,Плита електрична настільна Magio MG-145,,1099,1,https://comfy.ua/vesy-bytovye-magio-mg-145.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
993784275,,,,,1831579,Красота и здоровье >> Косметика для тела,old-spice,Дезодорант аерозольний Old Spice Whitewater 150мл,,141,1,https://comfy.ua/dezodorant-ajerozol-nyj-old-spice-whitewater-150ml.html,149,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
