1434256666,6816087,tramontina,___tramontina_nygma_203__23682108,920,2225109,_____________tramontina,tramontina,___tramontina_nygma_203__23682108,column,920,1,httpscomfyuanozhdljahlebatramontinanygma203mm23682108html,column,05112025_1942,column,__42,Фастів,0
1434385873,6836101,SAMSUNG,"""Монитор SAMSUNG 27"""" LS27BG400EIXCI""",9699,2227716,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Samsung",samsung,Монітор ігровий Samsung Odyssey G4 (LS27BG400EIXCI/UA),,9699,1,https://comfy.ua/monitor-igrovoj-samsung-odyssey-g4-ls27bg400eixci.html,10399,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1434385918,6812175,SENCOR,Пылесос SENCOR SVC7814VT,3370,1944767,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Sencor,sencor,Пилосос ручний для дому Sencor SVC7814VT,,3999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-sencor-svc7814vt.html,4399,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1434386114,,,,,2225022,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Electrolux,electrolux,Пилосос ручний для дому Electrolux EP81U25ULT,,20499,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-electrolux-ep81u25ult.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1434416043,6819586,NINJA,Гриль NINJA Foodi Max Pro AG651EU,21999,2227349,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Ninja,ninja,Гриль-барбекю електричний Ninja Foodi Max (AG651EU),,18999,1,https://comfy.ua/gril-barbekju-jelektricheskij-ninja-foodi-max-ag651eu.html,28999,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1434416078,6987374,BRABANTIA,Набор чехлов для одежды BRABANTIA M 2 шт (148927),699,2218274,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Brabantia",brabantia,Чохол для одягу Brabantia M 2 шт. 148927,,699,1,https://comfy.ua/chehol-dlja-odezhdy-brabantia-m-2-sht-148927.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1434416079,6987375,BRABANTIA,"Набор чехлов для одежды BRABANTIA L, 2 шт (148941)",560,2218275,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Brabantia",brabantia,Чохол для одягу Brabantia L 2 шт. 148941,,799,1,https://comfy.ua/chehol-dlja-odezhdy-brabantia-l-2-sht-148941.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1434417397,7073400,XEROX,МФУ лазерное XEROX B235 Wi-Fi (B235V_DNI),16399,2223716,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Xerox",xerox,БФП ч/б друку Xerox B235 Wi-Fi (B235V_DNI),,16399,1,https://comfy.ua/mfu-ch-b-pechati-xerox-b235-wi-fi-b235v-dni.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1434417398,6898943,XEROX,МФУ лазерное XEROX B305 Wi-Fi (B305V_DNI),19235,2223717,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Xerox",xerox,БФП ч/б друку Xerox B305 Wi-Fi (B305V_DNI),,19235,1,https://comfy.ua/mfu-ch-b-pechati-xerox-b305-wi-fi-b305v-dni.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1434437920,6884398,VILGRAND,Мультиварка VILGRAND VMC 1255,2079,2200456,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки ViLgrand,vilgrand,Мультиварка ViLgrand VMC1255,,2079,1,https://comfy.ua/mul-tivarka-vilgrand-vmc1255.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1434614233,6820003,JURA,Кофемашина JURA ENA 8 Full Metropolitan Black EC,50566,2217015,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Jura,jura,Кавомашина Jura ENA 8 Full Metropolitan Black EC,,59489,1,https://comfy.ua/kofemashina-jura-ena-8-full-metropolitan-black-ec.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1434614234,6820004,JURA,Кофемашина JURA ENA 8 Full Nordic White EC,50566,2217014,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Jura,jura,Кавомашина Jura ENA 8 Full Nordic White EC,,59489,1,https://comfy.ua/kofemashina-jura-ena-8-full-nordic-white-ec.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1434614484,,,,,2217017,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Jura,jura,Кавомашина Jura ENA 4 Full Metropolitan Black EB,,41389,1,https://comfy.ua/kofemashina-jura-ena-4-full-metropolitan-black-eb.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1434622478,6834608,PHILIPS,Блендер PHILIPS HR3760/00,6799,2221128,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Philips,philips,Блендер стаціонарний Philips HR3760/00,,6799,1,https://comfy.ua/blender-stacionarnyj-philips-hr3760-00.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1434624761,,,,,2223714,Игровые консоли и гейминг >> Аксессуары для игровых консолей,speedlink,Зарядна станція для геймпада Speedlink Jazz USB Charger for Sony PS5 White (SL-460001-WE),,449,1,https://comfy.ua/zarjadnaja-stancija-dlja-gejmpada-speedlink-jazz-usb-charger-for-sony-ps5-white-sl-460001-we.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1434638829,6822853,LG,Стиральная машина LG F2V3GS6WW,23999,2225013,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Пральна машина LG F2V3GS6WW,,23999,1,https://comfy.ua/stiral-naja-mashina-lg-f2v3gs6ww.html,25199,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1434638830,6822845,LG,Стиральная машина LG F4V3VS7WW,24999,2225017,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Пральна машина LG F4V3VS7WW,,24999,1,https://comfy.ua/stiral-naja-mashina-lg-f4v3vs7ww.html,25499,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1434638831,6822843,LG,Стиральная машина LG F4V3RS6WW,26999,2225016,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Пральна машина LG F4V3RS6WW,,26999,1,https://comfy.ua/stiral-naja-mashina-lg-f4v3rs6ww.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1434638832,6822841,LG,Стиральная машина LG F4V5RS0WW,28999,2225018,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Пральна машина LG F4V5RS0WW,,28999,1,https://comfy.ua/stiral-naja-mashina-lg-f4v5rs0ww.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1434638843,,,,,2227809,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Автомобільний зарядний пристрій SkyDolphin SZ02V Aluminium 2USB, 2.4A Black+кабель microUSB (AZP-000073)",,279,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-skydolphin-sz02v-aluminium-2usb-2-4a-black-kabel-microusb-azp-000073.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1434638930,6626110,GRUNHELM,Садовый измельчитель GRUNHELM ES-28B (101546),8084,2218474,Инструменты и автотовары >> Садовые инструменты >> Измельчители ветвей >> Измельчители ветвей Grunhelm,grunhelm,Подрiбнювач садовий Grunhelm ES-28B,,9149,1,https://comfy.ua/izmel-chitel-sadovyj-grunhelm-es-28b.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1434694323,,,,,2227810,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Мережевий зарядний пристрій SkyDolphin SC18EL PD2.0 1USB-С, 3A White+кабель Lightning (MZP-000156)",,499,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-skydolphin-sc18el-pd2-0-1usb-s-3a-white-kabel-lightning-mzp-000156.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1434713773,6824591,REMINGTON,Фен-щетка Remington AS5901 E51 Coconut Smooth (45735560100),1729,2227726,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Remington,remington,Фен-щітка Remington AS5901 E51 Coconut Smooth Airstyler,,1729,1,https://comfy.ua/fen-schetka-remington-as5901-e51-coconut-smooth-airstyler.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1434720432,7125387,SVC,ИБП SVC RT-1KS RM 1000ВА/1000Вт,9023,2218449,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания SVC",svc,Джерело безперебійного живлення SVC RT-1KS,,9279,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-svc-rt-1ks.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1434720433,7125389,SVC,ИБП SVC RT-2KS RM 2000ВА/2000Вт,13220,2218451,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания SVC",svc,Джерело безперебійного живлення SVC RT-2KS,,13565,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-svc-rt-2ks.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1434725703,6832574,SAMSUNG,Чехол SAMSUNG для The Freestyle Green (VG-SCLB00NR/RU),999,2222621,Телевизоры и мультимедиа >> Проекторы и экраны >> Аксессуари для проекторов >> Аксессуари для проекторов Samsung,samsung,Чохол для проектора Samsung VG-SCLB00NR/RU,,999,1,https://comfy.ua/chehol-dlja-proektora-samsung-vg-sclb00nr-ru.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1434725704,6832575,SAMSUNG,Чехол SAMSUNG для The Freestyle Beige (VG-SCLB00YR/RU),999,2222622,Телевизоры и мультимедиа >> Проекторы и экраны >> Аксессуари для проекторов >> Аксессуари для проекторов Samsung,samsung,Чохол для проектора Samsung VG-SCLB00YR/RU,,999,1,https://comfy.ua/chehol-dlja-proektora-samsung-vg-sclb00yr-ru.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1434725705,6832573,SAMSUNG,Чехол SAMSUNG для The Freestyle Pink (VG-SCLB00PR/RU),899,2222620,Телевизоры и мультимедиа >> Проекторы и экраны >> Аксессуари для проекторов >> Аксессуари для проекторов Samsung,samsung,Чохол для проектора Samsung VG-SCLB00PR/RU,,899,1,https://comfy.ua/chehol-dlja-proektora-samsung-vg-sclb00pr-ru.html,999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1434725705,6883404,SAMSUNG,Чехол SAMSUNG The Freestyle Pink (VG-SCLB00PR/RU),1022,2222620,Телевизоры и мультимедиа >> Проекторы и экраны >> Аксессуари для проекторов >> Аксессуари для проекторов Samsung,samsung,Чохол для проектора Samsung VG-SCLB00PR/RU,,899,1,https://comfy.ua/chehol-dlja-proektora-samsung-vg-sclb00pr-ru.html,999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1437277005,,,,,2227811,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Мережевий зарядний пристрій SkyDolphin SC22E 1USB, 2.1A White (MZP-000157)",,199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-skydolphin-sc22e-1usb-2-1a-white-mzp-000157.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1437279899,,,,,2228815,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Мережевий зарядний пристрій SkyDolphin SC31 1USB, 3.5A Black (MZP-000184)",,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-skydolphin-sc31-1usb-3-5a-black-mzp-000184.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1437282464,6943722,SKYDOLPHIN,Гарнитура SKYDOLPHIN SR25 Metal Silver (HF-000464),279,2228821,"Аудио, фото и видео >> Наушники >> Наушники SkyDolphin",skydolphin,Навушники вкладиші дротові SkyDolphin SR25 Metal Silver (HF-000464),,279,1,https://comfy.ua/naushniki-vkladyshi-provodnye-skydolphin-sr25-metal-silver-hf-000464.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1437305432,,,,,.2148221,Красота и здоровье >> Уход за волосами,enchen,Машинка для стрижки волосся Enchen Boost White,,439,1,https://comfy.ua/trimmer-universal-nyj-enchen-boost-white.html,799,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1437363367,6824599,REMINGTON,Машинка для стрижки REMINGTON HC5020 E51 Apprentice Hair Clipper,1099,2227730,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Remington,remington,Машинка для стрижки волосся Remington HC5020 E51 Apprentice Hair Clipper,,1099,1,https://comfy.ua/mashinka-dlja-strizhki-volos-remington-hc5020-e51-apprentice-hair-clipper.html,1239,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1437363370,6824600,REMINGTON,Машинка для стрижки REMINGTON HC500 E51 Easy Fade Hair Clipper (43310560100),2699,2227731,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Remington,remington,Машинка для стрижки волосся Remington HC500 E51 Easy Fade Hair Clipper,,2699,1,https://comfy.ua/mashinka-dlja-strizhki-volos-remington-hc500-e51-easy-fade-hair-clipper.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1437363371,6824596,REMINGTON,Триммер REMINGTON PG6000 E51 G6 Graphite Ser. Pers.Groomer (43259560100),2499,2227728,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Remington,remington,Машинка для стрижки волосся Remington PG6000 E51 G6 Graphite Ser. Pers.Groomer,,2499,1,https://comfy.ua/mashinka-dlja-strizhki-volos-remington-pg6000-e51-g6-graphite-ser-pers-groomer.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1437363479,,,,,2217032,Техника для кухни >> Мелкая техника,picola,Електричний чайник Picola PEK-04,,649,1,https://comfy.ua/jelektricheskij-chajnik-picola-pek-04.html,849,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,1
1437363793,6825958,REMINGTON,Электробритва Remington R3600 R4 E51 R4 Style Series Rotary Shav (41222560100),1999,2227732,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Remington,remington,Бритва Remington R3600 R4 E51 R4 Style Series Rotary Shav,,1999,1,https://comfy.ua/britva-remington-r3600-r4-e51-r4-style-series-rotary-shav.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1437363799,6825959,REMINGTON,Электробритва Remington PR1855 Virtually Indestructible Rotary Shav (41223560100),2499,2227733,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Remington,remington,Бритва Remington PR1855 E51 Virtually Indest. Rotary Shav,,2799,1,https://comfy.ua/britva-remington-pr1855-e51-virtually-indest-rotary-shav.html,3239,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1437364328,6809166,AENO,Электрочайник AENO EK7S,2499,2228848,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические AENO,aeno,Електричний чайник AENO EK7S (AEK0007S),,2499,1,https://comfy.ua/jelektricheskij-chajnik-aeno-ek7s-aek0007s.html,3619,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1437375409,,,,,.2227770,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",sandberg,Веб-камера для комп'ютера Sandberg Motion Tracking Webcam 1080P+Tripod (134-27),,849,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-sandberg-motion-tracking-webcam-1080p-tripod-134-27.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
