752439923,6611413,janod,__janod___j02691,413,1592493,______________janod,janod,__34__janod___j02691,column,549,1,httpscomfyuanastolnajaigrajanodlotoovoschij02691html,column,06112025_145,column,__42,Фастів,0
752521610,6613924,SILVERLIT,Игрушечное оружие SILVERLIT Lazer M.A.D. Ручная граната G-бластер (LM-86864),347,1702722,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Silverlit,silverlit,Лазерна граната Silverlit Lazer M.A.D. G-бластер (LM-86864),,355,1,https://comfy.ua/lazernaja-granata-silverlit-lazer-m-a-d-g-blaster-lm-86864.html,,06.11.2025 0:36,,"вул. Соборна, 42",Фастів,0
752521618,,,,,.1702700,Детские товары >> Игрушки,jazwares,Мішень для бластерів Jazwares Nerf Elite Hovering Target (11510N),,1469,1,https://comfy.ua/mishen-dlja-blasterov-jazwares-nerf-elite-hovering-target-11510n.html,2099,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
752521645,,,,,1698230,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Screechers Wild!,screechers-wild,Машинка-трансформер Screechers Wild! S2 L3 - Хантер (EU684501),,1296,1,https://comfy.ua/mashinka-transformer-screechers-wild-s2-l3-hanter-eu684501.html,,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0
752521662,,,,,1697542,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Bburago,bburago,"Ігровий набір Bburago Гараж (2 рівня, 1 машинка 1:43) (18-30039)",,1757,1,https://comfy.ua/igrovoj-nabor-bburago-garazh-2-urovnja-1-mashinka-1-43-18-30039.html,,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0
752521675,,,,,1700867,Детские товары >> Игрушки для малышей,macik,"""Брязкальце Macik Обнимашка"""" Зайка Сплюша"""" (МС 150401-02)""",,200,1,https://comfy.ua/pogremushka-macik-obnimashka-zajka-spljusha-ms-150401-02.html,255,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
752521708,,,,,1697200,Детские товары >> Игрушки,tigres,Автотранспорт Tigres Авто-мерс з причепом (39003),,219,1,https://comfy.ua/avtotransport-tigres-avto-mers-s-pricepom-39003.html,,06.11.2025 1:34,,"вул. Соборна, 42",Фастів,0
752521722,,,,,1697196,Детские товары >> Игрушки,tigres,Автотранспорт Tigres Авто-купе з причепом (39002),,119,1,https://comfy.ua/avtotransport-tigres-avto-kupe-s-pricepom-39002.html,,06.11.2025 1:35,,"вул. Соборна, 42",Фастів,0
752521738,,,,,1708354,Детские товары >> Игрушки,ravensburger,"""Настільна гра (3-4 роки) Ravensburger """"Веселий восьминіг""""(21105)""",,885,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-3-4-goda-ravensburger-veselyj-os-minog-21105.html,,06.11.2025 1:33,,"вул. Соборна, 42",Фастів,0
752521745,,,,,1702719,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Silverlit,silverlit,Мішень для бластерів Silverlit Lazer M.A.D. 2 шт. (LM-86851/PG-86851),,299,1,https://comfy.ua/mishen-dlja-blasterov-silverlit-lazer-m-a-d-2-sht-lm-86851.html,,06.11.2025 0:38,,"вул. Соборна, 42",Фастів,0
752521755,,,,,1704718,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GT642AB,,12699,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gt642ab.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
752521769,6613831,NIC,Конструктор NIC cubio элемент шариковой дороги (перевес) (NIC2183),527,1704374,Детские товары >> Игрушки >> Конструкторы >> Конструкторы nic,nic,Дерев'яний конструктор для малюків nic Елемент Шарикової Дороги Противага (NIC2183),,699,1,https://comfy.ua/derevjannyj-konstruktor-dlja-malyshej-nic-jelement-sharikovoj-dorogi-protivoves-nic2183.html,,06.11.2025 0:07,,"вул. Соборна, 42",Фастів,0
752521779,7071314,INFANTINO,Мобиль INFANTINO 3 в 1 Grey (004915I),2415,1708543,Детские товары >> Игрушки для малышей >> Мобили >> Мобили Infantino,infantino,Мобіль музичний Infantino 3 в 1 Сірий (004915I),,2428,1,https://comfy.ua/mobil-muzykal-nyj-infantino-3-v-1-seryj-004915i.html,2899,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
752521788,,,,,.1708073,Детские товары >> Игрушки,xoko,Настільна гра (до 2 років) XOKO EVA Englisg + цифри (37 од + мішечок для сушки + мішок зберігання) (XK-EVA-08),,89,1,https://comfy.ua/nabor-igrovyh-figurok-xoko-eva-englisg-cifri-37-od-meshochek-dlja-sushki-meshok-hranenija-xk-eva-08.html,,06.11.2025 1:01,,"вул. Соборна, 42",Фастів,0
752521792,6457421,SEQUIN ART,Набор для творчества SEQUIN ART RED Pepino Penguins SA1503,400,1704267,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Пінгвіни Пепіно Red (SA1503),,399,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-pingviny-pepino-red-sa1503.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752521797,6457425,SEQUIN ART,"Набор для творчества SEQUIN ART SEASONS Cosmic ,Sun,Moon and Stars SA1511",427,1704272,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,"Набір для творчості з паєток Sequin Art Seasons Космос, Сонце, Місяць і Зірки (SA1511)",,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-seasons-kosmos-solnce-luna-i-zvezdy-sa1511.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752521798,6457362,SEQUIN ART,Набор для творчества SEQUIN ART ORANGE Street Feet SA1514,427,1704273,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Вуличний Стиль Orange (SA1514),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-ulichnyj-stil-orange-sa1514.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752521799,6457361,SEQUIN ART,Набор для творчества SEQUIN ART ORANGE Jukebox SA1515,427,1704274,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Музичний Автомат Orange (SA1515),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-muzykal-nyj-avtomat-orange-sa1515.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752521801,,,,,1704284,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art 3D Свинка (SA1704),,185,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-3d-svinka-sa1704.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752521807,6457343,SEQUIN ART,Набор для творчества SEQUIN ART BUTTON Butterfly SA1528,294,1704278,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для виготовлення аплікацій Sequin Art Button Метелик (SA1528),,395,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-button-babochka-sa1528.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
752521809,6457331,SEQUIN ART,Набор для творчества SEQUIN ART BLUE Horse SA1517,576,1704276,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Алмазний живопис Sequin Art Кінь Blue (SA1517),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-kon-blue-sa1517.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
752521811,6613914,SEQUIN ART,Набор для творчества SEQUIN ART SMOOGLES Осьминог (SA1813),320,1704335,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Smoogles Восьминіг (SA1813),,319,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-smoogles-os-minog-sa1813.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752521815,6457431,SEQUIN ART,Набор для творчества SEQUIN ART STARDUST Mermaid (SA1013),400,1704331,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Stardust Русалка (SA1013),,539,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-stardust-rusalka-sa1013.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
752521817,6457429,SEQUIN ART,Набор для творчества SEQUIN ART STARDUST Fairy Princess (SA1011),400,1704329,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Stardust Казкові Принцеси (SA1011),,539,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-stardust-skazochnye-princessy-sa1011.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
752521820,,,,,1704326,"Дом, отдых и зоотовары >> Декор для дома",sequin-art,Алмазний живопис Sequin Art Папуги Неразлучники Blue (SA1002),,575,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-popugai-nerazluchniki-blue-sa1002.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
752731771,,,,,1704759,Детские товары >> Игрушки,xoko,Настільна гра (до 2 років) XOKO EVA Алфавіт укр + рос (34 од + мішечок для сушки + мішок зберігання) (XK-EVA-02),,89,1,https://comfy.ua/nabor-igrovyh-figurok-xoko-eva-alfavit-ukr-rus-34-ed-meshochek-dlja-sushki-meshok-hranenija-xk-eva-02.html,,05.11.2025 23:58,,"вул. Соборна, 42",Фастів,0
752731799,,,,,1696803,Детские товары >> Игрушки,klein,Базова машинка Klein Hot Wheels Екскаватор (2445),,395,1,https://comfy.ua/bazovaja-mashinka-klein-hot-wheels-jekskavator-2445.html,,06.11.2025 0:24,,"вул. Соборна, 42",Фастів,0
