1095047924,6855056,lil_woodzeez,__lil_woodzeez__wz6608z,1054,1942772,______________lil_woodzeez,lilwoodzeez,___lil_woodzeez__wz6608z,column,699,1,httpscomfyuakollekcionnyefigurkililwoodzeezteatrwz6608zhtml,1899,06112025_113,column,__42,Фастів,0
1095349505,,,,,.1883976,Посуда >> Для приготовления,pepper,Сковорода ВОК Pepper Emerald 28x8.0 cм Titanium Pro (PR-2108-28),,1319,1,https://comfy.ua/skovoroda-vok-pepper-emerald-28x8-0-cm-titanium-pro-pr-2108-28.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1095349506,6911161,PEPPER,Сковорода-гриль PEPPER Cherry Lava-Stone 28x28 см Burgundy (PR-2110-28),820,1884009,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода гриль Pepper Cherry Lava-Stone 28x28 cм (PR-2110-28),,820,1,https://comfy.ua/skovoroda-gril-pepper-cherry-lava-stone-28x28-cm-pr-2110-28.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1095349507,,,,,1883977,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода ВОК Pepper Emerald 30x9.0 cм Titanium Pro (PR-2108-30),,1411,1,https://comfy.ua/skovoroda-vok-pepper-emerald-30x9-0-cm-titanium-pro-pr-2108-30.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1095366550,,,,,1805859,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автосабвуфер Alpine PWE-S8,,10749,1,https://comfy.ua/avtosabvufer-alpine-pwe-s8.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1095370224,,,,,1805849,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика FOCAL,focal,Автосабвуфер FOCAL SUB 30 A4,,4199,1,https://comfy.ua/avtosabvufer-focal-sub-30-a4.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1095370284,6725506,ALPINE,Автомобильный сабвуфер Alpine SBG-1224BP,7019,1805805,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автосабвуфер Alpine SBG-1224BP,,7019,1,https://comfy.ua/avtosabvufer-alpine-sbg-1224bp.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1095370309,,,,,1805830,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автосабвуфер Alpine Amplified Subwoofer Box (SWD-355),,13975,1,https://comfy.ua/avtosabvufer-alpine-amplified-subwoofer-box-swd-355.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1095374864,,,,,1805807,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автосабвуфер Alpine SWT-12S4,,4699,1,https://comfy.ua/avtosabvufer-alpine-swt-12s4.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1095376429,,,,,1941918,Посуда >> Для напитков,tavialo,Термочашка Tavialo 460 мл (190460109),,335,1,https://comfy.ua/termokruzhka-tavialo-460-ml-190460109.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1095425673,6769799,RESTO,Ковш RESTO Libra 1.4 л (92001),499,1879629,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники RESTO,resto,Ківш RESTO Libra 1.4 л (92001),,499,1,https://comfy.ua/kovsh-resto-libra-1-4-l-92001.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1095435950,,,,,.1941966,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim USB 2.0 32 GB Slider (49327),,345,1,https://comfy.ua/flesh-usb-verbatim-usb-2-0-32-gb-slider-49327.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1095435951,,,,,.1941964,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,Флеш USB Verbatim STORE'N'CLICK USB 3.2  32 GB (49308),,475,1,https://comfy.ua/flesh-usb-verbatim-store-n-click-usb-3-2-32-gb-49308.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1095469270,6799368,TP-LINK,Маршрутизатор TP-LINK Archer AX53,2399,1940181,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi6 TP-Link Archer AX53,,2399,1,https://comfy.ua/marshrutizator-internet-wifi6-tp-link-archer-ax53.html,2599,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1095469781,6771725,TVS,"Ковш TVS Mineralia Eco Induction 1,3 л Grey (BS479162910201)",1129,1890945,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники TVS,tvs,Ківш TVS Mineralia Eco Induction 16 см 1.3 л (BS479162910201),,1129,1,https://comfy.ua/kovsh-tvs-mineralia-eco-induction-16-sm-1-3-l-bs479162910201.html,2049,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1095515866,,,,,1941474,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель USB type A - USB type B Digitus USB 2.0 AF to mini-B 5P OTG 0.2 m(AK-300310-002-S),,73,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-digitus-usb-2-0-af-to-mini-b-5p-otg-0-2-m-ak-300310-002-s.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1095532561,,,,,1942634,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Electrolux,electrolux,Щітка до пилососа Electrolux ZE072,,1399,1,https://comfy.ua/schetka-dlja-pylesosa-electrolux-ze072.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1095583111,,,,,.1939079,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 4V-0.8Ah (GP189A),,100,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-4v-0-8ah-gp189a.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1095583112,,,,,.1941826,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 4V-1.5Ah (GP1218),,150,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-4v-1-5ah-gp1218.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1095583637,6792793,VIMAR,Электрочайник VIMAR VK-1714 S,765,1888778,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Vimar,vimar,Електричний чайник Vimar VK-1714 S,,765,1,https://comfy.ua/jelektricheskij-chajnik-vimar-vk-1714-s.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1095583649,6768902,ELEYUS,Варочная поверхность ELEYUS DANA 30 BL CF,3499,1885116,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS DANA 30 BL CF,,3499,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-dana-30-bl-cf.html,4829,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1095583681,,,,,1942754,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi Mica PRO ECO i-Size Authentic Grey (8515510110),,19980,1,https://comfy.ua/avtokreslo-maxi-cosi-mica-pro-eco-i-size-authentic-grey-8515510110.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1095593895,6985955,BOSCH,Бур Bosch SDS-max 28х400х520мм (2.608.685.871),1333,1941945,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Bosch,bosch,Свердло Bosch SDS-Max 28х400х520 мм (2.608.685.871),,1335,1,https://comfy.ua/sverlo-bosch-sds-max-28h400h520-mm-2-608-685-871.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1095597364,,,,,.1936936,Инструменты и автотовары >> Расходные материалы,ryobi,Сумка для інструментів Ryobi RSSMTB1,,1749,1,https://comfy.ua/sumka-dlja-instrumentov-ryobi-rssmtb1.html,1899,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
1095597365,,,,,.1936937,Инструменты и автотовары >> Расходные материалы,ryobi,Сумка для інструментів Ryobi RSSLOT1,,2599,1,https://comfy.ua/sumka-dlja-instrumentov-ryobi-rsslot1.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1095602094,,,,,1941968,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,"""Зовнішній карман Verbatim SSD\HDD 2.5"""" USB 3.2 GEN 1-SuperSpeed (53106)""",,419,1,https://comfy.ua/vneshnij-karman-verbatim-ssd-hdd-2-5-usb-3-2-gen-1-superspeed-53106.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1095610734,,,,,.1932415,"Аудио, фото и видео >> Видеокамеры",tp-link,Відеореєстратор IP TP-Link VIGI NVR1016H,,4599,1,https://comfy.ua/videoregistrator-ip-tp-link-vigi-nvr1016h.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1095645282,6812144,SENCOR,Кухонная машина SENCOR STM3787CH,7645,1936933,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Sencor,sencor,Кухонна машина Sencor STM3787CH,,7645,1,https://comfy.ua/kuhonnaja-mashina-sencor-stm3787ch.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1095646603,6797546,TOLSEN,"""Набор инструментов TOLSEN Профи 1/2"""" 12 шт (15152)""",1085,1884585,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Tolsen,tolsen,"""Набір інструментів Tolsen 1/2"""" 12 пр. (15152)""",,1085,1,https://comfy.ua/nabor-instrumentov-tolsen-1-2-12-pr-15152.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1095646604,6987358,BRABANTIA,Лопатка BRABANTIA Profile 29 см (100390),999,1919803,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Brabantia,brabantia,Лопатка кухонна Brabantia 29 см 100390,,1099,1,https://comfy.ua/lopatka-kuhonnaja-brabantia-29-sm-100390.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1095768240,6811515,ARDESTO,Сковорода для блинов ARDESTO Mini Gemini Gourmet 22 см Black (AR1922GP),372,1937415,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода для млинців Ardesto Mini Gemini Gourmet 22 см (AR1922GP),,372,1,https://comfy.ua/skovoroda-dlja-blinov-ardesto-mini-gemini-gourmet-22-sm-ar1922gp.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1095768241,,,,,.1884010,Посуда >> Для приготовления,pepper,Сковорода універсальна Pepper Candy Burgundy 20x4.0 cм (PR-2111-20),,517,1,https://comfy.ua/skovoroda-universal-naja-pepper-candy-burgundy-20x4-0-cm-pr-2111-20.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1095788245,6811509,ARDESTO,Сковорода ARDESTO Gemini Trento 24 см Black (AR1924GMB),435,1937416,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini 24 см (AR1924GMB),,391,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-24-sm-ar1924gmb.html,789,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1095788247,6811510,ARDESTO,Сковорода ARDESTO Gemini Trento 26 см Black (AR1926GMB),819,1937417,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini 26 см (AR1926GMB),,695,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-26-sm-ar1926gmb.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1095841573,6811511,ARDESTO,Сковорода ARDESTO Gemini Trento 28 см Black (AR1928GMB),775,1937418,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini 28 см (AR1928GMB),,775,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-28-sm-ar1928gmb.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1095850783,6811514,ARDESTO,Сковорода Вок ARDESTO Gemini Trento 28 см Black (AR1928GMW),1059,1937414,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода ВОК Ardesto Gemini 28 см (AR1928GMW),,1059,1,https://comfy.ua/skovoroda-vok-ardesto-gemini-28-sm-ar1928gmw.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1095869180,6812298,MIDEA,Гриль MIDEA MC-JSY3921C,4699,1941864,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Midea,midea,Гриль-барбекю електричний Midea MC-JSY3921C,,4699,1,https://comfy.ua/gril-barbekju-jelektricheskij-midea-mc-jsy3921c.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
