1659194194,6967230,sndway,__sndway_swt60,1699,2836172,Инструменты и автотовары >> Электроинструменты,sndway,___sndway_swt60,column,1599,1,httpscomfyuadalnomerlazernyjsndwayswt60html,column,05112025_2111,column,__42,Фастів,0
1659212963,,,,,2889463,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки OfficePro",officepro,Підставка під ноутбук охолоджуюча OfficePro LS121G Aluminium alloys Grey,,799,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-ls121g-aluminium-alloys-grey.html,1699,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1659212964,,,,,2889464,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки OfficePro",officepro,Підставка під ноутбук охолоджуюча OfficePro LS122B Aluminium alloys Black,,899,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-ls122b-aluminium-alloys-black.html,1799,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1659212966,,,,,2860854,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки OfficePro",officepro,Підставка під ноутбук охолоджуюча OfficePro CP500B Black,,799,1,https://comfy.ua/podstavka-pod-noutbuk-officepro-cp500b-black.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1659212976,6972202,GRUNHELM,Выпрямитель GRUNHELM GHS-656R,799,2889716,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Grunhelm,grunhelm,Вирівнювач волосся Grunhelm GHS-656R,,749,1,https://comfy.ua/vyprjamitel-volos-grunhelm-ghs-656r.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1659213094,,,,,2860858,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gamepro,Підставка під ноутбук охолоджуюча GamePro CP670 Black,,1199,1,https://comfy.ua/podstavka-pod-noutbuk-gamepro-cp670-black.html,1399,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1659213096,,,,,2860860,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки GamePro",gamepro,Підставка під ноутбук охолоджуюча GamePro CP770 Black,,1199,1,https://comfy.ua/podstavka-pod-noutbuk-gamepro-cp770-black.html,1499,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1659213097,,,,,2860861,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки GamePro",gamepro,Підставка під ноутбук охолоджуюча GamePro CP890 Black,,1499,1,https://comfy.ua/podstavka-pod-noutbuk-gamepro-cp890-black.html,1699,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1659213098,,,,,2860865,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки GamePro",gamepro,Підставка під ноутбук охолоджуюча GamePro CP870 Black,,1499,1,https://comfy.ua/podstavka-pod-noutbuk-gamepro-cp870-black.html,1799,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1659213101,,,,,2860864,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки GamePro",gamepro,Підставка під ноутбук охолоджуюча GamePro CP1450 Black,,1999,1,https://comfy.ua/podstavka-pod-noutbuk-gamepro-cp1450-black.html,2399,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1659214197,,,,,2728841,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Кабель патч-корд 2E САТ 5e FTP 2m Gray (2E-PC5ECU-FTP2LSZH-GRY),,87,1,https://comfy.ua/kabel-patch-kord-2e-sat-5e-ftp-2m-gray-2e-pc5ecu-ftp2lszh-gry.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1659214530,,,,,2832305,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Веб-камера для комп'ютера A4tech PK-810P,,799,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-a4tech-pk-810p.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1659214695,,,,,.2781037,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",promate,Кабель HDMI Promate v.2.0 (prolink4k60-10m),,999,1,https://comfy.ua/kabel-hdmi-promate-v-2-0-prolink4k60-10m.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1659215983,,,,,2782174,"Аудио, фото и видео >> Акустика",vertux,Мікрофон до комп'ютера Vertux sphere.black,,699,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-vertux-sphere-black.html,1499,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1659216217,,,,,2600213,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Electrolux,electrolux,Духова шафа електрична Electrolux KOBBS39H,,40199,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-electrolux-kobbs39h.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1659222644,,,,,2841523,Техника для дома >> Климатическая техника,ryobi,Вентилятор настільний Ryobi ONE+ RF18-0 WHISPER (без АКБ та ЗП),,3199,1,https://comfy.ua/ventiljator-nastol-nyj-ryobi-one-rf18-0-whisper-bes-akb-i-zu.html,3599,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1659237138,,,,,.2851257,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Корпусний вентилятор ID-Cooling TF-12025-Pro Black,,249,1,https://comfy.ua/korpusnyj-ventiljator-id-cooling-tf-12025-pro-black.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1659238206,7031863,KARCHER,Инструмент для очистки фильтра KARCHER (2.863-321.0),919,2719883,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,"Щітка до пилососа Karcher для VC 4, VC 6, VC 7 (2.863-321.0)",,919,1,https://comfy.ua/schetka-dlja-pylesosa-karcher-dlja-vc-4-vc-6-vc-7-2-863-321-0.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1659241335,,,,,2670333,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Elleci",elleci,Кухонний змішувач Elleci ALUNA PLUS FULL BLACK 40,,8299,1,https://comfy.ua/smesitel-kuhonnyj-elleci-aluna-plus-full-black-40.html,9299,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1659241342,,,,,2712974,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Elleci",elleci,Кухонний змішувач Elleci CLOUD NERO 40,,8299,1,https://comfy.ua/smesitel-kuhonnyj-elleci-cloud-nero-40.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1659241382,,,,,2585797,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Elleci",elleci,Кухонний змішувач Elleci SHELL PLUS BIANCO 68,,5999,1,https://comfy.ua/smesitel-kuhonnyj-elleci-shell-plus-bianco-68.html,6599,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1659241383,,,,,2795137,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Elleci",elleci,Кухонний змішувач Elleci SHELL PLUS CEMENTO 48,,5999,1,https://comfy.ua/smesitel-kuhonnyj-elleci-shell-plus-cemento-48.html,6599,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1659244191,,,,,2893152,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Duna 2605 90020 White,,729,1,https://comfy.ua/jelektricheskij-chajnik-eta-duna-2605-90020-white.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1659244687,,,,,.2893143,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Holiday 6188 90010,,949,1,https://comfy.ua/jelektricheskij-chajnik-eta-holiday-6188-90010.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1659244690,,,,,.2893145,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA ELA Mini 8599 90040,,1149,1,https://comfy.ua/jelektricheskij-chajnik-eta-ela-mini-8599-90040.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1659244691,,,,,.2893144,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA ELA Mini 8599 90010,,1179,1,https://comfy.ua/jelektricheskij-chajnik-eta-ela-mini-8599-90010.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1659244710,,,,,.2893148,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Storio 9186 90030,,1429,1,https://comfy.ua/jelektricheskij-chajnik-eta-storio-9186-90030.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1659244711,,,,,.2893147,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Storio 9186 90020,,1429,1,https://comfy.ua/jelektricheskij-chajnik-eta-storio-9186-90020.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1659244712,,,,,.2893139,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Crystela Digi II 5154 90000,,1599,1,https://comfy.ua/jelektricheskij-chajnik-eta-crystela-digi-ii-5154-90000.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1659244713,,,,,.2893141,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Emma 5595 90010 White,,1599,1,https://comfy.ua/jelektricheskij-chajnik-eta-emma-5595-90010-white.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1659244714,,,,,.2893153,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Ela Digi 9598 90020,,1549,1,https://comfy.ua/jelektricheskij-chajnik-eta-ela-digi-9598-90020.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1659244715,,,,,.2893140,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Emma 5595 90000 Black,,1659,1,https://comfy.ua/jelektricheskij-chajnik-eta-emma-5595-90000-black.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1659244717,,,,,.2893146,Техника для кухни >> Мелкая техника,eta,Електричний чайник ETA Crystela Premium 9153 90000,,2295,1,https://comfy.ua/jelektricheskij-chajnik-eta-crystela-premium-9153-90000.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1659252746,,,,,.2845700,"Аудио, фото и видео >> Акустика",tronsmart,Портативна акустика Tronsmart Nimo Mini Speaker Purple,,599,1,https://comfy.ua/portativnaja-akustika-tronsmart-nimo-mini-speaker-purple.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1659252748,,,,,.2845697,"Аудио, фото и видео >> Акустика",tronsmart,Портативна акустика Tronsmart Nimo Mini Speaker Black,,599,1,https://comfy.ua/portativnaja-akustika-tronsmart-nimo-mini-speaker-black.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1659252749,,,,,.2845699,"Аудио, фото и видео >> Акустика",tronsmart,Портативна акустика Tronsmart Nimo Mini Speaker Gold,,599,1,https://comfy.ua/portativnaja-akustika-tronsmart-nimo-mini-speaker-gold.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1659252750,,,,,.2845698,"Аудио, фото и видео >> Акустика",tronsmart,Портативна акустика Tronsmart Nimo Mini Speaker Green,,599,1,https://comfy.ua/portativnaja-akustika-tronsmart-nimo-mini-speaker-green.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1659252931,,,,,.2845701,"Аудио, фото и видео >> Акустика",tronsmart,Портативна акустика Tronsmart Nimo Mini Speaker Polar Black + Nimo Mini Speaker Gold,,1099,1,https://comfy.ua/portativnaja-akustika-tronsmart-nimo-mini-speaker-polar-black-nimo-mini-speaker-gold.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1659253069,6982311,SIGMA,Смартфон SIGMA X-treme PQ56 6/128 Gb Dual Sim Black (4827798338018),7555,2892536,Смартфоны и телефоны >> Смартфоны >> Смартфоны Sigma mobile >> Серия Sigma mobile X-treme PQ56,sigma-mobile,Смартфон Sigma mobile X-treme PQ56 Dual Sim Black,,7555,1,https://comfy.ua/smartfon-sigma-mobile-x-treme-pq56-dual-sim-black.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1659253070,6982312,SIGMA,Смартфон SIGMA X-treme PQ56 6/128 Gb Dual Sim Black Orange (4827798338025),6999,2892537,Смартфоны и телефоны >> Смартфоны >> Смартфоны Sigma mobile >> Серия Sigma mobile X-treme PQ56,sigma-mobile,Смартфон Sigma mobile X-treme PQ56 Dual Sim Black/Orange,,7555,1,https://comfy.ua/smartfon-sigma-mobile-x-treme-pq56-dual-sim-black-orange.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1659254349,6975213,OPTIMA,Светодиодная лента OPTIMA LED-RGB 2835-5M (XK-2835-5M),349,2884168,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники Optima",optima,Світлодіодна стрічка Optima 2835-5M,,349,1,https://comfy.ua/svetodiodnaja-lenta-optima-2835-5m.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1659254350,6975212,OPTIMA,Светодиодная лента OPTIMA LED-RGB 5050-5M (XK-LED-5050-5M),449,2884170,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники Optima",optima,Світлодіодна стрічка Optima 5050-5M,,449,1,https://comfy.ua/svetodiodnaja-lenta-optima-5050-5m.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1659260044,6967772,GT RACER,Кресло GT RACER B-606C Black,2499,2874516,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-606C Black,,2699,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-606c-black.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1659260045,6967773,GT RACER,Кресло GT RACER B-606C Gray,2699,2874517,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-606C Gray,,2699,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-606c-gray.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
