937506251,column,column,column,column,1827598,Смарт-часы и гаджеты >> Аксессуары,becover,___becover_for_amazfit_stratos_122s3gtr_2gtr_47mmgtr_lite_47mmnexopace_grapefruitpink_706371,column,179,1,httpscomfyuaremeshokdljasmartchasovbecoverforamazfitstratos122s3gtr2gtr47mmgtrlite47mmnexopacegrapefruitpink706371html,column,05112025_1858,column,__42,Фастів,0
937506264,,,,,1827666,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Dark-Blue (706234),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-dark-blue-706234.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
937506265,,,,,1827661,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Dark-Red (706229),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-dark-red-706229.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
937506266,,,,,1827671,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Blue-Horizon (706239),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-blue-horizon-706239.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
937506267,,,,,1827667,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Apricot (706235),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-apricot-706235.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
937506268,,,,,1827668,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Black (706236),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-black-706236.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
937506269,,,,,1827673,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Yellow (706241),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-yellow-706241.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
937506271,,,,,1827660,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Red (706228),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-red-706228.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
937506272,,,,,1827674,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Pine-Green (706242),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-pine-green-706242.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
937506273,,,,,1827675,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Lime (706243),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-lime-706243.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
937506274,,,,,1827669,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm White (706237),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-white-706237.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
937506275,,,,,1827663,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Huawei Watch GT 2 42mm Grapefruit-Pink (706231),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-huawei-watch-gt-2-42mm-grapefruit-pink-706231.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
937506276,,,,,1827615,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Amazfit Stratos 1/2/2S/3/GTR 2/GTR 47mm/GTR Lite 47mm/Nexo/Pace Marine-Green (706385),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-amazfit-stratos-1-2-2s-3-gtr-2-gtr-47mm-gtr-lite-47mm-nexo-pace-marine-green-706385.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
937506277,,,,,1827597,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Amazfit Stratos 1/2/2S/3/GTR 2/GTR 47mm/GTR Lite 47mm/Nexo/Pace Pink (706370),,125,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-amazfit-stratos-1-2-2s-3-gtr-2-gtr-47mm-gtr-lite-47mm-nexo-pace-pink-706370.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
937506278,,,,,1827579,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Samsung Galaxy Watch 46mm/Watch 3 45mm/Gear S3 Classic/Gear S3 Frontier Black (706316),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-samsung-galaxy-watch-46mm-watch-3-45mm-gear-s3-classic-gear-s3-frontier-black-706316.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
937506279,,,,,.1827659,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for LG Watch Sport W280A Green (706227),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-lg-watch-sport-w280a-green-706227.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
937506281,,,,,1827657,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for LG Watch Sport W280A Marine-Green (706225),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-lg-watch-sport-w280a-marine-green-706225.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
937506282,,,,,.1827656,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for LG Watch Sport W280A Khaki (706224),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-lg-watch-sport-w280a-khaki-706224.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
937506289,7021713,SAN CLEAN,Средство для чистки SAN CLEAN Сантик для сантехники 500г (4820003540145),84,1754180,Бытовая химия >> Все для уборки,san-clean,Засіб для чищення кухонної техніки San Clean для сантехники без распылителя 500 мл (4820003540145),,63,1,https://comfy.ua/chistjaschee-sredstvo-dlja-kuhonnoj-tehniki-san-klin-dlja-santehniki-bez-raspylitelja-500-ml-4820003540145.html,83,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
937506291,6874035,SAN CLEAN,Средство для удаления ржавчины SAN CLEAN Сантик 500 мл (4820003542989),114,1754178,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной San Clean,san-clean,Засіб для миття у ванній кімнаті San Clean для видалення іржі з розпилювачем 500 мл (4820003542989),,100,1,https://comfy.ua/chistjaschee-sredstvo-dlja-kuhonnoj-tehniki-san-klin-dlja-udalenija-rzhavchiny-s-raspylitelem-500-ml-4820003542989.html,113,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
937506293,6874036,SAN CLEAN,Средство для чистки SAN CLEAN для акриловых ванн с распылителем 500 мл (4820003543023),130,1754182,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной San Clean,san-clean,Засіб для чищення кухонної техніки San Clean для акриловых ванн с распылителем 500 мл (4820003543023),,130,1,https://comfy.ua/chistjaschee-sredstvo-dlja-kuhonnoj-tehniki-san-klin-dlja-akrilovyh-vann-s-raspylitelem-500-ml-4820003543023.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
937506294,,,,,1828353,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной Sodasan,sodasan,"""Засіб для миття у ванній кімнаті Sodasan",,,,,,,,,,
"Orange антіжір 500 мл (4019886001403)""",,329,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-sodasan-orange-antizhir-500-ml-4019886001403.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0,,,,,,,,
937506300,,,,,1803276,"Красота и здоровье >> Уход за полостью рта >> Зубные пасты, гели и ополаскиватели >> Зубные пасты, гели и ополаскиватели Jordan",jordan,Зубна паста Jordan Green Clean Cavity Protect 75 мл (57000064),,195,1,https://comfy.ua/zubnaja-pasta-jordan-green-clean-cavity-protect-75-ml-57000064.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
937506328,,,,,1752337,Красота и здоровье >> Косметика для волос,kerasys,Шампунь жіночий Kerasys Blooming Flowery 600 мл (8801046240557),,519,1,https://comfy.ua/shampun-zhenskij-kerasys-blooming-flowery-600-ml-8801046240557.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
937506329,,,,,1809732,Красота и здоровье >> Косметика для волос,kerasys,Шампунь жіночий Kerasys Pure&Charming 600 мл (8801046992722),,519,1,https://comfy.ua/shampun-zhenskij-kerasys-pure-charming-600-ml-8801046992722.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
937506342,,,,,1752342,Красота и здоровье >> Косметика для волос,lador,Шампунь жіночий Lador Keratin безсульфатный LPP 530 мл (8809500811053),,749,1,https://comfy.ua/shampun-zhenskij-lador-keratin-bezsul-fatnyj-lpp-530-ml-8809500811053.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
937506516,7021680,MR MUSCLE,Средство для мытья стекла Mr Muscle Лаванда 500 мл. (5000204159394),141,1808116,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон SC Johnson,sc-johnson,Засіб для чищення скла SC Johnson Мистер Мускул Лаванда 500 мл (5000204159394),,119,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-sc-johnson-mister-muskul-lavanda-500-ml-5000204159394.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
937506680,6874030,SAN CLEAN,Средство для чистки стеклокерамики SAN CLEAN Кристал 500 г (4820003542040),115,1754144,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок San Clean,san-clean,Засіб для чищення для склокераміки San Clean Кристалл с распылителем 500 мл (4820003542040),,115,1,https://comfy.ua/chistjaschee-sredstvo-dlja-steklokeramiki-san-klin-kristall-s-raspylitelem-500-ml-4820003542040.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
937506681,6701183,САН КЛІН,Моющее средство для плит Сан Клин 5 л (4820003541050),495,1807447,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок San Clean,san-clean,Засіб для чищення плит San Clean 5 л (4820003541050),,482,1,https://comfy.ua/chistjaschee-sredstvo-dlja-plit-san-klin-5-l-4820003541050.html,495,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
937506683,7024662,MAESTRO,Средство для мытья полов MAESTRO Лимон 1000мл (4820195506257),69,1754136,Бытовая химия >> Все для уборки >> Средства для мытья пола >> Средства для мытья пола Maestro,maestro,Засіб для чищення універсальний Maestro ''Лимон'' для пола (антибактериальное) (4820195506257),,91,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-maestro-limon-dlja-pola-antibakterial-noe-4820195506257.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
937506689,6874068,MR MUSCLE,Средство для мытья пола Mr Muscle После дождя 750 мл (4823002005004),155,1750199,Бытовая химия >> Все для уборки >> Средства для мытья пола >> Средства для мытья пола SC Johnson,sc-johnson,Засіб для чищення універсальний SC Johnson Mr. Muscle Після дощу 750 мл (4823002005004),,155,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-sc-johnson-mr-muscle-posle-dozhdja-750-ml-4823002005004.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
937506690,6681376,САН КЛІН,Средство для мытья пола САН КЛІН 5 л (4820003541692),326,1750432,Бытовая химия >> Все для уборки >> Средства для мытья пола >> Средства для мытья пола San Clean,san-clean,Засіб для чищення універсальний San Clean 5 л (4820003541692),,277,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-san-klin-5-l-4820003541692.html,326,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
937506693,6874028,SAN CLEAN,Средство для мытья полов SAN CLEAN для линолеума 1 л (4820003541654),95,1749719,Бытовая химия >> Все для уборки >> Средства для мытья пола >> Средства для мытья пола San Clean,san-clean,Засіб для чищення універсальний San Clean 1 л (4820003541654),,73,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-san-klin-1-l-4820003541654.html,95,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
937506694,5720797,САН КЛІН,Средство для мытья пола САН КЛІН Универсал 5 л (4820003541135),298,1750426,Бытовая химия >> Все для уборки >> Средства для мытья пола >> Средства для мытья пола San Clean,san-clean,Засіб для чищення універсальний San Clean 5 л (4820003541135),,298,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-san-klin-5-l-4820003541135.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
937506721,6874021,OZONE,Освежитель воздуха OZONE Океанический ветер 300 мл (4770416340392),73,1807539,Бытовая химия >> Все для уборки >> Освежители >> Освежители Ozone,ozone,Освіжувач повітря аерозольний Ozone Океанский ветер 300 мл (4770416340392),,91,1,https://comfy.ua/osvezhitel-vozduha-ajerozol-nyj-ozone-okeanskij-veter-300-ml-4770416340392.html,111,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
937506743,6829134,GLADE,Освежитель воздуха Glade Sensations Фруктовая фантазия сменный аромаблок 8 г (5010182992012),95,1751329,Бытовая химия >> Все для уборки >> Освежители >> Освежители SC Johnson,sc-johnson,Освіжувач повітря для кімнати SC Johnson Glade Sensations Фруктова фантазія змінний блок (5010182992012),,81,1,https://comfy.ua/osvezhitel-vozduha-dlja-komnaty-sc-johnson-glade-sensations-fruktovaja-fantazija-smennyj-blok-5010182992012.html,95,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
937506808,7024672,MON AMI,hyg MON AMI Мило ЯБЛУКО 60г,8,1808499,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Mon Ami,mon-ami,Тверде мило Mon Ami Яблуко 60 г (4820195501764),,9,1,https://comfy.ua/tverdoe-mylo-mon-ami-jabluko-60-g-4820195501764.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
937506809,7024624,GRAND ШАРМ,Твердое мыло GRAND ШАРМ Арбузные страсти 70 г (4820195500699),10,1752789,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Grand Шарм,grand-sharm,Тверде мило Grand Шарм Арбузные страсти 70 г (4820195500699),,13,1,https://comfy.ua/tverdoe-mylo-grand-sharm-arbuznye-strasti-70-g-4820195500699.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
937506810,7024636,GRAND ШАРМ,Твердое мыло GRAND ШАРМ ЯБЛУКО 70г (4820195500682),10,1752794,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Grand Шарм,grand-sharm,Тверде мило Grand Шарм Яблочные мечты 70 г (4820195500682),,12,1,https://comfy.ua/tverdoe-mylo-grand-sharm-jablochnye-mechty-70-g-4820195500682.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
937506811,7024626,GRAND ШАРМ,Твердое мыло GRAND ШАРМ Ландыш и водяная лилия 70 г (4820195500644),10,1752790,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Grand Шарм,grand-sharm,Тверде мило Grand Шарм Ландыш и Водяная лилия 70 г (4820195500644),,13,1,https://comfy.ua/tverdoe-mylo-grand-sharm-landysh-i-vodjanaja-lilija-70-g-4820195500644.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
937506815,7024678,TI AMO CREMA,Твердое мыло Ti Amo Crema с биозолотом 115 г (4820195503850),35,1753020,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Ti Amo Crema,ti-amo-crema,Тверде мило Ti Amo Crema с биозолотом 115 г (4820195503850),,37,1,https://comfy.ua/tverdoe-mylo-ti-amo-crema-s-biozolotom-115-g-4820195503850.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
937507244,7021731,SAN CLEAN,Чистящее средство SAN CLEAN 500г (4820003542958),95,1751584,Бытовая химия >> Средства для чистки техники >> Средства для чистки холодильников >> Средства для чистки холодильников San Clean,san-clean,Засіб для чищення холодильника та кондиционерів San Clean с распылителем 500 мл (4820003542958),,87,1,https://comfy.ua/chistjaschee-sredstvo-dlja-holodil-nika-san-klin-s-raspylitelem-500-ml-4820003542958.html,100,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,1
937507245,6710440,MELICA,Шампунь MELICA сбор экстрактов 12 трав для всех типов волос 300 мл (4770416003501),112,1749332,Красота и здоровье >> Косметика для волос >> Шампуни >> Шампуни Melica,melica,Шампунь жіночий Melica Сбор экстрактов 12 трав для всех типов волос 300 мл (4770416003501),,149,1,https://comfy.ua/shampun-zhenskij-melica-sbor-jekstraktov-12-trav-dlja-vseh-tipov-volos-300-ml-4770416003501.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
937507247,6710422,MELICA ORGANIC,Шампунь MELICA ORGANIC с кератином и экстрактом меда 300 мл (4770416340606),215,1752333,Красота и здоровье >> Косметика для волос >> Шампуни >> Шампуни Melica,melica,Шампунь жіночий Melica Organic с кератином и экстрактом меда 300 мл (4770416340606),,215,1,https://comfy.ua/shampun-zhenskij-melica-organic-s-keratinom-i-jekstraktom-meda-300-ml-4770416340606.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
937507248,6710419,MELICA ORGANIC,Шампунь Melica Organic с протеинами пшеницы и экстрактом алоэ 300 мл (4770416340613),215,1752331,Красота и здоровье >> Косметика для волос >> Шампуни >> Шампуни Melica,melica,Шампунь жіночий Melica Organic с протеинами пшеницы и экстрактом алоэ 300 мл (4770416340613),,215,1,https://comfy.ua/shampun-zhenskij-melica-organic-s-proteinami-pshenicy-i-jekstraktom-aloje-300-ml-4770416340613.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
937507260,,,,,1752347,Красота и здоровье >> Косметика для волос >> Шампуни >> Шампуни Missha,missha,Шампунь жіночий Missha Damaged Hair Therapy 400 мл (8809643509824),,569,1,https://comfy.ua/shampun-zhenskij-missha-damaged-hair-therapy-400-ml-8809643509824.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
