1688758047,column,column,column,column,2964430,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",powerplant,__powerplant_hdd_25_usb31_hc380473,column,499,1,httpscomfyuavneshnijkarmanpowerplanthdd25usb31hc380473html,column,05112025_1737,column,__42,Фастів,0
1688760862,,,,,1995995,Инструменты и автотовары >> Ручные инструменты,irwin,Тримач для біт IRWIN 1/4'' 150 мм (10508167),,419,1,https://comfy.ua/derzhatel-dlja-bit-irwin-1-4-150-mm-10508167.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
1688764844,,,,,2967752,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Huion",huion,Графічний планшет Huion HS64 Special Edition + рукавичка (HS64SE),,2249,1,https://comfy.ua/graficheskij-planshet-huion-hs64-special-edition-perchatka-hs64se.html,2499,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1688764845,,,,,2967749,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Parblo",parblo,Графічний планшет Parblo Ninos Q Mobile,,2699,1,https://comfy.ua/graficheskij-planshet-parblo-ninos-q-mobile.html,2999,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1688764874,,,,,2967755,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas RDS-220 + рукавичка (RDS-220),,38699,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-rds-220-perchatka-rds-220.html,42999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1688764875,,,,,.2967753,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas Studio 16 + рукавичка (KS1601),,86399,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-studio-16-perchatka-ks1601.html,95999,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1688768724,,,,,.2970558,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",expert-pc,Системний блок Expert PC Ultimate (A3600.32.S1.4060.A6186),,32711,1,https://comfy.ua/sistemnyj-blok-expert-pc-ultimate-a3600-32-s1-4060-a6186.html,37599,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1688773084,,,,,.2901884,"Дом, отдых и зоотовары >> Освещение",electrum,Лампочка люмінесцентна компактна Electrum Т8 36W 6500K G13 (A-FT-0134),,70,1,https://comfy.ua/lampochka-ljuminescentnaja-kompaktnaja-electrum-t8-36w-6500k-g13-a-ft-0134.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1688773950,6967567,HISMART,Кресло HISMART CH06-24 (HS082819),9499,2964434,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары HiSmart",hismart,Крісло для геймерів HiSmart CH06-24 (HS082819),,6799,1,https://comfy.ua/kreslo-dlja-gejmerov-hismart-ch06-24-hs082819.html,7999,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1688775366,,,,,2849119,Техника для кухни >> Крупная техника,indesit,Посудомийна машина окремостояча Indesit D2FHK26,,14999,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-indesit-d2fhk26.html,17799,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1688775798,,,,,.2966092,Техника для кухни >> Крупная техника,hotpoint-ariston,Посудомийна машина окремостояча Hotpoint-Ariston H7FHP33,,23299,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-hotpoint-ariston-h7fhp33.html,25499,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1688775799,,,,,.2966093,Техника для кухни >> Крупная техника,hotpoint-ariston,Посудомийна машина окремостояча Hotpoint-Ariston H7FHS41X,,24599,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-hotpoint-ariston-h7fhs41x.html,26899,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1688779715,,,,,.2863872,Инструменты и автотовары >> Ручные инструменты,stal,Плоскогубці Сталь 160 мм (41054),,179,1,https://comfy.ua/ploskogubcy-stal-160-mm-41054.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1688780960,,,,,2845686,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Haisser",haisser,Плоскогубці Haisser 220 мм (41178),,639,1,https://comfy.ua/ploskogubcy-haisser-220-mm-41178.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1688780961,,,,,.2845687,Инструменты и автотовары >> Ручные инструменты,haisser,Плоскогубці Haisser 220 мм (41179),,639,1,https://comfy.ua/ploskogubcy-haisser-220-mm-41179.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1688780962,,,,,2845688,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Haisser",haisser,Плоскогубці Haisser 205 мм (41180),,639,1,https://comfy.ua/ploskogubcy-haisser-205-mm-41180.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1688787589,6950101,MASTERPRO,Сковорода MASTERPRO Indigo 28 см Blue (BGMP-7974),1589,2802843,Посуда >> Для приготовления >> Сковороды >> Сковороды Masterpro,masterpro,Сковорода універсальна Masterpro Indigo 28 см (BGMP-7974),,1589,1,https://comfy.ua/skovoroda-universal-naja-masterpro-indigo-28-sm-bgmp-7974.html,2649,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1688795424,,,,,.2842012,Инструменты и автотовары >> Расходные материалы,haisser,Полотно Haisser T234Х,,285,1,https://comfy.ua/polotno-haisser-t234h.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1688798072,,,,,.2699428,Инструменты и автотовары >> Расходные материалы,milwaukee,Полотно Milwaukee 76 мм (49005456),,475,1,https://comfy.ua/polotno-milwaukee-76-mm-49005456.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1688798076,,,,,.2693342,Инструменты и автотовары >> Расходные материалы,milwaukee,Полотно Milwaukee 300 мм (48001084),,669,1,https://comfy.ua/polotno-milwaukee-300-mm-48001084.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
1688798081,,,,,.2842013,Инструменты и автотовары >> Расходные материалы,haisser,Полотно Haisser S 2243 HM,,1049,1,https://comfy.ua/polotno-haisser-s-2243-hm.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1688801380,6889321,ASUS,Ноутбук ASUS Vivobook 15 X1504ZA-BQ066 Cool Silver (90NB1022-M002X0),23499,2964012,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",asus,Ноутбук Asus Vivobook 15 X1504ZA-BQ066 Cool Silver,,19999,1,https://comfy.ua/noutbuk-asus-vivobook-15-x1504za-bq066-cool-silver.html,26999,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,1
1688802912,6964089,ACER,Ноутбук ACER Swift Go 14 SFG14-63-R88C Steel Gray (NX.KTSEU.002),37999,2964705,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Swift",acer,Ноутбук Acer Swift Go 14 SFG14-63 (NX.KTSEU.002) Steel Gray,,37999,1,https://comfy.ua/noutbuk-acer-swift-go-14-sfg14-63-nx-ktseu-002-steel-gray.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1688805328,,,,,.2894383,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Samsung A55 5G (A556) (ARM74354),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-a55-5g-a556-arm74354.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1688805331,,,,,.2874797,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Oscal Tiger 10 (ARM75087),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-oscal-tiger-10-arm75087.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1688805355,,,,,.2890928,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Oukitel WP20 Pro (ARM73632),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-oukitel-wp20-pro-arm73632.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1688805365,,,,,.2891649,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Motorola G24 (ARM74292),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-motorola-g24-arm74292.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1688805372,,,,,.2866917,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Blackview SHARK 8 (ARM75058),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-blackview-shark-8-arm75058.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1688805379,,,,,2866915,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Blackview BV6200 (ARM75056),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-blackview-bv6200-arm75056.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1688805383,,,,,.2866916,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Blackview BV8900 (ARM75057),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-blackview-bv8900-arm75057.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1688805386,,,,,.2875422,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Oscal Tiger 12 (ARM75088),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-oscal-tiger-12-arm75088.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1688811542,,,,,.2959025,Красота и здоровье >> Уход за телом,sml,Манікюрний набір апаратний SML M15 68W Green,,1589,1,https://comfy.ua/manikjurnyj-nabor-apparatnyj-sml-m15-68w-green.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1688811550,6977511,SML,Фрезер для маникюра и педикюра SML M15 68W Black (M15-B),1589,2959024,Красота и здоровье >> Уход за телом >> Маникюрные наборы >> Маникюрные наборы SML,sml,Манікюрний набір апаратний SML M15 68W Black,,1589,1,https://comfy.ua/manikjurnyj-nabor-apparatnyj-sml-m15-68w-black.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1688811556,,,,,.2959026,Красота и здоровье >> Уход за телом,sml,Манікюрний набір апаратний SML SML M15 68W White,,1589,1,https://comfy.ua/manikjurnyj-nabor-apparatnyj-sml-sml-m15-68w-white.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1688811563,6856291,SML,Фрезер для маникюра SML Nail Sander M12 с педалью Green,1709,2959027,Красота и здоровье >> Уход за телом >> Маникюрные наборы >> Маникюрные наборы SML,sml,Манікюрний набір апаратний SML Nail Sander M12 Green,,1709,1,https://comfy.ua/manikjurnyj-nabor-apparatnyj-sml-nail-sander-m12-green.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1688840573,,,,,.2863875,Инструменты и автотовары >> Ручные инструменты,stal,Косинець Сталь 250 мм (24229),,239,1,https://comfy.ua/ugol-nik-stal-250-mm-24229.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1688840590,,,,,.2884137,Инструменты и автотовары >> Ручные инструменты,stal,Косинець Сталь 180 мм (24269),,269,1,https://comfy.ua/ugol-nik-stal-180-mm-24269.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1688840611,,,,,.2863876,Инструменты и автотовары >> Ручные инструменты,stal,Косинець Сталь 450 мм (24237),,335,1,https://comfy.ua/ugol-nik-stal-450-mm-24237.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1688840623,,,,,.2863869,Инструменты и автотовары >> Ручные инструменты,stal,Косинець Сталь 500 мм (24250),,359,1,https://comfy.ua/ugol-nik-stal-500-mm-24250.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1688840659,,,,,2863856,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser 400 мм (26070),,529,1,https://comfy.ua/uroven-haisser-400-mm-26070.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1688841819,,,,,.2863871,Инструменты и автотовары >> Ручные инструменты,stal,Штангенциркуль Сталь 150 мм (24417),,789,1,https://comfy.ua/shtangencirkul-stal-150-mm-24417.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1688841845,,,,,.2884138,Инструменты и автотовары >> Ручные инструменты,stal,Косинець Сталь 300 мм (24270),,865,1,https://comfy.ua/ugol-nik-stal-300-mm-24270.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1688841881,,,,,.2863857,Инструменты и автотовары >> Ручные инструменты,haisser,Рівень Haisser 1500 мм (26075),,1109,1,https://comfy.ua/uroven-haisser-1500-mm-26075.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1688841934,,,,,.2863870,Инструменты и автотовары >> Ручные инструменты,stal,Штангенциркуль Сталь 150 мм (24416),,1345,1,https://comfy.ua/shtangencirkul-stal-150-mm-24416.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1688842335,,,,,.2863858,Инструменты и автотовары >> Ручные инструменты,haisser,Рівень Haisser Heavy Duty 2000 мм (26064),,1999,1,https://comfy.ua/uroven-haisser-heavy-duty-2000-mm-26064.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1688886016,,,,,.2956991,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Захисне скло для смартфону XOKO Full Cover Ultra-Thin 0.25мм iPhone 15 Pro Black 2 шт. (XK-FCU-AP-IP15P),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-xoko-full-cover-ultra-thin-0-25mm-iphone-15-pro-black-2-sht-xk-fcu-ap-ip15p.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1688886018,,,,,.2956986,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,Захисне скло для смартфону XOKO Full Cover Ultra-Thin 0.25мм iPhone 15 Plus Black 2 шт. (XK-FCU-AP-IP15PL),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-xoko-full-cover-ultra-thin-0-25mm-iphone-15-plus-black-2-sht-xk-fcu-ap-ip15pl.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
