705226831,7170799,weilor,__weilor_gm_624_bl,8199,1652162,____________weilor,weilor,___weilor_gm_624_bl,column,8199,1,httpscomfyuavarochnajapanelgazovajaweilorgm624blhtml,column,05112025_2122,column,__42,Фастів,0
707304100,,,,,1655080,Бытовая химия >> Средства для посудомоечных машин >> Таблетки для мытья посуды >> Таблетки для мытья посуды Start,start,Таблетка для посудомийної машини Start MAXIMUM 28 шт,,187,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-start-maximum-28-sht.html,267,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
707304102,,,,,1655082,Бытовая химия >> Средства для посудомоечных машин >> Таблетки для мытья посуды >> Таблетки для мытья посуды Start,start,Таблетка для посудомийної машини Start MAXIMUM 90 шт,,491,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-start-maximum-90-sht.html,655,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
707304105,,,,,1655093,Бытовая химия >> Средства для посудомоечных машин,start,Таблетка для посудомийної машини Start MAXIMUM 28 шт+28 шт,,317,1,https://comfy.ua/tabletka-dlja-posudomoechnoj-mashiny-start-maximum-28-sht-28-sht.html,455,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
707348263,6634351,WHIRLPOOL,Варочная поверхность WHIRLPOOL WB B8360 NE,15999,1656631,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Whirlpool,whirlpool,Варильна поверхня електрична Whirlpool WB B8360 NE,,15999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-whirlpool-wb-b8360-ne.html,17899,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,1
707380128,6567613,BLACK&DECKER,Пылесос Black Decker BHHV520BF,4999,1657364,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Black&Decker,blackdecker,Пилосос ручний для дому Black&Decker BHHV520BF,,4999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-black-decker-bhhv520bf.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
707420191,6591569,WETAIR,Масляный обогреватель WETAIR WOH-9VW,2889,1647404,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели WetAir,wetair,Обігрівач масляний WetAir WOH-9VW,,2889,1,https://comfy.ua/obogrevatel-masljanyj-wetair-woh-9vw.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
707540728,,,,,.1657022,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,Джерело безперебійного живлення Njoy Keen 600,,2179,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-njoy-keen-600.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
707556613,6856909,KELA,Раклетница-гриль KELA Splugen (66493),1579,1650195,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Kela,kela,Гриль-барбекю електричний Kela Spl?gen (66493),,1579,1,https://comfy.ua/gril-barbekju-jelektricheskij-kela-splugen-66493.html,2429,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
707562854,6600531,WETAIR,Инфракрасный обогреватель WETAIR WQH-2020,699,1647406,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели WetAir,wetair,Обігрівач інфрачервоний WetAir WQH-2020,,699,1,https://comfy.ua/obogrevatel-infrakrasnyj-wetair-wqh-2020.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
707568159,6700880,KELA,Весы кухонные KELA Pinta white (15740),1167,1648164,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Kela,kela,Ваги кухонні Kela Pinta White (15740),,1167,1,https://comfy.ua/vesy-kuhonnye-kela-pinta-white-15740.html,1459,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
707660648,,,,,.1657033,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",njoy,Джерело безперебійного живлення Njoy Horus Plus 1000 USB,,5049,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-njoy-horus-plus-1000-usb.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
