1061969071,column,column,column,column,1884814,Детские товары >> Кормление,childhome,_____childhome_evolu_white_chevotsaw,column,2859,1,httpscomfyuapodnoskstulchikudljakormlenijachildhomeevoluwhitechevotsawhtml,column,05112025_2140,column,__42,Фастів,0
1062059458,6403081,ELLECI,Мойка ELLECI EASY ROUND TITANO 68,7999,1738435,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Easy Round Titano 68,,7999,1,https://comfy.ua/mojka-kuhonnaja-elleci-easy-round-titano-68.html,8999,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1062074256,,,,,1683253,Техника для дома >> Климатическая техника,africa,"Конвектор AFRICA Х1500 графит, с эко-конвекцией и термотаймером",,11749,1,https://comfy.ua/catalog/product/view/id/3152233,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1062089555,,,,,1880486,Детские товары >> Детский транспорт,kinderkraft,Триколісний велосипед Kinderkraft Spinstep Pastel Green (KRSPST00GRE0000),,6690,1,https://comfy.ua/catalog/product/view/id/3260213,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1062092086,,,,,1889675,Техника для кухни >> Крупная техника,samsung,Духова шафа електрична Samsung NV68R1310BS/WT,,14499,1,https://comfy.ua/catalog/product/view/id/3261583,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1062098274,,,,,1885683,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Razer",razer,Килимок для миші ігровий Razer Strider Large Black (RZ02-03810200-R3M1),,1999,1,https://comfy.ua/kovrik-dlja-myshi-razer-strider-large-black-rz02-03810200-r3m1.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
1062107687,,,,,.1889692,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ubiquiti,Коммутатор локальної мережі (Switch) Ubiquiti USW-Lite-16-PoE,,10299,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-ubiquiti-usw-lite-16-poe.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1062107721,,,,,1863338,Техника для дома >> Климатическая техника,toshiba,Кондиціонер спліт Toshiba RAS-13J2KVSG-UA/RAS-13J2AVSG-UA,,44999,1,https://comfy.ua/catalog/product/view/id/3177673,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1062109166,6794274,MIKROTIK,Маршрутизатор MIKROTIK Cloud Core Router CCR2004-16G-2S+,22991,1881034,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети MikroTik",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CCR2004-16G-2S+,,18315,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-mikrotik-ccr2004-16g-2s.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1062110151,6810741,GOPRO,Крепление на трубу GOPRO Tube Mount (AGTLM-001),2199,1885655,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для экшн-камер >> Аксессуары для экшн-камер GoPro,gopro,Кріплення для екшн-камери GoPro Кріплення Tube Mount (AGTLM-001),,2199,1,https://comfy.ua/kreplenie-dlja-jekshn-kamery-gopro-kriplennja-tube-mount-agtlm-001.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1062110152,6810719,GOPRO,Кейс GOPRO Casey (ABSSC-002),2799,1885654,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для экшн-камер >> Аксессуары для экшн-камер GoPro,gopro,Кейс для екшн камери GoPro Casey (ABSSC-002),,2799,1,https://comfy.ua/kejs-dlja-jekshn-kamery-gopro-casey-abssc-002.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1062123987,7122946,COOPER&HUNTER,Тепловентилятор COOPER&HUNTER CH-F2000CTE White,2899,1883643,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Cooper&Hunter,cooperhunter,Тепловентилятор Cooper&Hunter CH-F2000CTE,,2899,1,https://comfy.ua/teploventiljator-cooper-hunter-ch-f2000cte.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1062126851,6770081,ROWENTA,Фен ROWENTA CV6135F0,1899,1884477,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rowenta,rowenta,Фен Rowenta CV6135F0,,1899,1,https://comfy.ua/fen-rowenta-cv6135f0.html,2399,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1062129554,,,,,1880588,Детские товары >> Детская комната и безопасность,kinderkraft,Крісло-качалка Kinderkraft Luli Gray (KKBLULIGRY0000),,4890,1,https://comfy.ua/catalog/product/view/id/3262623,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1062130657,6868078,ROTEX,Орешница ROTEX RSM130-B,549,1891425,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Rotex,rotex,Горішниця Rotex RSM130-B,,549,1,https://comfy.ua/oreshnica-rotex-rsm130-b.html,659,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,1
1062147509,,,,,1835869,"Аудио, фото и видео >> Аксессуары для фото, видео",works,Батарейка тип AA Works Alkaline LR6W-4S/AA/4 шт.,,69,1,https://comfy.ua/batarejka-tip-aa-works-alkaline-lr6w-4s-aa-4-sht.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1062153778,,,,,1890544,Техника для дома >> Мелкая техника,russell-hobbs,Вертикальний відпарювач ручний Russell Hobbs 28040-56/RH,,2599,1,https://comfy.ua/catalog/product/view/id/3263313,3199,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1062228078,6769629,DEERMA,Машинка для чистки трикотажа DEERMA Lint Remover (DEM-MQ600),399,1881356,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Триммеры для ткани >> Триммеры для ткани Deerma",deerma,Тример для тканини Deerma Lint Remover (DEM-MQ600),,399,1,https://comfy.ua/trimmer-dlja-tkani-deerma-lint-remover-dem-mq600.html,799,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1062242737,6772253,LORGAR,Микрофон Lorgar Soner 313 (LRG-CMT313),2199,1888832,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Lorgar",lorgar,Мікрофон до комп'ютера Lorgar LRG-CMT313,,1599,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-lorgar-lrg-cmt313.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1062242738,6772254,LORGAR,Микрофон Lorgar Voicer 521 (LRG-CMT521),2999,1888833,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Lorgar",lorgar,Мікрофон до комп'ютера Lorgar LRG-CMT521,,2619,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-lorgar-lrg-cmt521.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1062286673,,,,,1889675,Техника для кухни >> Крупная техника,samsung,Духова шафа електрична Samsung NV68R1310BS/WT,,14499,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-samsung-nv68r1310bs-wt.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1062286690,,,,,1885450,Comfy KIDS >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Bagland,bagland,Рюкзак шкільний Bagland Відмінник 20 л. 0058070 143 Малина 888,,1289,1,https://comfy.ua/rjukzak-shkol-nyj-bagland-otlichnik-20-l-0058070-143-malina-888.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1062286885,6745926,RUSSELL HOBBS,Отпариватель RUSSELL HOBBS 28040-56/RH,2189,1890544,Техника для дома >> Мелкая техника >> Утюги >> Утюги Russell Hobbs,russell-hobbs,Вертикальний відпарювач ручний Russell Hobbs 28040-56/RH,,2599,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-russell-hobbs-28040-56-rh.html,3199,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1062286887,,,,,1880444,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Kinderkraft,kinderkraft,Коляска прогулянкова Kinderkraft All Road Imperial Blue (KKWALRONAV0000),,7340,1,https://comfy.ua/koljaska-progulochnaja-kinderkraft-all-road-imperial-blue-kkwalronav0000.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1062286915,,,,,1880588,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Kinderkraft",kinderkraft,Крісло-качалка Kinderkraft Luli Gray (KKBLULIGRY0000),,4890,1,https://comfy.ua/kreslo-kachalka-kinderkraft-luli-gray-kkbluligry0000.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1062287029,,,,,1885469,Детские товары >> Прогулки и поездки,bagland,Рюкзак шкільний Bagland Відмінник 20 л. 0058070 143 Малина 512,,1289,1,https://comfy.ua/rjukzak-shkol-nyj-bagland-otlichnik-20-l-0058070-143-malina-512.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1062287459,,,,,.1880484,Детские товары >> Детский транспорт,kinderkraft,Триколісний велосипед Kinderkraft Freeway Grey Melange (KKRFRWAGRY0000),,4072,1,https://comfy.ua/trjohkoljosnyj-velosiped-kinderkraft-freeway-grey-melange-kkrfrwagry0000.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1062288181,,,,,1880486,Comfy KIDS >> Детский транспорт >> Велосипеды >> Велосипеды Kinderkraft,kinderkraft,Триколісний велосипед Kinderkraft Spinstep Pastel Green (KRSPST00GRE0000),,6690,1,https://comfy.ua/trjohkoljosnyj-velosiped-kinderkraft-spinstep-pastel-green-krspst00gre0000.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1062288224,,,,,1885455,Comfy KIDS >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Bagland,bagland,Рюкзак шкільний Bagland Відмінник 20 л. 0058070 339 Фіолетовий 890,,1289,1,https://comfy.ua/rjukzak-shkol-nyj-bagland-otlichnik-20-l-0058070-339-fioletovyj-890.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1062288259,,,,,1880557,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Kinderkraft,kinderkraft,Манеж-ліжко Kinderkraft 4 в 1 Sofi (KKLSOFIGRY0000),,6390,1,https://comfy.ua/manezh-krovat-kinderkraft-4-v-1-sofi-kklsofigry0000.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1062288269,,,,,1880593,Comfy KIDS >> Игрушки для малышей >> Развивающие коврики >> Развивающие коврики Kinderkraft,kinderkraft,Розвиваючий килимок Kinderkraft 4SMART (KP4SMA00MUL0000),,2720,1,https://comfy.ua/razvivajuschij-kovrik-kinderkraft-4smart-kp4sma00mul0000.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1062288293,,,,,1880605,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Kinderkraft,kinderkraft,Манеж-ліжко Kinderkraft Leody Grey (KCLEOD00GRY0000),,3790,1,https://comfy.ua/manezh-krovat-kinderkraft-leody-grey-kcleod00gry0000.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1062288530,,,,,1880630,Comfy KIDS >> Детская комната и безопасность >> Безопасность малыша >> Безопасность малыша Kinderkraft,kinderkraft,Килимок-пазл м'який Kinderkraft Luno Yellow 30 шт. (KKMLUNOYEL0000),,1990,1,https://comfy.ua/kovrik-pazl-mjagkij-kinderkraft-luno-yellow-30-sht-kkmlunoyel0000.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1062421544,,,,,1890588,"Детские товары >> Уход, купание и гигиена",beaba,Набір дитячого манікюрного приладдя Beaba Серый/Розовый (920382),,2079,1,https://comfy.ua/catalog/product/view/id/3268553,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1062459859,,,,,1890587,"Детские товары >> Уход, купание и гигиена",beaba,Набір дитячого манікюрного приладдя Beaba Сірий/Зелений (920381),,1641,1,https://comfy.ua/catalog/product/view/id/3268473,2079,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1062473732,,,,,1885236,Техника для дома >> Крупная техника,midea,Водонагрівач Midea D100-20ED2(D),,9999,1,https://comfy.ua/catalog/product/view/id/3267773,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1062503956,,,,,1888798,"Аудио, фото и видео >> Наушники",epos,Гарнітура дротова Epos PC 8 USB,,1469,1,https://comfy.ua/catalog/product/view/id/3262213,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1062536952,,,,,1888762,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Trust",trust,"""Сумка для ноутбуку Trust BOLOGNA 16"""" ECO BLUE (24448)""",,499,1,https://comfy.ua/sumka-dlja-noutbuka-trust-bologna-16-eco-blue-24448.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1062556332,,,,,1885120,Техника для кухни >> Крупная техника,eleyus,Варильна поверхня газова ELEYUS KORSA 30 BL CF,,4699,1,https://comfy.ua/catalog/product/view/id/3270473,5469,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1062582361,6810718,GOPRO,Кейс для камеры GoPro Casey LITE (ABCCS-002),1229,1889642,Смарт-часы и гаджеты >> Аксессуары,gopro,Кейс для екшн камери GoPro Casey Lite (ABCCS-002),,1229,1,https://comfy.ua/catalog/product/view/id/3261823,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1062582427,6798988,LEVOIT,Увлажнитель воздуха Levoit Smart Humidifier Dual 200S,3499,1892757,Техника для дома >> Климатическая техника >> Увлажнители воздуха >> Увлажнители воздуха Levoit,levoit,Зволожувач повітря Levoit Smart Humidifier Dual 200S (HEAPHULVSEU0035),,3499,1,https://comfy.ua/uvlazhnitel-vozduha-levoit-smart-humidifier-dual-200s-heaphulvseu0035.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1062622397,6507390,VINZER,Сковорода VINZER 3D Cube Induction 24 см Stainless Steel (89401),2133,1874718,Посуда >> Для приготовления >> Сковороды >> Сковороды Vinzer,vinzer,Сковорода універсальна Vinzer 3D Cube Induction 24 см (50401),,2847,1,https://comfy.ua/skovoroda-universal-naja-vinzer-3d-cube-induction-24-sm-50401.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1062627775,6359248,VINZER,Кастрюля VINZER Universum 6.5 л (89064),3001,1877434,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vinzer,vinzer,Каструля Vinzer Universum 24 см 6.5 л (50064),,3001,1,https://comfy.ua/kastrjulja-vinzer-universum-24-sm-6-5-l-50064.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1062655865,6126115,VINZER,Набор ножей VINZER Elegance 8 пр (50115),4938,1874709,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Набір ножів Vinzer Elegance 8 пр. (50115),,4938,1,https://comfy.ua/nabor-nozhej-vinzer-elegance-8-pr-50115.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1062910098,7042255,TEKHMANN,Мотокоса TEKHMANN BCG-2215 S (842483),4700,1880217,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Tekhmann",tekhmann,Тример садовий Tekhmann BCG-2215 S (842483),,4699,1,https://comfy.ua/trimmer-sadovyj-tekhmann-bcg-2215-s-842483.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1062999435,,,,,.1875737,Посуда >> Кухонные аксессуары,vinzer,Сито Vinzer 22.5 см (50232),,629,1,https://comfy.ua/sito-vinzer-22-5-sm-50232.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1063327096,7041759,TOLSEN,Молоток столярный TOLSEN 20 oz (25031),241,1884233,Инструменты и автотовары >> Ручные инструменты,tolsen,Молоток Tolsen 560 г (25031),,305,1,https://comfy.ua/catalog/product/view/id/3261343,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
