910760963,column,column,column,column,1754834,____________ventolux,ventolux,___ventolux_tokyo_6_st_bk,column,11649,1,httpscomfyuaduhovojshkafjelektricheskijventoluxtokyo6stbkhtml,column,05112025_1757,column,__42,Фастів,0
911266378,6735281,NEO TOOLS,Вентилятор NEO TOOLS 40 см (90-001),1555,1813718,Техника для дома >> Климатическая техника >> Вентиляторы >> Вентиляторы Neo Tools,neo-tools,Вентилятор підлоговий Neo Tools 90-001 NEO 40 см,,1709,1,https://comfy.ua/ventiljator-napol-nyj-neo-tools-90-001-neo-40-sm.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
911266378,7002786,NEO TOOLS,Вентилятор NEO TOOLS 90-001,1709,1813718,Техника для дома >> Климатическая техника >> Вентиляторы >> Вентиляторы Neo Tools,neo-tools,Вентилятор підлоговий Neo Tools 90-001 NEO 40 см,,1709,1,https://comfy.ua/ventiljator-napol-nyj-neo-tools-90-001-neo-40-sm.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
911266380,6735280,NEO TOOLS,Вентилятор Neo Tools 45 Вт (90-002),2029,1813719,Техника для дома >> Климатическая техника >> Вентиляторы >> Вентиляторы Neo Tools,neo-tools,Вентилятор підлоговий Neo Tools 90-002 NEO 40 см,,2029,1,https://comfy.ua/ventiljator-napol-nyj-neo-tools-90-002-neo-40-sm.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
911453906,,,,,1815185,Детские товары >> Творчество и развитие,crayola,"""Набір для малювання Crayola Mini Kids """"24 години розваг"""" (256721.004)""",,699,1,https://comfy.ua/catalog/product/view/id/2515283,979,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
911454047,,,,,1815221,Детские товары >> Творчество и развитие,crayola,"""Набір воскової крейди Crayola викручуються """"Твіст"""", 12 шт (256319.024)""",,161,1,https://comfy.ua/catalog/product/view/id/2515353,251,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
911580969,,,,,1808154,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж-тонер PowerPlant Kyocera Ecosys P22335dn (TK-1158),,159,1,https://comfy.ua/kartridzh-toner-powerplant-kyocera-ecosys-p22335dn-tk-1158.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
911580971,,,,,1808155,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж-тонер PowerPlant Kyocera Ecosys M2635dn/M2735dw (TK-1184),,299,1,https://comfy.ua/kartridzh-toner-powerplant-kyocera-ecosys-m2635dn-m2735dw-tk-1184.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
911580990,,,,,1808137,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",makkon,Картридж для лазерних принтерів/БФП Makkon Samsung ML-2160/2165W/SCX-3400 (MLT-D101S) (MN-SAM-SD101S),,459,1,https://comfy.ua/catalog/product/view/id/2509373,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
911590875,,,,,1808152,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Makkon",makkon,Картридж для лазерних принтерів/БФП Makkon Xerox 108R00909 (S00909) 2.5k (MN-XER-S00909),,835,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-makkon-xerox-108r00909-s00909-2-5k-mn-xer-s00909.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
911603449,,,,,1809448,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Картридж для лазерних принтерів/БФП G&G HP 117A CL 150a/150nw/178nw/179fnw Yellow (700 стр) (G&G-W2072A),,833,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-hp-117a-cl-150a-150nw-178nw-179fnw-yellow-700-str-g-g-w2072a.html,1849,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
911603461,,,,,1809456,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для лазерних принтерів/БФП G&G HP 106A M107a/107r/107w/135a/135r/135w/137fnw W1106A Black (1000 стор) (G&G-106A),,1679,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-hp-106a-m107a-107r-107w-135a-135r-135w-137fnw-w1106a-black-1000-stor-g-g-106a.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
911603466,,,,,1809455,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для струменевих принтерів/БФП G&G Epson WF-M5190/WF-M5690 Black (10 000 стор) (G&G-C13T865140),,2042,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-g-g-epson-wf-m5190-wf-m5690-black-10-000-stor-g-g-c13t865140.html,2269,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
911603490,,,,,1800381,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для струменевих принтерів/БФП Canon PFI-107 Yellow (6708B001),,4865,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-pfi-107-yellow-6708b001.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
911603496,6711034,KELA,Кастрюля KELA Flavoria 1.2 л (10171),2399,1812763,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Flavoria 16 см 1.2 л (10171),,2399,1,https://comfy.ua/kastrjulja-kela-flavoria-16-sm-1-2-l-10171.html,2999,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
911603527,,,,,1810225,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus CAT 6a S-FTP AWG 26/7 LSOH 10 m (DK-1644-A-100),,609,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6a-s-ftp-awg-26-7-lsoh-10-m-dk-1644-a-100.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
911603548,,,,,1809091,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G Epson L100/L200 Cyan (G&G-C13T66424A),,175,1,https://comfy.ua/chernila-g-g-epson-l100-l200-cyan-g-g-c13t66424a.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
911603667,,,,,1809090,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson M1100/M1120/M1140/M1180/M2140/M3140/M3170/M3180/M1170/M2170 Black pig. XL 140 мл (G&G-C13T03P14A),,389,1,https://comfy.ua/chernila-g-g-epson-m1100-m1120-m1140-m1180-m2140-m3140-m3170-m3180-m1170-m2170-black-pig-xl-140-ml-g-g-c13t03p14a.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
911603669,,,,,1812910,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Чорнило Canon GI-43 Grey (4707C001),,675,1,https://comfy.ua/chernila-canon-gi-43-grey-4707c001.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
911614041,6700989,DEFENDER,Гарнитура DEFENDER Scrapper (64500),565,1808455,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Гарнітура дротова ігрова Defender Scrapper 500 Red/Black (64500),,565,1,https://comfy.ua/garnitura-provodnaja-igrovaja-defender-scrapper-500-red-black-64500.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
911614254,6700978,DEFENDER,Гарнитура DEFENDER FreeMotion B540 Black (63540),729,1808451,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Гарнітура бездротова Defender FreeMotion B540 Black (63540),,689,1,https://comfy.ua/garnitura-besprovodnaja-defender-freemotion-b540-black-63540.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
911631425,,,,,1815174,Детские товары >> Творчество и развитие,crayola,Набір для малювання Crayola фарбами Mini Kids (washable) (256698.006),,399,1,https://comfy.ua/nabor-dlja-risovanija-crayola-kraskami-mini-kids-washable-256698-006.html,559,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
911631465,,,,,1815221,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Crayola,crayola,"""Набір воскової крейди Crayola викручуються """"Твіст"""", 12 шт (256319.024)""",,161,1,https://comfy.ua/nabor-voskovyh-melkov-crayola-vykruchivajuschihsja-tvist-12-sht-256319-024.html,251,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
911631493,,,,,1815185,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Crayola,crayola,"""Набір для малювання Crayola Mini Kids """"24 години розваг"""" (256721.004)""",,699,1,https://comfy.ua/nabor-dlja-risovanija-crayola-mini-kids-24-chasa-razvlechenij-256721-004.html,979,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
911667571,,,,,1808137,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",makkon,Картридж для лазерних принтерів/БФП Makkon Samsung ML-2160/2165W/SCX-3400 (MLT-D101S) (MN-SAM-SD101S),,459,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-makkon-samsung-ml-2160-2165w-scx-3400-mlt-d101s-mn-sam-sd101s.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
911934051,6711103,KELA,Ложка деревянная KELA Maribor 30 см (23332),69,1812798,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка кухарська Kela Maribor 30 см (23332),,69,1,https://comfy.ua/lozhka-povarskaja-kela-maribor-30-sm-23332.html,179,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
911934055,6711104,KELA,Ложка KELA Maribor 35 см (23333),99,1812799,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка кухарська Kela Maribor 35 см (23333),,99,1,https://comfy.ua/lozhka-povarskaja-kela-maribor-35-sm-23333.html,189,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
911957681,,,,,1811026,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Мережевий зарядний пристрій Colorway 2USB 2.1A Black (CW-CHS015-BK),,179,1,https://comfy.ua/catalog/product/view/id/2514393,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
911957794,,,,,1806617,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",netgear,Коммутатор локальної мережі (Switch) Netgear GS108T-300PES,,4819,1,https://comfy.ua/catalog/product/view/id/2514543,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
911960507,,,,,1815323,"Дом, отдых и зоотовары >> Освещение",altalusse,Настільна лампа Altalusse INL-5044T-09 White,,569,1,https://comfy.ua/catalog/product/view/id/2518653,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
911960511,,,,,1815322,"Дом, отдых и зоотовары >> Освещение",altalusse,Настільна лампа Altalusse INL-5044T-09 Black,,569,1,https://comfy.ua/catalog/product/view/id/2518663,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
911989077,6711168,KELA,Щипцы KELA Maribor 22.5 см (23349),99,1812797,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Kela,kela,Щипці кухонні Kela Maribor 22.5 см (23349),,99,1,https://comfy.ua/schipcy-kuhonnye-kela-maribor-22-5-sm-23349.html,199,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
912086834,6711122,KELA,Мельница для перца и соли KELA Kauri (12195),1299,1812754,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Kela,kela,Млинок для спецій Kela Kauri 5.5x13 см (12195),,1299,1,https://comfy.ua/mel-nica-dlja-specij-kela-kauri-5-5x13-sm-12195.html,1999,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
912086835,6711124,KELA,Мельница для соли и перца KELA Kauri (12196),1279,1812757,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Kela,kela,Млинок для спецій Kela Kauri 5.5x18 см (12196),,1279,1,https://comfy.ua/mel-nica-dlja-specij-kela-kauri-5-5x18-sm-12196.html,2129,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
912086836,6711123,KELA,Мельница для перца и соли KELA Kauri (12191),2129,1812756,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Kela,kela,Млинок для спецій Kela Kauri 5.5x18 см (12191),,2129,1,https://comfy.ua/mel-nica-dlja-specij-kela-kauri-5-5x18-sm-12191.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
912086837,6711125,KELA,Мельница для соли и перца KELA Kauri (12192),1559,1812758,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Kela,kela,Млинок для спецій Kela Kauri 5.5x23 см (12192),,1559,1,https://comfy.ua/mel-nica-dlja-specij-kela-kauri-5-5x23-sm-12192.html,2399,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
912096696,6711038,KELA,"Кастрюля KELA Flavoria 5,5 л (10176)",2999,1812767,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Flavoria 24 см 5.5 л (10176),,2999,1,https://comfy.ua/kastrjulja-kela-flavoria-24-sm-5-5-l-10176.html,4999,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
912112634,,,,,1811134,"Аудио, фото и видео >> Наушники",epos,Гарнітура бездротова Epos Adapt 231,,4236,1,https://comfy.ua/catalog/product/view/id/2515243,9109,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
912112635,,,,,1811133,"Аудио, фото и видео >> Наушники",epos,Гарнітура бездротова Epos Adapt 230,,9899,1,https://comfy.ua/catalog/product/view/id/2515263,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
912148074,6711044,KELA,Ковш KELA Flavoria 1.3 л (10181),2039,1812800,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Kela,kela,Ківш Kela Flavoria 16 см 1.3 л (10181),,2039,1,https://comfy.ua/kovsh-kela-flavoria-16-sm-1-3-l-10181.html,2259,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
912148075,6711046,KELA,"Ковш KELA Flavoria 2,6 л (10183)",2799,1812802,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Kela,kela,Ківш Kela Flavoria 20 см 2.6 л (10183),,2799,1,https://comfy.ua/kovsh-kela-flavoria-20-sm-2-6-l-10183.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
912155835,,,,,1797343,Техника для дома >> Климатическая техника,roda,Радіатор опалення Roda 22 VK R 300х1600 (0302010219-000025410),,5099,1,https://comfy.ua/catalog/product/view/id/2516733,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
912157232,,,,,1810622,Техника для кухни >> Мелкая техника,prime-technics,М'ясорубка Prime Technics PG 2003 W,,3199,1,https://comfy.ua/catalog/product/view/id/2439023,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
912163829,,,,,1811026,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Мережевий зарядний пристрій Colorway 2USB 2.1A Black (CW-CHS015-BK),,179,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-2usb-2-1a-black-cw-chs015-bk.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
912184924,6672569,LEOV,Бойлер LEOV LUN Small 5 l,3599,1765597,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LUN Small 5 l,,3599,1,https://comfy.ua/vodonagrevatel-leov-lun-small-5-l.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
912185199,,,,,1807264,Посуда >> Кухонные аксессуары,tefal,Кухарський набір приладів Tefal K206S414 Ingenio 4 пр.,,899,1,https://comfy.ua/catalog/product/view/id/2398483,1599,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
912255665,,,,,.1815326,"Аудио, фото и видео >> Аксессуары для фото, видео",esperanza,Батарейка тип AAA Esperanza 4 шт. (EZB102),,69,1,https://comfy.ua/batarejka-tip-aaa-esperanza-4-sht-ezb102.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
