1447521734,column,column,column,column,2236500,Детские товары >> Игрушки,wetaworkshop,__lord_of_the_rings_lord_of_the_rings_aragorn_865002518,column,1745,1,httpscomfyuakollekcionnajafigurkalordoftheringsaragorn865002518html,column,06112025_143,column,__42,Фастів,0
1447526601,,,,,.2247634,Детские товары >> Игрушки,noble-collection,Пазли (8+) Noble Collection Harry Potter The Marauder's Map Cover 1000 шт. (NN9457),,1249,1,https://comfy.ua/pazly-kartonnye-8-harry-potter-the-marauder-s-map-cover-1000-sht-849421004491.html,,06.11.2025 0:18,,"вул. Соборна, 42",Фастів,0
1447538674,,,,,.2236467,Детские товары >> Игрушки,weta-workshop,Колекційна фігурка Weta Workshop PLANET OF THE APES Cornelius (565002731),,2249,1,https://comfy.ua/kollekcionnaja-figurka-planet-of-the-apes-cornelius-565002731.html,,06.11.2025 1:33,,"вул. Соборна, 42",Фастів,0
1447538676,6855057,LI'L WOODZEEZ,Игровой наборLI'L WOODZEEZ Фургон с мороженым (WZ6634Z),1479,2241379,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки Li'l Woodzeez Фургон з морозивом (WZ6634Z),,1999,1,https://comfy.ua/sjuzhetno-rolevaja-igra-magazin-li-l-woodzeez-furgon-s-morozhenym-wz6634z.html,,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
1447538678,,,,,.2236504,Детские товары >> Игрушки,harry-potter,Колекційна фігурка Harry Potter HARRY POTTER and Buckbeak (WBHPM39921-MC),,1566,1,https://comfy.ua/kollekcionnaja-figurka-harry-potter-and-buckbeak-wbhpm39921-mc.html,1999,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
1447538681,,,,,.2236506,Детские товары >> Игрушки,iron-studios,Колекційна фігурка Iron Studios Harry Potter At the Quiddich Match (WBHPM39821-MC),,999,1,https://comfy.ua/kollekcionnaja-figurka-harry-potter-at-the-quiddich-match-wbhpm39821-mc.html,1499,06.11.2025 1:32,,"вул. Соборна, 42",Фастів,0
1447538685,,,,,2236466,Comfy KIDS >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Quantum Mechanix,quantum-mechanix,Колекційна фігурка Quantum Mechanix PREDATOR Shiftsuit Variant (PRE-0101A),,1399,1,https://comfy.ua/kollekcionnaja-figurka-predator-shiftsuit-variant-pre-0101a.html,1999,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
1447539594,,,,,.2252907,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Focus 2 RGB Black TG Clear Tint (FD-C-FOC2A-03),,4959,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-focus-2-rgb-black-tg-clear-tint-fd-c-foc2a-03.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1447539595,,,,,.2252908,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Focus 2 RGB White TG Clear Tint (FD-C-FOC2A-04),,4959,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-focus-2-rgb-white-tg-clear-tint-fd-c-foc2a-04.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1447542205,,,,,.2252926,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Pop Silent Black TG Clear Tint (FD-C-POS1A-02),,5669,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-pop-silent-black-tg-clear-tint-fd-c-pos1a-02.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1447542214,,,,,2252928,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Pop Mini Air RGB White TG (FD-C-POR1M-01),,5839,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-pop-mini-air-rgb-white-tg-fd-c-por1m-01.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1447542216,,,,,2252919,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Pop Air RGB White TG Clear Tint (FD-C-POR1A-01),,5839,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-pop-air-rgb-white-tg-clear-tint-fd-c-por1a-01.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1447542217,,,,,.2252920,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Pop Air RGB Cyan Core TG (FD-C-POR1A-02),,6129,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-pop-air-rgb-cyan-core-tg-fd-c-por1a-02.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1447542220,,,,,2252923,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Pop Air RGB Orange Core TG (FD-C-POR1A-05),,5839,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-pop-air-rgb-orange-core-tg-fd-c-por1a-05.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1447542221,,,,,.2252924,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Pop Air RGB Blck TG Clear Tint (FD-C-POR1A-06),,6129,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-pop-air-rgb-blck-tg-clear-tint-fd-c-por1a-06.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1447545270,,,,,.2252909,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Meshify 2 Nano Blk TG Dark Tint (FD-C-MES2N-01),,6559,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-meshify-2-nano-blk-tg-dark-tint-fd-c-mes2n-01.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1447545271,,,,,.2252910,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Meshify 2 Nano Wh TG Clear Tint (FD-C-MES2N-02),,6379,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-meshify-2-nano-wh-tg-clear-tint-fd-c-mes2n-02.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1447545273,,,,,2252911,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Meshify 2 Mini Blk TG Dark Tint (FD-C-MES2M-01),,7039,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-meshify-2-mini-blk-tg-dark-tint-fd-c-mes2m-01.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1447545274,,,,,2252912,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Meshify 2 Mini Wh TG Clear Tint (FD-C-MES2M-02),,6819,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-meshify-2-mini-wh-tg-clear-tint-fd-c-mes2m-02.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1447545275,,,,,.2252932,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Pop XL Silent Black Solid (FD-C-POS1X-01),,7339,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-pop-xl-silent-black-solid-fd-c-pos1x-01.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1447546685,,,,,.2236513,Детские товары >> Игрушки,dc-comics,Колекційна фігурка DC Comics DC COMICS Cyborg: Justice League (MH0005),,1249,1,https://comfy.ua/kollekcionnaja-figurka-dc-comics-cyborg-justice-league-mh0005.html,,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
1447546686,6722461,IRON STUDIOS,Фигурка IRON STUDIO DC COMICS Batman Comics Deluxe (MH0011),2119,2237214,Детские товары >> Игрушки,dc-comics,Колекційна фігурка DC Comics DC COMICS Batman Comics Deluxe (DCCDCG41821-MC),,2119,1,https://comfy.ua/kollekcionnaja-figurka-dc-comics-batman-comics-deluxe-dccdcg41821-mc.html,,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
1447546687,,,,,.2247639,Детские товары >> Игрушки,noble-collection,Колекційна фігурка Noble Collection Harry Potter Cornish Pixie - Magical Creatures No. 11 (NN7678),,1666,1,https://comfy.ua/kollekcionnaja-figurka-harry-potter-cornish-pixie-magical-creatures-no-11-849421004873.html,2189,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
1447546688,,,,,.2244605,Детские товары >> Игрушки,noble-collection,Колекційна фігурка Noble Collection Harry Potter Magical Creatures Fawkes (NN7540),,2189,1,https://comfy.ua/kollekcionnaja-figurka-harry-potter-magical-creatures-fawkes-849421003425.html,,06.11.2025 1:43,,"вул. Соборна, 42",Фастів,0
1447546689,,,,,.2244606,Детские товары >> Игрушки,noble-collection,Колекційна фігурка Noble Collection Harry Potter Magical Creatures Hedwig (NN7542),,2189,1,https://comfy.ua/kollekcionnaja-figurka-harry-potter-magical-creatures-hedwig-849421003364.html,,06.11.2025 0:59,,"вул. Соборна, 42",Фастів,0
1447546690,,,,,.2247633,Детские товары >> Игрушки,noble-collection,Колекційна фігурка Noble Collection Harry Potter Magical Creatures - Dobby (NN7346),,2189,1,https://comfy.ua/kollekcionnaja-figurka-harry-potter-magical-creatures-dobby-849421003371.html,,06.11.2025 0:57,,"вул. Соборна, 42",Фастів,0
1447546695,6855048,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Большой коттеджный дом (WZ6749Z),4290,2241389,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Великий котеджний будинок (WZ6749Z),,5799,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-bol-shoj-kottedzhnyj-dom-wz6749z.html,,06.11.2025 1:03,,"вул. Соборна, 42",Фастів,0
1447546696,,,,,.2247632,Детские товары >> Игрушки,noble-collection,Колекційна фігурка Noble Collection Harry Potter Dementor's Crystal Ball (NN7062),,4599,1,https://comfy.ua/kollekcionnaja-figurka-harry-potter-dementor-s-crystal-ball-812370011346.html,,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
1447569392,6840899,MIDEA,Бойлер MIDEA PRIME Wi-Fi D80-20ED6 (D),15449,2262716,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D80-20ED6 (D),,15199,1,https://comfy.ua/vodonagrevatel-midea-d80-20ed6-d.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1447593300,,,,,.2257159,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC ACFAN00222A,,399,1,https://comfy.ua/korpusnyj-ventiljator-arctic-acfan00222a.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1447595993,,,,,.2255170,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпусний вентилятор Fractal design Aspect 12 White (FD-F-AS1-1202),,589,1,https://comfy.ua/korpusnyj-ventiljator-fractal-design-aspect-12-white-fd-f-as1-1202.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1447595994,,,,,2255169,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпусний вентилятор Fractal design Aspect 12 Black (FD-F-AS1-1201),,599,1,https://comfy.ua/korpusnyj-ventiljator-fractal-design-aspect-12-black-fd-f-as1-1201.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1447595995,,,,,.2257165,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC ACFAN00231A,,489,1,https://comfy.ua/korpusnyj-ventiljator-arctic-acfan00231a.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1447595996,,,,,2255165,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпусний вентилятор Fractal design Aspect 12 RGB White Frame (FD-F-AS1-1208),,689,1,https://comfy.ua/korpusnyj-ventiljator-fractal-design-aspect-12-rgb-white-frame-fd-f-as1-1208.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1447595998,,,,,.2255164,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпусний вентилятор Fractal design Aspect 12 RGB PWM Black Frame (FD-F-AS1-1205),,799,1,https://comfy.ua/korpusnyj-ventiljator-fractal-design-aspect-12-rgb-pwm-black-frame-fd-f-as1-1205.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1447595999,,,,,2255172,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпусний вентилятор Fractal design Aspect 14 RGB PWM White Frame (FD-F-AS1-1409),,919,1,https://comfy.ua/korpusnyj-ventiljator-fractal-design-aspect-14-rgb-pwm-white-frame-fd-f-as1-1409.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1447596245,,,,,.2260396,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC II 240 ARGB White Edition (90RC00E2-M0UAY0),,7969,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-strix-lc-ii-240-argb-white-edition-90rc00e2-m0uay0.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1447596247,,,,,.2260401,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Ryujin II 240 ARGB (90RC00A1-M0UAY0),,12225,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-ryujin-ii-240-argb-90rc00a1-m0uay0.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1447600062,,,,,2031427,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Lerida Grafito,,5989,1,https://comfy.ua/mojka-kuhonnaja-granado-lerida-grafito.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1447600405,6837545,DEERMA,Фен DEERMA Electric Hair Drier (DEM-CF15W),999,2262777,Красота и здоровье >> Уход за волосами >> Фены >> Фены Deerma,deerma,Фен Deerma DEM-CF15W,,1599,1,https://comfy.ua/fen-deerma-dem-cf15w.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1447621214,6841104,SANDBERG,Powerbank SANDBERG Hand Warmer 10000 mAh (420-65),2899,.2256801,Смартфоны и телефоны >> Аксессуары для смартфонов,sandberg,"Батарея мобільна Sandberg Hand Warmer 10000 mAh 2A, USB, ліхтар 1W (420-65)",,1199,1,https://comfy.ua/batareja-mobil-naja-sandberg-hand-warmer-10000-mah-2a-usb-fonar-1w-420-65.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1447623151,6893016,ZTE,smart/tel ZTE BLADE A51 lite 2/32GB (blue),2799,2235316,Смартфоны и телефоны >> Смартфоны >> Смартфоны ZTE >> Серия ZTE Blade A51 Lite,zte,Смартфон ZTE Blade A51 Lite 2/32Gb Blue,,2999,1,https://comfy.ua/smartfon-zte-blade-a51-lite-2-32gb-blue.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1447623902,6833639,AOC,Монитор AOC 27 Q27B3MA,6379,2262720,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор AOC Q27B3MA,,5609,1,https://comfy.ua/monitor-aoc-q27b3ma.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
