807254327,column,column,column,column,1749492,____________babyono,babyono,____babyono___52902,column,175,1,httpscomfyuakontejnerdljahranenijapustyshekbabyonoslonikgoluboj52902html,column,05112025_2033,column,__42,Фастів,0
807254353,,,,,1745793,Comfy KIDS >> Кормление >> Уход за грудью >> Уход за грудью Lovi,lovi,"Прокладки для грудей Lovi одноразовые День и ночь, 60 шт. (19/607)",,456,1,https://comfy.ua/prokladki-dlja-grudi-lovi-odnorazovye-den-i-noch-60-sht-19-607.html,599,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
807254354,,,,,1745823,Детские товары >> Кормление >> Уход за грудью >> Уход за грудью Lovi,lovi,"Прокладки для грудей Lovi одноразовые Discreet Elegance, 20 шт. черные (19/611)",,259,1,https://comfy.ua/prokladki-dlja-grudi-lovi-odnorazovye-discreet-elegance-20-sht-chernye-19-611.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254355,,,,,1749462,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Сушка для дитячих пляшечок BabyOno універсальна біла (1071/01),,369,1,https://comfy.ua/sushka-dlja-detskih-butylochek-babyono-universal-naja-belaja-1071-01.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
807254356,,,,,1745833,Детские товары >> Кормление >> Уход за грудью >> Уход за грудью Lovi,lovi,"Прокладки для грудей Lovi одноразовые Discreet Elegance, 20 шт. бежевые (19/610)",,319,1,https://comfy.ua/prokladki-dlja-grudi-lovi-odnorazovye-discreet-elegance-20-sht-bezhevye-19-610.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254357,,,,,1749453,Детские товары >> Кормление,babyono,Сушка для дитячих пляшечок BabyOno універсальна вертикальна (тисячу сімдесят-два),,409,1,https://comfy.ua/sushka-dlja-detskih-butylochek-babyono-universal-naja-vertikal-naja-1072.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
807254360,,,,,.1749505,Детские товары >> Кормление,babyono,"Йоржик для дитячих пляшечок BabyOno для чищення соломок і трубочок, 4 шт. (733)",,96,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-dlja-chistki-solomok-i-trubochek-4-sht-733.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
807254362,,,,,1749488,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Йоржик для дитячих пляшечок BabyOno з присоскою сірий (728/04),,129,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-s-prisoskoj-seryj-728-04.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
807254363,,,,,1745832,Детские товары >> Кормление >> Уход за грудью >> Уход за грудью Lovi,lovi,"Прокладки для грудей Lovi одноразовые, 40 шт. (19/602)",,459,1,https://comfy.ua/prokladki-dlja-grudi-lovi-odnorazovye-40-sht-19-602.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
807254367,,,,,1745820,Детские товары >> Кормление >> Уход за грудью >> Уход за грудью Canpol babies,canpol-babies,"Прокладки для грудей Canpol babies одноразові, 30 шт. (1/653)",,199,1,https://comfy.ua/prokladki-dlja-grudi-canpol-babies-odnorazovye-30-sht-1-653.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
807254370,,,,,1749511,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,"Йоржик для дитячих пляшечок BabyOno набір зі змінною ручкою, сірий (735/03)",,195,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-nabor-so-smennoj-ruchkoj-seryj-735-03.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
807254371,,,,,1749510,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,"Йоржик для дитячих пляшечок BabyOno набір зі змінною ручкою, зелений (735/02)",,195,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-nabor-so-smennoj-ruchkoj-zelenyj-735-02.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
807254376,,,,,1749486,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Йоржик для дитячих пляшечок BabyOno з присоскою блакитний (728/01),,129,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-s-prisoskoj-goluboj-728-01.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
807254378,,,,,1749518,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,"Йоржик для дитячих пляшечок BabyOno набір зі змінною ручкою, синій (735/01)",,195,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-nabor-so-smennoj-ruchkoj-sinij-735-01.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
807254380,,,,,1745969,Детские товары >> Кормление,lindo,"Йоржик для дитячих пляшечок Lindo і сосок з поролоном, Синій (Рk 014-А син)",,76,1,https://comfy.ua/ershik-dlja-detskih-butylochek-lindo-i-sosok-s-paralonom-sinij-rk-014-a-sin.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254382,,,,,1745957,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lindo",lindo,"Йоржик для дитячих пляшечок Lindo поролоновий, синій (Рk 013-А син)",,8,1,https://comfy.ua/ershik-dlja-detskih-butylochek-lindo-porolonovyj-sinij-rk-013-a-sin.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
807254384,,,,,.1745959,Детские товары >> Кормление,lindo,"Йоржик для дитячих пляшечок Lindo і сосок з поролоном, зелений (Рk 014-А зел)",,76,1,https://comfy.ua/ershik-dlja-detskih-butylochek-lindo-i-sosok-s-paralonom-zelenyj-rk-014-a-zel.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254386,,,,,1745958,Детские товары >> Кормление,lindo,"Йоржик для дитячих пляшечок Lindo і сосок з поролоном, жовтий (Рk 014-А жел)",,76,1,https://comfy.ua/ershik-dlja-detskih-butylochek-lindo-i-sosok-s-paralonom-zheltyj-rk-014-a-zhel.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
807254387,,,,,1735413,"Comfy KIDS >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки QCBaby",qcbaby,Горщик дитячий QCBaby восьминіг QC9906turquoice,,252,1,https://comfy.ua/gorshok-detskij-qcbaby-os-minog-qc9906turquoice.html,299,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
807254388,,,,,1745946,Детские товары >> Кормление,lindo,"Йоржик для дитячих пляшечок Lindo і сосок з поролоном, рожевий (Рk 014-А рож)",,76,1,https://comfy.ua/ershik-dlja-detskih-butylochek-lindo-i-sosok-s-paralonom-rozovyj-rk-014-a-roz.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254390,,,,,.1745945,Детские товары >> Кормление,lindo,"Йоржик для дитячих пляшечок Lindo поролоновий, червоний (Рk 013-А кр)",,23,1,https://comfy.ua/ershik-dlja-detskih-butylochek-lindo-porolonovyj-krasnyj-rk-013-a-kr.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
807254398,6382104,PHILIPS AVENT,Щетка для мытья бутылочек AVENT SCF145/06,306,1738303,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Philips",philips,Йоржик для дитячих пляшечок Philips Avent Blue (SCF145/06),,399,1,https://comfy.ua/ershik-dlja-detskih-butylochek-philips-avent-blue-scf145-06.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
807254408,,,,,1748116,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,Середній потік соска дитяча силіконова Lovi динамичная переменный поток 2 шт (18/754),,259,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-lovi-dinamichnaja-peremennyj-potok-2-sht-18-754.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
807254414,,,,,1748107,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,Середній потік соска дитяча силіконова Lovi динамичная 2 шт (18/751),,245,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-lovi-dinamichnaja-2-sht-18-751.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
807254418,7047615,LINDO,Нагрудник LINDO Ф 934 голубой (Ф 934 гол),39,1746009,Comfy KIDS >> Кормление >> Нагрудники детские >> Нагрудники детские Lindo,lindo,"Слинявчик Lindo на кнопці, блакитний (Ф 934 гол)",,54,1,https://comfy.ua/sljunjavchik-lindo-na-knopke-goluboj-f-934-gol.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
807254419,7047617,LINDO,Нагрудник LINDO Ф 934 желтый (Ф 934 жел),39,1746010,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские Lindo,lindo,"Слинявчик Lindo на кнопці, жовтий (Ф 934 жел)",,54,1,https://comfy.ua/sljunjavchik-lindo-na-knopke-zheltyj-f-934-zhel.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
807254421,,,,,1748112,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Середній потік соска дитяча силіконова Canpol babies змінний потік EASYSTART 2 шт (21/734),,145,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-canpol-babies-peremennyj-potok-easystart-2-sht-21-734.html,165,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254423,,,,,1748111,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Середній потік соска дитяча силіконова Canpol babies змінний потік (18/130),,54,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-canpol-babies-peremennyj-potok-18-130.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254424,,,,,1748105,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Середній потік соска дитяча силіконова Canpol babies з широким горлом EasyStart змінний потік 1 шт (21/724),,83,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-canpol-babies-s-shirokim-gorlom-easystart-peremennyj-potok-1-sht-21-724.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
807254425,,,,,1748091,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Середній потік соска дитяча силіконова Canpol babies з широким горлом EasyStart 1 шт (21/721),,84,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-canpol-babies-s-shirokim-gorlom-easystart-1-sht-21-721.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
807254426,,,,,1748090,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Середній потік соска дитяча силіконова Canpol babies змінний потік 2 шт (18/330),,105,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-canpol-babies-peremennyj-potok-2-sht-18-330.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807254428,,,,,1748089,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Середній потік соска дитяча силіконова Canpol babies  (18/316),,54,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-canpol-babies-18-316.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
807254430,,,,,1748100,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies з широким горлом EASYSTART 2 шт (21/729),,145,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-s-shirokim-gorlom-easystart-2-sht-21-729.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254431,,,,,1748099,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies  (18/314),,54,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-18-314.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
807254433,,,,,1748097,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies 2 шт (18/114),,93,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-2-sht-18-114.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
807254435,,,,,1745745,Comfy KIDS >> Кормление >> Нагрудники детские >> Нагрудники детские Canpol babies,canpol-babies,Нагрудник пластиковий Canpol babies м'який (2/919),,169,1,https://comfy.ua/nagrudnik-plastikovyj-canpol-babies-mjagkij-2-919.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
807254436,,,,,1748084,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies з широким горлом EASYSTART 2 шт (21/730),,149,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-s-shirokim-gorlom-easystart-2-sht-21-730.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
807254437,,,,,1748083,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies з широким горлом EasyStart повільна 1 шт (21/720),,89,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-s-shirokim-gorlom-easystart-medlennaja-1-sht-21-720.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
807254439,,,,,1748082,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies з широким горлом Easy Start 1 шт (21/719),,84,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-s-shirokim-gorlom-easy-start-1-sht-21-719.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807254441,,,,,1748081,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies  (18/315),,54,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-18-315.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807254446,,,,,1748076,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies 2 шт (18/116),,93,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-2-sht-18-116.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807254448,,,,,1748075,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Малий потік соска дитяча силіконова Canpol babies 2 шт (18/115),,91,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-canpol-babies-2-sht-18-115.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
807254450,,,,,1748094,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,Великий потік соска дитяча силіконова Lovi динамичная для каши 2 шт (18/753),,245,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-lovi-dinamichnaja-dlja-kashi-2-sht-18-753.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
807254451,,,,,1745888,Детские товары >> Кормление,canpol-babies,"Нагрудник тканинний Canpol babies на липучці So Cool, бавовна, бірюзовий (15/114_tur)",,185,1,https://comfy.ua/sljunjavchik-canpol-babies-na-lipuchke-so-cool-hlopok-birjuzovyj-15-114-tur.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807254456,,,,,1748072,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,Великий потік соска дитяча силіконова Lovi динамичная 2 шт (18/752),,245,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-lovi-dinamichnaja-2-sht-18-752.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
807254458,,,,,1748092,Детские товары >> Кормление,canpol-babies,Великий потік соска дитяча силіконова Canpol babies для каші (18/318),,54,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-canpol-babies-dlja-kashi-18-318.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
807254476,6710395,MELICA ORGANIC,Зубная паста Melica Organic Яблоко 100 мл (4770416003600),183,1739637,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Melica",melica,Зубна паста дитяча Melica Organic Яблуко 100 мл (4770416003600),,175,1,https://comfy.ua/zubnaja-pasta-detskaja-melica-organic-jabloko-100-ml-4770416003600.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807254479,,,,,1737344,Детские товары >> Кормление,baby-team,"Поїльник-непроливайка дитячий Baby Team з силіконовим спаутом і ручками, 250 мл (5004)",,209,1,https://comfy.ua/poil-nik-neprolivajka-detskij-baby-team-s-silikonovym-spautom-i-ruchkami-250-ml-5004.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
807254482,,,,,1748070,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Canpol babies",canpol-babies,Великий потік соска дитяча силіконова Canpol babies з широким горлом EasyStart для каші 1 шт (21/723),,84,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-canpol-babies-s-shirokim-gorlom-easystart-dlja-kashi-1-sht-21-723.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
