1443119571,column,column,column,column,2245547,"Аудио, фото и видео >> Аксессуары для фото, видео",colorway,__aa_colorway_cwbalr0624pb,column,379,1,httpscomfyuabatarejkatipaacolorwaycwbalr0624pbhtml,column,05112025_1831,column,__42,Фастів,0
1444667751,6851501,ELEYUS,Стиральная машина ELEYUS WMFS 06 1200 I (11540),17945,2245125,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины ELEYUS,eleyus,Пральна машина ELEYUS WMFS 06 1200 I,,17945,1,https://comfy.ua/stiral-naja-mashina-eleyus-wmfs-06-1200-i.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1444686328,6851502,ELEYUS,Стиральная машина ELEYUS WMFS 08 1400 I (11541),21879,2245126,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины ELEYUS,eleyus,Пральна машина ELEYUS WMFS 08 1400 I,,21879,1,https://comfy.ua/stiral-naja-mashina-eleyus-wmfs-08-1400-i.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1444721255,6823843,DEFENDER,Мышь DEFENDER Warfame GM-880L RGB Black (52880),445,2241360,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Defender",defender,Миша дротова ігрова Defender Warfame GM-880L (52880),,359,1,https://comfy.ua/mysh-provodnaja-igrovaja-defender-warfame-gm-880l-52880.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1444721790,6839430,SANDBERG,Мышь Sandberg Azazinator Mouse Black (640-20),499,2241783,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Sandberg",sandberg,Миша дротова ігрова Sandberg Azazinator Mouse 6400 RGB Black (640-20),,349,1,https://comfy.ua/mysh-provodnaja-igrovaja-sandberg-azazinator-mouse-6400-rgb-black-640-20.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1444737997,6820601,ELEYUS,Духовой шкаф ELEYUS MAGDA 6006 BL,9999,2245527,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы ELEYUS,eleyus,Духова шафа електрична ELEYUS MAGDA 6006 BL,,9999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-eleyus-magda-6006-bl.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1444769686,6835202,ELEYUS,Плита комбинированная ELEYUS COMBO 6007 EF WH,11999,2245519,Техника для кухни >> Крупная техника >> Плиты >> Плиты ELEYUS,eleyus,Плита газова ELEYUS COMBO 6007 EF WH,,11999,1,https://comfy.ua/plita-gazovaja-eleyus-combo-6007-ef-wh.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1445059477,6820599,ELEYUS,Встраиваемая посудомоечная машина ELEYUS DWO 45024,14999,2245123,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины ELEYUS,eleyus,Посудомийна машина вбудована ELEYUS DWO 45024,,14999,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-eleyus-dwo-45024.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1445576580,6848550,MPM,Утюг MPM MZE-21/RS,1499,2249273,Техника для дома >> Мелкая техника >> Утюги >> Утюги MPM,mpm,Праска MPM MZE-21/RS,,1499,1,https://comfy.ua/utjug-mpm-mze-21-rs.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1445618573,,,,,2235507,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",huawei,Модем 4G Huawei E3372-325 White,,1499,1,https://comfy.ua/modem-4g-huawei-e3372h-325-white.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1445623269,6908121,AOC,Монитор AOC Q27V5CW/BK,12510,2251924,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор AOC Q27V5CW/BK,,12619,1,https://comfy.ua/monitor-aoc-q27v5cw-bk.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1445627427,6850078,WHIRLPOOL,Стиральная машина Whirlpool AWE 66710 UA,15999,2249230,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Whirlpool,whirlpool,Пральна машина Whirlpool AWE 66710 UA,,15555,1,https://comfy.ua/stiral-naja-mashina-whirlpool-awe-66710-ua.html,18399,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1445627428,,,,,2001493,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Тонер для заправки картриджа G&G для Xerox VL B400/405 Black 24600 ст. (G&G-106R03585),,4175,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-g-g-dlja-xerox-vl-b400-405-black-24600-st-g-g-106r03585.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1445629799,,,,,.2142034,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Корпус Chieftec Pro Cube без блока живлення 2xUSB3.1 mATX Black (CI-02B-OP),,2139,1,https://comfy.ua/korpus-chieftec-pro-cube-bez-bloka-pitanija-2xusb3-1-matx-black-ci-02b-op.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1445680329,6834984,TVS,Сотейник TVS Natura 24 см Green (BS380242910001),1419,2236793,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники TVS,tvs,Сотейник TVS Natura Induction 24 см (8000807044926),,1419,1,https://comfy.ua/sotejnik-tvs-natura-induction-24-sm-8000807044926.html,2579,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1445733711,6835110,TEFAL,Электрочайник TEFAL DOUBLE LAYER KI583E10,2699,2216249,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Tefal,tefal,Електричний чайник Tefal KI583E10,,2699,1,https://comfy.ua/jelektricheskij-chajnik-tefal-ki583e10.html,2899,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1445733712,6835111,TEFAL,Электрочайник TEFAL DOUBLE LAYER KI583C10,2699,2216250,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Tefal,tefal,Електричний чайник Tefal KI583C10,,2699,1,https://comfy.ua/jelektricheskij-chajnik-tefal-ki583c10.html,2899,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1445733783,,,,,2244558,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Rapoo",rapoo,Миша бездротова Rapoo M200 Silent Wireless White,,549,1,https://comfy.ua/mysh-besprovodnaja-rapoo-m200-silent-wireless-white.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,2
1445748319,,,,,.2090689,"Аудио, фото и видео >> Наушники",sennheiser,Навушники вкладиші бездротові TWS Sennheiser Sport True Wireless Mic Black,,5429,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-sennheiser-sport-true-wireless-mic-black.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1445748320,6904705,SENNHEISER,Наушники SENNHEISER RS 120-W Black (700171),5778,2241347,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Гарнітура бездротова Sennheiser RS 120-W,,5779,1,https://comfy.ua/garnitura-besprovodnaja-sennheiser-rs-120-w.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1445775659,,,,,2251614,"Аудио, фото и видео >> Наушники",jbl,Гарнітура бездротова ігрова JBL Quantum 810 Wireless Чорний (JBLQ810WLBLK),,8499,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-jbl-quantum-810-wireless-chernyj-jblq810wlblk.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1445775732,6840049,GRAPHITE,Тепловая пушка GRAPHITE 58GE100,5999,2253549,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели GRAPHITE,graphite,Теплова гармата GRAPHITE 58GE100,,3499,1,https://comfy.ua/teplovaja-pushka-graphite-58ge100.html,5999,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1445775733,6840050,GRAPHITE,Тепловая пушка GRAPHITE 58GE101,9649,.2253550,Техника для дома >> Климатическая техника,graphite,Теплова гармата GRAPHITE 58GE101,,6299,1,https://comfy.ua/teplovaja-pushka-graphite-58ge101.html,6999,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1445775741,,,,,2251615,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны JBL",jbl,Мікрофон до комп'ютера JBL Quantu Stream Black (JBLQSTREAMBLK),,3899,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-jbl-quantu-stream-black-jblqstreamblk.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1445777422,,,,,.2241348,"Аудио, фото и видео >> Акустика",audioengine,Акустична система Audioengine P4-Black,,14529,1,https://comfy.ua/akusticheskaja-sistema-audioengine-p4-black.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1445777423,,,,,.2241340,"Аудио, фото и видео >> Акустика",steelseries,Портативна акустика SteelSeries Arena 7 (61543),,17999,1,https://comfy.ua/portativnaja-akustika-steelseries-arena-7-61543.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1445777425,,,,,2254336,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Веб-камеры >> Веб-камеры Logitech",logitech,Веб-камера для комп'ютера Logitech Brio 500 Rose (960-001421),,6299,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-logitech-brio-500-rose-960-001421.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1445778094,6876330,AOC,Монитор AOC Q32V5CE/BK,13949,.2251925,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",aoc,Монітор AOC Q32V5CE/BK,,11499,1,https://comfy.ua/monitor-aoc-q32v5ce-bk.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1445778235,,,,,2236714,"Дом, отдых и зоотовары >> Отдых и путешествия >> Автохолодильники >> Автохолодильники Sencor",sencor,Холодильник автомобільний Sencor SCM 1122 Orange,,3299,1,https://comfy.ua/holodil-nik-avtomobil-nyj-sencor-scm-1122-orange.html,3999,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1445778258,,,,,2236715,Дом и отдых >> Отдых и путешествия >> Автохолодильники >> Автохолодильники Sencor,sencor,Холодильник автомобільний Sencor SCM 2130 Green,,4799,1,https://comfy.ua/holodil-nik-avtomobil-nyj-sencor-scm-2130-green.html,5499,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1445786218,6979047,ARDESTO,Электропечь ARDESTO MEO-S40GB Black,2999,2249245,Техника для кухни >> Крупная техника,ardesto,Піч електрична Ardesto MEO-S40GB Black,,2999,1,https://comfy.ua/pech-jelektricheskaja-ardesto-meo-s40gb-black.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1445786219,6861792,ARDESTO,Электропечь ARDESTO MEO-S45GG,2999,2249250,Техника для кухни >> Крупная техника,ardesto,Піч електрична Ardesto MEO-S45GG Grey,,3299,1,https://comfy.ua/pech-jelektricheskaja-ardesto-meo-s45gg-grey.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1445786220,6861791,ARDESTO,Электропечь ARDESTO MEO-S45GBG,3599,2249249,Техника для кухни >> Крупная техника,ardesto,Піч електрична Ardesto MEO-S45GBG Beige,,3599,1,https://comfy.ua/pech-jelektricheskaja-ardesto-meo-s45gbg-beige.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1445786221,6861788,ARDESTO,Электропечь ARDESTO MEO-S40FGG,3599,2249244,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Ardesto,ardesto,Піч електрична Ardesto MEO-S40FGG Grey,,3599,1,https://comfy.ua/pech-jelektricheskaja-ardesto-meo-s40fgg-grey.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1445786222,6861793,ARDESTO,Электропечь ARDESTO MEO-S50GB,3699,2249252,Техника для кухни >> Крупная техника,ardesto,Піч електрична Ardesto MEO-S50GB Black,,3699,1,https://comfy.ua/pech-jelektricheskaja-ardesto-meo-s50gb-black.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1445786223,6889621,ARDESTO,Электропечь ARDESTO MEO-S45FGG,3899,2249248,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Ardesto,ardesto,Піч електрична Ardesto MEO-S45FGG Grey,,3899,1,https://comfy.ua/pech-jelektricheskaja-ardesto-meo-s45fgg-grey.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1445786224,6861790,ARDESTO,Электропечь ARDESTO MEO-S45FGB,3799,2249247,Техника для кухни >> Крупная техника,ardesto,Піч електрична Ardesto MEO-S45FGB Black,,3799,1,https://comfy.ua/pech-jelektricheskaja-ardesto-meo-s45fgb-black.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1445786225,6889622,ARDESTO,Электропечь ARDESTO MEO-S50FBG,4199,2249251,Техника для кухни >> Крупная техника,ardesto,Піч електрична Ardesto MEO-S50FBG Beige,,4199,1,https://comfy.ua/pech-jelektricheskaja-ardesto-meo-s50fbg-beige.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1445786263,6836234,LOGITECH,Комплект Logitech MK120 US (920-002563),1099,2254332,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Logitech",logitech,Клавіатура+миша Logitech MK120 USB UA (920-002563),,1099,1,https://comfy.ua/klaviatura-mysh-logitech-mk120-usb-ua-920-002563.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1445786316,6836237,LOGITECH,Клавиатура Logitech Touch K400 Plus Wireless US Black (920-007145),1899,2254333,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Logitech",logitech,Клавіатура бездротова для Smart TV Logitech Touch K400 Plus UA Black (920-007145),,1899,1,https://comfy.ua/klaviatura-besprovodnaja-dlja-smart-tv-logitech-touch-k400-plus-ua-black-920-007145.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1445786319,6836255,LOGITECH,Клавиатура LOGITECH MX Keys Mini Minimalist Wireless US Graphite (920-010498),5799,2254337,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Logitech",logitech,Клавіатура бездротова Logitech MX Keys Mini Wireless Illuminated UA Graphite (920-010498),,5799,1,https://comfy.ua/klaviatura-besprovodnaja-logitech-mx-keys-mini-wireless-illuminated-ua-graphite-920-010498.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1445786597,6891959,HEINNER,Микроволновая печь HEINNER HMW-20BK2,3099,2254092,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Heinner,heinner,Мікрохвильова піч (НВЧ) Heinner HMW-20BK2,,3099,1,https://comfy.ua/mikrovolnovaja-pech-svch-heinner-hmw-20bk2.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1445786725,,,,,2252952,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без БЖ (ET-209-NP),,869,1,https://comfy.ua/korpus-gamemax-atx-bez-bp-et-209-np.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1445786726,,,,,.2252944,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,"Корпус Chieftec COMPACT miniITX, без БЖ (IX-03B-OP)",,1279,1,https://comfy.ua/korpus-chieftec-compact-miniitx-bez-bp-ix-03b-op.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1445786727,,,,,.2252950,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,"Корпус Chieftec COMPACT mATX, без БЖ (IX-06B-OP)",,1719,1,https://comfy.ua/korpus-chieftec-compact-matx-bez-bp-ix-06b-op.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1445786737,,,,,.2252960,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax Micro ATX без БЖ (Aero Mini),,2169,1,https://comfy.ua/korpus-gamemax-micro-atx-bez-bp-aero-mini.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1445786801,,,,,.2252947,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Корпус Chieftec MESH mATX 2xUSB3.0+2xUSB2.0 БЖ (CS-12B-300),,4199,1,https://comfy.ua/korpus-chieftec-mesh-matx-2xusb3-0-2xusb2-0-bp-cs-12b-300.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
