1649210985,6853991,ringel,___ringel_fusion_9__rg110071,197,2655774,_____________ringel,ringel,___ringel_fusion_9__rg110071,column,197,1,httpscomfyuanozhdljaovoschejringelfusion9smrg110071html,column,05112025_1935,column,__42,Фастів,0
1649247007,,,,,.2817351,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition MAISON 25х21.5х9 см (SD1038-25),,419,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-maison-25h21-5h9-sm-sd1038-25.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1649248249,,,,,2817348,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition CHATEAU 35х25х7 см (SD1031-35),,599,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-chateau-35h25h7-sm-sd1031-35.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1649251141,,,,,.2817353,Посуда >> Для запекания и выпечки,limited-edition,Форма для приготування Limited Edition PALETTE 27.5х17.5х5.5 см (SD16401-27F),,319,1,https://comfy.ua/forma-dlja-prigotovlenija-limited-edition-palette-27-5h17-5h5-5-sm-sd16401-27f.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1649260603,6987590,EINHELL,Гайковерт EINHELL TC-PW 610 Compact (4138965),4314,2811713,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Гайковерт пневматичний Einhell TC-PW 610 Compact (4138965),,4315,1,https://comfy.ua/gajkovert-pnevmaticheskij-einhell-tc-pw-610-compact-4138965.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1649277046,,,,,2719368,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Krauzer,krauzer,Каструля Krauzer 22 см (FN04-22-2Z 77224),,1029,1,https://comfy.ua/kastrjulja-krauzer-22-sm-fn04-22-2z-77224.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1649277050,,,,,2782120,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Кабель HDMI Armorstandart 2.0 4K 2m Black (ARM69369),,249,1,https://comfy.ua/kabel-hdmi-armorstandart-2-0-4k-2m-black-arm69369.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1649290443,,,,,2781038,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",promate,Кабель HDMI Promate v.2.0 (prolink4k60-150),,299,1,https://comfy.ua/kabel-hdmi-promate-v-2-0-prolink4k60-150.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1649292718,,,,,2782121,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Кабель HDMI Armorstandart 2.1 8K 2m Black (ARM71096),,349,1,https://comfy.ua/kabel-hdmi-armorstandart-2-1-8k-2m-black-arm71096.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1649298841,7075838,JIMMY,Щелевая щетка 2 в 1 JIMMY для Jimmy JV85/JV85 PRO (F108D400001R),149,2790947,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов JIMMY,jimmy,Щітка до пилососа JIMMY 2 в 1 JV85/JV85 Pro (F108D400001R),,199,1,https://comfy.ua/schetka-dlja-pylesosa-jimmy-2-v-1-jv85-jv85-pro-f108d400001r.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1649299669,7075839,DREAME,Щетка DREAME для Dreame W10/W10 Pro (RBG6),599,2795168,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Dreame,dreame,Щітка до пилососа Dreame W10/W10 Pro (RBG6),,599,1,https://comfy.ua/schetka-dlja-pylesosa-dreame-w10-w10-pro-rbg6.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1649299671,6155148,KARCHER,Водяной фильтр KARCHER 4.730-059.0,535,2815917,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары для минимойки >> Аксессуары для минимойки Karcher,karcher,Фільтр для мінімийки Karcher 4.730-059.0,,559,1,https://comfy.ua/fil-tr-dlja-minimojki-karcher-4-730-059-0.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1649303982,7170787,WEILOR,Духовой шкаф WEILOR FPO6F8BK,10999,2584552,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FPO6F8BK,,10999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fpo6f8bk.html,13299,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1649311470,6977229,GORENJE,Варочная поверхность GORENJE GI6401WSC,16999,2824402,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня електрична Gorenje GI6401WSC,,20299,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-gorenje-gi6401wsc.html,23599,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1649312936,,,,,.2781019,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Oukitel RT5 (ARM72552),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-oukitel-rt5-arm72552.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1649312938,,,,,.2780506,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Oscal Pad 70 (ARM70000),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-oscal-pad-70-arm70000.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1649316120,,,,,2795120,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD107 Male to Female Extension Cable 0.5m Black (10140),,219,1,https://comfy.ua/kabel-hdmi-ugreen-hd107-male-to-female-extension-cable-0-5m-black-10140.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1649317522,6985573,FISKARS,Сотейник с крышкой FISKARS All Steel 28 см Stainless Steel (1064749),6900,2744881,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Fiskars,fiskars,Сотейник Fiskars All Steel 28 см (1064749),,6900,1,https://comfy.ua/sotejnik-fiskars-all-steel-28-sm-1064749.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1649317524,,,,,2744886,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Fiskars,fiskars,Сотейник Fiskars Norden 28 см (1067635),,10610,1,https://comfy.ua/sotejnik-fiskars-norden-28-sm-1067635.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1649317722,6946909,ESPERANZA,Электрочайник ESPERANZA Victoria 1.8 л Черный (EKK113K),499,2825617,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Esperanza,esperanza,Електричний чайник Esperanza Kettle Victoria (EKK113K),,499,1,https://comfy.ua/jelektricheskij-chajnik-esperanza-kettle-victoria-ekk113k.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1649318166,6948598,GRUNHELM,Блендер GRUNHELM EBS-501Р,589,2817267,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Grunhelm,grunhelm,Блендер заглибний Grunhelm EBS-501Р,,589,1,https://comfy.ua/blender-pogruzhnoj-grunhelm-ebs-501r.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1649362444,6853996,RINGEL,Точилка RINGEL Fusion (RG-11007-0),424,2655770,Посуда >> Нарезка и измельчение,ringel,Точилка кухонних ножів Ringel Fusion (RG-11007-0),,424,1,https://comfy.ua/tochilka-kuhonnyh-nozhej-ringel-fusion-rg-11007-0.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1649450722,,,,,.2819222,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",d-link,Коммутатор локальної мережі (Switch) D-Link DES-105/E,,695,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-d-link-des-105-e.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1649540492,6948067,SAMSUNG,Смартфон SAMSUNG Galaxy S24 SM-S921B 8/256Gb ZVG Cobalt Violet (SM-S921BZVGEUC),28899,2773433,Смартфоны и телефоны >> Смартфоны >> Смартфоны Samsung >> Серия Samsung Galaxy S24,samsung,Смартфон Samsung Galaxy S24 8/256Gb Cobalt Violet (SM-S921BZVGEUC),,28899,1,https://comfy.ua/smartfon-samsung-galaxy-s24-8-256gb-cobalt-violet-sm-s921bzvgeuc.html,32099,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1649541762,,,,,.2744882,Посуда >> Для приготовления,fiskars,"Ківш Fiskars All Steel 1,5 л (1064750)",,4379,1,https://comfy.ua/kovsh-fiskars-all-steel-1-5-l-1064750.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1649543837,6943736,FONENG,Саундбар FONENG BL12 Multimedia Bluetooth (BL12-BS-M),949,2815646,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Foneng",foneng,Портативна акустика Foneng BL12 Multimedia Bluetooth Speaker (BL12-BS-M),,955,1,https://comfy.ua/portativnaja-akustika-foneng-bl12-multimedia-bluetooth-speaker-bl12-bs-m.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
