1410687525,6787472,sr,__meister_15__216301015,232,2155646,______________sr,sr,__sr_meister_15__216301015,column,245,1,httpscomfyuanaborsverlsrmeister15sht216301015html,column,05112025_2149,column,__42,Фастів,0
1410699712,,,,,2154297,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки TY,ty,"""М'яка іграшка глазастик TY Beanie Boo's Блакитний хаскі """"PRINCE"""" 25см (36474)""",,599,1,https://comfy.ua/mjagkaja-igrushka-glazastik-ty-beanie-boo-s-goluboj-haski-prince-25sm-36474.html,,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
1410699714,,,,,2154288,Детские товары >> Игрушки,ty,"""М'яка іграшка TY SQUISH-A-BOOS Кішка """"MUFFIN"""" 40 см (39322)""",,599,1,https://comfy.ua/mjagkaja-igrushka-podushka-ty-squish-a-boos-koshka-muffin-40-sm-39322.html,,06.11.2025 1:19,,"вул. Соборна, 42",Фастів,0
1410700302,7170825,WEILOR,Варочная поверхность WEILOR GM 604 BL,7999,1980945,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня газова Weilor GM 604 BL,,7999,1,https://comfy.ua/varochnaja-panel-gazovaja-weilor-gm-604-bl.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1410701399,7170797,WEILOR,Варочная поверхность WEILOR GM 604 SS,7999,1980947,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня газова Weilor GM 604 SS,,7999,1,https://comfy.ua/varochnaja-panel-gazovaja-weilor-gm-604-ss.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1410704612,6729764,VENTOLUX,Духовой шкаф VENTOLUX LAS VEGAS 6 TC (SAND),11689,1825833,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Ventolux,ventolux,Духова шафа електрична Ventolux Las Vegas 6 TC (SAND),,11689,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-las-vegas-6-tc-sand.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1418117407,7170813,WEILOR,Варочная поверхность WEILOR GG 604 WH,9399,1980950,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня газова Weilor GG 604 WH,,9399,1,https://comfy.ua/varochnaja-panel-gazovaja-weilor-gg-604-wh.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1418117408,7170798,WEILOR,Варочная поверхность WEILOR GM 604 WH,7999,1980948,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня газова Weilor GM 604 WH,,7999,1,https://comfy.ua/varochnaja-panel-gazovaja-weilor-gm-604-wh.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1418117409,7170812,WEILOR,Варочная поверхность WEILOR GG 604 BL,9399,1980949,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня газова Weilor GG 604 BL,,9399,1,https://comfy.ua/varochnaja-panel-gazovaja-weilor-gg-604-bl.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1418250701,,,,,2155181,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",cablexpert,Хаб USB Cablexpert USB-A на Gigabit Ethernet USB 3.1 Gen1 (A-AMU3-LAN-01),,699,1,https://comfy.ua/hab-usb-cablexpert-usb-a-na-gigabit-ethernet-usb-3-1-gen1-a-amu3-lan-01.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,2
1418271362,6944670,PATRIOT,SSD накопитель PATRIOT M.2 2280 1.92TB (P310P192TM28),8178,2154455,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Patriot",patriot,SSD-накопичувач внутрішній Patriot M.2 2280 1.92TB/P310 P310P192TM28 (P310P192TM28),,7459,1,https://comfy.ua/ssd-nakopitel-vnutrennij-patriot-m-2-2280-1-92tb-p310-p310p192tm28-p310p192tm28.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1418278838,6854770,KISONLI,Акустическая система Kisonli V360/23399 Orange,213,2172326,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Kisonli",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli V360/23399 Orange,,215,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-v360-23399-orange.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1418278839,6854766,KISONLI,Акустическая система Kisonli U-9003/23412 Black,382,2172325,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Kisonli",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli U-9003/23412 Black,,325,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-u-9003-23412-black.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1418279051,6848494,ASUS,Монитор Asus ProArt Display PA328QV Black (90LM00X0-B02370),23999,2172333,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор Asus PA328QV,,23999,1,https://comfy.ua/monitor-asus-pa328qv.html,27199,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1418286758,,,,,2172372,Игровые консоли и гейминг >> Комплектующие для игровых ПК,delux,Корпус Delux MK310-450-12F,,1449,1,https://comfy.ua/korpus-delux-mk310-450-12f.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1418311446,,,,,2147148,"Аудио, фото и видео >> Наушники",belkin,Навушники вкладиші бездротові TWS Belkin Soundform Play True Wireless White (AUC005BTWH),,1999,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-belkin-soundform-play-true-wireless-white-auc005btwh.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1418319092,6725963,EINHELL,Электроотвертка Einhell X-Change TE-CI 18/1 Li - Solo (4510034),2639,1978640,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Дриль-шуруповерт Einhell TE-CI 18/1 Li Solo (4510034),,2639,1,https://comfy.ua/drel-shurupovert-einhell-te-ci-18-1-li-solo-4510034.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
1418319094,6902548,EINHELL,Шуруповерт EINHELL TE-CD 18/40 Li BL - Solo (4513997),2544,1978641,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Einhell,einhell,Дриль-шуруповерт Einhell TE-CD 18/40 Li BL - Solo (4513997),,2545,1,https://comfy.ua/drel-shurupovert-einhell-te-cd-18-40-li-bl-solo-4513997.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1418319097,6837353,MAKITA,Винтоверт MAKITA ударный DTD156Z,3599,2155622,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Makita,makita,Гайковерт акумуляторний Makita DTD156Z без акумулятора,,3599,1,https://comfy.ua/gajkovert-akkumuljatornyj-makita-dtd156z-bez-akkumuljatora.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1418361864,6819978,AMICA,Пылесос AMICA VM 3044 Bagio,3449,2167714,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Amica,amica,Пилосос для сухого прибирання без мішка Amica VM 3044 Bagio,,3449,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-amica-vm-3044-bagio.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1418361991,6503485,ARTEL,Пылесос ARTEL VCB0120 RED,4539,2170114,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання з мішком ARTEL VCB 0120 Red,,4539,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-artel-vcb-0120-red.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1418361991,6998704,ARTEL,Пылесос ARTEL VCB 0120 RED,4539,2170114,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання з мішком ARTEL VCB 0120 Red,,4539,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-artel-vcb-0120-red.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1418361992,7006116,EISEN,Плитка EISEN EHP-258B,799,2167722,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты EISEN,eisen,Плита електрична настільна EISEN EHP-258B,,735,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-eisen-ehp-258b.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1418362368,6995998,MINOLA,Вытяжка MINOLA HTL 6614 BL 1000 LED,3799,2148822,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HTL 6614 BL 1000 LED,,3799,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-htl-6614-bl-1000-led.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1418362369,6996001,MINOLA,Вытяжка MINOLA HTL 6614 WH 1000 LED,3799,2148821,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HTL 6614 WH 1000 LED,,3799,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-htl-6614-wh-1000-led.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1418365734,6996000,MINOLA,Вытяжка MINOLA HTL 6614 I 1000 LED,3799,2148820,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HTL 6614 I 1000 LED,,3799,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-htl-6614-i-1000-led.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1418381398,6982719,SENCOR,Насадка терка SENCOR STX 032 (41013502),1198,2154827,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Sencor,sencor,Насадка для кухонної машини Sencor STX 032,,1199,1,https://comfy.ua/nasadka-dlja-kuhonnoj-mashiny-sencor-stx-032.html,1700,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1418390172,6693076,ZELMER,Мясорубка ZELMER ZMM4055B,5899,2155149,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Zelmer,zelmer,М'ясорубка Zelmer ZMM4055B,,5899,1,https://comfy.ua/mjasorubka-zelmer-zmm4055b.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1418393834,,,,,2173822,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Zyxel",zyxel,Коммутатор локальної мережі (Switch) Zyxel GS1915-24EP (GS1915-24EP-EU0101F),,12249,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-zyxel-gs1915-24ep-gs1915-24ep-eu0101f.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1418400371,6858836,GRUNHELM,Бутербродница GRUNHELM GSM840,1459,2147212,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Grunhelm,grunhelm,Бутербродниця Grunhelm GSM840,,1459,1,https://comfy.ua/buterbrodnica-grunhelm-gsm840.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1418403542,6854756,KISONLI,Колонки KISONLI A-101S/23402 Black,261,2172314,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Kisonli",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli A-101S/23402 Black,,255,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-a-101s-23402-black.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1418403544,6854763,KISONLI,Акустическая система Kisonli S-888/23404 Black,303,2172323,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Kisonli",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli S-888/23404 Black,,295,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-s-888-23404-black.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1418403546,,,,,.2172321,"Аудио, фото и видео >> Акустика",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli S-333/23406 Black,,305,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-s-333-23406-black.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1418403547,,,,,.2173549,"Аудио, фото и видео >> Акустика",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli K200/23411 Silver,,335,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-k200-23411-silver.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1418403548,6915726,KISONLI,Акустическая система KISONLI KS-02/23409 Black,330,2172319,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Kisonli",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli KS-02/23409 Black,,339,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-ks-02-23409-black.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1418403549,6854761,KISONLI,Акустическая система Kisonli L-5050/23424 Black,376,2172320,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Kisonli",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli L-5050/23424 Black,,365,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-l-5050-23424-black.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1418406088,7170263,MINOLA,Вытяжка MINOLA HBI 5324 I 800 LED,2549,1991671,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5324 I 800 LED,,2899,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5324-i-800-led.html,4099,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1418406837,,,,,2172117,"Аудио, фото и видео >> Аксессуары для фото, видео",panasonic,Акумулятор тип AAA Panasonic Eneloop AAA 800 2BP mAh NI-MH (BK-4MCDE/2BE),,399,1,https://comfy.ua/akkumuljator-tip-aaa-panasonic-eneloop-aaa-800-2bp-mah-ni-mh-bk-4mcde-2be.html,495,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,2
1418441007,,,,,.2154444,Техника для дома >> Аксессуары к мелкой технике,dreame,Щітка для пилососу Dreame RMB0,,599,1,https://comfy.ua/schetka-dlja-pylesosa-dreame-rmb0.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1418441008,,,,,.2159060,Техника для дома >> Аксессуары к мелкой технике,electrolux,Насадка для пилососа Electrolux MFD 01E,,919,1,https://comfy.ua/nasadka-dlja-pylesosa-electrolux-mfd-01e.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1418464997,7195693,MINOLA,Вытяжка MINOLA HVS 6612 BL 1000 LED,5799,2148826,Техника для кухни >> Крупная техника,minola,Витяжка декоративна Minola HVS 6612 BL 1000 LED,,5799,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hvs-6612-bl-1000-led.html,7249,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1418546752,,,,,2173537,Смартфоны и телефоны >> Аксессуары для смартфонов,sandberg,"Батарея мобільна Sandberg PD 65W 3A QC3.0 20000 mAh, USB, 2хType-C OUT (420-62)",,1649,1,https://comfy.ua/batareja-mobil-naja-sandberg-pd-65w-3a-qc3-0-20000-mah-usb-2htype-c-out-420-62.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1418546753,,,,,.2173538,Смартфоны и телефоны >> Аксессуары для смартфонов,sandberg,"Батарея мобільна Sandberg PD 88W 4,4A 20000 mAh, USB 2хType-C OUT (420-52)",,2699,1,https://comfy.ua/batareja-mobil-naja-sandberg-pd-88w-4-4a-20000-mah-usb-2htype-c-out-420-52.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1418668900,,,,,2161607,Техника для кухни >> Системы и фильтры для воды >> Картриджи для фильтров-кувшинов >> Картриджи для фильтров-кувшинов Brita,brita,Картридж для фільтру-глечика Brita Classic 3 шт.,,925,1,https://comfy.ua/kartridzh-dlja-fil-tra-kuvshina-brita-classic-3-sht.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1418668964,,,,,2149350,Смартфоны и телефоны >> Смартфоны >> Смартфоны Apple >> Серия Apple iPhone 14,apple,Смартфон Apple iPhone 14 128Gb Starlight,,25999,1,https://comfy.ua/smartfon-apple-iphone-14-128gb-starlight.html,26999,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,1
1418672662,,,,,2173553,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,Кабель живлення Kingda IEC320 C13-IEC320 C14 3m (PC6063-3m),,239,1,https://comfy.ua/kabel-pitanija-kingda-iec320-c13-iec320-c14-3m-pc6063-3m.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
