1349120355,column,column,column,column,1942797,Посуда >> Для сервировки,gusto,___gusto_modicum_3__gts0113,column,125,1,httpscomfyuanaborlozhekstolovyhgustomodicum3shtgts0113html,column,05112025_1952,column,__42,Фастів,0
1349152025,6801482,TOLSEN,"""Уровень TOLSEN Рівень """"ПРОФІ"""" 60 см алюмінієвий 35061""",376,1883956,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Tolsen,tolsen,Рівень Tolsen 60 см (35061),,375,1,https://comfy.ua/uroven-tolsen-60-sm-35061.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
1349152436,6809408,XBOX,Игровая консоль Xbox Series S 512GB,16999,2061394,Игровые консоли и гейминг >> Игровые консоли >> Игровые консоли все >> Игровые консоли все Xbox,xbox,Ігрова приставка Xbox Series S,,16999,1,https://comfy.ua/igrovaja-pristavka-xbox-series-s.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1349153450,6860606,KARCHER,Минимойка KARCHER K3 (1.601-888.0),4999,2063166,Техника для дома >> Мелкая техника >> Минимойки >> Минимойки Karcher,karcher,Мінімийка Karcher K 3 (1.601-888.0),,4999,1,https://comfy.ua/minimojka-karcher-k-3-1-601-888-0.html,5999,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1349160066,6481210,STANLEY,"""Набор головок торцевых STANLEY """"MaxiDrive"""" (STHT0-73930)""",4885,2001428,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Stanley,stanley,Набір інструментів Stanley STHT0-73930 80 пр.,,4885,1,https://comfy.ua/nabor-instrumentov-stanley-stht0-73930-80-pr.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1349178742,6725777,HAISSER,"Алмазный диск HAISSER PRO CERAMICS 125x1,6x22,23 (107647)",250,2000352,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Haisser,haisser,Диск алмазний Haisser Pro Ceramics 125x1.6x22.23 (4212601),,399,1,https://comfy.ua/disk-almaznyj-haisser-pro-ceramics-125x1-6x22-23-4212601.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
1349178743,6725780,HAISSER,"Алмазный диск HAISSER Segment/Turbo CONCRETE EXPERT 125x2,2x12x22,23 мм (107651)",458,2000353,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Haisser,haisser,Диск алмазний Haisser Segment/Turbo Concrete Expert 125x2.2x12x22.23 (4212641),,459,1,https://comfy.ua/disk-almaznyj-haisser-segment-turbo-concrete-expert-125x2-2x12x22-23-4212641.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1349258670,,,,,2059549,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,"Захисне скло для планшета Armorstandart Glass.CR for Xiaomi Mi Pad 5, 2.5D (ARM60260)",,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-plansheta-armorstandart-glass-cr-for-xiaomi-mi-pad-5-2-5d-arm60260.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1349271884,6807725,GORENJE,Микроволновая печь GORENJE MO20S4BC (M20XYZ),4549,2072135,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Gorenje,gorenje,Мікрохвильова піч (НВЧ) Gorenje MO20S4BC,,4549,1,https://comfy.ua/mikrovolnovaja-pech-svch-gorenje-mo20s4bc.html,5309,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1349277729,,,,,.2034322,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення Nova N6,,1589,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-nova-n6.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1349277730,,,,,2042346,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блоку живлення Midi Tower MT525-2U3TYC-NP,,1209,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-midi-tower-mt525-2u3tyc-np.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1349277731,,,,,2034323,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення Nova N5,,1559,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-nova-n5.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1349277732,,,,,.2042347,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блоку живлення Midi Tower MT525-2U3TYC-3FAN,,1529,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-midi-tower-mt525-2u3tyc-3fan.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1349277834,,,,,.2042343,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блоку живлення Gaming Mini Tower Cyclops BG,,1979,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-gaming-mini-tower-cyclops-bg.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1349277952,,,,,.2042348,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX з блоком живлення Midi Tower MT525-2U3TYC-500B,,2459,1,https://comfy.ua/korpus-gamemax-atx-s-blokom-pitanija-midi-tower-mt525-2u3tyc-500b.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1349284360,6773531,LUMINARC,Салатник LUMINARC DIWALI 12 см White (Q7147),89,1960478,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Салатник Luminarc Diwali 12 см (Q7147),,78,1,https://comfy.ua/salatnik-luminarc-diwali-12-sm-q7147.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1349291869,6812294,GOODGRILL,Электропечь GOODGRILL GR-4002 Red,2999,1975811,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи GoodGrill,goodgrill,Піч електрична GoodGrill GR-4002 Red,,2999,1,https://comfy.ua/pech-jelektricheskaja-goodgrill-gr-4002-red.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1349291870,6812293,GOODGRILL,Электропечь GOODGRILL GR-4002 GRAPHITE,2999,1975812,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи GoodGrill,goodgrill,Піч електрична GoodGrill GR-4002 Graphite,,2999,1,https://comfy.ua/pech-jelektricheskaja-goodgrill-gr-4002-graphite.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1349309585,6811507,ARDESTO,Сковорода ARDESTO Gemini Gourmet Aosta 28 см Black (AR1928FGG),779,2076171,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Gourmet 28 см (AR1928FGG),,609,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-gourmet-28-sm-ar1928fgg.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1349309630,6811503,ARDESTO,Сковорода ARDESTO Gemini Gourmet Aosta 20 см Black (AR1920FGG),388,2076167,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Gourmet 20 см (AR1920FGG),,388,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-gourmet-20-sm-ar1920fgg.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1349309652,6811504,ARDESTO,Сковорода ARDESTO Gemini Gourmet Aosta 22 см Black (AR1922FGG),389,2076168,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Gourmet 22 см (AR1922FGG),,389,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-gourmet-22-sm-ar1922fgg.html,519,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1349309720,6811506,ARDESTO,Сковорода ARDESTO Gemini Gourmet Aosta 26 см Black (AR1926FGG),595,2076170,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Gourmet 26 см (AR1926FGG),,595,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-gourmet-26-sm-ar1926fgg.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1349391368,,,,,2032663,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax ATX 500W 80+ (VP-500-M-RGB),,1829,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-500w-80-vp-500-m-rgb.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1349391379,,,,,2032661,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax ATX 700W 80+ (VP-700),,2029,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-700w-80-vp-700.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1349907676,,,,,1990068,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,"""Рюкзак для ноутбуку 2E City Traveler 17"""" Black (2E-BPN6017BK)""",,2649,1,https://comfy.ua/rjukzak-dlja-noutbuka-2e-city-traveler-17-black-2e-bpn6017bk.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
1349907677,,,,,.1990067,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,"""Рюкзак для ноутбуку 2E City Traveler 16"""" Black (2E-BPN6016BK)""",,2349,1,https://comfy.ua/rjukzak-dlja-noutbuka-2e-city-traveler-16-black-2e-bpn6016bk.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1349928965,,,,,1990111,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Digitus",digitus,Кабель патч-корд Digitus CAT 6a S-FTP 7 м AWG 26/7 Gray (DK-1644-A-070),,419,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6a-s-ftp-7-m-awg-26-7-gray-dk-1644-a-070.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1349928967,,,,,1990109,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus CAT 6 S-FTP 3 м AWG 27/7 LSZH Yellow (DK-1644-030/Y),,175,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6-s-ftp-3-m-awg-27-7-lszh-yellow-dk-1644-030-y.html,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
1349928975,,,,,.1999315,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus CAT 6 UTP 5 м AWG 26/7 Cu LSZH Red (DK-1617-050/R),,199,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6-utp-5-m-awg-26-7-cu-lszh-red-dk-1617-050-r.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
1349955692,,,,,2001864,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для лазерних принтерів/БФП G&G HP 415A CLJ Pro M414/454/479 W2032A Yellow (G&G-415AY),,1165,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-hp-415a-clj-pro-m414-454-479-w2032a-yellow-g-g-415ay.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1349955693,,,,,2001867,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,"Картридж для лазерних принтерів/БФП G&G HP No.21/22 DJ3920/3940, PSC1410 Black/Tri-color Combo Pack (G&G-SD367AE)",,1549,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-hp-no-21-22-dj3920-3940-psc1410-black-tri-color-combo-pack-g-g-sd367ae.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1349955695,,,,,2001863,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для лазерних принтерів/БФП G&G HP 415A CLJ Pro M414/454/479 W2033A Magenta (G&G-415AM),,1165,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-hp-415a-clj-pro-m414-454-479-w2033a-magenta-g-g-415am.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1349992597,6814748,ROWENTA,Выпрямитель ROWENTA SF323LF0,1299,2052115,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Rowenta,rowenta,Вирівнювач волосся Rowenta SF323LF0,,1299,1,https://comfy.ua/vyprjamitel-volos-rowenta-sf323lf0.html,1399,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,3
1350001076,,,,,2077663,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Beko,beko,Холодильник Beko RCNA406I35XB,,21399,1,https://comfy.ua/holodil-nik-beko-rcna406i35xb.html,22599,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1350037327,6812326,ECG,Пылесос ECG VT 7220 2in1 Simply Clean,5909,2073376,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы ECG,ecg,Пилосос ручний для дому ECG VT 7220 2in1 Simply Clean,,5909,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-ecg-vt-7220-2in1-simply-clean.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1350087038,6809568,GORENJE,Духовой шкаф GORENJE BOS 6737 E13 FBG (BO3CO4C01-1),17299,2076156,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BOS6737E13FBG,,17299,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bos6737e13fbg.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1350152146,6812112,GORENJE,Вытяжка GORENJE BHI681EB,9299,2077669,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Gorenje,gorenje,Витяжка вбудована Gorenje BHI681EB,,8999,1,https://comfy.ua/vytjazhka-vstraivaemaja-gorenje-bhi681eb.html,9399,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1350170377,6837356,MAKITA,Ударная дрель MAKITA M8100 710 Вт,3165,1999595,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Makita,makita,Ударний дриль Makita M8100,,3195,1,https://comfy.ua/udarnaja-drel-makita-m8100.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
1350212631,6785747,ELEYUS,Вытяжка ELEYUS BREEZE G 1200 60 BL,5999,2077668,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS BREEZE G 1200 60 BL,,5999,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-g-1200-60-bl.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1350380683,6824063,MINOLA,Вытяжка MINOLA HBI 5202 GR 700 LED,2799,2066648,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5202 GR 700 LED,,2799,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5202-gr-700-led.html,3099,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1350380686,6824065,MINOLA,Вытяжка MINOLA HBI 5202 WH 700 LED,2799,2066647,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5202 WH 700 LED,,2799,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5202-wh-700-led.html,3099,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1350380688,,,,,2066649,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5202 I 700 LED,,2599,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5202-i-700-led.html,3149,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1350501489,,,,,.1985594,Игровые консоли и гейминг >> Комплектующие для игровых ПК,2e,Корпус 2E Gaming Turbo Black (2E-G2057B) без БЖ,,2309,1,https://comfy.ua/korpus-2e-gaming-turbo-black-2e-g2057b-bez-bzh.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1350505373,,,,,.2000337,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Захисне скло для планшета BeCover  for Samsung Galaxy Tab A8 SM-X200/SM-X205 (707201),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-plansheta-becover-for-samsung-galaxy-tab-a8-sm-x200-sm-x205-707201.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1350662649,6820321,ARDESTO,Набор столовых приборов ARDESTO Gemini Lucca 24 пр. (AR1924LCS),1349,2076176,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Ardesto,ardesto,Набір столових приборів Ardesto Gemini Lucca 24 пр. (AR1924LCS),,1349,1,https://comfy.ua/nabor-stolovyh-priborov-ardesto-gemini-lucca-24-pr-ar1924lcs.html,1735,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1350663135,6811494,ARDESTO,Набор столовых приборов ARDESTO Black Mars Monza 24 пр (AR0724MS),2809,2076162,Посуда >> Для сервировки,ardesto,Набір столових приборів Ardesto Black Mars Monza 24 пр. (AR0724MS),,2809,1,https://comfy.ua/nabor-stolovyh-priborov-ardesto-black-mars-monza-24-pr-ar0724ms.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1350663611,,,,,.2042381,Посуда >> Для сервировки,oscar,Набір чайних ложок OSCAR Master 6 шт. (OSR-6001-4/6),,200,1,https://comfy.ua/nabor-chajnyh-lozhek-oscar-master-6-sht-osr-6001-4-6.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
