752438586,column,column,column,column,1696769,Детские товары >> Игрушки для малышей,canpolbabies,___canpol_babies___2083,column,239,1,httpscomfyuaigrushkaknizhkadljavannojcanpolbabiescvetnajaferma2083html,column,05112025_2034,column,__42,Фастів,0
752438652,,,,,1697376,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Наземна спецтехніка Tigres Авто """"City Truck"""" кран (39396)""",,439,1,https://comfy.ua/nazemnaja-spectehnika-tigres-avto-city-truck-kran-39396.html,,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
752438655,,,,,1697378,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Наземна спецтехніка Tigres Авто """"City Truck"""" пожежна (39397)""",,409,1,https://comfy.ua/nazemnaja-spectehnika-tigres-avto-city-truck-pozharnaja-39397.html,,06.11.2025 1:34,,"вул. Соборна, 42",Фастів,0
752438658,,,,,1697381,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Наземна спецтехніка Tigres Авто """"City Truck"""" самоскид (39398)""",,425,1,https://comfy.ua/nazemnaja-spectehnika-tigres-avto-city-truck-samosval-39398.html,,06.11.2025 1:33,,"вул. Соборна, 42",Фастів,0
752438661,,,,,1697385,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Наземна спецтехніка Tigres Авто """"City Truck"""" сміттєвоз (39399)""",,515,1,https://comfy.ua/nazemnaja-spectehnika-tigres-avto-city-truck-musorovoz-39399.html,,06.11.2025 1:33,,"вул. Соборна, 42",Фастів,0
752438663,,,,,1697360,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" бортовий з причепом Ціан (39668)""",,449,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-bortovoj-s-pricepom-cian-39668.html,,06.11.2025 0:24,,"вул. Соборна, 42",Фастів,0
752438665,,,,,1697363,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" бортовий з причепом Помаранчевий (39667)""",,449,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-bortovoj-s-pricepom-oranzhevyj-39667.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
752438668,,,,,1697364,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres 'Mercedes-Benz Sprinter"""" бортовий Червоний (39673)""",,289,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-bortovoj-krasnyj-39673.html,,06.11.2025 1:10,,"вул. Соборна, 42",Фастів,0
752438674,,,,,1697383,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" бортовий з лафетом Білий (39670)""",,349,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-bortovoj-s-lafetom-belyj-39670.html,,06.11.2025 0:09,,"вул. Соборна, 42",Фастів,0
752438679,,,,,1697391,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" з лафета Жовтий (39741)""",,355,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-s-lafetoj-zhjoltyj-39741.html,,06.11.2025 1:34,,"вул. Соборна, 42",Фастів,0
752438681,,,,,1697394,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Наземна спецтехніка Tigres 'Mercedes-Benz Sprinter"""" евакуатор з лафетом Червоний (39740)""",,349,1,https://comfy.ua/nazemnaja-spectehnika-tigres-mercedes-benz-sprinter-jevakuator-s-lafetom-krasnyj-39740.html,,06.11.2025 1:10,,"вул. Соборна, 42",Фастів,0
752438684,,,,,1697397,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" пасажирський Білий (39655)""",,311,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-passazhirskij-belyj-39655.html,389,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
752438688,,,,,1697399,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" пасажирський Червоний (39656)""",,329,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-passazhirskij-krasnyj-39656.html,389,06.11.2025 0:53,,"вул. Соборна, 42",Фастів,0
752438692,,,,,.1697435,Детские товары >> Игрушки,tigres,"""М'яка іграшка Tigres Єдиноріг"""" Лілу"""" (Єд-0001)""",,479,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-tigres-edinorog-lilu-ed-0001.html,,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
752438695,,,,,1697410,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Наземна спецтехніка Tigres 'Mercedes-Benz Sprinter"""" швидка допомога (39664)""",,299,1,https://comfy.ua/nazemnaja-spectehnika-tigres-mercedes-benz-sprinter-skoraja-pomosch-39664.html,,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
752438697,,,,,1697413,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Наземна спецтехніка Tigres 'Mercedes-Benz Sprinter"""" поліція (39665)""",,295,1,https://comfy.ua/nazemnaja-spectehnika-tigres-mercedes-benz-sprinter-policija-39665.html,,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
