758176545,6987424,wuesthof,__wuesthof_classic_ash_8__1090170707,26572,1697517,Посуда >> Нарезка и измельчение,wuesthof,__wuesthof_7__1090170707,column,26572,1,httpscomfyuanabornozhejwuesthof7sht1090170707html,column,05112025_1945,column,__42,Фастів,0
758180922,,,,,1724817,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG3428X,,10799,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg3428x.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
758180961,,,,,1724812,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG3428MP,,18699,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg3428mp.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
758181277,,,,,1724813,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG3428XMP,,23299,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg3428xmp.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
758183278,6569499,СТАЛЬ,Пистолет для герметика СТАЛЬ 31104 600 мл (55770),382,1721000,Инструменты и автотовары >> Электроинструменты >> Клеевые пистолеты >> Клеевые пистолеты Сталь,stal,Клейовий пістолет Сталь 31104,,485,1,https://comfy.ua/kleevoj-pistolet-stal-31104.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
758183280,6169086,СТАЛЬ,Пистолет для герметика СТАЛЬ 31101,85,1720988,Инструменты и автотовары >> Электроинструменты >> Клеевые пистолеты >> Клеевые пистолеты Сталь,stal,Клейовий пістолет Сталь 31101,,109,1,https://comfy.ua/kleevoj-pistolet-stal-31101.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
758183281,6180519,СТАЛЬ,Пистолет для герметика Сталь 31102 каркасный (38553),99,1720990,Инструменты и автотовары >> Электроинструменты >> Клеевые пистолеты >> Клеевые пистолеты Сталь,stal,Клейовий пістолет Сталь 31102,,129,1,https://comfy.ua/kleevoj-pistolet-stal-31102.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
758190210,,,,,1718680,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Colorway",colorway,Кабель синхронізації даних Colorway USB - Type-C Zinc Alloy + Led 2.4А 1 м Black (CW-CBUC035-BK),,259,1,https://comfy.ua/kabel-sinhronizacii-dannyh-colorway-usb-usb-type-c-zinc-alloy-led-1m-black-cw-cbuc035-bk.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
758190227,,,,,1721316,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Rolser",rolser,Прасувальна дошка Rolser K-UNO Black Tube 115х35 см Natural-Turquesa (K01016-2088),,4699,1,https://comfy.ua/gladil-naja-doska-rolser-k-uno-black-tube-115h35-sm-natural-turquesa-k01016-2088-9285960.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
758208569,,,,,1148221,Смарт-часы и гаджеты >> Аксессуары,airon,Кріплення для екшн-камери AIRON Набір кріплень для екшн-камери і телефону AC161,,169,1,https://comfy.ua/catalog/product/view/id/1804553,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
758219837,6651517,REMINGTON,Набор для стрижки REMINGTON PG2000 Graphite Series G2,1699,1724791,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Remington,remington,Машинка для стрижки волосся Remington Graphite Series G2 (PG2000),,1699,1,https://comfy.ua/mashinka-dlja-strizhki-volos-remington-graphite-series-g2-pg2000.html,2049,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
758219838,6656259,GORENJE,Кофеварка GORENJE ESCM15DBK,4499,1723503,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Gorenje,gorenje,Кавоварка ріжкова Gorenje ESCM15DBK,,3899,1,https://comfy.ua/kofemashina-gorenje-escm15dbk.html,5999,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
758219839,6652253,ARDESTO,Плитка ARDESTO ICS-B100,799,1723422,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Ardesto,ardesto,Плита електрична настільна Ardesto ICS-B100,,799,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-ardesto-ics-b100.html,999,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,1
758219841,6665488,ASTOR,Электропечь ASTOR CZ-2146,3949,1723364,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Astor,astor,Піч електрична Astor CZ-2146,,3949,1,https://comfy.ua/pech-jelektricheskaja-astor-cz-2146.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
758263367,7040960,TEKHMANN,Аккумулятор TEKHMANN TAB-40/i20 Li (848402),1999,1720493,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Tekhmann,tekhmann,Акумулятор для електроінструментів Tekhmann TAB-40/i20 Li (848402),,1999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-tekhmann-tab-40-i20-li-848402.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
758267513,6611430,JANOD,Магнитная книга JANOD Транспорт (J02715),799,1715694,Детские товары >> Игрушки,janod,Настільна гра (3-4 роки) Janod Транспорт (J02715),,799,1,https://comfy.ua/nastol-naja-igra-magnitnaja-3-4-goda-janod-transport-j02715.html,,06.11.2025 1:07,,"вул. Соборна, 42",Фастів,0
758619801,,,,,.1148221,Смарт-часы и гаджеты >> Аксессуары,airon,Кріплення для екшн-камери AIRON Набір кріплень для екшн-камери і телефону AC161,,169,1,https://comfy.ua/kreplenie-dlja-jekshn-kamery-airon-nabor-kreplenij-dlja-jekshn-kamery-i-telefona-ac161.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
758629824,6651971,ELECTROLUX,Электрочайник ELECTROLUX E3K1-3ST,1499,1725307,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Electrolux,electrolux,Електричний чайник Electrolux E3K1-3ST,,1499,1,https://comfy.ua/jelektricheskij-chajnik-electrolux-e3k1-3st.html,2099,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
758629830,6613858,OUR GENERATION,Фигура OUR GENERATION Лошадь Принцесса 50 см (BD38003Z),2958,1699512,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Our Generation",our-generation,Фігурки тварини Our Generation Кінь Принцеса з аксесуарами 50 см (BD38003Z),,3999,1,https://comfy.ua/figurka-zhivotnogo-our-generation-kon-princessa-s-aksessuarami-50-sm-bd38003z.html,,06.11.2025 1:20,,"вул. Соборна, 42",Фастів,0
758727955,,,,,.1703297,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Веб-камера для комп'ютера A4tech PK-935HL 1080P Black,,1399,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-a4tech-pk-935hl-1080p-black.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
758753142,,,,,1716706,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Корпусний вентилятор ID-Cooling NO-8025-SD,,99,1,https://comfy.ua/korpusnyj-ventiljator-id-cooling-no-8025-sd.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
758753143,,,,,1716432,Игровые консоли и гейминг >> Комплектующие для игровых ПК,aerocool,Корпусний вентилятор AEROCOOL Frost 8 FRGB Molex,,119,1,https://comfy.ua/catalog/product/view/id/1807793,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
758757848,6578441,PATRIOT,SSD накопитель PATRIOT P300 256GB M.2 NVMe 3D TLC (P300P256GM28),1382,1715984,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",patriot,SSD-накопичувач внутрішній Patriot P300 256GB M.2 2280 PCIe NVMe 3.0 x4 TLC (P300P256GM28),,1555,1,https://comfy.ua/catalog/product/view/id/1807713,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
758760316,,,,,.1716799,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Корпусний вентилятор ID-Cooling NO-12015-XT ARGB,,399,1,https://comfy.ua/korpusnyj-ventiljator-id-cooling-no-12015-xt-argb.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
758765674,,,,,.1716679,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gembird,Корпусний вентилятор Gembird FANCASE-4,,59,1,https://comfy.ua/korpusnyj-ventiljator-gembird-fancase-4.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
758806862,6651539,RUSSELL HOBBS,Утюг RUSSELL HOBBS Cordless One Temperature (26020-56),3229,1715362,Техника для дома >> Мелкая техника,russell-hobbs,Праска Russell Hobbs 26020-56 Cordless One Temperature,,3229,1,https://comfy.ua/catalog/product/view/id/1814713,3799,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
758808794,,,,,1715362,Техника для дома >> Мелкая техника,russell-hobbs,Праска Russell Hobbs 26020-56 Cordless One Temperature,,3229,1,https://comfy.ua/catalog/product/view/id/1814713/s/utjug-russell-hobbs-26020-56-cordless-one-temperature,3799,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
758808800,6661991,BOSCH,Кухонная машина BOSCH MUMS2AW00,5799,1724550,Техника для кухни >> Мелкая техника,bosch,Кухонна машина Bosch MUMS2AW00,,5999,1,https://comfy.ua/catalog/product/view/id/1814053/s/kuhonnaja-mashina-bosch-mums2aw00,7099,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
758808805,6996078,HOLMER,Гриль HOLMER HCG-160,1159,1725755,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Holmer,holmer,Гриль-барбекю електричний Holmer HCG-160,,1159,1,https://comfy.ua/gril-barbekju-jelektricheskij-holmer-hcg-160.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
758808807,6996079,HOLMER,Гриль HOLMER HCG-18P,1699,1725756,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Holmer,holmer,Гриль-барбекю електричний Holmer HCG-18P,,1699,1,https://comfy.ua/gril-barbekju-jelektricheskij-holmer-hcg-18p.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
758808809,6661986,BOSCH,Кухонная машина BOSCH MUMS2EW30,7999,1724552,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Bosch,bosch,Кухонна машина Bosch MUMS2EW30,,7999,1,https://comfy.ua/kuhonnaja-mashina-bosch-mums2ew30.html,12299,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,2
758808810,6634667,ELECTROLUX,Тостер ELECTROLUX E3T1-3ST,1899,1725308,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Electrolux,electrolux,Тостер Electrolux E3T1-3ST,,1899,1,https://comfy.ua/toster-electrolux-e3t1-3st.html,2099,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
758970272,6651539,RUSSELL HOBBS,Утюг RUSSELL HOBBS Cordless One Temperature (26020-56),3229,1715362,Техника для дома >> Мелкая техника >> Утюги >> Утюги Russell Hobbs,russell-hobbs,Праска Russell Hobbs 26020-56 Cordless One Temperature,,3229,1,https://comfy.ua/utjug-russell-hobbs-26020-56-cordless-one-temperature.html,3799,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
758971188,,,,,1099156,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды Tescoma,tescoma,Кришка для посуду tescoma 619028 UNICOVER 28 см,,899,1,https://comfy.ua/kryshka-dlja-posudy-tescoma-619028-unicover-28-sm.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
758971638,,,,,1716432,Игровые консоли и гейминг >> Комплектующие для игровых ПК,aerocool,Корпусний вентилятор AEROCOOL Frost 8 FRGB Molex,,119,1,https://comfy.ua/korpusnyj-ventiljator-aerocool-frost-8-frgb-molex.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
758971834,6578441,PATRIOT,SSD накопитель PATRIOT P300 256GB M.2 NVMe 3D TLC (P300P256GM28),1382,1715984,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Patriot",patriot,SSD-накопичувач внутрішній Patriot P300 256GB M.2 2280 PCIe NVMe 3.0 x4 TLC (P300P256GM28),,1555,1,https://comfy.ua/ssd-nakopitel-vnutrennij-patriot-p300-256gb-m-2-2280-pcie-nvme-3-0-x4-tlc-p300p256gm28.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
758971837,6656550,PATRIOT,"""SSD накопитель PATRIOT 2.5"""" 512GB SATA TLC P210 (P210S512G25)""",2309,1715987,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Patriot",patriot,"""SSD-накопичувач внутрішній Patriot P210 512GB 2.5"""" SATAIII TLC (P210S512G25)""",,1699,1,https://comfy.ua/ssd-nakopitel-vnutrennij-patriot-p210-512gb-2-5-sataiii-tlc-p210s512g25.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
758977367,,,,,1724883,Телевизоры и мультимедиа >> Аксессуары для ТВ,ksl,Кріплення для телевізора KSL WMO-3014T,,625,1,https://comfy.ua/kreplenie-dlja-televizora-ksl-wmo-3014t.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
758977383,6717045,POWERPLANT,rechar POWERPLANT LG KC550 (IP-570A) 900mAh (DV00DV6115),85,1725485,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG KC550 (IP-570A) (DV00DV6115),,159,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-kc550-ip-570a-dv00dv6115.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
758991806,6651526,REMINGTON,Фен REMINGTON AC8901 HYDRAluxe,2099,1715557,Красота и здоровье >> Уход за волосами >> Фены >> Фены Remington,remington,Фен Remington AC8901 Hydraluxe,,2249,1,https://comfy.ua/fen-remington-ac8901-hydraluxe.html,2549,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
758991812,6661991,BOSCH,Кухонная машина BOSCH MUMS2AW00,5799,1724550,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Bosch,bosch,Кухонна машина Bosch MUMS2AW00,,5999,1,https://comfy.ua/kuhonnaja-mashina-bosch-mums2aw00.html,7099,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
758991814,7042481,HOLMER,Плитка HOLMER HHP-220B,619,1724676,Техника для кухни >> Крупная техника,holmer,Плита електрична настільна Holmer HHP-220B,,655,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-holmer-hhp-220b.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,1
759119953,,,,,1725542,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG G3 S Dual (SM160105),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-g3-s-dual-sm160105.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
