757043652,column,column,column,column,1702266,______________silverlit,silverlit,__silverlit____88538,column,1909,1,httpscomfyuainteraktivnyjrobotsilverlitigrushkarobohameleon88538html,column,05112025_2029,column,__42,Фастів,0
757129617,6611895,OUR GENERATION,Игровой набор OUR GENERATION Кемплер для кукол (BD37214Z),1832,1699679,Детские товары >> Игрушки,our-generation,Транспорт для ляльки Our Generation Кемпер (BD37214Z),,2089,1,https://comfy.ua/transport-dlja-klassicheskoj-kukly-our-generation-kemper-bd37214z.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
757129619,,,,,1699747,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Our Generation",our-generation,Транспорт для ляльки Our Generation Рожевий Джип з Чорної Рамкою (BD37277Z),,1499,1,https://comfy.ua/transport-dlja-klassicheskoj-kukly-our-generation-rozovyj-dzhip-s-chernoj-ramkoj-bd37277z.html,,06.11.2025 0:47,,"вул. Соборна, 42",Фастів,0
757129621,6611853,OUR GENERATION,Набор аксессуаров OUR GENERATION Deluxe Зоомагазин 23 предмета (BD37433Z),1013,1699764,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Our Generation",our-generation,Меблі і будиночки для ляльки Our Generation Deluxe Зоомагазин (BD37433Z),,949,1,https://comfy.ua/mebel-i-domiki-dlja-klassicheskoj-kukly-our-generation-deluxe-zoomagazin-bd37433z.html,1369,06.11.2025 0:47,,"вул. Соборна, 42",Фастів,0
757137087,6656354,ARDESTO,Форма ARDESTO Tasty baking 24 см (AR2308T),179,1719214,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для випічки Ardesto Tasty baking кругла 24 см роз'ємна (AR2308T),,179,1,https://comfy.ua/forma-dlja-vypechki-ardesto-tasty-baking-kruglaja-24-sm-raz-emnaja-ar2308t.html,365,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
757145536,,,,,1677910,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623300 Delicia 20 см,,1099,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623300-delicia-20-sm.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
757154035,6603271,LIBERTY,Плита комбинированная LIBERTY PWE 5102 B-F,9699,1718434,Техника для кухни >> Крупная техника >> Плиты >> Плиты Liberty,liberty,Плита газова Liberty PWE 5102 B-F,,9699,1,https://comfy.ua/plita-gazovaja-liberty-pwe-5102-b-f.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
757154102,,,,,.1721168,Техника для кухни >> Мелкая техника,tescoma,Блендер стаціонарний tescoma 909050 President 1.75 л,,14999,1,https://comfy.ua/mul-tivarka-tescoma-909050-president-1-75-l.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
757154118,,,,,1721410,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Gorenje,gorenje,Блендер заглибний Gorenje HBC 806 QW (LW-3523G2),,1969,1,https://comfy.ua/blender-pogruzhnoj-gorenje-hbc-806-qw-lw-3523g2.html,2319,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
757154119,6455635,FORTE,Пылесос FORTE VC2016S (83933),4255,1721020,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Forte2,forte2,Пилосос для сухого прибирання без мішка Forte VC2016S,,4255,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-forte-vc2016s.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
757154120,6455634,FORTE,Пылесос FORTE VC1814 (83932),3725,1721019,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы,,Пилосос для сухого прибирання без мішка Forte VC1814,,3739,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-forte-vc1814.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
757154121,6455636,FORTE,Пылесос FORTE VC3018SAD (83935),6135,1721018,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Forte2,forte2,Пилосос для сухого прибирання без мішка Forte VC3018SAD,,6135,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-forte-vc3018sad.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
757154145,,,,,1700110,Детские товары >> Игрушки,sigikid,М'яка іграшка тварина Sigikid Patchwork Sweety Свинка 31 см (38708SK),,1159,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-patchwork-sweety-svinka-31-sm-38708sk.html,,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
757154146,6375991,SIGIKID,Игрушка SIGIKID 38676SK,1119,1700104,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка тварина Sigikid Заєць (38676SK),,1089,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-zajac-38676sk.html,1361,06.11.2025 1:24,,"вул. Соборна, 42",Фастів,0
757154148,6375944,SIGIKID,Игрушка SIGIKID 40107SK,780,1700137,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Заєць 25 см (40107SK),,949,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-zajac-25-sm-40107sk.html,,06.11.2025 1:45,,"вул. Соборна, 42",Фастів,0
757157535,6658857,COOPER&HUNTER,Увлажнитель воздуха COOPER&HUNTER CH-4645T Cayman,3699,1721424,Техника для дома >> Климатическая техника >> Увлажнители воздуха >> Увлажнители воздуха Cooper&Hunter,cooperhunter,Зволожувач повітря Cooper&Hunter CH-4645T Cayman,,3699,1,https://comfy.ua/uvlazhnitel-vozduha-cooper-hunter-ch-4645t-cayman.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
757157537,6521217,VENTOLUX,Вытяжка VENTOLUX ROMA 60 BK LUX,2539,1491590,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка декоративна Ventolux ROMA 60 BK LUX,,2539,1,https://comfy.ua/vytjazhka-dekorativnaja-ventolux-roma-60-bk-lux.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
757157542,6379983,FIRST,Миксер FIRST FA-5257-1 White,1619,1171026,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры First,first,Міксер First 5257-1 (FA-5257-1) White,,1619,1,https://comfy.ua/mikser-first-5257-1-fa-5257-1-white.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
757157547,,,,,1715561,Красота и здоровье >> Уход за волосами,remington,Фен Remington D5408 Mineral Glow,,912,1,https://comfy.ua/fen-remington-d5408-mineral-glow.html,1559,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
757157549,6651527,REMINGTON,Фен REMINGTON AC9300 Shine Therapy PRO 2200,1768,1715558,Красота и здоровье >> Уход за волосами >> Фены >> Фены Remington,remington,Фен Remington AC9300 Shine Therapy Pro 2200,,2099,1,https://comfy.ua/fen-remington-ac9300-shine-therapy-pro-2200.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
757160224,,,,,1707068,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура дротова A4tech FK11 USB (White),,479,1,https://comfy.ua/catalog/product/view/id/1770973,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
757176426,6658317,LEGO,Конструктор LEGO City Town Перекрёсток 112 деталей (60304),779,1705481,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Дорожні плити (60304),,759,1,https://comfy.ua/konstruktor-lego-city-dorozhnye-plity-60304.html,949,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
757214538,,,,,.1716827,Игровые консоли и гейминг >> Комплектующие для игровых ПК,titan,Корпусний вентилятор Titan TFD-4010M12Z,,169,1,https://comfy.ua/korpusnyj-ventiljator-titan-tfd-4010m12z.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
757221327,,,,,.1717895,Посуда >> Для приготовления,ballarini,Кришка для посуду Ballarini 10 см (1000171),,695,1,https://comfy.ua/kryshka-dlja-posudy-ballarini-10-sm-1000171.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
757221982,,,,,1721417,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Lenovo Vibe P2 (BL262) 5000mAh (SM130108),,299,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lenovo-vibe-p2-bl262-5000mah-sm130108.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
757228164,6645277,ECG,Блендер ECG RM 750,2275,1716930,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры ECG,ecg,Блендер заглибний ECG RM 750,,2275,1,https://comfy.ua/blender-pogruzhnoj-ecg-rm-750.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
