773332205,column,column,column,column,1720609,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,_usb_orico_w5pu3030bkbp,column,999,1,httpscomfyuahabusboricow5pu3030bkbphtml,column,05112025_1752,column,__42,Фастів,0
773335691,6630932,ECG,Гриль ECG KG 100,2836,1724664,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю ECG,ecg,Гриль-барбекю електричний ECG KG 100,,2299,1,https://comfy.ua/gril-barbekju-jelektricheskij-ecg-kg-100.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
773335692,6630933,ECG,Гриль ECG KG 1000 Gourmet,6649,1722630,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю ECG,ecg,Гриль-барбекю електричний ECG KG 1000 Gourmet,,6459,1,https://comfy.ua/mangal-dlja-piknika-ecg-kg-1000-gourmet.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
773335695,,,,,1723561,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Stark",stark,Ножівка Stark HCS+BiM (506150002),,449,1,https://comfy.ua/nozhovka-stark-hcs-bim-506150002.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
773335861,6588732,СТАЛЬ,Угловая шлифовальная машина СТАЛЬ КШМ 111-125РД (81561),1395,1720767,Инструменты и автотовары >> Электроинструменты >> Болгарки и штроборезы >> Болгарки и штроборезы Сталь,stal,Болгарка Сталь КШМ 111-125РД,,1719,1,https://comfy.ua/bolgarka-stal-kshm-111-125rd.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
773335862,6511181,СТАЛЬ,Угловая шлифмашина СТАЛЬ КШМ 111-125Д (81560),1395,1720766,Инструменты и автотовары >> Электроинструменты >> Болгарки и штроборезы >> Болгарки и штроборезы Сталь,stal,Болгарка Сталь КШМ 111-125Д,,1595,1,https://comfy.ua/bolgarka-stal-kshm-111-125d.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
773335921,,,,,1098971,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для лимона tescoma 420118 PRESTO,,216,1,https://comfy.ua/nozh-dlja-limona-tescoma-420118-presto.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
773335922,,,,,1098975,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для яблук tescoma 420128 PRESTO,,233,1,https://comfy.ua/nozh-dlja-jablok-tescoma-420128-presto.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
773335923,,,,,1099195,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,"Ніж для хліба tescoma 880536 HOME PROFI, 21 см",,699,1,https://comfy.ua/nozh-dlja-hleba-tescoma-880536-home-profi-21-sm.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
773335927,6656358,ARDESTO,"Нож для овощей ARDESTO Gemini 8,9 см (AR2135SP)",165,1725851,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж для овочів Ardesto Gemini 20.5 см (AR2135SP),,148,1,https://comfy.ua/nozh-dlja-ovoschej-ardesto-gemini-20-5-sm-ar2135sp.html,205,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
773335931,6656360,ARDESTO,Нож поварской ARDESTO Gemini 15.2 см (AR2133SP),219,1725849,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Gemini 27.5 см (AR2133SP),,219,1,https://comfy.ua/nozh-kuhonnyj-ardesto-gemini-27-5-sm-ar2133sp.html,275,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
773335932,,,,,1729066,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Berghoff,berghoff,Ніж для равіолі Berghoff 3950007 LEO,,242,1,https://comfy.ua/nozh-dlja-ravioli-berghoff-3950007-leo.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
773335934,6656356,ARDESTO,Нож для хлеба ARDESTO Gemini 20.3 см (AR2132SP),235,1725848,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж для хліба Ardesto Gemini 33 см (AR2132SP),,211,1,https://comfy.ua/nozh-dlja-hleba-ardesto-gemini-33-sm-ar2132sp.html,295,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
773335935,6656363,ARDESTO,Нож универсальный ARDESTO Black Mars 12.7 см (AR2034SW),239,1725842,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Black Mars 25.2 см (AR2034SW),,215,1,https://comfy.ua/nozh-kuhonnyj-ardesto-black-mars-25-2-sm-ar2034sw.html,299,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
773335936,6656357,ARDESTO,Нож для овощей ARDESTO Black Mars 8.9 см (AR2035SW),227,1725843,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж для овочів Ardesto Black Mars 20.2 см (AR2035SW),,225,1,https://comfy.ua/nozh-dlja-ovoschej-ardesto-black-mars-20-2-sm-ar2035sw.html,299,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
773335937,6656361,ARDESTO,Нож поварской ARDESTO Gemini 20.3 см (AR2131SP),249,1725847,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Gemini 32.5 см (AR2131SP),,249,1,https://comfy.ua/nozh-kuhonnyj-ardesto-gemini-32-5-sm-ar2131sp.html,315,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
773335940,6656362,ARDESTO,Нож для нарезки ARDESTO Black Mars 20.3 см (AR2032SW),319,1725840,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж слайсерний Ardesto Black Mars 32 см (AR2032SW),,319,1,https://comfy.ua/nozh-slajsernyj-ardesto-black-mars-32-sm-ar2032sw.html,399,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
773335942,6656355,ARDESTO,Нож для хлеба ARDESTO Black Mars 20.3 см (AR2033SW),326,1725841,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж для хліба Ardesto Black Mars 32 см (AR2033SW),,326,1,https://comfy.ua/nozh-dlja-hleba-ardesto-black-mars-32-sm-ar2033sw.html,419,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
773335945,6656359,ARDESTO,Нож поварской ARDESTO Black Mars 20.3 см (AR2031SW),320,1725839,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Black Mars 32 см (AR2031SW),,320,1,https://comfy.ua/nozh-kuhonnyj-ardesto-black-mars-32-sm-ar2031sw.html,455,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
773335948,6656367,ARDESTO,Набор ножей ARDESTO Gemini Gourmet 14 пр (AR2114SW),1327,1725846,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Набір ножів Ardesto Gemini Gourmet 14 пр. (AR2114SW),,1099,1,https://comfy.ua/nabor-nozhej-ardesto-gemini-gourmet-14-pr-ar2114sw.html,1499,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
773335949,6656366,ARDESTO,Набор ножей ARDESTO Gemini 6 пр (AR2106SB),1149,1725844,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Набір ножів Ardesto Gemini 6 пр. (AR2106SB),,1149,1,https://comfy.ua/nabor-nozhej-ardesto-gemini-6-pr-ar2106sb.html,1849,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
773335950,6656365,ARDESTO,Набор ножей ARDESTO Gemini 6 пр (AR2106SS),1399,1725845,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Набір ножів Ardesto Gemini 6 пр. (AR2106SS),,1301,1,https://comfy.ua/nabor-nozhej-ardesto-gemini-6-pr-ar2106ss.html,1849,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
773335954,,,,,1727821,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для равіолі tescoma 630023 Delicia,,699,1,https://comfy.ua/nozh-dlja-ravioli-tescoma-630023-delicia.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
773335955,,,,,1723061,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж кухонний tescoma 630132 Delicia 30 см для торта,,799,1,https://comfy.ua/nozh-kuhonnyj-tescoma-630132-delicia-30-sm-dlja-torta.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
773335964,,,,,.1728554,Детские товары >> Кормление,philips,Пляшка для води Philips 6 міс. 200 мл Blue (SCF551/05),,279,1,https://comfy.ua/butylka-dlja-vody-philips-6-mes-200-ml-blue-scf551-05.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
773335978,,,,,1716069,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Toshiba",toshiba,Жорсткий диск внутрішній Toshiba SATA 1TB Toshiba 7200rpm 128MB (MG04ACA100N),,3189,1,https://comfy.ua/zhestkij-disk-vnutrennij-toshiba-sata-1tb-toshiba-7200rpm-128mb-mg04aca100n.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
773336073,6604283,NEO TOOLS,Набор зубил и долот NEO TOOLS 5 ед (33-060),769,1720983,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Neo Tools,neo-tools,Набір інструментів Neo Tools зубил и долот 33-060 5 шт.,,769,1,https://comfy.ua/nabor-instrumentov-neo-tools-zubil-i-dolot-33-060-5-sht.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
773336090,6518221,MAGIO,Электробритва MAGIO MG-686,539,1730346,Красота и здоровье >> Уход за лицом,magio,Бритва Magio MG-686,,539,1,https://comfy.ua/britva-magio-mg-686.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
773336091,6518220,MAGIO,Электробритва MAGIO MG-685,649,1729702,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Magio,magio,Бритва Magio MG-685,,649,1,https://comfy.ua/britva-magio-mg-685.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
773336140,,,,,1358851,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Intaleo,intaleo,Автотримач Intaleo CM01GP,,399,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-intaleo-cm01gp.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
773336205,6678392,ECG,Тостер ECG ST 13730,1767,1729683,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры ECG,ecg,Тостер ECG ST 13730,,1769,1,https://comfy.ua/toster-ecg-st-13730.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
773336313,6367741,FIRST,Миксер-тестомес FIRST FA-5259,4829,1171709,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны First,first,Кухонна машина First 5259 (FA-5259),,4829,1,https://comfy.ua/kuhonnaja-mashina-first-5259-fa-5259.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
773336373,,,,,1720599,Инструменты и автотовары >> Электроинструменты >> Шлифовальные машины >> Шлифовальные машины Ryobi,ryobi,Ексцентрикова шліфовальна машина Ryobi ROS300A,,2899,1,https://comfy.ua/jekscentrikovaja-shlifoval-naja-mashina-ryobi-ros300a.html,3199,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
773336404,6645334,KRAUFF,Разделочная доска KRAUFF 29.6 х 22.4 х 0.8 см (26-288-013),315,1730236,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Krauff,krauff,Дошка обробна Krauff 26-288-013 29.6х22.4х0.8 см,,315,1,https://comfy.ua/razdelochnaja-doska-krauff-26-288-013-29-6h22-4h0-8-sm.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
773337146,,,,,1729214,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link EAP235-Wall,,2999,1,https://comfy.ua/tochka-dostupa-tp-link-eap235-wall.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
