1058483284,6785739,eleyus,_eleyus_breeze_1000_50_wh,4939,1884737,__________eleyus,eleyus,__eleyus_breeze_1000_50_wh,column,4939,1,httpscomfyuavytjazhkavstraivaemajaeleyusbreeze100050whhtml,column,05112025_2110,column,__42,Фастів,0
1060139678,,,,,.1883842,Детские товары >> Прогулки и поездки,peg-perego,Прогулянковий блок Peg-Perego Pop-Up SO13-DX71 Блакитне з чорним (ISPV300062SO13DX71),,2999,1,https://comfy.ua/progulochnyj-blok-peg-perego-pop-up-so13-dx71-goluboj-s-chernym-ispv300062so13dx71.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1060141262,,,,,.1883837,Детские товары >> Прогулки и поездки,peg-perego,Прогулянковий блок Peg-Perego Pop-Up Versilia Бежевий з білим (ISPV300062PL66LD36),,5899,1,https://comfy.ua/progulochnyj-blok-peg-perego-pop-up-versilia-bezhevyj-s-belym-ispv300062pl66ld36.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1060143971,,,,,1880437,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Kinderkraft,kinderkraft,Коляска прогулянкова Kinderkraft Grande 2020 Burgundy (KKWGRANBRG000N),,8620,1,https://comfy.ua/koljaska-progulochnaja-kinderkraft-grande-2020-burgundy-kkwgranbrg000n.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1060145090,,,,,.1882004,"Детские товары >> Уход, купание и гигиена",zettoch,Зубна паста дитяча Zettoch Kids Toothpasta Cola (4582118954421),,249,1,https://comfy.ua/zubnaja-pasta-detskaja-zettoch-kids-toothpasta-cola-4582118954421.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1060146336,,,,,1880626,Comfy KIDS >> Детская комната и безопасность >> Кроватки детские >> Кроватки детские Kinderkraft,kinderkraft,Колиска-люлька Kinderkraft Lovi Grey (KKLLOVIGRY0000),,3890,1,https://comfy.ua/kolybel-ljul-ka-kinderkraft-lovi-grey-kkllovigry0000.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1060149453,,,,,.1883830,Детские товары >> Прогулки и поездки,peg-perego,Прогулянковий блок Peg-Perego Pop-Up Terracotta Теракотове (IS03300062TG48DX53),,6899,1,https://comfy.ua/progulochnyj-blok-peg-perego-pop-up-terracotta-terrakotovoe-is03300062tg48dx53.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1060150157,,,,,1880627,Comfy KIDS >> Детская комната и безопасность >> Кроватки детские >> Кроватки детские Kinderkraft,kinderkraft,Колиска-люлька Kinderkraft Lovi Beige (KKLLOVIBEG0000),,3890,1,https://comfy.ua/kolybel-ljul-ka-kinderkraft-lovi-beige-kkllovibeg0000.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1060397934,6746608,SENCOR,Электробритва SENCOR SMS 5510BK,1399,1880795,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Sencor,sencor,Бритва Sencor SMS 5510BK,,1399,1,https://comfy.ua/britva-sencor-sms-5510bk.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1060397938,6746606,SENCOR,Электробритва SENCOR SMS 5520BL,1549,1880794,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Sencor,sencor,Бритва Sencor SMS 5520BL,,1849,1,https://comfy.ua/britva-sencor-sms-5520bl.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1061777153,6732840,BOSCH,Варочная поверхность BOSCH PKE611BA2E,11999,1837344,Техника для кухни >> Крупная техника,bosch,Варильна поверхня електрична Bosch PKE611BA2E,,11999,1,https://comfy.ua/catalog/product/view/id/3253373,15499,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1061785644,,,,,.1882003,Смартфоны и телефоны >> Аксессуары для смартфонов,vogels,Тримач для планшета Vogels RingO TMS 1030 Tablet Flex Pack (8371030),,4999,1,https://comfy.ua/derzhatel-dlja-plansheta-vogels-ringo-tms-1030-tablet-flex-pack-8371030.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1061801762,6832926,KINGSTON,SSD накопитель KINGSTON 512GB M.2 KC3000 NVMe 2280 (SKC3000S/512G),2846,1885567,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,SSD-накопичувач внутрішній Kingston KC3000 512GB M.2 2280 PCIe 4.0 x4 NVMe 3D TLC (SKC3000S/512G),,3239,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-kc3000-512gb-m-2-2280-pcie-4-0-x4-nvme-3d-tlc-skc3000s-512g.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1061801762,6790027,KINGSTON,SSD накопитель Kingston KC3000 M.2 512GB NVMe 2280 (SKC3000S/512G),3640,1885567,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,SSD-накопичувач внутрішній Kingston KC3000 512GB M.2 2280 PCIe 4.0 x4 NVMe 3D TLC (SKC3000S/512G),,3239,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-kc3000-512gb-m-2-2280-pcie-4-0-x4-nvme-3d-tlc-skc3000s-512g.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1061801765,6790023,KINGSTON,SSD int. KINGSTON 1TB M.2 KC3500 NVMe 2280 (SKC3000S/1024G),4039,1885566,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,SSD-накопичувач внутрішній Kingston KC3000 1024GB M.2 2280 PCIe 4.0 x4 NVMe 3D TLC (SKC3000S/1024G),,5229,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-kc3000-1024gb-m-2-2280-pcie-4-0-x4-nvme-3d-tlc-skc3000s-1024g.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1061801765,6832927,KINGSTON,SSD накопитель KINGSTON KC3000 1TB M.2 NVMe 2280 (SKC3000S/1024G),5229,1885566,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,SSD-накопичувач внутрішній Kingston KC3000 1024GB M.2 2280 PCIe 4.0 x4 NVMe 3D TLC (SKC3000S/1024G),,5229,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-kc3000-1024gb-m-2-2280-pcie-4-0-x4-nvme-3d-tlc-skc3000s-1024g.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1061807133,,,,,1882875,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Тонер для заправки картриджа G&G Canon iR2202/2202N Black (C-EXV42),,905,1,https://comfy.ua/toner-dlja-zapravki-kartridzha-g-g-canon-ir2202-2202n-black-c-exv42.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1061816074,6736036,BRAUN,Блендер BRAUN MultiQuick 7 MQ7035I,3399,1883641,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Braun,braun,Блендер заглибний Braun MQ-7035 X BK,,3399,1,https://comfy.ua/blender-pogruzhnoj-braun-mq-7035-x-bk.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1061828338,,,,,1883530,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры SteelSeries",steelseries,Клавіатура дротова ігрова SteelSeries APEX 3 TKL UA (64831),,2999,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-steelseries-steelseries-apex-3-tkl-ua-64831.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
1061828586,,,,,.1881013,Техника для дома >> Аксессуары к мелкой технике,jimmy,Щітка для пилососу JIMMY до HW8/HW8 Pro,,499,1,https://comfy.ua/schetka-dlja-pylesosa-jimmy-dlja-hw8-hw8-pro.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1061846112,,,,,1838393,Бытовая химия >> Для кухни и мытья посуды >> Пакеты для мусора >> Пакеты для мусора Добра господарочка,dobra-gospodarochka,Пакет для сміття Добра господарочка з затяжками сині 35 л 15 шт. (4820086521734),,40,1,https://comfy.ua/paket-musornyj-dobra-gospodarochka-s-zatjazhkami-sinie-35-l-15-sht-4820086521734.html,72,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1061846425,,,,,1880476,Детские товары >> Детский транспорт,kinderkraft,Триколісний велосипед Kinderkraft Easytwist Midnight Green (KKRETWIGRE0000),,7690,1,https://comfy.ua/catalog/product/view/id/3256503,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1061846608,,,,,1880475,Детские товары >> Детский транспорт,kinderkraft,Триколісний велосипед Kinderkraft Easytwist Platinum Grey (KKRETWIGRY0000),,7075,1,https://comfy.ua/catalog/product/view/id/3256483,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1061968221,,,,,1880475,Comfy KIDS >> Детский транспорт >> Велосипеды >> Велосипеды Kinderkraft,kinderkraft,Триколісний велосипед Kinderkraft Easytwist Platinum Grey (KKRETWIGRY0000),,7075,1,https://comfy.ua/trjohkoljosnyj-velosiped-kinderkraft-easytwist-platinum-grey-kkretwigry0000.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1061968274,,,,,1883389,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Childhome,childhome,Сумка для батьків Childhome Khaki (CWMBBKA),,5829,1,https://comfy.ua/sumka-dlja-roditelej-childhome-khaki-cwmbbka.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1061968528,,,,,1884815,Детские товары >> Кормление,childhome,Піднос до стільчика для годування Childhome Evolu (CHEVOTSIL),,829,1,https://comfy.ua/podnos-k-stul-chiku-dlja-kormlenija-childhome-evolu-chevotsil.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1061968688,6611205,GOKI,Игра GOKI Треугольник (56940G),973,1890533,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки goki,goki,Настільна гра (3-4 роки) goki Трикутник (56940G),,975,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-goki-treugol-nik-56940g.html,,06.11.2025 1:17,,"вул. Соборна, 42",Фастів,0
1061968705,,,,,1880503,Comfy KIDS >> Детский транспорт >> Велосипеды >> Велосипеды Kinderkraft,kinderkraft,Триколісний велосипед Kinderkraft Freeway Green (KKRFRWAGRE0000),,4072,1,https://comfy.ua/trjohkoljosnyj-velosiped-kinderkraft-freeway-green-kkrfrwagre0000.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1061968820,,,,,1880472,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Kinderkraft,kinderkraft,Біговел Kinderkraft Rapid Midnight Green (KKRRAPIGRE0000),,3390,1,https://comfy.ua/begovel-kinderkraft-rapid-midnight-green-kkrrapigre0000.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1061968875,6732840,BOSCH,Варочная поверхность BOSCH PKE611BA2E,11999,1837344,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Bosch,bosch,Варильна поверхня електрична Bosch PKE611BA2E,,11999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-bosch-pke611ba2e.html,15499,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1061968908,,,,,1880487,Comfy KIDS >> Детский транспорт >> Велосипеды >> Велосипеды Kinderkraft,kinderkraft,Триколісний велосипед Kinderkraft Spinstep Platinum Grey (KRSPST00GRY0000),,6690,1,https://comfy.ua/trjohkoljosnyj-velosiped-kinderkraft-spinstep-platinum-grey-krspst00gry0000.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1061968988,6785399,KERNAU,Микроволновая печь KERNAU KFMO 2011 MW,4275,1878923,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Kernau,kernau,"""Мікрохвильова піч (НВЧ)",,,,,,,,,,
"Kernau KFMO 2011 MW""",,4275,1,https://comfy.ua/mikrovolnovaja-pech-svch-kernau-kfmo-2011-mw.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1061969066,,,,,1880570,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Kinderkraft,kinderkraft,Біговел Kinderkraft Cutie Turquoise (KKRCUTITRQ0000),,1790,1,https://comfy.ua/begovel-kinderkraft-cutie-turquoise-kkrcutitrq0000.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
