747070794,6628934,camry,_camry_cr_1291,1407,1688866,Техника для кухни >> Мелкая техника,camry,__camry_cr_1278,column,835,1,httpscomfyuajelektricheskijchajnikcamrycr1278html,column,05112025_2015,column,__42,Фастів,0
747107936,6622747,CAMRY,Фен Camry CR 2257,389,1688857,Красота и здоровье >> Уход за волосами,camry,Фен Camry Дорожный (CR 2257),,389,1,https://comfy.ua/fen-camry-dorozhnyj-cr-2257.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
747118356,6635517,ELEYUS,Вытяжка ELEYUS Bora 1200 LED SMD 90 WH,7049,1693994,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка декоративна ELEYUS ELEYUS Bora 1200 LED SMD 90 WH,,7049,1,https://comfy.ua/vytjazhka-dekorativnaja-eleyus-eleyus-bora-1200-led-smd-90-wh.html,9219,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
747122009,6625522,ARDESTO,Весы напольные ARDESTO SCB-965DOG,399,1662203,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Ardesto,ardesto,Ваги підлогові Ardesto SCB-965 Dog,,359,1,https://comfy.ua/vesy-napol-nye-ardesto-scb-965-dog.html,399,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
747123314,,,,,1673599,Техника для кухни >> Мелкая техника,wmf,Електричний чайник WMF 413130011 LONO,,4199,1,https://comfy.ua/jelektricheskij-chajnik-wmf-lono-4211129063302.html,5499,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
747124986,,,,,1680020,Техника для кухни >> Мир кофе,wmf,Кавоварка ріжкова WMF 412360011 LUMERO Espresso maker,,12749,1,https://comfy.ua/kofevarka-rozhkovaja-wmf-412360011-lumero-espresso-maker.html,14999,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
747125287,,,,,1690378,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Mercusys",mercusys,Маршрутизатор інтернет WiFi5 Mercusys AC10,,799,1,https://comfy.ua/marshrutizator-ethernet-mercusys-ac10.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
747125805,6631338,TEFAL,Сковорода TEFAL Unlimited 28 см Black (G2550672),1999,1687023,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal G2550672 Unlimited 28 см,,1999,1,https://comfy.ua/skovoroda-universal-naja-tefal-g2550672-unlimited-28-sm.html,2529,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,1
747125823,6631334,TEFAL,Сковорода для блинов TEFAL Unlimited 25 см Black (G2553872),1399,1687024,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода для млинців Tefal G2553872 Unlimited 25 см,,1399,1,https://comfy.ua/skovoroda-dlja-blinov-tefal-g2553872-unlimited-25-sm.html,1979,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
747125840,6631321,TEFAL,Сковорода Вок TEFAL Unlimited 28 см Black (G2551972),2199,1687026,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода ВОК Tefal G2551972 Unlimited 28 см ВОК,,2199,1,https://comfy.ua/skovoroda-vok-tefal-g2551972-unlimited-28-sm-vok.html,2829,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
747125857,,,,,1689021,Посуда >> Для приготовления,tefal,Сковорода універсальна Tefal G2680572 Ultimate 26 см,,1399,1,https://comfy.ua/skovoroda-universal-naja-tefal-g2680572-ultimate-26-sm.html,2149,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,6
747125950,,,,,1689026,Посуда >> Для приготовления,tefal,Сковорода ВОК Tefal G2681972 Ultimate 28 см ВОК,,1599,1,https://comfy.ua/skovoroda-vok-tefal-g2681972-ultimate-28-sm-vok.html,2549,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,3
747128663,6638712,LEXAR,Флеш-драйв LEXAR JumpDrive V40 64GB USB 2.0 (LJDV40-64GAB),195,1690588,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Lexar",lexar,Флеш USB Lexar JumpDrive V40 64GB USB 2.0 (LJDV40-64GAB),,199,1,https://comfy.ua/flesh-usb-lexar-jumpdrive-v40-64gb-usb-2-0-ljdv40-64gab.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
747128840,6633246,JBL,Гарнитура JBL JR310BT Blue (JBLJR310BTBLU),1099,1687508,"Аудио, фото и видео >> Наушники",jbl,Навушники накладні бездротові JBL JR 310BT Blue (JBLJR310BTBLU),,1099,1,https://comfy.ua/catalog/product/view/id/1391513,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,1
747129621,,,,,1689024,Посуда >> Для приготовления,tefal,Сковорода універсальна Tefal G2680672 Ultimate 28 см,,1499,1,https://comfy.ua/skovoroda-universal-naja-tefal-g2680672-ultimate-28-sm.html,2349,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,3
747130742,6936867,FISKARS,Сковорода FISKARS Norden 24 см Silver (1026903),7665,1685361,Посуда >> Для приготовления >> Сковороды >> Сковороды Fiskars,fiskars,Сковорода універсальна Fiskars Norden 24 см (1026903),,7665,1,https://comfy.ua/skovoroda-universal-naja-fiskars-norden-24-sm-1026903.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
747130753,6936875,FISKARS,Сковорода-гриль FISKARS Norden 26 см Black (1026570),7680,1685360,Посуда >> Для приготовления >> Сковороды >> Сковороды Fiskars,fiskars,Сковорода універсальна Fiskars Norden 26 см (1026570),,8856,1,https://comfy.ua/skovoroda-universal-naja-fiskars-norden-26-sm-1026570.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
747131411,,,,,.1675018,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 GT 1030 2GB 161 (Ryzen53600GT10302GB161),,17356,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-gt-1030-2gb-161-ryzen53600gt10302gb161.html,19949,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
747131414,,,,,.1675019,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 GT 1030 2GB 1611 (Ryzen53600GT10302GB1611),,18052,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-gt-1030-2gb-1611-ryzen53600gt10302gb1611.html,20749,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
747131416,,,,,.1675020,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 GT 1030 2GB 162 (Ryzen53600GT10302GB162),,15494,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-gt-1030-2gb-162-ryzen53600gt10302gb162.html,17809,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
747131420,,,,,.1675022,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 GT 1030 2GB 811 (Ryzen53600GT10302GB811),,16882,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-gt-1030-2gb-811-ryzen53600gt10302gb811.html,19405,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
747131443,,,,,.1675024,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 GT 1030 2GB 821 (Ryzen53600GT10302GB821),,17100,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-gt-1030-2gb-821-ryzen53600gt10302gb821.html,19655,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
747143326,6618455,HP,Колонки HP DHE-6000,470,1667934,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика HP",hp,Комп'ютерна акустика компактна 2.0 HP DHE-6000,,459,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-hp-dhe-6000.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
747147715,,,,,.1663749,Техника для кухни >> Мелкая техника,wmf,Пароварка WMF 0415090011 KIMI STEAMER,,8999,1,https://comfy.ua/parovarka-wmf-kitchenminis-415090011.html,11999,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
747148228,,,,,1682112,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 575284021 PermaDur Excell 28 см,,3499,1,https://comfy.ua/skovoroda-universal-naja-wmf-575284021-permadur-excell-28-sm.html,4599,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
747148235,,,,,1682099,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 741086290 NordicProfi 28 см,,3799,1,https://comfy.ua/skovoroda-universal-naja-wmf-741086290-nordicprofi-28-sm.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
747151166,7060203,SOLA,Набор посуды SOLA Diamond 4 шт (13DIAM004),12759,1672283,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Sola,sola,Набір посуду Sola 4 шт. 13DIAM 004,,12759,1,https://comfy.ua/nabor-posudy-sola-4-sht-13diam-004.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
747151357,,,,,1688777,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tescoma,tescoma,Ніж для видалення серцевини tescoma 428238 GrandChef,,299,1,https://comfy.ua/nozh-dlja-udalenija-serdceviny-tescoma-428238-grandchef.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
747151427,,,,,1685359,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Fiskars,fiskars,Каструля Fiskars Norden 5 л (1026567),,15050,1,https://comfy.ua/kastrjulja-fiskars-norden-5-l-1026567.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
747151508,6547698,CONTIGO,Бутылка для воды CONTIGO Gizmo Flip 0.42 л Orange (06800391),795,1658290,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры Contigo,contigo,Пляшка для води Contigo детская 0.42 л 2116115,,795,1,https://comfy.ua/butylka-dlja-vody-contigo-detskaja-0-42-l-2116115.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
747151592,,,,,1690055,Посуда >> Для сервировки >> Принадлежности для бара >> Принадлежности для бара Sola,sola,Ложка для лимонаду Sola 16.8 см 31IBIZ303,,86,1,https://comfy.ua/lozhka-dlja-limonada-sola-16-8-sm-31ibiz303.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
747151595,6634967,COOLINAR,Ложка сервировочная COOLINAR (94125),75,1690519,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Coolinar,coolinar,Ложка кухарська Coolinar 94125,,75,1,https://comfy.ua/lozhka-povarskaja-coolinar-94125.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
