708788045,6987428,wuesthof,___wuesthof_classic_10__1040100410,4038,1653211,_____________wuesthof,wuesthof,___wuesthof_10__1040100410,column,4083,1,httpscomfyuanozhdljaovoschejwuesthof10sm1040100410html,column,05112025_2005,column,__42,Фастів,0
708788616,7060695,WUESTHOF,Нож для хлеба WUESTHOF Classic Ikon 20 см Black (1040331020),5685,1653188,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж для хліба Wuesthof 20 см 1040331020,,5685,1,https://comfy.ua/nozh-dlja-hleba-wuesthof-20-sm-1040331020.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
708788617,,,,,.1646252,Посуда >> Для напитков,aurora,Френч-прес Aurora AU8003,,439,1,https://comfy.ua/french-press-aurora-au8003.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
708788618,6987443,WUESTHOF,Нож для нарезки WUESTHOF Classic Ikon 20 см Creme (1040430720),6274,1653198,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухонний Wuesthof 20 см 1040430720,,8879,1,https://comfy.ua/nozh-kuhonnyj-wuesthof-20-sm-1040430720.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
708788619,7069720,WUESTHOF,Нож поварской WUESTHOF Classic 20 см Black (1040100120),5623,1653191,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухаря Wuesthof 20 см 1040100120,,5623,1,https://comfy.ua/nozh-povara-wuesthof-20-sm-1040100120.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
708788632,6987442,WUESTHOF,Нож сантоку WUESTHOF Classic Ikon Creme 17 см (1040431317),9769,1653194,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухаря Wuesthof 17 см 1040431317,,9769,1,https://comfy.ua/nozh-povara-wuesthof-17-sm-1040431317.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
708788640,6987444,WUESTHOF,Нож поварской WUESTHOF Classic Ikon 20 см Creme (1040430120),7052,1653195,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухаря Wuesthof 20 см 1040430120,,7052,1,https://comfy.ua/nozh-povara-wuesthof-20-sm-1040430120.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
708788641,6987433,WUESTHOF,Нож поварской WUESTHOF Classic Ikon 23 см (1040330123),8009,1653193,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухаря Wuesthof 23 см 1040330123,,8009,1,https://comfy.ua/nozh-povara-wuesthof-23-sm-1040330123.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
708788897,,,,,1651635,Посуда >> Для напитков >> Термопосуда >> Термопосуда Delonghi,delonghi,Термочашка Delonghi DLSC055 The Taster,,499,1,https://comfy.ua/termokruzhka-delonghi-dlsc055-the-taster.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
708788942,,,,,.1649587,Посуда >> Для напитков,berghoff,"Термочашка Berghoff 3950124 0,33 л",,999,1,https://comfy.ua/termokruzhka-berghoff-3950124-0-33-l.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
708789050,6987440,WUESTHOF,Нож для чистки WUESTHOF Classic Ikon 7 см Creme (1040432207),4215,1654086,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж для овочів Wuesthof 7 см 1040432207,,4215,1,https://comfy.ua/nozh-dlja-ovoschej-wuesthof-7-sm-1040432207.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
708789053,6987437,WUESTHOF,Нож универсальный WUESTHOF Gourmet 12 см (1025048012),1459,1654082,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухонний Wuesthof 12 см 1025048012,,1459,1,https://comfy.ua/nozh-dlja-mjasa-wuesthof-12-sm-1025048012.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
708789053,7060717,WUESTHOF,Нож универсальный WUESTHOF Gourmet 12 см (1035048112),1459,1654082,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухонний Wuesthof 12 см 1025048012,,1459,1,https://comfy.ua/nozh-dlja-mjasa-wuesthof-12-sm-1025048012.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
708789055,6987439,WUESTHOF,Нож поварской WUESTHOF Gourmet 20 см Black (1025044820),3746,1654076,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухаря Wuesthof 20 см 1025044820,,3746,1,https://comfy.ua/nozh-povara-wuesthof-20-sm-1025044820.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
708789071,6670526,KELA,Кувшин KELA з крышкой Pitcher 1 л (11397),1649,1648231,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Kela,kela,Глечик Kela Pitcher 1 л (11397),,1649,1,https://comfy.ua/kuvshin-kela-pitcher-1-l-11397.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
708789079,,,,,1648230,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Kela,kela,Глечик Kela Fontana 1.5 л (12418),,2049,1,https://comfy.ua/kuvshin-kela-fontana-1-5-l-12418.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
708789214,,,,,.1622949,Посуда >> Для сервировки,tramontina,Ложка столова Tramontina Pacific (63962/010),,135,1,https://comfy.ua/lozhka-stolovaja-tramontina-pacific-63962-010.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
708789217,,,,,.1653733,Посуда >> Для сервировки,vittora,Набір ножів столових Vittora VT-K-02-3/2 Срібло 2 шт,,86,1,https://comfy.ua/nabor-nozhej-stolovyh-vittora-vt-k-02-3-2-serebro-2-sht.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
708789317,,,,,.1653732,Посуда >> Для сервировки,vittora,Набір ножів столових Vittora VT-K-01-3/3 Крапля 3 шт,,127,1,https://comfy.ua/nabor-nozhej-stolovyh-vittora-vt-k-01-3-3-kaplja-3-sht.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
708789786,,,,,1649596,Посуда >> Для напитков,berghoff,Термос Berghoff 1100250 1 л,,1499,1,https://comfy.ua/termos-berghoff-1100250-1-l.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
708790297,6517175,KELA,"Банка KELA Baker,0,35л,7,5х14см(10766)",349,1648266,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Baker 0.35 л 7.5х14 см (10766),,349,1,https://comfy.ua/emkost-dlja-sypuchih-kela-baker-0-35-l-7-5h14-sm-10766.html,619,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
708790335,6670266,KELA,Банка KELA Amelie 1.5 л 10 х 21 см (11957),409,1648256,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Amelie 1.5 л 10х21 см (11957),,409,1,https://comfy.ua/emkost-dlja-sypuchih-kela-amelie-1-5-l-10h21-sm-11957.html,739,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
708790351,,,,,1653136,Посуда >> Для напитков >> Чашки >> Чашки Ringel,ringel,Чашка з подвійними стінками Ringel Guten Morgen200 мл (RG-0002/200),,169,1,https://comfy.ua/chashka-ringel-guten-morgen200-ml-rg-0002-200.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
708790366,6987400,BRABANTIA,Сито BRABANTIA 20 см (182686),1514,1656016,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Brabantia",brabantia,Сито Brabantia 20 см (182686),,1514,1,https://comfy.ua/sito-brabantia-20-sm-182686.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
708790379,6517174,KELA,Банка KELA Arik 1.2 л (12106),629,1648261,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Arik White 1.2 л 10.5х19 см (12106),,799,1,https://comfy.ua/emkost-dlja-sypuchih-kela-arik-white-1-2-l-10-5h19-sm-12106.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
708790399,6517177,KELA,Банка KELA Baker 1.1 л (10768),569,1648268,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Baker 1.1 л 9.5х19.5 см (10768),,569,1,https://comfy.ua/emkost-dlja-sypuchih-kela-baker-1-1-l-9-5h19-5-sm-10768.html,1029,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
708790425,,,,,.1648424,Посуда >> Для хранения,aps,Хлібниця APS 17 см (30410),,1390,1,https://comfy.ua/hlebnica-aps-17-sm-30410.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
708790437,,,,,1650207,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Kela,kela,Менажниця Kela на підставці Philipa 4 пр. (12261),,1119,1,https://comfy.ua/piala-kela-na-podstavke-philipa-4-pr-12261.html,1239,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
708790515,6670277,KELA,Банка KELA Maila 1.3 л 10.5 х 20.5 см (12481),819,1648272,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Kela,kela,Ємність для сипучих Kela Maila 1.3 л 10.5х20.5 см (12481),,819,1,https://comfy.ua/emkost-dlja-sypuchih-kela-maila-1-3-l-10-5h20-5-sm-12481.html,1259,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
708793442,,,,,1648190,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки Kela",kela,Кавоварка гейзерна Kela Latina 300 мл 6 чашок (10836),,3179,1,https://comfy.ua/kofevarka-gejzernaja-kela-latina-300-ml-6-chashek-10836.html,5289,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
708793797,6517264,KELA,Набор стаканов KELA Cesena 200 мл 2шт (12411),909,1648597,Посуда >> Для напитков >> Стаканы >> Стаканы Kela,kela,Набір склянок з подвійними стінками Kela Cesena 200 мл 2шт. (12411),,909,1,https://comfy.ua/nabor-stakanov-dlja-kofe-i-chaja-kela-cesena-200-ml-2sht-12411.html,1399,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
708794039,,,,,1648882,Посуда >> Нарезка и измельчение,berghoff,Терка Berghoff 3950205 27 см,,519,1,https://comfy.ua/terka-berghoff-3950205-27-sm.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
708794052,,,,,1648878,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Berghoff",berghoff,Терка Berghoff 3950203 27 см,,519,1,https://comfy.ua/terka-berghoff-3950203-27-sm.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
