947174037,column,column,column,column,1827559,_____________becover,becover,___becover_for_xiaomi_amazfit_bipbip_litebip_s_litegtr_42mmgtsticwatch_s2ticwatch_e_khaki_706204,column,179,1,httpscomfyuaremeshokdljasmartchasovbecoverforxiaomiamazfitbipbiplitebipslitegtr42mmgtsticwatchs2ticwatchekhaki706204html,column,05112025_1811,column,__42,Фастів,0
948144030,,,,,1834429,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",vention,Перехідник Vention USB 3.1 Type-C - VGA (F) 0.15м (TDFHB),,349,1,https://comfy.ua/catalog/product/view/id/2729453,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
948156978,,,,,1838583,"Аудио, фото и видео >> Наушники",jbl,Навушники повнорозмірні бездротові JBL Live 660 NC Black (JBLLIVE660NCBLK),,3899,1,https://comfy.ua/catalog/product/view/id/2755873,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,2
948162954,,,,,1834188,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",vention,Перехідник HDMI Vention USB3.1 Type-C --> HDMI (F) (TDEHB),,675,1,https://comfy.ua/catalog/product/view/id/2729443,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
948163041,,,,,1818734,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Кардридеры и хабы >> Кардридеры и хабы Trust",trust,Хаб USB Trust Halyx Fast 3xUSB+Card Reader USB-C Aluminium (24191),,999,1,https://comfy.ua/hab-usb-trust-halyx-fast-3xusb-card-reader-usb-c-aluminium-24191.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
948282279,6809990,JBL,Гарнитура JBL TUNE 560 BT Black (JBLT560BTBLK),1499,1838653,"Аудио, фото и видео >> Наушники",jbl,Навушники накладні бездротові JBL T560BT Black (JBLT560BTBLK),,1499,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-jbl-t560bt-black-jblt560btblk.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
948282297,,,,,1835330,Смартфоны и телефоны >> Смартфоны >> Смартфоны ZTE,zte,Смартфон ZTE Blade A71 3/64 GB Gray,,4049,1,https://comfy.ua/smartfon-zte-blade-a71-3-64-gb-gray.html,4999,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
948327793,6705507,BOSCH,Гайковерт BOSCH ударный GDS 18V-1050 H (0.601.9J8.522),26046,1758522,Инструменты и автотовары >> Электроинструменты,bosch,Гайковерт акумуляторний Bosch GDS 18V-1050 H 2x5.0 (0.601.9J8.522),,26045,1,https://comfy.ua/catalog/product/view/id/2686923,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
948327794,6705506,BOSCH,Гайковерт ударный BOSCH GDS 18V-1050 H Professional (0.601.9J8.502),33390,1758523,Инструменты и автотовары >> Электроинструменты,bosch,Гайковерт акумуляторний Bosch GDS 18V-1050 H 2xPC8.0 (0.601.9J8.502),,33389,1,https://comfy.ua/catalog/product/view/id/2686953,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
948340036,,,,,1835873,"Аудио, фото и видео >> Аксессуары для фото, видео",works,Батарейка тип CR2032 Works Litnium CR2032W-5B/5 шт.,,62,1,https://comfy.ua/catalog/product/view/id/2758203,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
948489212,,,,,1831598,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Мережевий зарядний пристрій Colorway Type-C PD + USB QC3.0 (20W) V2 Black (CW-CHS025QPD-BK),,449,1,https://comfy.ua/catalog/product/view/id/2701563,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
948499023,,,,,1810092,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Мережевий зарядний пристрій Colorway Power Delivery Port PPS 1USB-Cx3A 45W White (CW-CHS034PD-WT),,749,1,https://comfy.ua/catalog/product/view/id/2670353,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
948608832,,,,,1832585,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec CTG-750C-RGB,,3209,1,https://comfy.ua/catalog/product/view/id/2756393,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
948611003,,,,,1831250,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",strong,Маршрутизатор інтернет WiFi4 + 4G Strong 300M LTE Wi-Fi,,1799,1,https://comfy.ua/catalog/product/view/id/2756763,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
948813706,,,,,1838551,Техника для кухни >> Крупная техника,sencor,Плита електрична настільна Sencor SCP2263BK,,2299,1,https://comfy.ua/catalog/product/view/id/2758233,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
949240661,,,,,1838300,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Leifheit",leifheit,Прасувальна дошка Leifheit 72563 AIRBOARD M Solid,,3849,1,https://comfy.ua/gladil-naja-doska-leifheit-72563-airboard-m-solid.html,4285,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
949240786,,,,,1799280,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для лазерних принтерів/БФП HP 203X CLJ M280/M281/M254 Magenta (CF543X),,6455,1,https://comfy.ua/catalog/product/view/id/2760763,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
949371920,,,,,1833377,"Аудио, фото и видео >> Наушники",sennheiser,Гарнітура дротова Sennheiser ADAPT 135 USB II (1000914),,4739,1,https://comfy.ua/catalog/product/view/id/2735533,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
949419777,,,,,1838583,"Аудио, фото и видео >> Наушники",jbl,Навушники повнорозмірні бездротові JBL Live 660 NC Black (JBLLIVE660NCBLK),,3899,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-jbl-live-660-nc-black-jbllive660ncblk.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,2
949419813,6723973,ARDESTO,Электрочайник ARDESTO EKL-F18B,899,1833486,Техника для кухни >> Мелкая техника,ardesto,Електричний чайник Ardesto EKL-F18B,,899,1,https://comfy.ua/jelektricheskij-chajnik-ardesto-ekl-f18b.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
949423146,,,,,.1832585,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec CTG-750C-RGB,,3209,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-ctg-750c-rgb.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
949431471,6721905,VALERA,Машинка для стрижки VALERA ABSOLUT ZERO (658.01),4869,1837005,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Valera,valera,Машинка для стрижки волосся Valera Absolut Zero (658.01),,7489,1,https://comfy.ua/trimmer-universal-nyj-valera-absolut-zero-658-01.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
949436806,,,,,1831250,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",strong,Маршрутизатор інтернет WiFi4 + 4G Strong 300M LTE Wi-Fi,,1799,1,https://comfy.ua/modem-4g-strong-300m-lte-wi-fi.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
949436872,6738685,SENCOR,Плитка SENCOR SCP1504BK-EUE4,899,1838548,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Sencor,sencor,Плита електрична настільна Sencor SCP1504BK-EUE4,,899,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-sencor-scp1504bk-eue4.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
949436873,6738684,SENCOR,Плитка SENCOR SCP1503WH-EUE4,799,1838547,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Sencor,sencor,Плита електрична настільна Sencor SCP1503WH-EUE4,,799,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-sencor-scp1503wh-eue4.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
949437390,6738688,SENCOR,Плитка SENCOR SCP2263BK,2299,1838551,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Sencor,sencor,Плита електрична настільна Sencor SCP2263BK,,2299,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-sencor-scp2263bk.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
949437707,6803528,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 33 500х1400 мм (FTV330501401R2K),21368,1813100,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2, Profil-V, FTV 33, 500X1400 мм (FTV330501401R2K)",,21635,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-33-500x1400-mm-ftv330501401r2k.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
949437708,6803529,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 33 500 х 1600 мм (FTV330501601R2K),23623,1813101,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2, Profil-V, FTV 33, 500X1600 мм (FTV330501601R2K)",,23915,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-33-500x1600-mm-ftv330501601r2k.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
949437709,6803530,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 33 500 х 2000 мм (FTV330502001R2K),28917,1813102,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2, Profil-V, FTV 33, 500X2000 мм (FTV330502001R2K)",,29275,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-33-500x2000-mm-ftv330502001r2k.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
949645168,6740085,TRUST,Мышь TRUST Basi Wired Mouse Black (24271),149,1834203,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Trust",trust,Миша дротова Trust Basi Wired Mouse (24271),,119,1,https://comfy.ua/mysh-provodnaja-trust-basi-wired-mouse-24271.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
949681067,6721899,VALERA,Фен VALERA Swiss Light 3200 (SL3200),2999,1837009,Красота и здоровье >> Уход за волосами >> Фены >> Фены Valera,valera,Фен Valera Swiss Light 3200 (SL3200),,2999,1,https://comfy.ua/fen-valera-swiss-light-3200-sl3200.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
950196518,,,,,.1835873,"Аудио, фото и видео >> Аксессуары для фото, видео",works,Батарейка тип CR2032 Works Litnium CR2032W-5B/5 шт.,,62,1,https://comfy.ua/batarejka-tip-cr2032-works-litnium-cr2032w-5b-5-sht.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
950246269,7088083,PEUGEOT,Мельница для соли PEUGEOT Paris U-Select 18 см (23393_BS),2255,1838660,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot U-S 18 см 23393_BS,,2255,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-u-s-18-sm-23393-bs.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
950958298,6721903,VALERA,Гофре-утюжок VALERA SWISS'X FRISE (101.04),3521,1836997,Красота и здоровье >> Уход за волосами,valera,Плойка Valera Swiss'X Frise (101.04),,4695,1,https://comfy.ua/vyprjamitel-volos-valera-swiss-x-frise-101-04.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
950958303,6721902,VALERA,Выпрямитель VALERA SWISS'X PULSECARE (101.20/I),4413,1836998,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Valera,valera,Вирівнювач волосся Valera Swiss'X Pulsecare (101.20/I),,6789,1,https://comfy.ua/vyprjamitel-volos-valera-swiss-x-pulsecare-101-20-i.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
951094463,6725278,ALPINE,Автомобильная акустика ALPINE SXE-1350S,2379,1805948,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автоакустика Alpine SXE-1350S,,2379,1,https://comfy.ua/avtoakustika-alpine-sxe-1350s.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
951101015,6725277,ALPINE,Автомобильная акустика ALPINE SXE-1325S,1879,1805946,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автоакустика Alpine SXE-1325S,,1879,1,https://comfy.ua/avtoakustika-alpine-sxe-1325s.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
951108112,6725274,ALPINE,Автомобильная акустика ALPINE SXE-0825S (2136),1339,1805944,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автоакустика Alpine SXE-0825S,,1339,1,https://comfy.ua/avtoakustika-alpine-sxe-0825s.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
951110631,,,,,.1806203,Инструменты и автотовары >> Автотовары,alpine,Автоакустика Alpine SPS-M601W,,4399,1,https://comfy.ua/avtoakustika-alpine-sps-m601w.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
951146170,,,,,1806213,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автоакустика Alpine SXE-13C2,,1789,1,https://comfy.ua/avtoakustika-alpine-sxe-13c2.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
951158128,5481173,ALPINE,Автомобильная акустика ALPINE SXE-69C2,2579,1806214,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автоакустика Alpine SXE-69C2,,2579,1,https://comfy.ua/avtoakustika-alpine-sxe-69c2.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
951216779,,,,,1806633,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика CalCell,calcell,Автоакустика CalCell CP-402,,679,1,https://comfy.ua/avtoakustika-calcell-cp-402.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
951218381,,,,,1817975,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика CalCell,calcell,Автоакустика CalCell CP-502,,799,1,https://comfy.ua/avtoakustika-calcell-cp-502.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
951220543,,,,,1806637,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика CalCell,calcell,Автоакустика CalCell CP-653,,909,1,https://comfy.ua/avtoakustika-calcell-cp-653.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
951221910,,,,,1806297,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика CalCell,calcell,Автоакустика CalCell CP-6930,,1369,1,https://comfy.ua/avtoakustika-calcell-cp-6930.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
951363415,,,,,.1839887,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway Canon 719/319 MF5840/LBP6300 Universal (CW-C719M),,629,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-canon-719-319-mf5840-lbp6300-universal-cw-c719m.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
951372462,,,,,1838763,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Razer",razer,"Клавіатура бездротова ігрова Razer BlackWidow V3 Mini Hyperspeed, Yellow Switch RU (RZ03-03890700-R3R1)",,5999,1,https://comfy.ua/klaviatura-provodnaja-razer-blackwidow-v3-mini-hyperspeed-yellow-switch-ru-rz03-03890700-r3r1.html,,05.11.2025 22:04,,"вул. Соборна, 42",Фастів,0
