1389783748,6926900,neo_tools,_neo_tools_160__crni_01156,359,2094269,______________neo_tools,neotools,_neo_tools_01156_160_,column,359,1,httpscomfyuaploskogubcyneotools01156160mmhtml,column,05112025_2155,column,__42,Фастів,0
1389839301,6855548,NEO TOOLS,Фонарь NEO TOOLS 900 люмен 10 Вт 220 В (99-044),840,2095838,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-044,,599,1,https://comfy.ua/fonar-neo-tools-99-044.html,855,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1389839302,6840031,NEO TOOLS,"Фонарь налобный NEO TOOLS 600 люмен, 6 Вт, USB (99-027)",1640,2094279,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-027,,1389,1,https://comfy.ua/fonar-neo-tools-99-027.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1389839303,6894971,RYOBI,Фонарь светодиодный RYOBI ONE+ RLF18-0 без АКБ и ЗУ (5133005387),899,2096818,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ryobi",ryobi,Ліхтар акумуляторний Ryobi ONE+ RLF18-0 (5133005387),,899,1,https://comfy.ua/fonar-akkumuljatornyj-ryobi-one-rlf18-0-5133005387.html,1069,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1389839345,,,,,1885067,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Haisser,haisser,Набір комбінованих ключів Haisser 8 шт. (48427),,575,1,https://comfy.ua/nabor-kombinirovannyh-kljuchej-haisser-8-sht-48427.html,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
1389849724,6806211,NEO TOOLS,Ключ разводной NEO TOOLS (35D112),199,2093356,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Top Tools,top-tools,Развідний ключ Top Tools 200 мм (35D112),,199,1,https://comfy.ua/razvodnoj-kljuch-top-tools-200-mm-35d112.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
1389902273,6926729,TOP TOOLS,Ножовка TOP TOOLS по металлу 300 мм (10A235),159,2093367,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Top Tools",top-tools,Ножівка Top Tools 10A235,,159,1,https://comfy.ua/nozhovka-top-tools-10a235.html,,05.11.2025 22:37,,"вул. Соборна, 42",Фастів,0
1389902275,6799435,NIVONA,Кофемашина NIVONA CafeRomatica NICR 795,35999,2077455,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Nivona,nivona,Кавомашина Nivona NICR795,,35209,1,https://comfy.ua/kofemashina-nivona-nicr795.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1390158925,6855643,VERTO,Триммер VERTO 350 Вт 25 см (52G550),1699,2077425,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы VERTO",verto,Тример садовий VERTO 52G550,,1699,1,https://comfy.ua/trimmer-sadovyj-verto-52g550.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1390158926,6855644,VERTO,Триммер VERTO 52G551,2199,2077426,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы VERTO",verto,Тример садовий VERTO 52G551,,2199,1,https://comfy.ua/trimmer-sadovyj-verto-52g551.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1390183831,6834660,MPM,Бутербродница MPM MOP-45M,1099,2097734,Техника для кухни >> Мелкая техника,mpm,Бутербродниця MPM MOP-45M,,1099,1,https://comfy.ua/vafel-nica-mpm-mop-45m.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1390183848,6873600,MPM,Сушилка MPM MSG-03,1399,2097761,Техника для кухни >> Хранение продуктов,mpm,Сушарка для фруктів та овочів MPM MSG-03,,1399,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-mpm-msg-03.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1390183850,6873599,MPM,Сушилка MPM MSG-01,1399,2097760,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов MPM,mpm,Сушарка для фруктів та овочів MPM MSG-01,,1399,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-mpm-msg-01.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1390186552,6869526,MPM,Бутербродница MPM MOP-43M,1799,2097733,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы MPM,mpm,Бутербродниця MPM MOP-43M,,1799,1,https://comfy.ua/vafel-nica-mpm-mop-43m.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1390321588,6848575,MPM,Вафельница MPM MGO-20M,1199,2097745,Техника для кухни >> Мелкая техника >> Вафельницы >> Вафельницы MPM,mpm,Вафельниця MPM MGO-20M,,1199,1,https://comfy.ua/vafel-nica-mpm-mgo-20m.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1390321590,6869523,MPM,Вафельница MPM MGO-24,1199,2097741,Техника для кухни >> Мелкая техника >> Вафельницы >> Вафельницы MPM,mpm,Вафельниця MPM MGO-24,,1199,1,https://comfy.ua/vafel-nica-mpm-mgo-24.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1390321592,6848576,MPM,Вафельница MPM MGO-40,2499,2097743,Техника для кухни >> Мелкая техника >> Вафельницы >> Вафельницы MPM,mpm,Вафельниця MPM MGO-40,,2499,1,https://comfy.ua/vafel-nica-mpm-mgo-40.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1390431833,,,,,2096097,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus Cat 6 UTP 0.5m White (DK-1617-005/WH),,53,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6-utp-0-5m-white-dk-1617-005-wh.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1390431839,,,,,2096103,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",digitus,Кабель патч-корд Digitus Cat 6 S-FTP 5m Yellow (DK-1644-050/Y),,269,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6-s-ftp-5m-yellow-dk-1644-050-y.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1390431841,,,,,2091715,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Digitus",digitus,"Кабель патч-корд Digitus CAT 6a S-FTP, 5м, AWG 26/7 (DK-1644-A-050) сірий",,325,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6a-s-ftp-5m-awg-26-7-dk-1644-a-050-serij.html,,05.11.2025 22:04,,"вул. Соборна, 42",Фастів,0
1391075549,6909656,SATURN,Весы кухонные SATURN ST-KS7834,314,2086858,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Saturn,saturn,Ваги кухонні Saturn ST-KS7834,,315,1,https://comfy.ua/vesy-kuhonnye-saturn-st-ks7834.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1391075551,6909655,SATURN,Весы кухонные SATURN ST-KS7833,369,2086857,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Saturn,saturn,Ваги кухонні Saturn ST-KS7833,,369,1,https://comfy.ua/vesy-kuhonnye-saturn-st-ks7833.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1391135093,6834647,MPM,Блендер MPM MRK-17,3199,2097724,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры MPM,mpm,Блендер заглибний MPM MRK-17,,3199,1,https://comfy.ua/blender-pogruzhnoj-mpm-mrk-17.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1391222870,6812289,ECG,Триммер ECG GRS 3820 Magnetic,1655,2084748,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры ECG,ecg,Тример універсальний ECG GRS 3820 Magnetic,,1655,1,https://comfy.ua/trimmer-universal-nyj-ecg-grs-3820-magnetic.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1392011319,,,,,.2023217,Инструменты и автотовары >> Расходные материалы,stal,Стрижень для клейового пістолета Сталь 7.2х100 мм 12 шт. (80240),,41,1,https://comfy.ua/sterzhen-dlja-kleevogo-pistoleta-stal-7-2h100-mm-12-sht-80240.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
1392012289,6793728,FUJI,Мобильный фотопринтер FUJI Instax LINK WIDE A WHITE EX D (16719574),7519,2073372,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Fujifilm",fujifilm,Фотопринтер Fujifilm INSTAX LINK WIDE A WHITE EX D (16719574),,7519,1,https://comfy.ua/fotoprinter-del-instax-link-wide-a-white-ex-d-16719574.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1392013539,,,,,2085860,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",promate,Кабель Promate HDMI-USB Type-C hdmi-pd100.grey,,1599,1,https://comfy.ua/kabel-promate-hdmi-usb-type-c-hdmi-pd100-grey.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1392017111,6917055,HISMART,Кресло HISMART HS081188,8999,2094228,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары HiSmart",hismart,Крісло для геймерів HiSmart HS081188,,6799,1,https://comfy.ua/kreslo-dlja-gejmerov-hismart-hs081188.html,7999,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1392071928,6855547,NEO TOOLS,Фонарь NEO TOOLS 600 люмен 8 Вт USB 2200 мАч (99-043),1189,2095837,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-043,,1269,1,https://comfy.ua/fonar-neo-tools-99-043.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1392071929,6840033,NEO TOOLS,Фонарь NEO TOOLS LED CREE XHP50.2 (99-036),1049,2094287,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-036,,1049,1,https://comfy.ua/fonar-neo-tools-99-036.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1392071930,6840032,NEO TOOLS,Фонарь NEO TOOLS 10Вт 2200мАч (99-035),1514,2094286,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-035,,1629,1,https://comfy.ua/fonar-neo-tools-99-035.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1392071931,6871616,NEO TOOLS,Фонарь налобный NEO TOOLS 2000 люмен 20Вт (99-029),2260,2094281,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-029,,2259,1,https://comfy.ua/fonar-neo-tools-99-029.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1392071932,6840035,NEO TOOLS,Фонарь NEO TOOLS 30 Вт 4000 мАч (99-037),1580,2094288,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-037,,1699,1,https://comfy.ua/fonar-neo-tools-99-037.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1392071933,6894972,RYOBI,Фонарь светодиодный RYOBI ONE+ RLS18-0 без АКБ и ЗУ (5133005388),1823,2096819,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Ryobi",ryobi,Ліхтар акумуляторний Ryobi ONE+ RLS18-0 (5133005388),,1754,1,https://comfy.ua/fonar-akkumuljatornyj-ryobi-one-rls18-0-5133005388.html,2299,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1392071936,7078499,VARTA,Фонарь инспекционный VARTA Work Flex Stadium IP54 Micro-USB (18647101401),3399,2095118,"Дом, отдых и зоотовары >> Освещение",varta,Ліхтар Varta Work Flex Stadium (18647101401),,4019,1,https://comfy.ua/fonar-varta-work-flex-stadium-18647101401.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1392071938,6902486,BOSCH,Фонарь BOSCH GLI 18B 1900 лн Solo (0.601.446.400),5700,2095817,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Bosch",bosch,Ліхтар акумуляторний Bosch GLI 18V -1900 (0.601.446.400),,5699,1,https://comfy.ua/fonar-akkumuljatornyj-bosch-gli-18v-1900-0-601-446-400.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1392117105,,,,,.2081035,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Samsung Galaxy A53 SM-A536 Black (707322),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-a53-sm-a536-black-707322.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1392117107,,,,,.2097807,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфона BeCover for Samsung Galaxy M33 SM-M336 Black (707356),,175,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-m33-sm-m336-black-707356.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1392129867,,,,,2094222,Детские товары >> Детский транспорт >> Самокаты >> Самокаты Miqilong,miqilong,Двоколісний самокат Miqilong Cart Чорний (Cart-100-Black),,1199,1,https://comfy.ua/dvuhkoljosnyj-samokat-miqilong-cart-chernyj-cart-100-black.html,1399,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1392129868,,,,,2094224,Детские товары >> Детский транспорт >> Самокаты >> Самокаты Miqilong,miqilong,Двоколісний самокат Miqilong Cart Рожевий (Cart-100-Pink),,1199,1,https://comfy.ua/dvuhkoljosnyj-samokat-miqilong-cart-rozovyj-cart-100-pink.html,1399,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1392134785,6855038,COCOMELON,Игровой набор COCOMELON Deluxe Family Car свет и звук (CMW0104),799,2096858,Детские товары >> Игрушки >> Интерактивные игрушки >> Интерактивные игрушки CoComelon,cocomelon,Інтерактивний транспорт CoComelon Deluxe Vehicle Family Fun Car Vehicle (CMW0104),,899,1,https://comfy.ua/interaktivnyj-transport-cocomelon-deluxe-vehicle-family-fun-car-vehicle-cmw0104.html,1459,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
1392141786,,,,,.2097806,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Samsung Galaxy A23 SM-A235 Black (707355),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-a23-sm-a235-black-707355.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1392170551,7066850,LIONELO,Стульчик для кормления LIONELO Koen Grey Stone 2 в 1 (LO-KOEN GREY STONE),3939,2094531,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Lionelo,lionelo,Стільчик для годування класичний Lionelo Koen Grey Stone,,4099,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-lionelo-koen-grey-stone.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1392170552,,,,,2094532,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Lionelo,lionelo,Стільчик для годування класичний Lionelo Zanna Grey Stone,,5299,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-lionelo-zanna-grey-stone.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
