808604488,6687023,neo_tools,_neo_tools__900__11628,565,1771146,______________neo_tools,neotools,_neo_tools_11628_neo_900_,column,565,1,httpscomfyuamolotokneotools11628neo900ghtml,column,05112025_2226,column,__42,Фастів,0
808605289,6926789,SIGIKID,Рюкзак SIGIKID Kily Keeper (23769SK),1247,1774515,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Sigikid,sigikid,Рюкзак дитячий Sigikid Kily Keeper (23769SK),,1249,1,https://comfy.ua/rjukzak-detskij-sigikid-kily-keeper-23769sk.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808605292,6375969,SIGIKID,Рюкзак SIGIKID 23145SK,839,1774514,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Sigikid,sigikid,Рюкзак дитячий Sigikid Sammy Samoa (23145SK),,1199,1,https://comfy.ua/rjukzak-detskij-sigikid-sammy-samoa-23145sk.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808605294,6375977,SIGIKID,Рюкзак SIGIKID Sammy Samoa (24004SK),885,1774516,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Sigikid,sigikid,Рюкзак дитячий Sigikid Sammy Samoa (24004SK),,1265,1,https://comfy.ua/rjukzak-detskij-sigikid-sammy-samoa-24004sk.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808605590,6722645,OSRAM,Датчик движения OSRAM Ledvance 110DEG IP44 WT (4058075244733),488,1769939,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Osram,osram,Бездротовий датчик руху Osram Ledvance 110DEG IP44 WT (4058075244733),,499,1,https://comfy.ua/besprovodnoj-datchik-dvizhenija-osram-ledvance-110deg-ip44-wt-4058075244733.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
808605846,6722646,OSRAM,Датчик движения OSRAM Ledvance WALL 110DEG IP44 DG (4058075244757),488,1769940,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Osram,osram,Бездротовий датчик руху Osram Ledvance Wall 110DEG IP44 DG (4058075244757),,545,1,https://comfy.ua/besprovodnoj-datchik-dvizhenija-osram-ledvance-wall-110deg-ip44-dg-4058075244757.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
808607476,,,,,1771748,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла FunDesk",fundesk,Крісло дитяче FunDesk LST3 BU-GY,,2189,1,https://comfy.ua/stul-ofisnyj-fundesk-lst3-bu-gy.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
808607477,,,,,1771749,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла FunDesk",fundesk,Крісло дитяче FunDesk LST3 OG-GY,,2189,1,https://comfy.ua/stul-ofisnyj-fundesk-lst3-og-gy.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
808607552,6926790,SIGIKID,Рюкзак SIGIKID Sammy Samoa (24936SK),1053,1774362,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Sigikid,sigikid,Рюкзак дитячий Sigikid Sammy Samoa (24936SK),,1055,1,https://comfy.ua/rjukzak-detskij-sigikid-sammy-samoa-24936sk.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808607706,6661068,MIELE,Кофемашина MIELE CM 6160 White Lotus,69899,1772493,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Miele,miele,Кавомашина Miele CM 6160 Діамантовий Білий (29616001RU),,69899,1,https://comfy.ua/kofemashina-miele-cm-6160-brilliantovyj-belyj-29616001ru.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
808607709,6661071,MIELE,Кофемашина MIELE CM 6560 Obsidian Black PF,79029,1773204,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Miele,miele,Кавомашина Miele CM 6560 Чорний Обсідіан + сертифікат (29656013RU),,79029,1,https://comfy.ua/kofemashina-miele-cm-6560-chernyj-obsidian-sertifikat-29656013ru.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
808609381,,,,,.1770885,Инструменты и автотовары >> Ручные инструменты,stal,Ключ торцевий Сталь 14х15 мм (71273),,74,1,https://comfy.ua/kljuch-torcevoj-stal-14h15-mm-71273.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
808609385,6743252,GRAPHITE,"""Головка торцевая GRAPHITE 1/4"""" 10 мм (56H552)""",98,1770943,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи GRAPHITE,graphite,Торцева голівка GRAPHITE сталь S2  10 мм (56H552),,99,1,https://comfy.ua/torcevaja-golovka-graphite-stal-s2-10-mm-56h552.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
808609389,6743253,GRAPHITE,"""Головка торцевая GRAPHITE 1/4"""" 13 мм (56H553)""",129,1770840,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи GRAPHITE,graphite,Торцева голівка GRAPHITE сталь S2 13 мм (56H553),,129,1,https://comfy.ua/torcevaja-golovka-graphite-stal-s2-13-mm-56h553.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
808609390,6871651,TOP TOOLS,"""Ключ-трещетка TOP TOOLS 1/4"""" 24 зубца 150 мм (38D101)""",139,1770955,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Top Tools,top-tools,Ключ-трiскачка Top Tools 1/4 150 мм (38D101),,139,1,https://comfy.ua/kljuch-treschetka-top-tools-1-4-150-mm-38d101.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
808609391,6926538,TOP TOOLS,"""Ключ-трещотка TOP TOOLS  3/8"""" 200мм (38D121)""",149,1770956,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Top Tools,top-tools,Ключ-трiскачка Top Tools 3/8 200 мм (38D121),,149,1,https://comfy.ua/kljuch-treschetka-top-tools-3-8-200-mm-38d121.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
808610470,,,,,.1770890,Инструменты и автотовары >> Ручные инструменты,stal,Набір ключів Сталь 6 шт. (70080),,249,1,https://comfy.ua/nabor-kljuchej-stal-6-sht-71267.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
808610471,,,,,.1770891,Инструменты и автотовары >> Ручные инструменты,stal,Набір ключів Сталь 10 шт. (70081),,435,1,https://comfy.ua/nabor-kljuchej-stal-10-sht-71268.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
808611310,6458119,СТАЛЬ,"""Ключ балонный СТАЛЬ 14"""" x 355 мм, D=16 мм (70065)""",469,1770894,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Сталь,stal,"""Ключ балонний Сталь 14""""x355 мм D=16-22мм (71250)""",,495,1,https://comfy.ua/kljuch-balonnyj-stal-14-x355-mm-d-16-22mm-71250.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
808611311,6458120,СТАЛЬ,"""Ключ балонный СТАЛЬ 14"""" x 355 мм, D=16 мм (48400)""",497,1770893,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Сталь,stal,"""Ключ балонний Сталь 14""""x355 мм D=16-22мм (48400)""",,489,1,https://comfy.ua/kljuch-balonnyj-stal-14-x355-mm-d-16-22mm-48400.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
808611312,6687010,NEO TOOLS,Ключ комбинированный NEO TOOLS с трещеткой 13 мм (09-325),279,1770605,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,Ключ комбiнований Neo Tools 13 мм (09-325),,279,1,https://comfy.ua/kljuch-kombinirovannyj-neo-tools-13-mm-09-325.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
808611315,6458114,СТАЛЬ,"""Ключ торцевой с трещоткой Сталь Profi 3/8"""" 72 зуба с подвеской (70136)""",397,1770886,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Сталь,stal,"""Ключ-трiскачка Сталь 3/8"""" 72 зуба Profi (80815)""",,399,1,https://comfy.ua/kljuch-treschetka-stal-3-8-72-zuba-profi-80815.html,,05.11.2025 23:09,,"вул. Соборна, 42",Фастів,0
808611882,,,,,1774081,Посуда >> Для напитков >> Термопосуда >> Термопосуда Tescoma,tescoma,Термос для продуктів tescoma 310540 Family 1.5 л,,1599,1,https://comfy.ua/termos-dlja-produktov-tescoma-310540-family-1-5-l.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
808611883,,,,,1774082,Посуда >> Для напитков >> Термопосуда >> Термопосуда Tescoma,tescoma,Термос для продуктів tescoma 310541 Family 2.5 л,,2099,1,https://comfy.ua/termos-dlja-produktov-tescoma-310541-family-2-5-l.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
808611884,,,,,1774083,Посуда >> Для напитков >> Термопосуда >> Термопосуда Tescoma,tescoma,Термос для продуктів tescoma 310542 Family 3.5 л,,2399,1,https://comfy.ua/termos-dlja-produktov-tescoma-310542-family-3-5-l.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
808614170,,,,,1770775,Инструменты и автотовары >> Электроинструменты,neo-tools,Болгарка Neo Tools 125 мм (14-508),,1305,1,https://comfy.ua/bolgarka-neo-tools-125-mm-14-508.html,2899,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
808625329,,,,,1756302,Смарт-часы и гаджеты >> 3D-принтеры,gembird,3-D принтер Gembird 3DP-GEMMA,,9299,1,https://comfy.ua/3-d-printer-gembird-3dp-gemma.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
808625937,,,,,1745584,Техника для дома >> Умный дом >> Станции управления приборами >> Станции управления приборами Ajax,ajax,Стартовий набір для управління приладами Ajax StarterKit Cam Plus чорний (000019876),,19499,1,https://comfy.ua/startovyj-nabor-dlja-upravlenija-priborami-ajax-starterkit-cam-plus-chornyj-000019876.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
808632804,6743250,GRAPHITE,Набор бит GRAPHITE 50 мм 3 шт (56H542),119,1770838,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты GRAPHITE,graphite,Біта для викрутки GRAPHITE PZ1/2/3x50 мм 3 шт. (56H542),,119,1,https://comfy.ua/nabor-bit-dlja-otvertki-graphite-pz1-2-3x50-mm-3-sht-56h542.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
808632805,6743249,GRAPHITE,Набор бит GRAPHITE 50 мм 3 шт (56H543),119,1770837,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты GRAPHITE,graphite,Біта для викрутки GRAPHITE PH1/2/3x50 мм 3 шт. (56H543),,119,1,https://comfy.ua/nabor-bit-dlja-otvertki-graphite-ph1-2-3x50-mm-3-sht-56h543.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
808632807,6743251,GRAPHITE,Набор бит ударных Graphite 6 шт (56H541),117,1770948,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты GRAPHITE,graphite,Біта для викрутки GRAPHITE TX10/15/20/25/30/40x25 мм 6 шт. (56H541),,119,1,https://comfy.ua/nabor-bit-dlja-otvertki-graphite-tx10-15-20-25-30-40x25-mm-6-sht-56h541.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
808632808,6687017,NEO TOOLS,Набор бит NEO TOOLS 50 мм SL6-5 шт (09-581),119,1771157,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Neo Tools,neo-tools,Біта для викрутки Neo Tools 09-581 NEО 5 шт.,,119,1,https://comfy.ua/nabor-bit-dlja-otvertki-neo-tools-09-581-neo-5-sht.html,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
808632809,6687018,NEO TOOLS,Набор ударных бит Neo Tools S2 50 мм SL8 - 5 шт (09-582),119,1771158,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Neo Tools,neo-tools,Біта для викрутки Neo Tools 09-582 NEО 5 шт.,,119,1,https://comfy.ua/nabor-bit-dlja-otvertki-neo-tools-09-582-neo-5-sht.html,,05.11.2025 22:20,,"вул. Соборна, 42",Фастів,0
808632815,6729361,GRAPHITE,Набор бит GRAPHITE PH2 x 25 мм 20 шт (56H531),269,1770834,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты GRAPHITE,graphite,Біта для викрутки GRAPHITE PH2x25 мм 20 шт. (56H531),,279,1,https://comfy.ua/nabor-bit-dlja-otvertki-graphite-ph2x25-mm-20-sht-56h531.html,,05.11.2025 22:03,,"вул. Соборна, 42",Фастів,0
808639600,6550454,СТАЛЬ,Набор насадок для гравера СТАЛЬ НП 186 шт (68074),479,1770978,Инструменты и автотовары >> Расходные материалы >> Насадки для реноваторов >> Насадки для реноваторов Сталь,stal,Набір насадок для багатофункціонального інструменту Сталь НП 186 шт. (68074),,549,1,https://comfy.ua/nabor-nasadok-dlja-mnogofunkcional-nogo-instrumenta-stal-np-186-sht-68074.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
808643968,7042176,TOLSEN,Секатор TOLSEN PP/TPR скошенный 200 мм (31020),202,1769102,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Tolsen,tolsen,Ножиці садові Tolsen 200 мм (31020),,225,1,https://comfy.ua/nozhnicy-sadovye-tolsen-200-mm-31020.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
808643969,6945126,TOLSEN,Секатор TOLSEN 205 мм (31023),297,1769097,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Tolsen,tolsen,Ножиці садові Tolsen 205 мм (31023),,359,1,https://comfy.ua/nozhnicy-sadovye-tolsen-205-mm-31023.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
808643973,,,,,1770931,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Fiskars,fiskars,Ножиці садові Fiskars Classic 18 см (1000555),,1299,1,https://comfy.ua/nozhnicy-sadovye-fiskars-classic-18-sm-1000555.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
808647482,6945440,TOLSEN,Ножовка TOLSEN 180 мм (31014),219,1769094,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Tolsen",tolsen,Ножівка Tolsen 180 мм (31014),,265,1,https://comfy.ua/nozhovka-tolsen-180-mm-31014.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
808652511,7041935,TEKHMANN,Пила циркулярная TEKHMANN TSC-165/i20,2565,1769637,Инструменты и автотовары >> Электроинструменты,tekhmann,Пила дискова Tekhmann TSC-165/i20 (848397),,2399,1,https://comfy.ua/catalog/product/view/id/2085183,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
808657760,6687097,NEO TOOLS,Органайзер NEO TOOLS 84-065,429,1771047,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Neo Tools,neo-tools,Органайзер для інструментів Neo Tools 257x180x65mm (84-065),,429,1,https://comfy.ua/organajzer-dlja-instrumentov-neo-tools-257x180x65mm-84-065.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
808658277,6734553,GRAPHITE,Сумка для инструмента Graphite Energy+ Medium (58G092),1559,1770953,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов GRAPHITE,graphite,Сумка для інструментів GRAPHITE Energy + Medium (58G092),,1559,1,https://comfy.ua/sumka-dlja-instrumentov-graphite-energy-medium-58g092.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
808658288,6735355,NEO TOOLS,Рюкзак NEO TOOLS CAMO (84-321),2999,1771181,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Neo Tools,neo-tools,Рюкзак для інструментів Neo Tools 84-321 NEO CAMO,,2999,1,https://comfy.ua/rjukzak-dlja-instrumentov-neo-tools-84-321-neo-camo.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
808666957,,,,,1740072,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Чохол для електронної книги AIRON Premium for PocketBook 606/628/633 Picture Night (4821784622280),,699,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-airon-premium-for-pocketbook-606-628-633-picture-night-4821784622280.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
808672191,6740588,JIMMY,Микрофибра для мойщика окон JIMMY VW302,149,1765695,Бытовая химия >> Все для уборки >> Салфетки бытовые >> Салфетки бытовые JIMMY,jimmy,Серветка побутова JIMMY VW302 (B0BP5320001R),,149,1,https://comfy.ua/salfetka-bytovaja-jimmy-vw302-b0bp5320001r.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
808672862,,,,,.1745149,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-AP60VGK (Wi-Fi)\MUZ-AP60VG,,88499,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ap60vgk-wi-fi-muz-ap60vg.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
808687012,6781131,ACER,Проектор ACER X1128H (MR.JTG11.001),15115,1769137,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Acer,acer,Проектор Acer X1128H (MR.JTG11.001),,15115,1,https://comfy.ua/proektor-acer-x1128h-mr-jtg11-001.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
