819711033,7088278,joseph_joseph,_joseph_joseph_tier_grey_85178,1665,1776944,______________________joseph_joseph,josephjoseph,___joseph_joseph_85178,column,1665,1,httpscomfyuasushkadljaposudyjosephjoseph85178html,column,05112025_1939,column,__42,Фастів,0
819711059,,,,,1770161,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Сніжна панда,snizhna-panda,Серветки паперові Сніжна панда столовые белые 24*24 100 шт.,,24,1,https://comfy.ua/salfetki-bumazhnye-snizhna-panda-stolovye-belye-24-24-100-sht.html,34,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
819711063,,,,,1770163,Бытовая химия >> Для кухни и мытья посуды,snizhna-panda,Серветки паперові Сніжна панда белые 33*33 100 шт.,,39,1,https://comfy.ua/salfetki-bumazhnye-snizhna-panda-belye-33-33-100-sht.html,56,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
819711065,,,,,1770159,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Сніжна панда,snizhna-panda,Рушники паперові Сніжна панда Листовые Снежная панда 140 листов 2сл,,59,1,https://comfy.ua/polotenca-bumazhnye-snizhna-panda-listovye-snezhnaja-panda-140-listov-2sl.html,74,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
819711068,,,,,1770173,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Сніжна панда,snizhna-panda,"Рушники паперові Сніжна панда BIG ROLL 2сл, 1 шт.",,75,1,https://comfy.ua/polotenca-bumazhnye-snizhna-panda-big-roll-2sl-1-sht.html,89,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
819711069,,,,,1740536,Бытовая химия >> Для кухни и мытья посуды,zewa,Рушники паперові Zewa 2 в 1 2-слойные 1 шт. (7322540827743),,30,1,https://comfy.ua/polotenca-bumazhnye-zewa-2-v-1-2-slojnye-1-sht-7322540827743.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
819711070,,,,,1783197,Бытовая химия >> Для кухни и мытья посуды,ruta,"Рушники паперові Рута Mega 1шт, 2сл",,84,1,https://comfy.ua/polotenca-bumazhnye-ruta-mega-1sht-2sl.html,90,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,3
819711072,,,,,1783196,Бытовая химия >> Для кухни и мытья посуды,ruta,"Рушники паперові Рута Selecta Mega roll 1шт, 3СЛ",,105,1,https://comfy.ua/polotenca-bumazhnye-ruta-selecta-mega-roll-1sht-3sl.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
819711073,,,,,1749415,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни SELPAK,selpak,Рушники паперові SELPAK 2 шт. (8690530015029),,119,1,https://comfy.ua/polotenca-bumazhnye-selpak-2-sht-8690530015029.html,144,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
819711076,6766603,ZEWA,Бумажные полотенца ZEWA Wisch&Weg Extra Lang Original 2-слойные 2 шт (7322540833300/7322540973174),186,1740009,Бытовая химия >> Для кухни и мытья посуды >> Бумажные полотенца и салфетки для кухни >> Бумажные полотенца и салфетки для кухни Zewa,zewa,Рушники паперові Zewa Wisch Weg 2 рулона (7322540973174),,185,1,https://comfy.ua/polotenca-bumazhnye-zewa-wisch-weg-2-rulona-7322540973174.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
819711079,,,,,1749413,Бытовая химия >> Для кухни и мытья посуды,selpak,"Рушники паперові SELPAK 3сл, 6шт",,269,1,https://comfy.ua/polotenca-bumazhnye-selpak-3sl-6sht.html,401,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
819711083,6164521,,Насадка для швабры Helfer Butterfly (47-147-017),58,1728346,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Helfer,helfer,Змінна насадка на швабру Helfer Butterfly (47-147-017),,59,1,https://comfy.ua/smennaja-nasadka-na-shvabru-helfer-butterfly-47-147-017.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
819711085,,,,,1099046,Посуда >> Для запекания и выпечки,tescoma,Відокремлювач білка tescoma 420650 PRESTO,,199,1,https://comfy.ua/otdelitel-belka-tescoma-420650-presto.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
819711092,,,,,.1758271,Бытовая химия >> Все для уборки,tescoma,Змінна насадка на швабру tescoma 900966 ProfiMATE Universal,,249,1,https://comfy.ua/smennaja-nasadka-na-shvabru-tescoma-900966-profimate-universal.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
819711093,,,,,.1758273,Бытовая химия >> Все для уборки,tescoma,Змінна насадка на швабру tescoma 900970 ProfiMATE Universal,,329,1,https://comfy.ua/smennaja-nasadka-na-shvabru-tescoma-900970-profimate-universal.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
819711101,7136003,OXO,Насадка для швабры OXO Cleaning (1334680),404,1757645,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки OXO,oxo,Змінна насадка на швабру OXO 4x10x39см 1334680,,579,1,https://comfy.ua/smennaja-nasadka-na-shvabru-oxo-4x10x39sm-1334680.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
819711102,,,,,1776887,Бытовая химия >> Все для уборки,tescoma,Щітка для прибирання tescoma 900938 ProfiMate,,899,1,https://comfy.ua/schetka-dlja-uborki-tescoma-900938-profimate.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
819711103,,,,,1771264,Бытовая химия >> Все для уборки,tescoma,Змінна насадка на швабру tescoma 900932 ProfiMATE,,699,1,https://comfy.ua/smennaja-nasadka-na-shvabru-tescoma-900932-profimate.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
819711104,,,,,1715920,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Deerma,deerma,"Швабра Deerma 683679, water spray mop TB500",,799,1,https://comfy.ua/shvabra-deerma-683679-water-spray-mop-tb500.html,899,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
819711108,7060362,OXO,Щетка OXO для пыли с ручкой (1334580),1010,1756279,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки OXO,oxo,Швабра OXO для удаления пыли 1334580,,1265,1,https://comfy.ua/shvabra-oxo-dlja-udalenija-pyli-1334580.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
819711109,,,,,1751497,Бытовая химия >> Все для уборки,tescoma,Швабра tescoma 900916 ProfiMATE,,1499,1,https://comfy.ua/shvabra-tescoma-900916-profimate.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
819711110,,,,,1787932,Бытовая химия >> Все для уборки,tescoma,Швабра tescoma 900920 ProfiMATE,,1899,1,https://comfy.ua/shvabra-tescoma-900920-profimate.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
819711112,,,,,.1787931,Бытовая химия >> Все для уборки,tescoma,Швабра tescoma 900918 ProfiMATE,,2599,1,https://comfy.ua/shvabra-tescoma-900918-profimate.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
819711118,,,,,.1690108,Бытовая химия >> Для кухни и мытья посуды,tescoma,Сито для раковини tescoma 115206 6 см,,89,1,https://comfy.ua/sito-dlja-rakoviny-tescoma-115206-6-sm.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
819711122,,,,,1690109,Бытовая химия >> Для кухни и мытья посуды >> Аксессуары для сушки и мытья посуды >> Аксессуары для сушки и мытья посуды Tescoma,tescoma,Сито для раковини tescoma 115212 Presto 7 см,,259,1,https://comfy.ua/sito-dlja-rakoviny-tescoma-115212-presto-7-sm.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
819711123,,,,,1696094,Бытовая химия >> Для кухни и мытья посуды >> Аксессуары для сушки и мытья посуды >> Аксессуары для сушки и мытья посуды Tescoma,tescoma,Органайзер для миючих засобів tescoma 900630 Clean Kit,,299,1,https://comfy.ua/organajzer-dlja-mojuschih-sredstv-tescoma-900630-clean-kit.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
819711125,,,,,1711026,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Tango New Sateen,,1999,1,https://comfy.ua/smesitel-kuhonnyj-interline-tango-new-sateen.html,2299,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
819711126,,,,,1690553,Бытовая химия >> Для кухни и мытья посуды,tescoma,Щітка для миття посуду tescoma 900667 Clean Kit,,299,1,https://comfy.ua/schetka-dlja-mojki-posudy-tescoma-900667-clean-kit.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
819711127,7069671,OXO,Щетка OXO Grout Scrub Brush 26 см (37481),379,1530780,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды OXO,oxo,Щітка для миття посуду OXO 6x4x26см 37481,,545,1,https://comfy.ua/schetka-dlja-mojki-posudy-oxo-6x4x26sm-37481.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
819711128,,,,,1711031,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Loft New Terra,,2099,1,https://comfy.ua/smesitel-kuhonnyj-interline-loft-new-terra.html,2549,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
819711129,,,,,1711047,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Loft New Gray,,2099,1,https://comfy.ua/smesitel-kuhonnyj-interline-loft-new-gray.html,2549,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
819711130,,,,,1711028,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Loft New Avena,,1999,1,https://comfy.ua/smesitel-kuhonnyj-interline-loft-new-avena.html,2549,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
819711131,,,,,1711029,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Loft New Black,,2099,1,https://comfy.ua/smesitel-kuhonnyj-interline-loft-new-black.html,2549,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
819711132,,,,,1711030,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Loft New Old White,,1999,1,https://comfy.ua/smesitel-kuhonnyj-interline-loft-new-old-white.html,2549,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
819711133,,,,,1711033,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Loft New White,,1999,1,https://comfy.ua/smesitel-kuhonnyj-interline-loft-new-white.html,2549,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
819711134,,,,,1715690,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Loft New Sateen,,1999,1,https://comfy.ua/smesitel-kuhonnyj-interline-loft-new-sateen.html,2199,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
819711135,6702903,BAMIX,Щетка для чистки Bamix Red (795.208),379,1589914,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Bamix,bamix,Щітка для миття посуду Bamix 795.208,,379,1,https://comfy.ua/schetka-dlja-mojki-posudy-bamix-795-208.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
819711136,,,,,1711044,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Tango New Old White,,1999,1,https://comfy.ua/smesitel-kuhonnyj-interline-tango-new-old-white.html,2549,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
819711138,,,,,1711045,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Tango New Terra,,1999,1,https://comfy.ua/smesitel-kuhonnyj-interline-tango-new-terra.html,2549,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
819711140,,,,,1711041,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Tango new Avena,,2099,1,https://comfy.ua/smesitel-kuhonnyj-interline-tango-new-avena.html,2549,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
819711145,,,,,1754572,Бытовая химия >> Для кухни и мытья посуды,tescoma,Щітка для миття посуду tescoma 900737 Clean Kit Bamboo напівкругла,,449,1,https://comfy.ua/schetka-dlja-mojki-posudy-tescoma-900737-clean-kit-bamboo-polukruglaja.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
819711147,,,,,1711042,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Tango New Black,,2099,1,https://comfy.ua/smesitel-kuhonnyj-interline-tango-new-black.html,2549,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
819711151,,,,,1711051,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Ring Grafit,,3199,1,https://comfy.ua/smesitel-kuhonnyj-interline-ring-grafit.html,3549,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
819711158,7088326,BRABANTIA,Щетка для мытья посуды Brabantia Dish Brush Dark Grey (302626),748,1655966,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Brabantia,brabantia,Щітка для миття посуду Brabantia з дозатором миючого засобу 302626,,799,1,https://comfy.ua/schetka-dlja-mojki-posudy-brabantia-s-dozatorom-mojuschego-sredstva-302626.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
819711163,,,,,1711034,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Mix New Avena,,4499,1,https://comfy.ua/smesitel-kuhonnyj-interline-mix-new-avena.html,5899,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
819711164,,,,,1711035,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Mix New Black,,5399,1,https://comfy.ua/smesitel-kuhonnyj-interline-mix-new-black.html,5899,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
819711165,,,,,1711036,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Interline",interline,Кухонний змішувач Interline Mix New Old White,,3999,1,https://comfy.ua/smesitel-kuhonnyj-interline-mix-new-old-white.html,5899,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
