1420140595,column,column,column,column,2155132,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",atcom,_usb_atcom_td4004_4usb20_white_at10724,column,175,1,httpscomfyuahabusbatcomtd40044husb20whiteat10724html,column,05112025_1745,column,__42,Фастів,0
1420468823,6816434,GORENJE,Духовой шкаф GORENJE BOS6747A01BG (BO3CO5I01-3),20999,2165473,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BOS6747A01BG,,20999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bos6747a01bg.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1420468824,6793413,GORENJE,Духовой шкаф GORENJE BPS6737E14BG (BO3PY4C01-5),23999,2156939,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BPS 6737 E14BG,,23999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bps-6737-e14bg.html,27499,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1420723718,6814321,HOTPOINT ARISTON,Стирально-сушильная машина HOTPOINT ARISTON NDB 10570 DA UA,21199,2179455,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Hotpoint-Ariston,hotpoint-ariston,Прально-сушильна машина Hotpoint-Ariston NDB 10570 DA UA,,21199,1,https://comfy.ua/stiral-no-sushil-naja-mashina-hotpoint-ariston-ndb-10570-da-ua.html,22499,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1420732445,6814266,GELIUS,Воздушный фильтр GELIUS для Roborock E/S4/S5/S6 (GP-RHF001),149,2154441,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Gelius,gelius,Набір фільтрів для пилососу Gelius GP-RHF001 для Roborock E/S4/S5/S6 2 шт. (89783),,149,1,https://comfy.ua/schetka-dlja-pylesosa-gelius-gp-rhf001-dlja-roborock-e-s4-s5-s6-2-sht-89783.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1420737405,6824640,PLAYSEAT,Кокпит Playseat Challenge - ActiFit Black (RC.00312),11999,2155638,"Дом, отдых и зоотовары >> Мебель",playseat,Ігрове крісло кокпіт Playseat Challenge ActiFit (RC.00312),,12999,1,https://comfy.ua/kreslo-dlja-gejmerov-playseat-challenge-actifit-rc-00312.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1420799146,6819584,NINJA,Мультиварка-скороварка NINJA Foodi SmartLid OL650EU,19999,2165628,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Ninja,ninja,Мультиварка-скороварка Ninja OL650EU,,19999,1,https://comfy.ua/mul-tivarka-skorovarka-ninja-ol650eu.html,22999,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1420818842,6855500,BOSCH,Дрель ударная Bosch EasyImpact 600 (0.603.133.020),1799,2173216,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Bosch,bosch,Ударний дриль Bosch EasyImpact 600 (0.603.133.020),,1799,1,https://comfy.ua/udarnaja-drel-bosch-easyimpact-600-0-603-133-020.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1420841082,,,,,.2149329,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика звичайна 2.0 Audioengine HD4 Walnut,,27339,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-audioengine-hd4-walnut.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1420868542,6835114,ROWENTA,Робот-пылесос Rowenta X-PLORER Serie 75 S RR8567WH,6999,2173307,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Rowenta,rowenta,Робот-пилосос миючий Rowenta RR8567WH,,6999,1,https://comfy.ua/robot-pylesos-mojuschij-rowenta-rr8567wh.html,23999,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1420874884,6926647,SENCOR,Метеостанция SENCOR SWS25BS Black,599,2164212,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS25BS,,599,1,https://comfy.ua/meteostancija-sencor-sws25bs.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1420891639,6940648,COMFEE,Конвектор COMFEE CENDK15-15MRBK,4699,2161561,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Comfee,comfee,Конвектор Comfee СENDK15-15MRBK,,4699,1,https://comfy.ua/konvektor-comfee-sendk15-15mrbk.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1420906114,6884473,MSI,"""SSD накопитель MSI SPATIUM S270 240GB 2.5"""" SATAIII 3D NAND (S78-440N070-P83)""",1054,2182835,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски MSI",msi,SSD-накопичувач внутрішній MSI Spatium S270 240GB 2.5 SATAIII 3D TLC (S78-440N070-P83),,1189,1,https://comfy.ua/ssd-nakopitel-vnutrennij-msi-spatium-s270-240gb-2-5-sataiii-3d-tlc-s78-440n070-p83.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1420925147,,,,,.2149318,"Аудио, фото и видео >> Наушники",epos,Гарнітура бездротова Epos MB Pro 2 UC ML,,9559,1,https://comfy.ua/garnitura-besprovodnaja-epos-mb-pro-2-uc-ml.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1420958530,6814267,GELIUS,Основная щетка GELIUS для Roborock E/S4/S5/S6 (GP-RMB001),149,2154440,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Gelius,gelius,Щітка до пилососа Gelius GP-RMB001 для Roborock E/S4/S5/S6 (89782),,149,1,https://comfy.ua/schetka-dlja-pylesosa-gelius-gp-rmb001-dlja-roborock-e-s4-s5-s6-89782.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1421562371,6816250,WHIRLPOOL,Микроволновая печь WHIRLPOOL MWP 101 B,2888,2167737,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Whirlpool,whirlpool,Мікрохвильова піч (НВЧ) Whirlpool MWP 101 B,,2888,1,https://comfy.ua/mikrovolnovaja-pech-svch-whirlpool-mwp-101-b.html,3499,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,3
1421717633,,,,,.2149326,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика звичайна 2.0 Audioengine HD3 Walnut,,18619,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-audioengine-hd3-walnut.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1421717634,,,,,.2149327,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика звичайна 2.0 Audioengine HD3 White,,18619,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-audioengine-hd3-white.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1421717636,,,,,.2149325,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика звичайна 2.0 Audioengine HD3 Black,,18619,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-audioengine-hd3-black.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1421880884,,,,,.2174842,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",orico,Підставка під ноутбук Orico PFB-A23-WH-BP,,349,1,https://comfy.ua/podstavka-pod-noutbuk-orico-pfb-a23-wh-bp.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1421880885,,,,,.2174843,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",orico,Підставка під ноутбук Orico PFB-A23-BK-BP,,349,1,https://comfy.ua/podstavka-pod-noutbuk-orico-pfb-a23-bk-bp.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1421892513,,,,,.2169710,"Аудио, фото и видео >> Наушники",neumann,Навушники повнорозмірні дротові Neumann NDH 30,,33949,1,https://comfy.ua/naushniki-polnorazmernye-provodnye-neumann-ndh-30.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1421943756,6895466,KERMI,Радиатор KERMI Line-V PLV 22 тип 50 х 40 см (PLV220500401R2K),10293,1774249,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Line-V PLV 22 505x405 мм (PLV220500401R2K),,10419,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-line-v-plv-22-505x405-mm-plv220500401r2k.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1421943757,6895471,KERMI,Радиатор KERMI Profil-V FTV (FTV220301301R2K),11518,2174818,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-V FTV 22 тип 300x1300 мм Therm-X2 1562 Вт (FTV220301301R2K),,11659,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-22-tip-300x1300-mm-therm-x2-1562-vt-ftv220301301r2k.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1421943758,6895519,KERMI,Радиатор KERMI Profil-K FKO Therm-X2 2351 Вт (FK0220513W02),11770,2174815,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-K FKO 22 тип 500x1300 мм Therm-X2 2351 Вт (FK0220513W02),,11915,1,https://comfy.ua/radiator-otoplenija-kermi-profil-k-fko-22-tip-500x1300-mm-therm-x2-2351-vt-fk0220513w02.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1421943761,6895472,KERMI,Радиатор KERMI Profil-V FTV 2351 Вт (FTV220501301R2K),14342,2174819,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-V FTV 22 тип 500x1300 мм Therm-X2 2351 Вт (FTV220501301R2K),,14519,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-22-tip-500x1300-mm-therm-x2-2351-vt-ftv220501301r2k.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1421943762,6926820,KERMI,Радиатор KERMI Profil-V FTV 12 тип 600x1600мм (FTV120601601R2K),16762,2174817,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-V FTV 12 тип 600x1600 мм Therm-X2 2472 Вт (FTV120601601R2K),,16969,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-12-tip-600x1600-mm-therm-x2-2472-vt-ftv120601601r2k.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1421943763,6895467,KERMI,Радиатор KERMI Line-V PLV 33 тип 20х140 см (PLV330201401RXK),20254,2174820,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Line-V PLV 33 тип 200x1400 мм 1707 Вт (PLV330201401RXK),,20505,1,https://comfy.ua/radiator-otoplenija-kermi-line-v-plv-33-tip-200x1400-mm-1707-vt-plv330201401rxk.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1421944075,6823026,UFO,Инфракрасный обогреватель UFO ECO TERM ECO-EC/18 1800-2000 W Class I (8680110538888),5199,2172940,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели UFO,ufo,Обігрівач інфрачервоний UFO ECO TERM ECO-EC/18 1800-2000 W Class I,,5199,1,https://comfy.ua/obogrevatel-infrakrasnyj-ufo-eco-term-eco-ec-18-1800-2000-w-class-i.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1421947346,6858529,SANDISK,Флеш-драйв SanDisk Ultra Dual Luxe 32GB USB Type-C Silver (SDDDC4-032G-G46),437,2174868,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB SanDisk",sandisk,Флеш USB SanDisk USB 32GB Type-C Ultra Dual Luxe Silver (SDDDC4-032G-G46),,449,1,https://comfy.ua/flesh-usb-sandisk-usb-32gb-type-c-ultra-dual-luxe-silver-sdddc4-032g-g46.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1421948483,6854470,REAL EL,Акустическая система Real-El S-2030 Black (EL121200006),9999,2185099,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика REAL-EL",real-el,Акустична система стаціонарна REAL-EL S-2030 Black,,9999,1,https://comfy.ua/akusticheskaja-sistema-stacionarnaja-real-el-s-2030-black.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1421966197,,,,,.2174855,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Asus 220V 19.5V 230W 11.8A (AS230G5525),,2399,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-asus-220v-19-5v-230w-11-8a-as230g5525.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1421966198,,,,,.2174854,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Asus 220V 19V 180W 9.23A (AS180G6037),,1999,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-asus-220v-19v-180w-9-23a-as180g6037.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1421966199,,,,,.2174853,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Lenovo 220V 20V 90W 4.5A (IB90H4017),,599,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-lenovo-220v-20v-90w-4-5a-ib90h4017.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1421966200,,,,,.2174852,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Lenovo 220V 20V 45W 2.25A (IB45HSPE),,599,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-lenovo-220v-20v-45w-2-25a-ib45hspe.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1421966201,,,,,2174857,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Apple 220V 20V 30W 1.5A USB Type-C (AP29USBC),,999,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-apple-220v-20v-30w-1-5a-usb-type-c-ap29usbc.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1421967076,,,,,.2174856,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Asus 220V 19.5V 230W 11.8A (AS230G6037),,2299,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-asus-220v-19-5v-230w-11-8a-as230g6037.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
