752437841,6611852,our_generation,__our_generation__pink_bd37237z,460,1699680,______________________our_generation,ourgeneration,_____our_generation___bd37237z,column,579,1,httpscomfyuaodezhdaiaksessuarydljaklassicheskojkuklyourgenerationrjukzakrozovyjbd37237zhtml,779,06112025_028,column,__42,Фастів,0
752437916,6611582,LI'L WOODZEEZ,Набор фигурок LI'L WOODZEEZ Семья Черепашек (6005M),499,1697951,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Черепашок (6005M),,629,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-cherepashek-6005m.html,899,06.11.2025 1:46,,"вул. Соборна, 42",Фастів,0
752437920,6611888,OUR GENERATION,Набор одежды OUR GENERATION для кукол Платье с принтом (BD60014Z),399,1699786,"Comfy KIDS >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Our Generation",our-generation,Одяг та аксесуари для ляльки Our Generation Сукня з принтом (BD60014Z),,399,1,https://comfy.ua/odezhda-i-aksessuary-dlja-klassicheskoj-kukly-our-generation-plat-e-s-printom-bd60014z.html,,06.11.2025 0:06,,"вул. Соборна, 42",Фастів,0
752437922,6613869,OUR GENERATION,Набор аксессуаров OUR GENERATION для записи ретро музыки (BD67037Z),388,1699788,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Our Generation",our-generation,Одяг та аксесуари для ляльки Our Generation для запису Ретро Музики (BD67037Z),,469,1,https://comfy.ua/odezhda-i-aksessuary-dlja-klassicheskoj-kukly-our-generation-dlja-zapisi-retro-muzyki-bd67037z.html,679,06.11.2025 0:27,,"вул. Соборна, 42",Фастів,0
752437925,6611529,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Закусочная на колесах (61522Z),2218,1702937,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Закусочна На Колесах (61522Z),,2219,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-zakusochnaja-na-kolesah-61522z.html,,06.11.2025 1:41,,"вул. Соборна, 42",Фастів,0
752437927,6611580,LI'L WOODZEEZ,Набор фигурок Li`l Woodzeez Семья Скунсов (6258Z),465,1697950,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я скунс (6258Z),,585,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-skunsov-6258z.html,899,06.11.2025 1:34,,"вул. Соборна, 42",Фастів,0
752437930,6613681,GOKI,Набор для кукол GOKI Постельный комплект Susibelle (51606G),373,1700772,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол goki",goki,Одяг та аксесуари для ляльки goki Постільний комплект Susibelle (51606G),,409,1,https://comfy.ua/odezhda-i-aksessuary-dlja-klassicheskoj-kukly-goki-postel-nyj-komplekt-susibelle-51606g.html,,06.11.2025 1:19,,"вул. Соборна, 42",Фастів,0
752437942,,,,,1702935,Детские товары >> Игрушки,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Кемпінг (6150Z),,399,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-kemping-6150z.html,588,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
752437949,6611578,LI'L WOODZEEZ,Набор фигурок Li`l Woodzeez Семья Панд (6154M),740,1697948,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Панда (6154M),,799,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-pand-6154m.html,999,06.11.2025 1:42,,"вул. Соборна, 42",Фастів,0
752437950,,,,,.1696481,Детские товары >> Игрушки,wader,Пластиковий конструктор для малюків Wader 33 ел. (41581),,375,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-wader-33-jel-41581.html,,06.11.2025 0:41,,"вул. Соборна, 42",Фастів,0
752437960,6611555,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Черепаха-хозяйка (6143M),221,1702933,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Черепаха-Господиня (6143M),,279,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-cherepaha-hozjajka-6143m.html,399,06.11.2025 1:44,,"вул. Соборна, 42",Фастів,0
752437963,,,,,.1697946,Детские товары >> Игрушки,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Качок (6259),,999,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-utok-6259.html,,06.11.2025 1:46,,"вул. Соборна, 42",Фастів,0
752437972,6611574,LI'L WOODZEEZ,Набор фигурок LI'L WOODZEEZ Семья Ежиков + Книга (6002M),899,.1697945,Детские товары >> Игрушки,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Ежиков (6002M),,899,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-ezhikov-6002m.html,,06.11.2025 1:44,,"вул. Соборна, 42",Фастів,0
752437997,6611532,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Класс и игровая площадка (6124Z),523,1702929,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Клас і Ігрова Площадка (6124Z),,659,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-klass-i-igrovaja-ploschadka-6124z.html,859,06.11.2025 1:42,,"вул. Соборна, 42",Фастів,0
752438003,6439878,SAME TOY,Гоночный внедорожник SAME TOY синий (SQ90651-3Ut-1),54,1701372,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Same Toy,same-toy,Автотранспорт Same Toy Mini Metal Гоночний Позашляховик Синій (SQ90651-3Ut-1),,54,1,https://comfy.ua/avtotransport-same-toy-mini-metal-gonochnyj-vnedorozhnik-sinij-sq90651-3ut-1.html,,06.11.2025 1:08,,"вул. Соборна, 42",Фастів,0
752438008,,,,,1696896,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Tigres,tigres,Пластиковий конструктор для малюків Tigres Поеднайко 9 ел. (39195),,109,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-tigres-poednajko-9-jel-39195.html,,06.11.2025 0:20,,"вул. Соборна, 42",Фастів,0
752438012,,,,,1696910,Детские товары >> Игрушки,wader,Пластиковий конструктор для малюків Wader Funny Blocks (41830),,479,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-wader-funny-blocks-41830.html,,06.11.2025 0:19,,"вул. Соборна, 42",Фастів,0
752438017,6375666,WONDERWORLD,Машинка WONDERWORLD WW-4057,174,1695357,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wonderworld,wonderworld,Наземна спецтехніка Wonderworld City Евакуатор (WW-4057),,199,1,https://comfy.ua/nazemnaja-spectehnika-wonderworld-city-jevakuator-ww-4057.html,,06.11.2025 1:35,,"вул. Соборна, 42",Фастів,0
752438031,,,,,.1696912,Детские товары >> Игрушки,wader,"""Пластиковий конструктор для малюків Wader """"Їжачок"""" Тематичний в асортименті (41910)""",,205,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-wader-jozhik-tematicheskij-41910.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
752438033,,,,,1696914,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Wader,wader,Пластиковий конструктор для малюків Wader Листочки 180 шт. (41920),,469,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-wader-listiki-180-sht-41920.html,,06.11.2025 0:19,,"вул. Соборна, 42",Фастів,0
752438037,,,,,1696916,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Wader,wader,Пластиковий конструктор для малюків Wader Funny Blocks 24 шт. (41940),,579,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-wader-funny-blocks-24-sht-41940.html,,06.11.2025 0:07,,"вул. Соборна, 42",Фастів,0
752438040,,,,,1696915,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Wader,wader,"""Базовий ігровий транспорт для малюка Wader Іграшка-візок """"Фермер"""" (10915)""",,1019,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-igrushka-telezhka-fermer-10915.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
752438044,,,,,1696922,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Wader,wader,Пластиковий конструктор для малюків Wader Funny Blocks 58 шт. (41970),,1115,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-wader-funny-blocks-58-sht-41970.html,,06.11.2025 0:41,,"вул. Соборна, 42",Фастів,0
752438046,,,,,1696809,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Klein,klein,Базовий ігровий транспорт для малюка Klein Volvo Бетонозмішувач (2417),,399,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-klein-volvo-betonosmesitel-2417.html,434,06.11.2025 0:33,,"вул. Соборна, 42",Фастів,0
752438055,,,,,1702914,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Janod,janod,Набір ігрових фігурок Janod Укріплений Палац 3D (J08582,,1349,1,https://comfy.ua/nabor-igrovyh-figurok-janod-ukreplennyj-dvorec-3d-j08582.html,,06.11.2025 0:18,,"вул. Соборна, 42",Фастів,0
752438061,,,,,1696213,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Базовий ігровий транспорт для малюка Wader Вантажівка """"Гігант"""" Фермер (65015)""",,1495,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-gruzovik-gigant-fermer-65015.html,,06.11.2025 0:08,,"вул. Соборна, 42",Фастів,0
752438081,,,,,1697169,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Tigres,tigres,"""Пластиковий конструктор для малюків Tigres Octagon"""" 88 ел. в коробці (39773)""",,879,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-tigres-octagon-88-jel-v-korobke-39773.html,,06.11.2025 0:19,,"вул. Соборна, 42",Фастів,0
752438082,6611588,LORI,Фигурка LORI Серая Андалузкая лошадь (LO38001Z),320,1697966,Детские товары >> Игрушки,lori,Фігурки тварини Lori Андалузский конь Серый (LO38001Z),,399,1,https://comfy.ua/figurka-zhivotnogo-lori-andaluzskij-kon-seryj-lo38001z.html,,06.11.2025 1:20,,"вул. Соборна, 42",Фастів,0
752438084,,,,,1697174,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Tigres,tigres,"""Пластиковий конструктор для малюків Tigres """"Octagon"""" 78 ел. в сумці (39775)""",,725,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-tigres-octagon-78-jel-v-sumke-39775.html,,06.11.2025 0:41,,"вул. Соборна, 42",Фастів,0
752438085,,,,,1697615,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки AT-Robot,at-robot,Інтерактивний робот AT-Robot з голосовим управлінням Жовтий (озвуч.укр.) (AT001-03-UKR),,1293,1,https://comfy.ua/interaktivnyj-robot-at-robot-s-golosovym-upravleniem-zheltyj-ozvuch-ukr-at001-03-ukr.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
752438089,,,,,1696217,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Базовий ігровий транспорт для малюка Wader Трактор """"Гігант"""" (66000)""",,1799,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-traktor-gigant-66000.html,,06.11.2025 0:00,,"вул. Соборна, 42",Фастів,0
752438092,,,,,1697179,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Tigres,tigres,"""Пластиковий конструктор для малюків Tigres """"Octagon"""" 58 ел. в пакеті (39777)""",,495,1,https://comfy.ua/plastikovyj-konstruktor-dlja-malyshej-tigres-octagon-58-jel-v-pakete-39777.html,,06.11.2025 0:41,,"вул. Соборна, 42",Фастів,0
752438097,,,,,1696212,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Базовий ігровий транспорт для малюка Wader Вантажівка """"Гігант"""" (65000)""",,1519,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-gruzovik-gigant-65000.html,,06.11.2025 0:20,,"вул. Соборна, 42",Фастів,0
752438100,,,,,1697613,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки AT-Robot,at-robot,Інтерактивний робот AT-Robot з голосовим управлінням Зелений (озвуч.укр.) (AT001-02-UKR),,985,1,https://comfy.ua/interaktivnyj-robot-at-robot-s-golosovym-upravleniem-zelenyj-ozvuch-ukr-at001-02-ukr.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
752438108,,,,,1697609,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки AT-Robot,at-robot,Інтерактивний робот AT-Robot з голосовим управлінням Червоний (озвуч.укр.) (AT001-01-UKR),,1293,1,https://comfy.ua/interaktivnyj-robot-at-robot-s-golosovym-upravleniem-krasnyj-ozvuch-ukr-at001-01-ukr.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
752438110,6439589,GOKI,Самосвал GOKI (55914),1426,1694872,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника goki,goki,Наземна будівельна техніка goki Самоскид натуральний (55914),,1425,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-goki-samosval-natural-nyj-55914.html,,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
752438114,6439595,GOKI,Экскаватор GOKI (55910),993,1694871,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника goki,goki,Наземна будівельна техніка goki Екскаватор натуральний (55910),,929,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-goki-jeskvator-natural-nyj-55910.html,,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
752438116,,,,,1696216,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Базовий ігровий транспорт для малюка Wader Вантажівка """"Гігант"""" + іграшка візок (65100)""",,2505,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-gruzovik-gigant-igrushka-telezhka-65100.html,,05.11.2025 23:34,,"вул. Соборна, 42",Фастів,0
752438124,,,,,1696226,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Базовий ігровий транспорт для малюка Wader Сміттєвоз """"Гігант"""" Фермер (67015)""",,2175,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-musorovoz-gigant-fermer-67015.html,,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
752438126,,,,,1696219,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Базовий ігровий транспорт для малюка Wader Трактор """"Гігант"""" з причепом (66100)""",,2379,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-traktor-gigant-s-pricepom-66100.html,,05.11.2025 23:51,,"вул. Соборна, 42",Фастів,0
752438131,,,,,1696218,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Базовий ігровий транспорт для малюка Wader Трактор """"Гігант"""" Фермер (66015)""",,1779,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-traktor-gigant-fermer-66015.html,,06.11.2025 1:26,,"вул. Соборна, 42",Фастів,0
752438135,,,,,1696223,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Базовий ігровий транспорт для малюка Wader Трактор """"Гігант"""" з причепом і ковшем (66300)""",,2619,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-wader-traktor-gigant-s-pricepom-i-kovshom-66300.html,,06.11.2025 0:20,,"вул. Соборна, 42",Фастів,0
752438147,6611158,GOKI,Набор кукол для пальчикового театра GOKI (51592G),187,1699828,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки goki,goki,Пальчиковий театр goki Набір ляльок (51592G),,229,1,https://comfy.ua/pal-chikovyj-teatr-goki-nabor-kukol-51592g.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
