1661731675,column,column,column,column,2834272,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,___armorstandart_smart_case_for_lenovo_tab_m11_black_arm73105,column,599,1,httpscomfyuacheholdljaplanshetaarmorstandartsmartcaseforlenovotabm11blackarm73105html,column,05112025_1806,column,__42,Фастів,0
1661755403,,,,,.2830110,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301010298),,835,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301010298.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1661755404,,,,,.2830317,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301120006),,899,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301120006.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1661755405,,,,,.2830316,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301120005),,885,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301120005.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1661755406,,,,,.2830315,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301120003),,999,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301120003.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1661755408,,,,,.2830318,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301120011),,1199,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301120011.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1661755409,,,,,2830319,Смарт-часы и гаджеты >> Аксессуары,creality,Нитка для PLA-картриджа Creality Filament 1.75 мм (3301120013),,1199,1,https://comfy.ua/nitka-dlja-pla-kartridzha-creality-filament-1-75-mm-3301120013.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1661755629,,,,,.2898086,Смарт-часы и гаджеты >> Смарт-часы,garmin,Смарт-годинник Garmin MARQ Aviator Gen 2 (010-02648-01),,100799,1,https://comfy.ua/smart-chasy-garmin-marq-aviator-gen-2-010-02648-01.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1661755631,7089683,GARMIN,Смарт-часы GARMIN Vivoactive 5 Metallic Orchid Aluminum Bezel Orchid Case (010-02862-13),15245,2898091,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Garmin,garmin,Смарт-годинник Garmin vivoactive 5 Orchid/Orchid Metallic (010-02862-13),,15245,1,https://comfy.ua/smart-chasy-garmin-vivoactive-5-orchid-orchid-metallic-010-02862-13.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1661755644,,,,,.2900823,Смарт-часы и гаджеты >> Смарт-часы,maxcom,Смарт-годинник Maxcom Fit FW53 Nitro Black,,1699,1,https://comfy.ua/smart-chasy-maxcom-fit-fw53-nitro-black.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1661755645,,,,,.2900824,Смарт-часы и гаджеты >> Смарт-часы,maxcom,Смарт-годинник Maxcom Fit FW53 Nitro Blue,,1699,1,https://comfy.ua/smart-chasy-maxcom-fit-fw53-nitro-blue.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1661755646,,,,,.2900825,Смарт-часы и гаджеты >> Смарт-часы,maxcom,Смарт-годинник Maxcom Fit FW53 Nitro Gold,,1699,1,https://comfy.ua/smart-chasy-maxcom-fit-fw53-nitro-gold.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1661755649,7089731,GARMIN,Смарт-часы GARMIN Lily 2 Metallic Lilac / Lilac Silicone Band (010-02839-01),12095,2898090,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Garmin,garmin,Смарт-годинник Garmin Lily 2 (010-02839-01),,12095,1,https://comfy.ua/smart-chasy-garmin-lily-2-010-02839-01.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1661755659,6738296,THULE,Органайзер THULE Crossover 2 Toiletry Bag C2TB101 Black (3204043),2499,2879546,Красота и здоровье >> Уход за телом >> Маникюрные наборы >> Маникюрные наборы Thule,thule,Косметичка Thule Crossover 2 Toiletry Bag C2TB101 Black (3204043),,2499,1,https://comfy.ua/kosmetichka-thule-crossover-2-toiletry-bag-c2tb101-black-3204043.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1661757728,,,,,2851956,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов Armorstandart,armorstandart,Ремінець для смарт-годинника Armorstandart Leather Loop for Apple Watch All Series 38/40/41mm Brown (ARM48657),,699,1,https://comfy.ua/remeshok-dlja-smart-chasov-armorstandart-leather-loop-for-apple-watch-all-series-38-40-41mm-brown-arm48657.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1661757729,,,,,2851958,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов Armorstandart,armorstandart,Ремінець для смарт-годинника Armorstandart Loop for Apple Watch All Series 38/40/41mm Cape Cod Blue (ARM53316),,699,1,https://comfy.ua/remeshok-dlja-smart-chasov-armorstandart-loop-for-apple-watch-all-series-38-40-41mm-cape-cod-blue-arm53316.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1661757730,,,,,2851957,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов Armorstandart,armorstandart,Ремінець для смарт-годинника Armorstandart Leather Loop for Apple Watch All Series 38/40/41mm Blue (ARM51669),,699,1,https://comfy.ua/remeshok-dlja-smart-chasov-armorstandart-leather-loop-for-apple-watch-all-series-38-40-41mm-blue-arm51669.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1661757732,,,,,.2589470,Смарт-часы и гаджеты >> Аксессуары,spigen,Ремінець для смарт-годинника Spigen 2в1 for Apple Watch 45mm Liquid Air Pro Moss Green (ACS04408),,2129,1,https://comfy.ua/remeshok-dlja-smart-chasov-spigen-2v1-for-apple-watch-45mm-liquid-air-pro-moss-green-acs04408.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1661758228,,,,,2878879,Техника для кухни >> Мир кофе,vimar,Кавомолка Vimar VCG-237BR,,699,1,https://comfy.ua/kofemolka-vimar-vcg-237br.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1661758229,,,,,2878880,Техника для кухни >> Мир кофе,vimar,Кавомолка Vimar VCG-239BG,,699,1,https://comfy.ua/kofemolka-vimar-vcg-239bg.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1661758230,,,,,.2892891,Техника для кухни >> Мир кофе,eta,Кавомолка ETA Fragranza 0066 90000,,749,1,https://comfy.ua/kofemolka-eta-fragranza-0066-90000.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1661759309,,,,,.2899645,Техника для кухни >> Мелкая техника,eta,М'ясорубка ETA Besto 6075 90000,,7299,1,https://comfy.ua/mjasorubka-eta-besto-6075-90000.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1661759499,,,,,2832265,Инструменты и автотовары >> Электроинструменты >> Многофункциональные инструменты >> Многофункциональные инструменты Ronix,ronix,Багатофоункціональний інструмент Ronix 3404,,1199,1,https://comfy.ua/mnogofunkcional-nyj-instrument-ronix-3404.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1661759500,,,,,2832266,Инструменты и автотовары >> Электроинструменты >> Многофункциональные инструменты >> Многофункциональные инструменты Ronix,ronix,Багатофоункціональний інструмент Ronix 3421,,1599,1,https://comfy.ua/mnogofunkcional-nyj-instrument-ronix-3421.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1661759503,,,,,2839762,Дом и отдых >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Cougar,cougar,Крісло для геймерів Cougar Hotrod Royal,,15999,1,https://comfy.ua/kreslo-dlja-gejmerov-cougar-hotrod-royal.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1661759504,,,,,2839763,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Cougar",cougar,Крісло для геймерів Cougar NxSys Aero Black,,15999,1,https://comfy.ua/kreslo-dlja-gejmerov-cougar-nxsys-aero-black.html,17999,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1661766559,,,,,2776034,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Веб-камеры >> Веб-камеры Logitech",logitech,Веб-камера для комп'ютера Logitech C920E HD 1080p Black (960-001360),,6299,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-logitech-c920e-hd-1080p-black-960-001360.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1661773152,,,,,.2822190,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",pocketbook,Чохол для електронної книги PocketBook 743 Flip series Black (HN-FP-PU-743G-RB-CIS),,1399,1,https://comfy.ua/chehol-dlja-jelektronnoj-knigi-pocketbook-743-flip-series-black-hn-fp-pu-743g-rb-cis.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1661783719,,,,,2870517,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Кінг-Конг 40х50 см (DY085),,199,1,https://comfy.ua/kartina-po-nomeram-strateg-king-kong-40h50-sm-dy085.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1661783734,,,,,2872916,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Ключ від серця 40х50 см (DY055),,199,1,https://comfy.ua/kartina-po-nomeram-strateg-kljuch-ot-serdca-40h50-sm-dy055.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1661783794,,,,,2865981,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Могучий Зевс 40х50 см (DY153),,249,1,https://comfy.ua/kartina-po-nomeram-strateg-moguchij-zevs-40h50-sm-dy153.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1661783899,,,,,2872917,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Гудзики-половинки 40х50 см (DY137),,249,1,https://comfy.ua/kartina-po-nomeram-strateg-pugovicy-polovinki-40h50-sm-dy137.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1661783911,,,,,2872919,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Рука у просторі 40х50 см (DY146),,199,1,https://comfy.ua/kartina-po-nomeram-strateg-ruka-v-prostranstve-40h50-sm-dy146.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1661783955,,,,,2865983,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Тінь та Бетмен 40х50 см (DY165),,249,1,https://comfy.ua/kartina-po-nomeram-strateg-ten-i-bjetmen-40h50-sm-dy165.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1661784034,,,,,2872940,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Gray gold and white 40х50 см (GS1448),,285,1,https://comfy.ua/kartina-po-nomeram-strateg-gray-gold-and-white-40h50-sm-gs1448.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1661784064,,,,,2872927,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Абстрактність фактури 40х50 см (GS1405),,249,1,https://comfy.ua/kartina-po-nomeram-strateg-abstraktnost-faktury-40h50-sm-gs1405.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
