1662890708,column,column,column,column,2839787,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,___gembird_nbsd101,column,999,1,httpscomfyuapodstavkapodnoutbukgembirdnbsd101html,column,05112025_1955,column,__42,Фастів,0
1662892143,6895083,HEINNER,"Разделочная доска HEINNER LDPE 26,5x32,5x1см Red (HR-ADR-261R)",399,2912650,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Heinner,heinner,Дошка обробна Heinner HR-ADR-261R,,399,1,https://comfy.ua/razdelochnaja-doska-heinner-hr-adr-261r.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1662892144,6895086,HEINNER,"Разделочная доска HEINNER LDPE 53х32,5х2см Yellow (HR-ADR-532G)",1099,2912653,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Heinner,heinner,Дошка обробна Heinner HR-ADR-532G,,1099,1,https://comfy.ua/razdelochnaja-doska-heinner-hr-adr-532g.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1662892279,6982399,ZELMER,Бутербродница ZELMER ZSM7710,999,2913530,Техника для кухни >> Мелкая техника,zelmer,Бутербродниця Zelmer ZSM7710,,999,1,https://comfy.ua/buterbrodnica-zelmer-zsm7710.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1662900763,6895065,HEINNER,"Ковш HEINNER Myra 1,9 л (HR-HJ-019)",749,2895624,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Heinner,heinner,Ківш Heinner HR-HJ-019,,665,1,https://comfy.ua/kovsh-heinner-hr-hj-019.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1662901144,6952715,HEINNER,"Кастрюля HEINNER Amira 2,6 л (HR-MSF-026)",549,2894305,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Heinner,heinner,Каструля Heinner Amira 2.6л (HR-MSF-026),,699,1,https://comfy.ua/kastrjulja-heinner-amira-2-6l-hr-msf-026.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1662901217,6895091,HEINNER,Сковорода-гриль HEINNER Ceramica Do Brazil 28x28 см Sand (HR-BET-ERH28GR),872,2895645,Посуда >> Для приготовления >> Сковороды >> Сковороды Heinner,heinner,Сковорода гриль Heinner Cer Mica Do Brazil (HR-BET-ERH28GR),,872,1,https://comfy.ua/skovoroda-gril-heinner-cer-mica-do-brazil-hr-bet-erh28gr.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1662901335,6972455,PRO WASH,Капсулы для стирки PRO WASH Color 12 шт (4262396144393),121,2887316,Бытовая химия >> Средства для стирки >> Капсулы для стирки >> Капсулы для стирки ProWash,prowash,Капсули для прання ProWash Color 12 шт,,126,1,https://comfy.ua/kapsuly-dlja-stirki-prowash-color-12-sht.html,157,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1662901336,6972453,WASH&FREE,Капсулы для стирки WASH&FREE Горная свежесть 10+1шт (4262396144379),106,2887112,Бытовая химия >> Средства для стирки >> Капсулы для стирки >> Капсулы для стирки WASH&FREE,washfree,Капсули для прання WASH & FREE Гірська свіжість 10 + 1 шт,,117,1,https://comfy.ua/kapsuly-dlja-stirki-wash-free-gornaja-svezhest-10-1-sht.html,168,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1662901338,6972457,PRO WASH,Капсулы для стирки PRO WASH Color 32 шт (4262396144676),303,2887109,Бытовая химия >> Средства для стирки >> Капсулы для стирки >> Капсулы для стирки ProWash,prowash,Капсули для прання ProWash Color 32 шт,,315,1,https://comfy.ua/kapsuly-dlja-stirki-prowash-color-32-sht.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1662901339,6972456,WASH&FREE,Капсулы для стирки WASH&FREE Горная свежесть 30+5шт (4262396144430),385,2887108,Бытовая химия >> Средства для стирки >> Капсулы для стирки >> Капсулы для стирки WASH&FREE,washfree,Капсули для прання WASH & FREE Гірська свіжість 30 + 5 шт,,348,1,https://comfy.ua/kapsuly-dlja-stirki-wash-free-gornaja-svezhest-30-5-sht.html,501,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1662901412,,,,,2887111,Бытовая химия >> Средства для стирки >> Гели для стирки >> Гели для стирки ProWash,prowash,Гель для прання ProWash Весняна свіжість 4 л,,125,1,https://comfy.ua/gel-dlja-stirki-prowash-vesennjaja-svezhest-4-l.html,202,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1662901433,6952716,HEINNER,Кастрюля HEINNER Amira 3.6 л (HR-MSF-036),548,2894306,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Heinner,heinner,Каструля Heinner Amira 3.6л (HR-MSF-036),,629,1,https://comfy.ua/kastrjulja-heinner-amira-3-6l-hr-msf-036.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1662901442,6952717,HEINNER,"Кастрюля HEINNER Amira 4,7 л (HR-MSF-047)",611,2894307,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Heinner,heinner,Каструля Heinner Amira 4.7 л (HR-MSF-047),,699,1,https://comfy.ua/kastrjulja-heinner-amira-4-7-l-hr-msf-047.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1662901453,6952718,HEINNER,Кастрюля HEINNER Amira 6.1л (HR-MSF-061),719,2894308,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Heinner,heinner,Каструля Heinner Amira 6.1 л (HR-MSF-061),,719,1,https://comfy.ua/kastrjulja-heinner-amira-6-1-l-hr-msf-061.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1662901478,7123362,LARETTI,Измельчитель LARETTI-LR-FP5004,1139,2628283,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители LARETTI,laretti,Подрібнювач LARETTI LR-FP5004,,1139,1,https://comfy.ua/izmel-chitel-laretti-lr-fp5004.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1662901734,6895062,HEINNER,"Кастрюля HEINNER Ceramica Do Brazil 4,2 л Brown (HR-BET-ERH24S)",1559,2894297,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Heinner,heinner,Каструля Heinner HR-BET-ERH24S,,1347,1,https://comfy.ua/kastrjulja-heinner-hr-bet-erh24s.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1662901743,6895064,HEINNER,Кастрюля HEINNER Ceramica Do Brazil 6л Brown (HR-BET-ERH28S),1617,2894298,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Heinner,heinner,Каструля Heinner HR-BET-ERH28S,,1617,1,https://comfy.ua/kastrjulja-heinner-hr-bet-erh28s.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1662901787,,,,,.2892889,Красота и здоровье >> Уход за полостью рта,eta,Зубна щітка електрична ETA Zubniсka 1294 90080,,579,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-eta-zubniska-1294-90080.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1662901909,6951122,RONIX,"""Набор торцевых головок RONIX 1/2"""" 12 пр. (RH-2643)""",989,2832273,Инструменты и автотовары >> Ручные инструменты,ronix,"""Набір інструментів Ronix 1/2"""" 12 шт. (RH-2643)""",,989,1,https://comfy.ua/nabor-instrumentov-ronix-1-2-12-sht-rh-2643.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1662902046,,,,,.2907618,Детские товары >> Игрушки,weta-workshop,Колекційна фігурка Lord of the Rings Frodo Baggins Limited Edition (865004089),,1466,1,https://comfy.ua/kollekcionnaja-figurka-lord-of-the-rings-frodo-baggins-limited-edition-865004089.html,1999,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
1662902047,,,,,.2907619,Детские товары >> Игрушки,weta-workshop,Колекційна фігурка Weta Workshop Lord of the Rings The Witch king of the Unseen Lands (В865004129),,1390,1,https://comfy.ua/kollekcionnaja-figurka-lord-of-the-rings-the-witch-king-of-the-unseen-lands-v865004129.html,1999,05.11.2025 23:37,,"вул. Соборна, 42",Фастів,0
1662902049,,,,,.2908245,Детские товары >> Игрушки,good-loot,Колекційна фігурка Good Loot Assassin's Creed  - Eivor (5908305241942),,899,1,https://comfy.ua/kollekcionnaja-figurka-good-loot-assassin-s-creed-eivor-5908305241942.html,,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
1662902050,,,,,.2908246,Детские товары >> Игрушки,good-loot,Колекційна фігурка Good Loot The Witcher - Geralt of Rivia (5908305241959),,899,1,https://comfy.ua/kollekcionnaja-figurka-good-loot-the-witcher-geralt-of-rivia-5908305241959.html,,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
1662902051,,,,,.2908248,Детские товары >> Игрушки,good-loot,Колекційна фігурка Good Loot Cyberpunk 2077 - V-Male (5908305245148),,899,1,https://comfy.ua/kollekcionnaja-figurka-good-loot-cyberpunk-2077-v-male-5908305245148.html,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
1662902169,,,,,2890917,Детские товары >> Кормление >> Поильники >> Поильники BabyOno,babyono,Поїльник-непроливайка дитячий BabyOno 240 мл Квіточки (1464/05),,349,1,https://comfy.ua/poil-nik-neprolivajka-detskij-babyono-240-ml-kvitochki-1464-05.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1662902172,,,,,2890918,Детские товары >> Кормление >> Поильники >> Поильники BabyOno,babyono,Поїльник-непроливайка дитячий BabyOno 240 мл Коала (1464/03),,335,1,https://comfy.ua/poil-nik-neprolivajka-detskij-babyono-240-ml-koala-1464-03.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1662902173,,,,,2890919,Детские товары >> Кормление >> Поильники >> Поильники BabyOno,babyono,Поїльник-непроливайка дитячий BabyOno 240 мл Лінивець (1464/04),,399,1,https://comfy.ua/poil-nik-neprolivajka-detskij-babyono-240-ml-lenivec-1464-04.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1662902206,,,,,2888852,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Йоржик для дитячих пляшечок BabyOno Салатовий (721/02),,82,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-salatovyj-721-02.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1662902207,,,,,2888844,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Йоржик для дитячих пляшечок BabyOno Блакитний (721/01),,82,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-goluboj-721-01.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1662902209,,,,,.2888849,Детские товары >> Кормление,babyono,Йоржик для дитячих пляшечок BabyOno з губкою Рожевий (720/02),,83,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-s-gubkoj-rozovyj-720-02.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1662902210,,,,,.2888848,Детские товары >> Кормление,babyono,Йоржик для дитячих пляшечок BabyOno з губкою Блакитний (720/01),,83,1,https://comfy.ua/ershik-dlja-detskih-butylochek-babyono-s-gubkoj-goluboj-720-01.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1662902211,,,,,2886348,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Великий потік соска дитяча силіконова BabyOno Natural nursing (1454/02),,139,1,https://comfy.ua/bol-shoj-potok-soska-detskaja-silikonovaja-babyono-natural-nursing-1454-02.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1662902212,,,,,2886349,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Середній потік соска дитяча силіконова BabyOno Natural nursing (1453/02),,139,1,https://comfy.ua/srednij-potok-soska-detskaja-silikonovaja-babyono-natural-nursing-1453-02.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1662902237,,,,,2692563,Дом и отдых >> Освещение >> Фонари >> Фонари Milwaukee,milwaukee,Ліхтар акумуляторний Milwaukee M12 TLED-0 (4932430360),,3139,1,https://comfy.ua/fonar-akkumuljatornyj-milwaukee-m12-tled-0-4932430360.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1662902243,,,,,2888867,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки BabyOno,babyono,М'яка іграшка BabyOno Обіймашка Цуценя Віллі (1521),,365,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-babyono-obnimashka-schenok-villi-1521.html,,05.11.2025 22:45,,"вул. Соборна, 42",Фастів,0
1662902244,7031031,BABYONO,Набор BABYONO мягкая игрушка и погремушка Страусята (1446),599,2892615,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки BabyOno,babyono,М'яка іграшка BabyOno Страусята (1446),,615,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-babyono-strausjata-1446.html,,05.11.2025 23:28,,"вул. Соборна, 42",Фастів,0
1662902247,,,,,.2907623,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise Бджола Жужа (FWPBEEZHUZHA23YL0),,99,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-wp-merchandise-pchela-zhuzha-fwpbeezhuzha23yl0.html,,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
1662902248,,,,,.2907624,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise Зайченя  Меланія (FWPBNYMELAN23WT00),,399,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-wp-merchandise-zajka-melanija-fwpbnymelan23wt00.html,,05.11.2025 22:41,,"вул. Соборна, 42",Фастів,0
1662902250,,,,,2907626,Детские товары >> Игрушки,wp-merchandise,М'яка іграшка WP Merchandise Акулятко Сія бірюзова (FWPSHARKSIYA23TR0),,99,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-wp-merchandise-akuljatka-sija-birjuzovaja-fwpsharksiya23tr0.html,,05.11.2025 23:37,,"вул. Соборна, 42",Фастів,0
1662902254,,,,,2889453,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары BabyOno",babyono,Пляшка для годування BabyOno Natural nursing 180 мл (1450),,315,1,https://comfy.ua/butylochka-dlja-kormlenija-babyono-natural-nursing-180-ml-1450.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1662902255,,,,,2887089,Бытовая химия >> Для кухни и мытья посуды,galax,Засіб для ручного миття посуду GALAX Концентрат Гліцерин з алоє вера 480 г,,45,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-galax-koncentrat-glicerin-iz-aloje-vera-480-g.html,72,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1662902256,,,,,2887091,Бытовая химия >> Для кухни и мытья посуды,galax,Засіб для ручного миття посуду GALAX Концентрат Лимон 480 г,,45,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-galax-koncentrat-limon-480-g.html,72,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1662902257,,,,,2887097,Бытовая химия >> Для кухни и мытья посуды,galax,Засіб для ручного миття посуду GALAX Концентрат Яблуко 480 г,,45,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-galax-koncentrat-jabloko-480-g.html,72,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1662902258,,,,,2887095,Бытовая химия >> Для кухни и мытья посуды,galax,Засіб для ручного миття посуду GALAX Концентрат М'ята 480 г,,45,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-galax-koncentrat-mjata-480-g.html,72,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
