1423315088,6825181,kitchenaid,_kitchenaid_artisan_15__red_apple_5kek1522eca,13799,2185571,____________kitchenaid,kitchenaid,__kitchenaid_artisan_5kek1522eca,column,12419,1,httpscomfyuajelektricheskijchajnikkitchenaidartisan5kek1522ecahtml,column,05112025_1959,column,__42,Фастів,0
1424108613,6825226,KITCHENAID,Кухонный комбайн KITCHENAID 830 мл Silver (5KFC3516ECU),5679,2185598,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid Classik (5KFC3516ECU),,5679,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-classik-5kfc3516ecu.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1424108614,6825227,KITCHENAID,Кухонный комбайн KITCHENAID 830 мл Red (5KFC3516EER),5679,2185599,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid Classik (5KFC3516EER),,5119,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-classik-5kfc3516eer.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1424108615,6825225,KITCHENAID,Кухонный комбайн KITCHENAID 830 мл Beige (5KFC3516EAC),5679,2185597,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid Classik (5KFC3516EAC),,5679,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-classik-5kfc3516eac.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1424108616,6825224,KITCHENAID,"Кухонный комбайн KITCHENAID 1,2 л 5KFC0516EOB Onyx Black",6669,2185602,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFC0516EOB,,6009,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfc0516eob.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1424108618,6825223,KITCHENAID,Кухонный комбайн KITCHENAID 1.2 л 5KFC0516EER Red,6669,2185601,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFC0516EER,,6669,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfc0516eer.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1424108619,6825221,KITCHENAID,Кухонный комбайн KITCHENAID 1.2 л 5KFC0516EAC Cremy,5669,2185600,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFC0516EAC,,5669,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfc0516eac.html,6669,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1424108620,6825212,KITCHENAID,Кухонный комбайн KITCHENAID 1.7 л 5KFP0719EER Red,8299,2185587,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP0719EER,,8299,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp0719eer.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1424108621,6825211,KITCHENAID,Кухонный комбайн KITCHENAID 1.7 л 5KFP0719ECU Silver,6499,2185589,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP0719ECU,,8299,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp0719ecu.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1424108622,6825213,KITCHENAID,Кухонный комбайн KITCHENAID 1.7 л 5KFP0719EOB Black,8299,2185588,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP0719EOB,,7469,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp0719eob.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1424108623,6825220,KITCHENAID,Кухонный комбайн KITCHENAID Wireless Red (5KFCB519EER),8349,2185595,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFCB519EER,,7519,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfcb519eer.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1424108624,6825219,KITCHENAID,Кухонный комбайн KITCHENAID 5KFCB519EAC Кремовый,7099,2185596,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFCB519EAC,,7099,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfcb519eac.html,8349,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1424108627,6842140,ECG,Электрочайник ECG RK 1891 INFUSO,2122,2191926,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 1891 INFUSO,,2125,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-1891-infuso.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1424108658,6825215,KITCHENAID,"Кухонный комбайн KITCHENAID 5KFP0921EER 2,1 л Красный",12399,2185592,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP0921EER,,12399,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp0921eer.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1424108659,6825214,KITCHENAID,"Кухонный комбайн KITCHENAID 5KFP0921ECU 2,1 л Серебристый",12399,2185591,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP0921ECU,,11159,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp0921ecu.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1424108660,6825217,KITCHENAID,"Кухонный комбайн KITCHENAID 5KFP1319ECU 3,1 л Серебристый",19799,2185593,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP1319ECU,,17819,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp1319ecu.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1424108661,6825216,KITCHENAID,"Кухонный комбайн KITCHENAID 5KFP1319EAC 3,1 л Кремовый",19799,2185594,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP1319EAC,,17819,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp1319eac.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1424108671,6825235,KITCHENAID,"Кухонная машина KITCHENAID Artisan 4,8 л Silver (5KSM125ECU)",41199,2185527,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM125ECU),,41199,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm125ecu.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1424108673,6825240,KITCHENAID,Кухонная машина KITCHENAID Artisan Карамельное яблоко (5KSM175PSECA),43599,2185531,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSECA),,43599,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175pseca.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1424108674,6825241,KITCHENAID,Кухонная машина KITCHENAID Artisan 4.8 л 5KSM175PSEER с откидным блоком Red,43599,2185529,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEER),,43599,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175pseer.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1424108675,6825239,KITCHENAID,Кухонная машина KITCHENAID Artisan 4.8 л Beige (5KSM175PSEAC),43599,2185530,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEAC),,43599,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175pseac.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1424108676,6825242,KITCHENAID,Кухонная машина KITCHENAID Artisan Серебряный медальон (5KSM175PSEMS),43599,2185532,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Планетарний міксер KitchenAid Artisan (5KSM175PSEMS),,43599,1,https://comfy.ua/planetarnyj-mikser-kitchenaid-artisan-5ksm175psems.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1424109077,6856879,KITCHENAID,Кухонный комбайн KITCHENAID 5KFP0921EAC Cream,12399,2185590,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны KitchenAid,kitchenaid,Кухонний комбайн KitchenAid 5KFP0921EAC,,12399,1,https://comfy.ua/kuhonnyj-kombajn-kitchenaid-5kfp0921eac.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1424110403,6825200,KITCHENAID,Кофемолка KITCHENAID Artisan Black (5KCG8433EOB),12959,2186214,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки KitchenAid,kitchenaid,Кавомолка KitchenAid Artisan (5KCG8433EOB),,14399,1,https://comfy.ua/kofemolka-kitchenaid-artisan-5kcg8433eob.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1424110406,6825195,KITCHENAID,Кофемолка KITCHENAID Artisan Beige (5KCG8433EAC),14399,2186215,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки KitchenAid,kitchenaid,Кавомолка KitchenAid Artisan (5KCG8433EAC),,14399,1,https://comfy.ua/kofemolka-kitchenaid-artisan-5kcg8433eac.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1424110407,6825198,KITCHENAID,Кофемолка KITCHENAID Artisan Red (5KCG8433EER),14399,2185613,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки KitchenAid,kitchenaid,Кавомолка KitchenAid Artisan (5KCG8433EER),,14399,1,https://comfy.ua/kofemolka-kitchenaid-artisan-5kcg8433eer.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
