1687800824,column,column,column,column,2876879,_____________armorstandart,armorstandart,___armorstandart_for_xiaomi_mi_band_765_new_style_pink_punch_arm75066,column,299,1,httpscomfyuaremeshokdljafitnesbrasletaarmorstandartforxiaomimiband765newstylepinkpuncharm75066html,column,05112025_1835,column,__42,Фастів,0
1687809359,,,,,2954127,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Kinderkraft,kinderkraft,Стільчик для годування класичний Kinderkraft Tummie Green (KHTUMM00GRE0000),,5190,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-kinderkraft-tummie-green-khtumm00gre0000.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1687809360,,,,,2954126,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Kinderkraft,kinderkraft,Стільчик для годування класичний Kinderkraft Tummie Beige (KHTUMM00BEG0000),,5190,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-kinderkraft-tummie-beige-khtumm00beg0000.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1687809418,,,,,2899793,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,Кабель патч-корд Kingda RJ45 SFTP 6A 0.50m (KD-PASFT9050GY-LSZH),,71,1,https://comfy.ua/kabel-patch-kord-kingda-rj45-sftp-6a-0-50m-kd-pasft9050gy-lszh.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
1687809591,,,,,.2827664,Посуда >> Для сервировки,vittora,Салатник Vittora V-155BW Рожевий букет Wave 155 мм,,61,1,https://comfy.ua/salatnik-vittora-v-155bw-rozovyj-buket-wave-155-mm.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1687809592,,,,,.2827665,Посуда >> Для сервировки,vittora,Салатник Vittora V-155FM Квіткові вензелі Wave 155 мм,,81,1,https://comfy.ua/salatnik-vittora-v-155fm-cvetochnye-venzelja-wave-155-mm.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1687810987,,,,,2899795,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,Кабель патч-корд Kingda RJ45 SFTP 6A 2m (KD-PASFT9200GY-LSZH),,125,1,https://comfy.ua/kabel-patch-kord-kingda-rj45-sftp-6a-2m-kd-pasft9200gy-lszh.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1687811028,,,,,2899796,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,Кабель патч-корд Kingda RJ45 SFTP 6A 3m (KD-PASFT9300GY-LSZH),,165,1,https://comfy.ua/kabel-patch-kord-kingda-rj45-sftp-6a-3m-kd-pasft9300gy-lszh.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1687811291,7066752,FROSCH,Чистящее средство FROSCH лимон 500мл (1407059),118,2767880,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Frosch,frosch,Засіб для чищення універсальний Frosch молочко ЛИМОН 500мл,,79,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-molochko-limon-500ml.html,138,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1687811292,,,,,2767887,Бытовая химия >> Все для уборки,frosch,Засіб для чищення універсальний Frosch Содовий очищувач д/будь-якої поверхні 500мл,,144,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-sodovyj-ochistitel-dlja-ljuboj-poverhnosti-500ml.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1687811308,,,,,2899797,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,Кабель патч-корд Kingda RJ45 SFTP 6A 5m (KD-PASFT9500GY-LSZH),,229,1,https://comfy.ua/kabel-patch-kord-kingda-rj45-sftp-6a-5m-kd-pasft9500gy-lszh.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1687811395,,,,,.2884696,Бытовая химия >> Все для уборки,vileda,Швабра Vileda Classic (4023103196650),,345,1,https://comfy.ua/shvabra-vileda-classic-4023103196650.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1687811396,,,,,.2900346,Бытовая химия >> Все для уборки,york,Змінна насадка на швабру York 8168,,335,1,https://comfy.ua/smennaja-nasadka-na-shvabru-york-8168.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1687811397,,,,,.2900345,Бытовая химия >> Все для уборки,york,Змінна насадка на швабру York 8176,,415,1,https://comfy.ua/smennaja-nasadka-na-shvabru-york-8176.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1687811419,,,,,.2900343,Бытовая химия >> Все для уборки,york,Швабра York 8167,,669,1,https://comfy.ua/shvabra-york-8167.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1687811420,,,,,.2900342,Бытовая химия >> Все для уборки,york,Швабра York Power Collect 8148,,759,1,https://comfy.ua/shvabra-york-power-collect-8148.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1687811421,7030360,VILEDA,Швабра VILEDA Ultramax (4023103201200),1738,2884697,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Vileda,vileda,Швабра Vileda Ultramax (4023103201200),,1739,1,https://comfy.ua/shvabra-vileda-ultramax-4023103201200.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1687811422,,,,,.2900344,Бытовая химия >> Все для уборки,york,Швабра York 8175,,1655,1,https://comfy.ua/shvabra-york-8175.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1687811437,6919767,NEO TOOLS,Угольник NEO TOOLS 18.3x18.3x2.2см (72-102),349,2148846,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Neo Tools,neo-tools,Косинець Neo Tools 18.3x18.3x2.2 см (72-102),,349,1,https://comfy.ua/ugol-nik-neo-tools-18-3x18-3x2-2-sm-72-102.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1687811623,6983204,CELLFAST,"""Шланг садовый CELLFAST ECONOMIC 1/2"""" 20 м (10-001)""",339,2538828,Инструменты и автотовары >> Полив >> Шланги для полива >> Шланги для полива Cellfast,cellfast,"""Шланг поливочний Cellfast Economic 1/2"""" (10-001)""",,339,1,https://comfy.ua/shlang-polivochnyj-cellfast-economic-1-2-10-001.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1687811835,6985596,GEFU,Щетка GEFU Swift для мытья посуды с дозатором для моющего средства (29255),490,2921658,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Gefu,gefu,Щітка для миття посуду Gefu Swift (29255),,655,1,https://comfy.ua/schetka-dlja-mojki-posudy-gefu-swift-29255.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1687811841,,,,,.2693121,Инструменты и автотовары >> Электроинструменты,milwaukee,Віброшліфовальна машина Milwaukee M18 BQSS-0 (4933479966),,8885,1,https://comfy.ua/vibroshlifovochnaja-mashina-milwaukee-m18-bqss-0-4933479966.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1687811930,6889432,CELLFAST,Лопата штыковая CELLFAST Basic 112.5 см (40-252),978,2541294,"Инструменты и автотовары >> Садовые инструменты >> Лопаты, грабли, вилы >> Лопаты, грабли, вилы Cellfast",cellfast,Лопата Cellfast штикова Basic (40-252),,979,1,https://comfy.ua/lopata-cellfast-shtykovaja-basic-40-252.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1687811957,6902490,2E,Лопата тактическая 2E Ranger Steel Gray 22в1 (2E-TSMTSF1-STGR),2499,2836184,"Инструменты и автотовары >> Садовые инструменты >> Лопаты, грабли, вилы >> Лопаты, грабли, вилы 2E",2e,Лопата туристична 2E Steel Gray розбірна 22в1 з чохлом у комплекті (2E-TSMTSF1-STGR),,2499,1,https://comfy.ua/lopata-turisticheskaja-2e-steel-gray-razbornaja-22v1-s-chehlom-v-komplekte-2e-tsmtsf1-stgr.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1687811958,6902489,2E,Лопата-мультитул тактическая 2E Mahura Steel Gray 23в1 (2E-TSMTSF3-STGR),6999,2836185,"Инструменты и автотовары >> Садовые инструменты >> Лопаты, грабли, вилы >> Лопаты, грабли, вилы 2E",2e,Лопата туристична 2E Steel Gray розбірна 22в1 із сумкою в комплекті (2E-TSMTSF3-STGR),,6999,1,https://comfy.ua/lopata-turisticheskaja-2e-steel-gray-razbornaja-22v1-s-sumkoj-v-komplekte-2e-tsmtsf3-stgr.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1687812071,7066687,FROSCH,Средство для мытья посуды Frosch Baby 500 мл (1412355),150,2767885,Бытовая химия >> Для кухни и мытья посуды >> Средства для мытья посуды >> Средства для мытья посуды Frosch,frosch,Засіб для ручного миття посуду Frosch Baby 500мл,,119,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-frosch-baby-500ml.html,187,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1687812491,6983210,CELLFAST,"""Шланг садовый CELLFAST GREEN ATS 3/4"""" 25 м (15-120)""",2249,2538845,Инструменты и автотовары >> Полив >> Шланги для полива >> Шланги для полива Cellfast,cellfast,"""Шланг поливочний Cellfast Green Ats 3/4"""" (15-120)""",,2345,1,https://comfy.ua/shlang-polivochnyj-cellfast-green-ats-3-4-15-120.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1687812510,6983211,CELLFAST,"""Шланг садовый CELLFAST GREEN ATS 3/4"""" 50 м (15-121)""",5567,2538846,Инструменты и автотовары >> Полив >> Шланги для полива >> Шланги для полива Cellfast,cellfast,"""Шланг поливочний Cellfast Green Ats 3/4"""" (15-121)""",,5569,1,https://comfy.ua/shlang-polivochnyj-cellfast-green-ats-3-4-15-121.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1687812528,6982629,CELLFAST,Шланг садовый CELLFAST QUATTRO 1/2' 25м (10-065),669,2531355,Инструменты и автотовары >> Полив >> Шланги для полива >> Шланги для полива Cellfast,cellfast,Шланг поливочний Cellfast Quattro 1/2'' (10-065),,685,1,https://comfy.ua/shlang-polivochnyj-cellfast-quattro-1-2-10-065.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1687812594,6983212,CELLFAST,"Шланг садовый CELLFAST PLUS, 3/4' 25 м (10-220)",1699,2538834,Инструменты и автотовары >> Полив >> Шланги для полива >> Шланги для полива Cellfast,cellfast,Шланг поливочний Cellfast Plus 3/4' (10-220),,1715,1,https://comfy.ua/shlang-polivochnyj-cellfast-plus-3-4-10-220.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1687812683,6983194,CELLFAST,Коннектор CELLFAST BASIC для шланга 3/4' с аквастоп (51-125H),50,2531672,Инструменты и автотовары >> Полив >> Соединители для шлангов >> Соединители для шлангов Cellfast,cellfast,З'єднувач для шланга Cellfast Basic (51-125H),,55,1,https://comfy.ua/soedinitel-dlja-shlanga-cellfast-basic-51-125h.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1687812694,6983203,CELLFAST,Коннектор для шланга CELLFAST BASIC 1/2' (51-130H),37,2531673,Инструменты и автотовары >> Полив >> Соединители для шлангов >> Соединители для шлангов Cellfast,cellfast,З'єднувач для шланга Cellfast Basic (51-130H),,37,1,https://comfy.ua/soedinitel-dlja-shlanga-cellfast-basic-51-130h.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1687812704,6983202,CELLFAST,Ороситель пистолетный CELLFAST MIX IDEAL (52-055),298,2533572,Инструменты и автотовары >> Полив >> Насадки для полива >> Насадки для полива Cellfast,cellfast,Насадка для поливу Cellfast Мax Ideal (52-055),,298,1,https://comfy.ua/nasadka-dlja-poliva-cellfast-max-ideal-52-055.html,359,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1687812725,,,,,2957410,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! серії Вбивця демонів - РЕНГОКУ (65623),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-cerii-ubijca-demonov-rengoku-65623.html,,05.11.2025 23:42,,"вул. Соборна, 42",Фастів,0
1687812727,,,,,2957412,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! - ГОДЖО (61357),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-godzho-61357.html,,06.11.2025 0:29,,"вул. Соборна, 42",Фастів,0
1687812746,,,,,2954123,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Kinderkraft,kinderkraft,Бустер Kinderkraft i-Boost Pink (KCIBOO00PNK0000),,2290,1,https://comfy.ua/buster-kinderkraft-i-boost-pink-kciboo00pnk0000.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1687812833,,,,,2946003,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (3-4 роки) Trefl розмальовка - """"Пригоди"""" / Блу (15 елм.SUPER GIANT) (42010)""",,379,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-raskraska-prikljuchenija-blu-15-jelm-super-giant-42010.html,,06.11.2025 0:19,,"вул. Соборна, 42",Фастів,0
1687812836,7110043,TREFL,Пазл TREFL 1000 Величественный конь (10790),398,2946006,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl """"Величний кінь"""" 1000 елм. (10790)""",,329,1,https://comfy.ua/pazly-kartonnye-8-trefl-velichnyj-kon-1000-jelm-10790.html,,05.11.2025 23:25,,"вул. Соборна, 42",Фастів,0
1687812847,,,,,2946023,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Час чаювання - """"Моє улюблене місце"""" 1000 елм. (10801)""",,355,1,https://comfy.ua/pazly-kartonnye-8-trefl-vremja-chaepitija-moe-ljubimoe-mesto-1000-jelm-10801.html,,06.11.2025 0:59,,"вул. Соборна, 42",Фастів,0
1687812849,,,,,2946025,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Час чаювання - """"Будиночок з солом'яним дахом"""" 1000 елм. (10803)""",,355,1,https://comfy.ua/pazly-kartonnye-8-trefl-vremja-chaepitija-domik-s-solomennoj-kryshej-1000-jelm-10803.html,,05.11.2025 23:50,,"вул. Соборна, 42",Фастів,0
1687812853,,,,,2946029,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Час чаювання - """"Італійський виноградник"""" 1000 елм. (10807)""",,355,1,https://comfy.ua/pazly-kartonnye-8-trefl-vremja-chaepitija-ital-janskij-vinogradnik-1000-jelm-10807.html,,06.11.2025 0:19,,"вул. Соборна, 42",Фастів,0
1687812854,,,,,2946030,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Час чаювання - """"Літо у місті"""" 1000 елм. (10808)""",,355,1,https://comfy.ua/pazly-kartonnye-8-trefl-vremja-chaepitija-leto-v-gorode-1000-jelm-10808.html,,05.11.2025 23:13,,"вул. Соборна, 42",Фастів,0
1687812855,,,,,2946031,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Час чаювання - """"Будиночок для бджіл"""" 1000 елм. (10809)""",,355,1,https://comfy.ua/pazly-kartonnye-8-trefl-vremja-chaepitija-domik-dlja-pchel-1000-jelm-10809.html,,05.11.2025 23:51,,"вул. Соборна, 42",Фастів,0
1687812856,,,,,2946032,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Час чаювання - """"Залізничний вокзал"""" 1000 елм. (10810)""",,355,1,https://comfy.ua/pazly-kartonnye-8-trefl-vremja-chaepitija-zheleznodorozhnyj-vokzal-1000-jelm-10810.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1687812874,7109870,TREFL,"""Пазл Trefl Фото Одиссея - """"Маяк/Германия"""" 1000 эл (10823)""",429,2946043,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Фото Одісея - """"Маяк / Німеччина"""" 1000 елм. (10823)""",,355,1,https://comfy.ua/pazly-kartonnye-8-trefl-foto-odisseja-majak-germanija-1000-jelm-10823.html,,05.11.2025 23:17,,"вул. Соборна, 42",Фастів,0
1687812880,,,,,2946049,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Детектив  - """"Гданськ, Польша"""" 500 елм. (37479)""",,289,1,https://comfy.ua/pazly-kartonnye-8-trefl-detektiv-gdan-sk-pol-sha-500-jelm-37479.html,,05.11.2025 23:36,,"вул. Соборна, 42",Фастів,0
