1260558062,6738393,herevin,_herevin_lets_cooking_0425__171341066,59,1955601,Посуда >> Для хранения,herevin,___herevin_lets_cooking_0425__171341066,column,119,1,httpscomfyuaemkostdljahranenijaherevinletscooking0425l171341066html,column,05112025_1920,column,__42,Фастів,0
1260692311,,,,,.1985554,Игровые консоли и гейминг >> Комплектующие для игровых ПК,aerocool,Корпусний вентилятор AEROCOOL Astro 12 ARGB,,259,1,https://comfy.ua/korpusnyj-ventiljator-aerocool-astro-12-argb.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1260692315,,,,,1986023,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Процесорний кулер ID-Cooling SE-214-XT,,899,1,https://comfy.ua/processornyj-kuler-id-cooling-se-214-xt.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1260942988,7082913,BRITAX-ROMER,Чехол на ножки BRITAX-ROMER SMILE III 5Z Frost Grey (2000033509),1980,1996599,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Britax-Romer,britax-romer,Чохол на ніжки Britax-Romer Smile III Frost Grey (2000033509),,1980,1,https://comfy.ua/chehol-na-nozhki-britax-romer-smile-iii-frost-grey-2000033509.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1260943046,,,,,1996597,Comfy KIDS >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Britax-Romer,britax-romer,Адаптер для коляски Britax-Romer Click&Go B-Agile Double (2000033238),,900,1,https://comfy.ua/adapter-dlja-koljaski-britax-romer-clickandgo-b-agile-double-2000033238.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1260943239,,,,,1993755,Детские товары >> Игрушки,iblock,"Магнітний конструктор IBLOCK Магнітний, 34 дет. (PL-921-365)",,1789,1,https://comfy.ua/magnitnyj-konstruktor-iblock-magnitnyj-34-det-pl-921-365.html,,05.11.2025 23:39,,"вул. Соборна, 42",Фастів,0
1260943676,,,,,1991983,Техника для дома >> Мелкая техника >> Утюги >> Утюги Electrolux,electrolux,Праска з парогенератором Electrolux E5ST1-2DB,,3699,1,https://comfy.ua/utjug-s-parogeneratorom-electrolux-e5st1-2db.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1260943775,,,,,1996602,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Britax-Romer,britax-romer,Коляска для двійні прогулянкова Britax-Romer B-AGILE DOUBLE Cosmos Black (2000033222),,18090,1,https://comfy.ua/koljaska-dlja-dvojni-progulochnaja-britax-romer-b-agile-double-cosmos-black-2000033222.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1260943810,7082914,BRITAX-ROMER,Чехол на ножки BRITAX-ROMER SMILE III 5Z Midnight Grey (2000033508),1980,1996601,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Britax-Romer,britax-romer,Чохол на ніжки Britax-Romer Smile III Midnight Grey (2000033508),,1980,1,https://comfy.ua/chehol-na-nozhki-britax-romer-smile-iii-midnight-grey-2000033508.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1260980997,6796611,BERGNER,"Кастрюля BERGNER Prochef 4,3 л Black (BGMP-7936)",1149,1954955,Посуда >> Для приготовления,bergner,Каструля Bergner 4.3 л (BGMP-7936),,1149,1,https://comfy.ua/kastrjulja-bergner-4-3-l-bgmp-7936.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1260980998,6796596,BERGNER,Кастрюля BERGNER Gourmet 3.3 л (BG-6507),1929,1954947,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner 3.3 л (BG-6507),,1929,1,https://comfy.ua/kastrjulja-bergner-3-3-l-bg-6507.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1260981074,6796602,BERGNER,"Кастрюля MASTERPRO Smart 1,5 л (BGEU-3777)",2899,1954960,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner 1.5 л (BGEU-3777),,2899,1,https://comfy.ua/kastrjulja-bergner-1-5-l-bgeu-3777.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1260981075,6796604,BERGNER,Кастрюля BERGNER Infinity Chefs Vita 2 л (BGIC-3620),1232,1954952,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner 2 л (BGIC-3620),,1232,1,https://comfy.ua/kastrjulja-bergner-2-l-bgic-3620.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1260981077,6796597,BERGNER,Кастрюля BERGNER Gourmet 5.6 л (BG-6508),1909,1954948,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner 5.6 л (BG-6508),,1909,1,https://comfy.ua/kastrjulja-bergner-5-6-l-bg-6508.html,2379,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1260981086,,,,,1958428,Посуда >> Для приготовления >> Сковороды >> Сковороды Berghoff,berghoff,Сковорода універсальна Berghoff 2307314 GEM 28 см 3.9 л,,2899,1,https://comfy.ua/skovoroda-universal-naja-berghoff-2307314-gem-28-sm-3-9-l.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1260982039,6796605,BERGNER,Кастрюля BERGNER Infinity Chefs Vita 4 л (BGIC-3621),1657,1954953,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner 4 л (BGIC-3621),,1657,1,https://comfy.ua/kastrjulja-bergner-4-l-bgic-3621.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1260982041,6796606,BERGNER,Кастрюля BERGNER Infinity Chefs Vita 9 л (BGIC-3622),2319,1954954,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner 9 л (BGIC-3622),,2319,1,https://comfy.ua/kastrjulja-bergner-9-l-bgic-3622.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1260982046,,,,,1958429,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Berghoff,berghoff,Каструля Berghoff 2307309 GEM 20 см 2.8 л,,2189,1,https://comfy.ua/kastrjulja-berghoff-2307309-gem-20-sm-2-8-l.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1260983142,,,,,.1959315,Посуда >> Для сервировки,wilmax,Креманка Wilmax 140 мл (WL-995000 / A),,160,1,https://comfy.ua/kremanka-wilmax-140-ml-wl-995000-a.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1260988695,,,,,.1950910,Посуда >> Для сервировки,wilmax,Тарілка супова Wilmax 22х22 см (WL-991213 / A),,210,1,https://comfy.ua/tarelka-supovaja-wilmax-22h22-sm-wl-991213-a.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1260989432,,,,,.1962300,Посуда >> Для сервировки,wilmax,Салатник Wilmax Spiral Orange 14 см 600 мл (WL-669330 / A),,189,1,https://comfy.ua/salatnik-wilmax-spiral-orange-14-sm-600-ml-wl-669330-a.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1260989433,,,,,.1950912,Посуда >> Для сервировки,wilmax,Тарілка супова Wilmax 23 см (WL-991020 / A),,321,1,https://comfy.ua/tarelka-supovaja-wilmax-23-sm-wl-991020-a.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1260999758,,,,,.1950911,Посуда >> Для сервировки,wilmax,Тарілка супова Wilmax 22.5 см (WL-991186 / A),,479,1,https://comfy.ua/tarelka-supovaja-wilmax-22-5-sm-wl-991186-a.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1261730924,,,,,1986280,Телевизоры и мультимедиа >> Аксессуары для ТВ,kvado,Кріплення для телевізора Квадо К-48,,899,1,https://comfy.ua/kreplenie-dlja-televizora-kvado-k-48.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1261730925,,,,,1538561,Телевизоры и мультимедиа >> Аксессуары для ТВ,eagle,Кріплення для телевізора Eagle TV5571,,1449,1,https://comfy.ua/kreplenie-dlja-televizora-eagle-tv5571.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1261731049,,,,,1986279,Телевизоры и мультимедиа >> Аксессуары для ТВ,kvado,Кріплення для телевізора Квадо К-166,,2229,1,https://comfy.ua/kreplenie-dlja-televizora-kvado-k-166.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1261732583,6796595,BERGNER,Кастрюля BERGNER Gourmet 1.7 л (BG-6506),1289,1954946,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bergner,bergner,Каструля Bergner 1.7 л (BG-6506),,1289,1,https://comfy.ua/kastrjulja-bergner-1-7-l-bg-6506.html,1609,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1261734189,,,,,1990003,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD119 HDMI M-M 1.0m V2.0 Cafule 4K (30999),,299,1,https://comfy.ua/kabel-hdmi-ugreen-hd119-hdmi-m-m-1-0m-v2-0-cafule-4k-30999.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1261740345,,,,,1989995,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель USB type A - USB type A UGREEN CM321 USB 3.0 Type-А-SATA III (F) Black (70609),,519,1,https://comfy.ua/kabel-usb-type-a-usb-type-a-ugreen-cm321-usb-3-0-type-a-sata-iii-f-black-70609.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1261740346,,,,,1950884,Посуда >> Для сервировки,wilmax,Блюдце Wilmax 15 см (WL-996100 / A),,88,1,https://comfy.ua/bljudce-wilmax-15-sm-wl-996100-a.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1261740673,,,,,1990004,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель UGREEN DP114 DP 1.4 Male to Male 2m Black (80392),,599,1,https://comfy.ua/kabel-ugreen-dp114-dp-1-4-male-to-male-2m-black-80392.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1261740704,,,,,.1995814,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant K2/K3 220V 16.8V 2.5A (NA700097),,799,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-k2-k3-220v-16-8v-2-5a-na700097.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1261741976,,,,,1989999,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель UGREEN MM130 USB-C to DisplayPort White (40372),,699,1,https://comfy.ua/kabel-ugreen-mm130-usb-c-to-displayport-white-40372.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
1261741990,,,,,.1989978,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник UGREEN 40273 USB 2.0 Type-C-HDMI V1.4b White (40273),,799,1,https://comfy.ua/kabel-hdmi-ugreen-40273-usb-2-0-type-c-hdmi-v1-4b-white-40273.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1261741991,,,,,1990001,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN MM121 USB Type C to HDMI Cable Male to Male ABS Case 1.5m White (30841),,849,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-mm121-usb-type-c-to-hdmi-cable-male-to-male-abs-case-1-5m-white-30841.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1261741992,,,,,.1990000,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник UGREEN MM123 USB Type C to HDMI+VGA Converter White (30843),,999,1,https://comfy.ua/kabel-hdmi-ugreen-mm123-usb-type-c-to-hdmi-vga-converter-white-30843.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1261741995,,,,,1989997,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник HDMI UGREEN CM285 USB 2.0-HDMI+VGA(HDMI 1.4b support 3D/4K 2K 30Hz+VGA 1080P 60Hz CM303) Black (70549),,1229,1,https://comfy.ua/kabel-hdmi-ugreen-cm285-usb-2-0-hdmi-vga-hdmi-1-4b-support-3d-4k-2k-30hz-vga-1080p-60hz-cm303-black-70549.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1261750467,,,,,.1996937,Техника для дома >> Аксессуары к мелкой технике,karcher,Шланг для мінімийки Karcher Quick Connect H 9 Q (2.641-721.0),,2349,1,https://comfy.ua/shlang-dlja-minimojki-karcher-quick-connect-h-9-q-2-641-721-0.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1261769398,,,,,.1996541,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Exclusive for Samsung Galaxy A52 SM-A525 Black (707010),,299,1,https://comfy.ua/chehol-dlja-smartfona-becover-exclusive-for-samsung-galaxy-a52-sm-a525-black-707010.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1261781672,6767878,TRAMONTINA,Нож для мяса TRAMONTINA Profissional Master 15.2 см Red (24620/076),465,1958468,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для м'яса Tramontina Profissional Master Red 152 мм (24620/076),,465,1,https://comfy.ua/nozh-dlja-mjasa-tramontina-profissional-master-red-152-mm-24620-076.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1261781673,6767880,TRAMONTINA,Нож для мяса TRAMONTINA Profissional Master 15.2 см Yellow (24620/056),409,1958467,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для м'яса Tramontina Profissional Master Yellow 152 мм (24620/056),,409,1,https://comfy.ua/nozh-dlja-mjasa-tramontina-profissional-master-yellow-152-mm-24620-056.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1261781766,6710933,TRAMONTINA,Нож разделочный TRAMONTINA Profissional Master 12.7 см Yellow (24662/055),535,1958478,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухонний Tramontina Profissional Master Yellow 127 мм (24662/055),,535,1,https://comfy.ua/nozh-kuhonnyj-tramontina-profissional-master-yellow-127-mm-24662-055.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1261784095,,,,,1998041,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор Asus PA328CGV (90LM06R1-B01170),,33679,1,https://comfy.ua/monitor-asus-pa328cgv-90lm06r1-b01170.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1261785763,,,,,.1959319,Посуда >> Для напитков,wilmax,Чайник заварювальний Wilmax 1150 мл (WL-994000 / 1C),,656,1,https://comfy.ua/chajnik-zavarochnyj-wilmax-1150-ml-wl-994000-1c.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1261909476,6820038,BOSCH,Сушильная машина BOSCH WQG14200UA,36799,1997537,Техника для дома >> Крупная техника >> Сушильные машины >> Сушильные машины Bosch,bosch,Сушильна машина Bosch WQG14200UA,,36799,1,https://comfy.ua/sushil-naja-mashina-bosch-wqg14200ua.html,40299,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1261977927,,,,,1998036,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi6 TP-Link Archer AX72,,4499,1,https://comfy.ua/marshrutizator-internet-wifi6-tp-link-archer-ax72.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
