807254485,column,column,column,column,1748068,______________canpol_babies,canpolbabies,_____canpol_babies_18317,column,49,1,httpscomfyuabolshojpotoksoskadetskajasilikonovajacanpolbabies18317html,column,05112025_2127,column,__42,Фастів,0
807254522,,,,,1745880,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Чашка-непроливайка дитяча Canpol babies Toys зелений, 250 мл. (31/200_gre)",,199,1,https://comfy.ua/chashka-neprolivajka-detskaja-canpol-babies-toys-zelenyj-250-ml-31-200-gre.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
807254524,,,,,1745769,Детские товары >> Кормление,lovi,Механічний молоковідсмоктувач Lovi Expert 3D Pumping (50/030exp),,1659,1,https://comfy.ua/mehanicheskij-molokootsos-lovi-expert-3d-pumping-50-030exp.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
807254526,,,,,1745801,Детские товары >> Кормление,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies HELLO LITTLE з силіконовою трубочкою, 400 мл. (56/500_bei)",,419,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-hello-little-s-silikonovoj-trubochkoj-400-ml-56-500-bei.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
807254529,,,,,1745744,"Детские товары >> Кормление >> Молокоотсосы, системы SNS и емкости для хранения >> Молокоотсосы, системы SNS и емкости для хранения Lovi",lovi,Електричний молоковідсмоктувач Lovi двофазний Expert 3D Pumping (50/000exp),,6479,1,https://comfy.ua/jelektricheskij-molokootsos-lovi-dvuhfaznyj-expert-3d-pumping-50-000exp.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
807254533,,,,,1745812,Comfy KIDS >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies автомобіль з силіконовою трубочкою подвійна стінка, 260 мл. (74/053)",,419,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-avtomobil-s-silikonovoj-trubochkoj-dvojnaja-stenka-260-ml-74-053.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254537,,,,,1745804,Comfy KIDS >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Навчальний Cute Animals собачка, з силіконовим носиком, 320 мл. (56/512_blu)",,385,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-obuchajuschij-cute-animals-sobachka-s-silikonovym-nosikom-320-ml-56-512-blu.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
807254538,,,,,1745906,Детские товары >> Кормление >> Поильники >> Поильники Lovi,lovi,"Чашка-непроливайка дитяча Lovi Indian Summer для мальчика JUNIOR, 250 мл.  (35/346boy)",,509,1,https://comfy.ua/chashka-neprolivajka-detskaja-lovi-indian-summer-dlja-mal-chika-junior-250-ml-35-346boy.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
807254540,,,,,1745809,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies зі складною силіконовою трубочкою і обтяжувачем, котик, 350 мл. (56/521)",,415,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-so-slozhnoj-silikonovoj-trubochkoj-i-obremenitelem-kotik-350-ml-56-521.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
807254543,,,,,1745798,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Спортивний c трубочкою синій, 270 мл. (56/109_blu)",,285,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-sportivnyj-c-trubochkoj-sinij-270-ml-56-109-blu.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254544,,,,,1745904,Детские товары >> Кормление >> Поильники >> Поильники Lovi,lovi,"Чашка-непроливайка дитяча Lovi 360 MINI -Buddy Bear, 210 мл. (1/600new)",,389,1,https://comfy.ua/chashka-neprolivajka-detskaja-lovi-360-mini-buddy-bear-210-ml-1-600new.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
807254547,,,,,1745800,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies Спортивний рожевий, 370 мл. (56/113_pin)",,265,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-sportivnyj-rozovyj-370-ml-56-113-pin.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254548,,,,,1745903,Детские товары >> Кормление >> Поильники >> Поильники Lovi,lovi,"Чашка-непроливайка дитяча Lovi с ручками 360 JUNIOR Indian Summer GIRL, 250 мл. (1/591new)",,485,1,https://comfy.ua/chashka-neprolivajka-detskaja-lovi-s-ruchkami-360-junior-indian-summer-girl-250-ml-1-591new.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254556,,,,,1745898,Comfy KIDS >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Чашка-непроливайка дитяча Canpol babies Sweet fun рожевий, 180 мл. (57/300_pin)",,375,1,https://comfy.ua/chashka-neprolivajka-detskaja-canpol-babies-sweet-fun-rozovyj-180-ml-57-300-pin.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
807254557,,,,,.1745811,Детские товары >> Кормление,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies фламінго з силіконовою трубочкою подвійна стінка, 260 мл. (74/050)",,379,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-flamingo-s-silikonovoj-trubochkoj-dvojnaja-stenka-260-ml-74-050.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
807254558,,,,,1745863,Comfy KIDS >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,Чашка-непроливайка дитяча Canpol babies 230 мл. (56/501_pin),,399,1,https://comfy.ua/chashka-neprolivajka-detskaja-canpol-babies-230-ml-56-501-pin.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
807254560,,,,,1745897,Comfy KIDS >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Чашка-непроливайка дитяча Canpol babies Sweet fun синій, 180 мл. (57/300_blu)",,375,1,https://comfy.ua/chashka-neprolivajka-detskaja-canpol-babies-sweet-fun-sinij-180-ml-57-300-blu.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254565,,,,,1745894,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Чашка-непроливайка дитяча Canpol babies зі складною силіконовою трубочкою і обтяжувачем, 250 мл. (56/517)",,365,1,https://comfy.ua/chashka-neprolivajka-detskaja-canpol-babies-so-slozhnoj-silikonovoj-trubochkoj-i-obremenitelem-250-ml-56-517.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
807254568,,,,,1745892,Детские товары >> Кормление,canpol-babies,Чашка-непроливайка дитяча Canpol babies 230 мл. (56/501_grey),,399,1,https://comfy.ua/chashka-neprolivajka-detskaja-canpol-babies-230-ml-56-501-grey.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
807254598,6439663,NUVITA,Поилка NUVITA 200 мл салатовый (NV1436Lime),227,1735484,Детские товары >> Кормление >> Поильники >> Поильники Nuvita,nuvita,Поїльник-непроливайка дитячий Nuvita 18м + 200 мл салатовий (NV1436Lime),,235,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nuvita-18m-200-ml-salatovyj-nv1436lime.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254602,6439659,NUVITA,Поилка NUVITA 200 мл розовый (NV1433Pink),227,1735482,Детские товары >> Кормление >> Поильники >> Поильники Nuvita,nuvita,Поїльник-непроливайка дитячий Nuvita 12м + 200 мл Рожевий (NV1433Pink),,149,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nuvita-12m-200-ml-rozovyj-nv1433pink.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
807254604,6439660,NUVITA,Поилка NUVITA 200 мл Салатовый (NV1433Lime),227,1735481,Детские товары >> Кормление >> Поильники >> Поильники Nuvita,nuvita,Поїльник-непроливайка дитячий Nuvita 12м + 200 мл салатовий (NV1433Lime),,149,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nuvita-12m-200-ml-salatovyj-nv1433lime.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
807254610,,,,,1735442,Comfy KIDS >> Кормление >> Поильники >> Поильники Tescoma,tescoma,Поїльник-непроливайка дитячий tescoma Papu Papi 250 мл Blue (667652),,799,1,https://comfy.ua/poil-nik-neprolivajka-detskij-tescoma-papu-papi-250-ml-blue-667652.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
807254611,6571898,NUVITA,Соска NUVITA 0 м+ (NV6061),46,1739627,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Nuvita",nuvita,Малий потік соска дитяча силіконова Nuvita 0м + 2 шт. + Клапан (NV6061),,80,1,https://comfy.ua/malyj-potok-soska-detskaja-silikonovaja-nuvita-0m-2-sht-klapan-nv6061.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
807254622,,,,,1735439,Comfy KIDS >> Кормление >> Поильники >> Поильники Tescoma,tescoma,Поїльник-непроливайка дитячий tescoma Papu Papi 150 мл Pink (667610),,799,1,https://comfy.ua/poil-nik-neprolivajka-detskij-tescoma-papu-papi-150-ml-pink-667610.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
807254623,,,,,1745312,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Canpol babies",canpol-babies,Зубна щітка мануальна дитяча Canpol babies Силіконова (9/117),,119,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-canpol-babies-silikonovaja-9-117.html,129,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
807254625,,,,,1745298,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Canpol babies",canpol-babies,"Зубна щітка мануальна дитяча Canpol babies з масажує, в контейнері (56/159)",,160,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-canpol-babies-s-massazhirom-v-kontejnere-56-159.html,174,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
807254628,,,,,1745322,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Canpol babies",canpol-babies,"Зубна щітка мануальна дитяча Canpol babies Силіконова з обмежувачем, рожева (51/500_pin)",,280,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-canpol-babies-silikonovaja-s-ogranichitelem-rozovaja-51-500-pin.html,329,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807254630,,,,,1745296,"Детские товары >> Уход, купание и гигиена",canpol-babies,Зубна щітка мануальна дитяча Canpol babies Набір 3 шт. (2/421),,199,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-canpol-babies-nabor-3-sht-2-421.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
807254640,,,,,.1745970,"Детские товары >> Уход, купание и гигиена",lindo,"Зубна щітка мануальна дитяча Lindo в футлярі, біла (Pk 073 бел)",,57,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-lindo-v-futljare-belaja-pk-073-bel.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
807254641,,,,,.1745960,"Детские товары >> Уход, купание и гигиена",lindo,"Зубна щітка мануальна дитяча Lindo в футлярі, блакитна (Pk 073 гол)",,57,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-lindo-v-futljare-golubaja-pk-073-gol.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
807254642,,,,,1745947,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Lindo",lindo,"Зубна щітка мануальна дитяча Lindo для зубів і ясен, 2 шт, блакитна (Pk 072 гол)",,99,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-lindo-dlja-zubov-i-desen-2-sht-golubaja-pk-072-gol.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
807254664,,,,,1737316,"Детские товары >> Уход, купание и гигиена",lion,Зубна паста дитяча Lion Kids Safe Виноград 90 г,,109,1,https://comfy.ua/zubnaja-pasta-detskaja-lion-kids-safe-vinograd-90-g.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
807254665,,,,,1745269,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,"Пляшка для годування Lovi DIAMOND GLASS Baby Shower girl, 250 мл. (74/204girl)",,559,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-diamond-glass-baby-shower-girl-250-ml-74-204girl.html,659,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
807254666,,,,,1745259,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,"Пляшка для годування Lovi DIAMOND GLASS Botanic DIAMOND GLASS Botanic, 250 мл. (74/205)",,559,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-diamond-glass-botanic-250-ml-74-205.html,659,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
807254667,,,,,1745258,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,"Пляшка для годування Lovi DIAMOND GLASS Baby Shower boy, 250 мл. (74/204boy)",,559,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-diamond-glass-baby-shower-boy-250-ml-74-204boy.html,659,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
807254668,,,,,1745257,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Lovi",lovi,"Пляшка для годування Lovi DIAMOND GLASS Baby Shower boy, 150 мл. (74/104boy)",,499,1,https://comfy.ua/butylochka-dlja-kormlenija-lovi-diamond-glass-baby-shower-boy-150-ml-74-104boy.html,594,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
807254669,,,,,1745253,Детские товары >> Кормление,canpol-babies,Пляшка для годування Canpol babies 240 мл. (42/101),,209,1,https://comfy.ua/butylochka-dlja-kormlenija-canpol-babies-240-ml-42-101.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
