812071826,column,column,column,column,1782548,____________lionelo,lionelo,__lionelo_elia_graphite,column,3799,1,httpscomfyuakoljaskaprogulochnajalioneloeliagraphitehtml,column,05112025_2103,column,__42,Фастів,0
812071866,,,,,1782553,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Emma Plus Stone,,4899,1,https://comfy.ua/koljaska-progulochnaja-lionelo-emma-plus-stone.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
812071879,,,,,1782505,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж класичний Lionelo Stefi Blue Navy,,2909,1,https://comfy.ua/manezh-klassicheskij-lionelo-stefi-blue-navy.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
812071882,,,,,1782507,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж класичний Lionelo Stefi Green Turquoise,,2909,1,https://comfy.ua/manezh-klassicheskij-lionelo-stefi-green-turquoise.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
812071885,,,,,1782508,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж класичний Lionelo Stefi Grey Concrete Multicolor,,2909,1,https://comfy.ua/manezh-klassicheskij-lionelo-stefi-grey-concrete-multicolor.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
812071888,,,,,1782510,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж класичний Lionelo Stefi Yellow Lemon,,2909,1,https://comfy.ua/manezh-klassicheskij-lionelo-stefi-yellow-lemon.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
812071892,,,,,1782591,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Lionelo",lionelo,Крісло-качалка Lionelo Otto Cozy Grey,,3879,1,https://comfy.ua/kreslo-kachalka-lionelo-otto-cozy-grey.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
812071894,,,,,1782525,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Lionelo,lionelo,Біговел Lionelo Bart Goldie,,3299,1,https://comfy.ua/begovel-lionelo-bart-goldie.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
812071900,,,,,1782579,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж-ліжко Lionelo Flower Flamingo,,4659,1,https://comfy.ua/manezh-krovat-lionelo-flower-flamingo.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
812071903,,,,,1782580,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж-ліжко Lionelo Flower Grey Scandi,,4659,1,https://comfy.ua/manezh-krovat-lionelo-flower-grey-scandi.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
812071906,,,,,1782581,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж-ліжко Lionelo Flower Turquoise,,4799,1,https://comfy.ua/manezh-krovat-lionelo-flower-turquoise.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
812071913,,,,,1782492,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж-ліжко Lionelo Sven Plus Blue Navy,,5145,1,https://comfy.ua/manezh-krovat-lionelo-sven-plus-blue-navy.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
812071917,,,,,1782497,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж-ліжко Lionelo Sven Plus Grey Scandi,,5145,1,https://comfy.ua/manezh-krovat-lionelo-sven-plus-grey-scandi.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
812071919,,,,,.1782517,Детские товары >> Детский транспорт,lionelo,Біговел Lionelo Bart Air Sporty Black,,4499,1,https://comfy.ua/begovel-lionelo-bart-air-sporty-black.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
812071921,,,,,1782495,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж-ліжко Lionelo Sven Plus Turquoise Grey,,4999,1,https://comfy.ua/manezh-krovat-lionelo-sven-plus-turquoise-grey.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
812071922,,,,,1782519,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Lionelo,lionelo,Біговел Lionelo Alex Turquoise,,2375,1,https://comfy.ua/begovel-lionelo-alex-turquoise.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
812071924,,,,,1782516,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Lionelo,lionelo,Біговел Lionelo Alex Orange,,2499,1,https://comfy.ua/begovel-lionelo-alex-orange.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
812071927,,,,,1782515,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Lionelo,lionelo,Біговел Lionelo Alex Bubblegum,,2375,1,https://comfy.ua/begovel-lionelo-alex-bubblegum.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
812071928,,,,,1782496,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Lionelo,lionelo,Манеж-ліжко Lionelo Sven Plus Yellow Scandi,,5145,1,https://comfy.ua/manezh-krovat-lionelo-sven-plus-yellow-scandi.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
812071929,,,,,1782526,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Lionelo,lionelo,Біговел Lionelo Bart Sky Blue,,3299,1,https://comfy.ua/begovel-lionelo-bart-sky-blue.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
812171114,,,,,1782780,Детские товары >> Прогулки и поездки,lionelo,Автокрісло Lionelo Antoon RWF Carbon,,14555,1,https://comfy.ua/catalog/product/view/id/2189873,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
812171157,,,,,1779967,Детские товары >> Творчество и развитие,hasbro,Матеріали Hasbro Повітряний пластилін жовтий (F1531_F1715),,199,1,https://comfy.ua/rashodniki-hasbro-vozdushnyj-plastilin-zhjoltyj-f1531-f1715.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
812189819,,,,,1770151,Бытовая химия >> Все для уборки,helper,Засіб для чищення скла Helper Морская свежесть  500 мл,,54,1,https://comfy.ua/catalog/product/view/id/2145893,64,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
812192912,,,,,1770121,Бытовая химия >> Все для уборки,frosch,Засіб для чищення універсальний Frosch Малина 750 мл,,99,1,https://comfy.ua/catalog/product/view/id/2145683,143,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
812193730,,,,,1769996,Бытовая химия >> Средства для чистки техники,dr-beckmann,Засіб від накипу для пральних машин Dr.BECKMANN Очищувач 250 мл,,140,1,https://comfy.ua/catalog/product/view/id/2144933,205,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
812193732,,,,,1770033,Бытовая химия >> Средства для чистки техники,dr-beckmann,Засіб від накипу для пральних машин Dr.BECKMANN Гігієнічний очищувач 250 г,,152,1,https://comfy.ua/catalog/product/view/id/2145863,227,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
812193734,,,,,1770076,Бытовая химия >> Все для уборки,frosch,Засіб для миття у ванній кімнаті Frosch Очищувач лимон д/ванни і душа 500 мл,,129,1,https://comfy.ua/catalog/product/view/id/2145503,209,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
812193735,,,,,1770124,Бытовая химия >> Все для уборки,frosch,Засіб для чищення універсальний Frosch з натуральним екстрактом Грейпфрут 500 мл,,144,1,https://comfy.ua/catalog/product/view/id/2145853,242,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
812195123,,,,,1782824,Детские товары >> Прогулки и поездки,lionelo,Коляска прогулянкова Lionelo Annet Stone Caramel,,7559,1,https://comfy.ua/catalog/product/view/id/2190213,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
812202454,,,,,1781690,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",piko,Кабель патч-корд Piko CAT5e UTP Ethernet RJ45 5 m Black (1283126474064),,159,1,https://comfy.ua/kabel-patch-kord-piko-cat5e-utp-ethernet-rj45-5-m-black-1283126474064.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
812209586,,,,,1780867,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",vention,Перехідник HDMI Vention DVI Black (ECDB0),,199,1,https://comfy.ua/perehodnik-hdmi-vention-dvi-black-ecdb0.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
812210934,6684240,ECOSOFT,"""Фильтр для воды ECOSOFT 10"""" (FPV34ECO)""",672,1782349,Техника для кухни >> Системы и фильтры для воды >> Проточные фильтры >> Проточные фильтры Ecosoft,ecosoft,Фільтр проточний Ecosoft 10'' (FPV34ECO),,675,1,https://comfy.ua/fil-tr-protochnyj-ecosoft-10-fpv34eco.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
812214943,6439697,NUVITA,Набор тарелок NUVITA Синяя 2 шт (NV8451Blue),99,1749710,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Nuvita,nuvita,"Набір тарілок для малюка Nuvita дрібні, 2шт. синій (NV8451Blue)",,99,1,https://comfy.ua/nabor-tarelok-dlja-malysha-nuvita-melkie-2sht-sinij-nv8451blue.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
812215240,,,,,1780970,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,"Автомобільний зарядний пристрій Intaleo CCGQPD238 (2USB, 3A) Grey (1283126509971)",,349,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-intaleo-ccgqpd238-2usb-3a-grey-1283126509971.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,1
812215241,,,,,1780973,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,Мережевий зарядний пристрій Intaleo TCGQPD220 (2USBx3A) Black (1283126509995),,499,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-tcgqpd220-2usbx3a-black-kabel-usb-type-s-1283126509995.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
812215280,,,,,1780969,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,"Автомобільний зарядний пристрій Intaleo CCGQPD120T (USB, 3A) Grey + кабель USB Type С (1283126509957)",,349,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-intaleo-ccgqpd120t-usb-3a-grey-kabel-usb-type-s-1283126509957.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
812215281,,,,,1780971,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,Мережевий зарядний пристрій Intaleo TCGQPD120L (1USBx3A) White + кабель Lightning (1283126510007),,649,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-tcgqpd120l-1usbx3a-white-kabel-lightning-1283126510007.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
812215324,,,,,1780972,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,Мережевий зарядний пристрій Intaleo TCGQPD120T (1USBx3A) White + кабель USB Type С (1283126509988),,599,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-intaleo-tcgqpd120t-1usbx3a-white-kabel-usb-type-s-1283126509988.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
812215346,6673869,KRAUFF,Форма KRAUFF 26-184-070,206,1780541,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Krauff,krauff,Форма для приготування Krauff 26-184-070 26.5x17x3.5 см,,210,1,https://comfy.ua/forma-dlja-prigotovlenija-krauff-26-184-070-26-5x17x3-5-sm.html,312,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
812215483,6667515,NUVITA,Набор по уходу за ребенком NUVITA 0м+ Pink (NV1138COOLPINK),218,1747037,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Nuvita",nuvita,Набір дитячого манікюрного приладдя Nuvita безпечні ножиці з акс. рожевий (NV1138COOLPINK),,199,1,https://comfy.ua/nabor-detskih-manikjurnyh-prinadlezhnostej-nuvita-bezopasnye-nozhnichki-s-aks-rozovyj-nv1138coolpink.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
812215601,,,,,.1780651,Посуда >> Для запекания и выпечки,interline,Форма для приготування Interline для GL 760 EXN BA/XA (2468101088045),,999,1,https://comfy.ua/forma-dlja-prigotovlenija-interline-dlja-gl-760-exn-ba-xa-2468101088045.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
812216106,,,,,1780606,Красота и здоровье >> Уход за лицом >> Расходные материалы для электробритв >> Расходные материалы для электробритв Philips,philips,Картридж для бритви Philips CC12/50,,749,1,https://comfy.ua/kartridzh-dlja-britvy-philips-cc12-50.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
812234633,6665416,KRAUFF,Лопатка Krauff (29-301-002),229,1780549,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Krauff,krauff,Лопатка кухонна Krauff 29-301-002 Gericht 34 см,,229,1,https://comfy.ua/lopatka-kuhonnaja-krauff-29-301-002-gericht-34-sm.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
812241801,,,,,1770072,Бытовая химия >> Средства для посудомоечных машин,frosch,Ополіскувач для посудомийної машини Frosch 750 мл,,200,1,https://comfy.ua/opolaskivatel-dlja-posudomoechnoj-mashiny-frosch-750-ml.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
812275797,,,,,1782537,Comfy KIDS >> Детский транспорт >> Велосипеды >> Велосипеды Lionelo,lionelo,Триколісний велосипед Lionelo Haari Stone Grey,,5299,1,https://comfy.ua/trjohkoljosnyj-velosiped-lionelo-haari-stone-grey.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
812275801,,,,,.1782539,Детские товары >> Детский транспорт,lionelo,Триколісний велосипед Lionelo Tris Candy Rose,,6099,1,https://comfy.ua/trjohkoljosnyj-velosiped-lionelo-tris-candy-rose.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
812275811,,,,,1782802,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Godzilla vs. Kong,godzilla-vs-kong,Фігурка міфічної істоти Godzilla vs. Kong КОНГ ГИГАНТ (27 см) (35562),,999,1,https://comfy.ua/figurka-mificheskogo-suschestva-godzilla-vs-kong-kong-gigant-27-sm-35562.html,,06.11.2025 1:07,,"вул. Соборна, 42",Фастів,0
