1687694108,column,column,column,column,2940353,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_ryzen_7_5700x_rtx_4070_12gb_nm_1641win_ryzen75700xrtx407012gbnm1641win,column,61534,1,httpscomfyuasistemnyjblokqubeqbryzen75700xrtx407012gbnm1641winryzen75700xrtx407012gbnm1641winhtml,70729,05112025_1742,column,__42,Фастів,0
1687698204,,,,,.2940224,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 12GB NM 32102 (Ryzen57500FRTX407012GBNM32102),,64275,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-12gb-nm-32102-ryzen57500frtx407012gbnm32102.html,73879,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1687698206,,,,,.2940270,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 3242Win (Ryzen57600XRTX4060Ti16GBNM3242Win),,66359,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-3242win-ryzen57600xrtx4060ti16gbnm3242win.html,76275,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1687698207,,,,,.2941634,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700KF RTX 4060 8GB W1 32102 (i713700KFRTX40608GBW132102),,67525,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700kf-rtx-4060-8gb-w1-32102-i713700kfrtx40608gbw132102.html,77615,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1687698208,,,,,.2940359,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 12GB NM 3242Win (Ryzen75700XRTX407012GBNM3242Win),,64532,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-12gb-nm-3242win-ryzen75700xrtx407012gbnm3242win.html,74175,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1687698210,,,,,.2941170,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 12GB N 1641Win (i514400FRTX407012GBN1641Win),,63361,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-12gb-n-1641win-i514400frtx407012gbn1641win.html,72829,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1687698211,,,,,.2941770,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700KF RTX 4060 8GB W1 3210 (i714700KFRTX40608GBW13210),,64275,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700kf-rtx-4060-8gb-w1-3210-i714700kfrtx40608gbw13210.html,73879,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1687698223,,,,,.2924867,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 13400F RTX 4070 SUPER 12GB NM 3210 (i513400FRTX4070S12GBNM3210),,61534,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-13400f-rtx-4070-super-12gb-nm-3210-i513400frtx4070s12gbnm3210.html,70729,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1687698224,,,,,.2940223,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 12GB NM 321010 (Ryzen57500FRTX407012GBNM321010),,64750,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-12gb-nm-321010-ryzen57500frtx407012gbnm321010.html,74425,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1687698227,,,,,.2941179,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 SUPER 12GB N 1642 (i514400FRTX4070S12GBN1642),,60147,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-super-12gb-n-1642-i514400frtx4070s12gbn1642.html,69135,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1687698233,,,,,.2940364,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 SUPER 12GB NM 32102 (Ryzen75700XRTX4070S12GBNM32102),,62923,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-super-12gb-nm-32102-ryzen75700xrtx4070s12gbnm32102.html,72325,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1687698236,,,,,.2941633,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700KF RTX 4060 8GB W1 321010 (i713700KFRTX40608GBW1321010),,68221,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700kf-rtx-4060-8gb-w1-321010-i713700kfrtx40608gbw1321010.html,78415,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1687698239,,,,,.2940634,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 13400F RTX 4070 SUPER 12GB NM 3241 (i513400FRTX4070S12GBNM3241),,62923,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-13400f-rtx-4070-super-12gb-nm-3241-i513400frtx4070s12gbnm3241.html,72325,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1687698242,,,,,.2940437,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7800X3D RTX 4060 8GB W1 32102 (Ryzen77800X3DRTX40608GBW132102),,65446,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7800x3d-rtx-4060-8gb-w1-32102-ryzen77800x3drtx40608gbw132102.html,75225,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1687698243,,,,,.2940397,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 8GB W1 6410 (Ryzen77700XRTX40608GBW16410),,66833,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-8gb-w1-6410-ryzen77700xrtx40608gbw16410.html,76819,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1687698246,,,,,.2941180,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 SUPER 12GB N 3210 (i514400FRTX4070S12GBN3210),,61278,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-super-12gb-n-3210-i514400frtx4070s12gbn3210.html,70435,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1687698248,,,,,.2940396,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 8GB W1 3242Win (Ryzen77700XRTX40608GBW13242Win),,67308,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-8gb-w1-3242win-ryzen77700xrtx40608gbw13242win.html,77365,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1687698249,,,,,.2940436,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7800X3D RTX 4060 8GB W1 321010 (Ryzen77800X3DRTX40608GBW1321010),,66137,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7800x3d-rtx-4060-8gb-w1-321010-ryzen77800x3drtx40608gbw1321010.html,76019,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1687698258,,,,,.2940635,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 13400F RTX 4070 SUPER 12GB NM 3242 (i513400FRTX4070S12GBNM3242),,63140,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-13400f-rtx-4070-super-12gb-nm-3242-i513400frtx4070s12gbnm3242.html,72575,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1687698260,,,,,.2940361,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 5700X RTX 4070 SUPER 12GB NM 1641Win (Ryzen75700XRTX4070S12GBNM1641Win),,64275,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-5700x-rtx-4070-super-12gb-nm-1641win-ryzen75700xrtx4070s12gbnm1641win.html,73879,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1687698261,,,,,.2941182,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 SUPER 12GB N 3241 (i514400FRTX4070S12GBN3241),,62448,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-super-12gb-n-3241-i514400frtx4070s12gbn3241.html,71779,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1687699111,,,,,.2940273,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 64102 (Ryzen57600XRTX4060Ti16GBNM64102),,69390,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-64102-ryzen57600xrtx4060ti16gbnm64102.html,79759,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1687699115,,,,,.2940231,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 SUPER 12GB NM 3210 (Ryzen57500FRTX4070S12GBNM3210),,63361,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-super-12gb-nm-3210-ryzen57500frtx4070s12gbnm3210.html,72829,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1687699122,,,,,.2929251,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4060 Ti 16GB NM 64102Win (Ryzen57500FRTX4060Ti16GBNM64102Win),,44768,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4060-ti-16gb-nm-64102win-ryzen57500frtx4060ti16gbnm64102win.html,72499,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1687699123,,,,,.2941772,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700KF RTX 4060 8GB W1 32102 (i714700KFRTX40608GBW132102),,67525,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700kf-rtx-4060-8gb-w1-32102-i714700kfrtx40608gbw132102.html,77615,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1687699124,,,,,.2940272,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 641010 (Ryzen57600XRTX4060Ti16GBNM641010),,69831,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-641010-ryzen57600xrtx4060ti16gbnm641010.html,80265,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1687699125,,,,,.2940234,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 SUPER 12GB NM 3242 (Ryzen57500FRTX4070S12GBNM3242),,64967,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-super-12gb-nm-3242-ryzen57500frtx4070s12gbnm3242.html,74675,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1687699126,,,,,.2941636,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700KF RTX 4060 8GB W1 6410 (i713700KFRTX40608GBW16410),,70521,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700kf-rtx-4060-8gb-w1-6410-i713700kfrtx40608gbw16410.html,81059,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1687699129,,,,,.2941183,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 14400F RTX 4070 SUPER 12GB N 3242 (i514400FRTX4070S12GBN3242),,62665,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-14400f-rtx-4070-super-12gb-n-3242-i514400frtx4070s12gbn3242.html,72029,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1687699820,,,,,.2699868,Инструменты и автотовары >> Ручные инструменты,milwaukee,"""Торцева голівка Milwaukee Shockwave 1/4"""" 13 мм/150 мм (4932492443)""",,415,1,https://comfy.ua/torcevaja-golovka-milwaukee-shockwave-1-4-13-mm-150-mm-4932492443.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1687699821,6919743,NEO TOOLS,Ключи шестигранные NEO TOOLS 1.5-8 мм набор 8 шт (09-571),399,2154510,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Neo Tools,neo-tools,Набір шестигранних складних ключів Neo Tools 09-571 8 шт.,,399,1,https://comfy.ua/nabor-shestigrannyh-skladnyh-kljuchej-neo-tools-09-571-8-sht.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1687699836,,,,,.2692538,Инструменты и автотовары >> Ручные инструменты,milwaukee,Торцева голівка Milwaukee ShW 1/2 36 мм (4932480351),,935,1,https://comfy.ua/torcevaja-golovka-milwaukee-shw-1-2-36-mm-4932480351.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
