1033038835,6756775,hp,__hp_smart_tank_670_wifi_white_6uu48a,15799,1863451,__________________hp,hp,___hp_smart_tank_670_wifi_6uu48a,column,15799,1,httpscomfyuamfucvetnojpechatihpsmarttank670wifi6uu48ahtml,column,05112025_1740,column,__42,Фастів,0
1033706045,6749613,GRUNHELM,Весы напольные GRUNHELM BES-GRA20,379,1863132,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Grunhelm,grunhelm,Ваги підлогові Grunhelm BES-GRA20,,379,1,https://comfy.ua/vesy-napol-nye-grunhelm-bes-gra20.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1033706046,6749609,GRUNHELM,Весы напольные GRUNHELM BES-SKY,349,1863133,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Grunhelm,grunhelm,Ваги підлогові Grunhelm BES-SKY,,379,1,https://comfy.ua/vesy-napol-nye-grunhelm-bes-sky.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1033706049,6749612,GRUNHELM,Весы напольные GRUNHELM BES-PAT10,299,1863136,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Grunhelm,grunhelm,Ваги підлогові Grunhelm BES-PAT10,,379,1,https://comfy.ua/vesy-napol-nye-grunhelm-bes-pat10.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1033706050,6749614,GRUNHELM,Весы напольные GRUNHELM BES-EUC (111288),359,1863137,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Grunhelm,grunhelm,Ваги підлогові Grunhelm BES-EUC,,379,1,https://comfy.ua/vesy-napol-nye-grunhelm-bes-euc.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1033706051,,,,,1863138,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Grunhelm,grunhelm,Ваги підлогові Grunhelm BES-AIR,,379,1,https://comfy.ua/vesy-napol-nye-grunhelm-bes-air.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1033711159,,,,,1865250,Детские товары >> Прогулки и поездки,peg-perego,Дощовик для коляски Peg-Perego P3/Switch/GT3/SI/Mini/Pop Up (IABELV0008),,1299,1,https://comfy.ua/catalog/product/view/id/3049173,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1033711721,,,,,1865253,Детские товары >> Прогулки и поездки,peg-perego,Чохол для автокрісла Peg-Perego Clima Cover Viaggio 1 DUO-FIX/TT White (IACLCO0001),,1599,1,https://comfy.ua/catalog/product/view/id/3049603,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1033712728,,,,,1865898,Детские товары >> Игрушки,silverlit,Радіокерована машинка Silverlit 360 CROSS II (20257-3),,1999,1,https://comfy.ua/catalog/product/view/id/3050643,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
1033712730,,,,,1865254,Детские товары >> Прогулки и поездки,peg-perego,Чохол для автокрісла Peg-Perego Clima Cover Viaggio 1-2-3 VIA White (IACLCO0006),,1599,1,https://comfy.ua/catalog/product/view/id/3049553,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1033713114,,,,,1865897,Детские товары >> Игрушки,silverlit,Радіокерована машинка Silverlit 360 CROSS II (20257-2),,1999,1,https://comfy.ua/catalog/product/view/id/3050563,,05.11.2025 23:45,,"вул. Соборна, 42",Фастів,0
1033715736,,,,,1865895,Детские товары >> Игрушки,silverlit,Радіокерована машинка Silverlit 360 Tornado Spheric MX (20254),,999,1,https://comfy.ua/catalog/product/view/id/3049613,1959,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
1033718951,,,,,1865255,Детские товары >> Кормление,peg-perego,Стільчик для годування трансформер Peg-Perego Prima Pappa Follow Me Wonder Grey (IH01000000WD53),,7599,1,https://comfy.ua/catalog/product/view/id/3049713,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1033757714,,,,,1865764,"Аудио, фото и видео >> Наушники",promate,Навушники вкладиші дротові Promate Duet.Black,,149,1,https://comfy.ua/catalog/product/view/id/3051033,200,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1033766641,,,,,1865903,Детские товары >> Игрушки,silverlit,Гоночний трек Silverlit Exost Loop Здолай Перешкоди (20270),,3799,1,https://comfy.ua/catalog/product/view/id/3050963,,06.11.2025 0:14,,"вул. Соборна, 42",Фастів,0
1033767976,,,,,1865900,Детские товары >> Игрушки,silverlit,"""Радіокерована машинка",,,,,,,,,,
"Silverlit 360 Tornado (20266-1)""",,2999,1,https://comfy.ua/catalog/product/view/id/3050853,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1033772178,,,,,1865899,Детские товары >> Игрушки,silverlit,Радіокерована машинка Silverlit Hover Racer (82014),,1599,1,https://comfy.ua/catalog/product/view/id/3050773,3079,05.11.2025 23:33,,"вул. Соборна, 42",Фастів,0
1033842518,,,,,.1863944,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфона BeCover for Apple iPhone 13/13 Pro Black (706663),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-apple-iphone-13-13-pro-black-706663.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1034009665,6794184,VENTOLUX,Варочная поверхность VENTOLUX HV 65 TC (2059765961345),5299,1850349,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HV 65 TC,,5299,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hv-65-tc.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1034009688,6702648,PROMATE,Гарнитура PROMATE Duet Black (duet.black),149,1865764,"Аудио, фото и видео >> Наушники >> Наушники Promate",promate,Навушники вкладиші дротові Promate Duet.Black,,149,1,https://comfy.ua/naushniki-vkladyshi-provodnye-promate-duet-black.html,200,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1034009756,6794183,VENTOLUX,Варочная поверхность VENTOLUX HV 64 TC SL (2059765961338),4499,1850348,Техника для кухни >> Крупная техника,ventolux,Варильна поверхня електрична Ventolux HV 64 TC SL,,4499,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hv-64-tc-sl.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1034009935,6794182,VENTOLUX,Варочная поверхность VENTOLUX HV 64 TC (2059765961321),4044,1850347,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HV 64 TC,,4299,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hv-64-tc.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1034010033,6794181,VENTOLUX,Варочная поверхность VENTOLUX HV 44 TC (2059765961369),4999,1850351,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HV 44 TC,,4999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hv-44-tc.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1034010187,,,,,1866363,Техника для кухни >> Крупная техника,indesit,Духова шафа + варильна поверхня газова Indesit IFWS 3841 JH IX + THP 641 IX/I,,16999,1,https://comfy.ua/duhovoj-shkaf-varochnaja-panel-gazovaja-indesit-ifws-3841-jh-ix-thp-641-ix-i.html,19599,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,1
1034010266,,,,,1850352,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HV 32 TC,,3335,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hv-32-tc.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1034010751,,,,,1865250,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Peg-Perego,peg-perego,Дощовик для коляски Peg-Perego P3/Switch/GT3/SI/Mini/Pop Up (IABELV0008),,1299,1,https://comfy.ua/dozhdevik-dlja-koljaski-peg-perego-p3-switch-gt3-si-mini-pop-up-iabelv0008.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1034010816,,,,,1865903,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,Гоночний трек Silverlit Exost Loop Здолай Перешкоди (20270),,3799,1,https://comfy.ua/gonochnyj-trek-silverlit-exost-loop-preodolej-prepjatstvija-20270.html,,06.11.2025 0:14,,"вул. Соборна, 42",Фастів,0
1034010879,,,,,1865253,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Peg-Perego,peg-perego,Чохол для автокрісла Peg-Perego Clima Cover Viaggio 1 DUO-FIX/TT White (IACLCO0001),,1599,1,https://comfy.ua/chehol-dlja-avtokresla-peg-perego-clima-cover-viaggio-1-duo-fix-tt-white-iaclco0001.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1034010892,,,,,1865900,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,"""Радіокерована машинка",,,,,,,,,,
"Silverlit 360 Tornado (20266-1)""",,2999,1,https://comfy.ua/radioupravljaemaja-mashinka-1-10-silverlit-360-tornado-20266-1.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1034010947,,,,,1865254,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Peg-Perego,peg-perego,Чохол для автокрісла Peg-Perego Clima Cover Viaggio 1-2-3 VIA White (IACLCO0006),,1599,1,https://comfy.ua/chehol-dlja-avtokresla-peg-perego-clima-cover-viaggio-1-2-3-via-white-iaclco0006.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1034010955,,,,,1865899,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,Радіокерована машинка Silverlit Hover Racer (82014),,1599,1,https://comfy.ua/radioupravljaemaja-mashinka-1-18-silverlit-hover-racer-82014.html,3079,05.11.2025 23:33,,"вул. Соборна, 42",Фастів,0
1034010960,,,,,1865898,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,Радіокерована машинка Silverlit 360 CROSS II (20257-3),,1999,1,https://comfy.ua/radioupravljaemaja-mashinka-1-18-silverlit-360-cross-ii-20257-3.html,,06.11.2025 0:28,,"вул. Соборна, 42",Фастів,0
1034011122,,,,,1865897,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,Радіокерована машинка Silverlit 360 CROSS II (20257-2),,1999,1,https://comfy.ua/radioupravljaemaja-mashinka-1-18-silverlit-360-cross-ii-20257-2.html,,05.11.2025 23:45,,"вул. Соборна, 42",Фастів,0
1034011126,,,,,1865902,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Silverlit,silverlit,Інтерактивний робот Silverlit Biopod Inmotion (88091),,699,1,https://comfy.ua/interaktivnyj-robot-silverlit-biopod-inmotion-88091.html,1119,06.11.2025 0:00,,"вул. Соборна, 42",Фастів,0
1034011181,,,,,1865652,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Fuzion Max,fuzion-max,Машинка-трансформер Fuzion Max МАГНУС (54002),,499,1,https://comfy.ua/mashinka-transformer-fuzion-max-magnus-54002.html,745,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
1034011230,,,,,1865255,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Peg-Perego,peg-perego,Стільчик для годування трансформер Peg-Perego Prima Pappa Follow Me Wonder Grey (IH01000000WD53),,7599,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-prima-pappa-follow-me-wonder-grey-ih01000000wd53.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1034011286,,,,,1865895,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,Радіокерована машинка Silverlit 360 Tornado Spheric MX (20254),,999,1,https://comfy.ua/radioupravljaemaja-mashinka-1-18-silverlit-360-tornado-spheric-mx-20254.html,1959,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
1034128825,,,,,1700012,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Хаскі 28 см (150715A),,949,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-haski-28-sm-150715a.html,,06.11.2025 1:15,,"вул. Соборна, 42",Фастів,0
1034162296,6737688,TCL,Осушитель воздуха TCL DEA35EB,12499,1855765,Техника для дома >> Климатическая техника >> Осушители воздуха >> Осушители воздуха TCL,tcl,Осушувач повітря TCL DEA35EB,,12499,1,https://comfy.ua/osushitel-vozduha-tcl-dea35eb.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1034162532,6737692,TCL,Осушитель воздуха TCL DEWA20EB,10399,1855763,Техника для дома >> Климатическая техника >> Осушители воздуха >> Осушители воздуха TCL,tcl,Осушувач повітря TCL DEWA20EB,,10399,1,https://comfy.ua/osushitel-vozduha-tcl-dewa20eb.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1034167154,,,,,1867270,Детские товары >> Игрушки,wizarding-world,Настільна гра (12+) WizWorld Ніффлер (39895),,499,1,https://comfy.ua/catalog/product/view/id/3056313,,06.11.2025 0:35,,"вул. Соборна, 42",Фастів,0
1034170083,,,,,1867242,Детские товары >> Детский транспорт,go-travel,Триколісний самокат GO Travel LS308PP,,1709,1,https://comfy.ua/catalog/product/view/id/3057013,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1034171657,,,,,.1866018,"Аудио, фото и видео >> Аксессуары для фото, видео",nitecore,"З/пристрій для акумуляторів AA/AAA Nitecore Intellicharger i4 (4 channels, LED, Li-ion, Ni-MH/Ni-Cd, AA/ (09002)",,1109,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-nitecore-intellicharger-i4-4-channels-led-li-ion-ni-mh-ni-cd-aa-09002.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1034218591,,,,,1867272,Детские товары >> Игрушки,wizarding-world,Набір ігрових фігурок Wizarding World Гаррі Поттер. Алея Діагон (49997),,499,1,https://comfy.ua/catalog/product/view/id/3057043,,06.11.2025 0:59,,"вул. Соборна, 42",Фастів,0
1034292944,,,,,1867271,Детские товары >> Игрушки,wizarding-world,Набір ігрових фігурок WizWorld Гаррі Поттер. Арена для Квіддіча (49992),,399,1,https://comfy.ua/catalog/product/view/id/3057823,559,06.11.2025 1:00,,"вул. Соборна, 42",Фастів,0
