809847037,6692910,canon,_canon_rf_70200mm_f40_is_usm_4318c005,82727,1777281,"Аудио, фото и видео >> Фотокамеры",canon,___canon_rf_70200_mm_4318c005,column,84999,1,httpscomfyuaobektivkfotokamerecanonrf70200mm4318c005html,column,05112025_1822,column,__42,Фастів,0
809864753,,,,,.1775851,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 14х250x310 мм (WE102131/3132225),,125,1,https://comfy.ua/sverlo-werk-sds-plus-14h250x310-mm-we102131-3132225.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
809864755,,,,,.1775841,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 16х260 мм (3132249),,135,1,https://comfy.ua/sverlo-werk-sds-plus-16h260-mm-3132249.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
809864758,,,,,1776995,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Свердло Haisser 35х152 мм,,149,1,https://comfy.ua/sverlo-haisser-35h152-mm.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
809864760,,,,,.1775852,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 16х400x460 мм (WE102137/3132230),,235,1,https://comfy.ua/sverlo-werk-sds-plus-16h400x460-mm-we102137-3132230.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
809864761,,,,,.1775855,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 18х400x460 мм (WE102141/3132234),,259,1,https://comfy.ua/sverlo-werk-sds-plus-18h400x460-mm-we102141-3132234.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
809864762,,,,,.1775853,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 16х540x600 мм (WE102138/3132231),,275,1,https://comfy.ua/sverlo-werk-sds-plus-16h540x600-mm-we102138-3132231.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
809864764,,,,,.1775838,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 10х800 мм (3132247),,335,1,https://comfy.ua/sverlo-werk-sds-plus-10h800-mm-3132247.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
809864765,,,,,.1775840,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 12х800 мм (3132248),,335,1,https://comfy.ua/sverlo-werk-sds-plus-12h800-mm-3132248.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
809864766,,,,,1775856,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Werk,werk,Свердло Werk Sds-plus 20х400x460 мм (WE102145/3132237),,319,1,https://comfy.ua/sverlo-werk-sds-plus-20h400x460-mm-we102145-3132237.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
809864771,,,,,.1775846,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 25х460 мм (3132255),,445,1,https://comfy.ua/sverlo-werk-sds-plus-25h460-mm-3132255.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
809864772,,,,,.1775857,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 22х400x460 мм (WE102149/3132240),,389,1,https://comfy.ua/sverlo-werk-sds-plus-22h400x460-mm-we102149-3132240.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
809864774,,,,,.1775842,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 16х800 мм (3132250),,435,1,https://comfy.ua/sverlo-werk-sds-plus-16h800-mm-3132250.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
809864775,,,,,1632136,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,"Свердло Haisser 14.0х108х160 мм ц/х ср. с.(DIN 338), pvc уп.14.0х108х160 мм ц/х пор. с. (DIN 338), pvc уп.",,389,1,https://comfy.ua/sverlo-haisser-14-0h108h160-mm-c-h-sr-s-din-338-pvc-up.html,,05.11.2025 22:04,,"вул. Соборна, 42",Фастів,0
809864776,,,,,.1776534,Инструменты и автотовары >> Расходные материалы,works,Набір свердел Works 16 шт. (C1603),,435,1,https://comfy.ua/nabor-sverl-works-16-sht-c1603.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
809864777,,,,,1775088,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Свердло Haisser 16.0х120х178 мм (DIN 338),,489,1,https://comfy.ua/sverlo-haisser-16-0h120h178-mm-din-338.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
809864778,,,,,.1775843,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 18х800 мм (3132252),,499,1,https://comfy.ua/sverlo-werk-sds-plus-18h800-mm-3132252.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
809864796,,,,,.1775854,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 16х940x1000 мм (WE102134/3132232),,549,1,https://comfy.ua/sverlo-werk-sds-plus-16h940x1000-mm-we102134-3132232.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
809864797,,,,,1776997,Инструменты и автотовары >> Расходные материалы,haisser,Набір свердел Haisser 2-8х0.5 мм 13 шт.,,485,1,https://comfy.ua/nabor-sverl-haisser-2-8h0-5-mm-13-sht.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
809864798,,,,,.1775848,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 25х600 мм (3132259),,619,1,https://comfy.ua/sverlo-werk-sds-plus-25h600-mm-3132259.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
809864799,,,,,1776998,Инструменты и автотовары >> Расходные материалы,haisser,Набір свердел Haisser 1-10 мм 10 шт.,,535,1,https://comfy.ua/nabor-sverl-haisser-1-10-mm-10-sht.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
809864800,,,,,.1775844,Инструменты и автотовары >> Расходные материалы,werk,Свердло Werk Sds-plus 20х800 мм (3132253),,599,1,https://comfy.ua/sverlo-werk-sds-plus-20h800-mm-3132253.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
809865519,7041935,TEKHMANN,Пила циркулярная TEKHMANN TSC-165/i20,2565,1769637,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Tekhmann,tekhmann,Пила дискова Tekhmann TSC-165/i20 (848397),,2399,1,https://comfy.ua/pila-diskovaja-tekhmann-tsc-165-i20-848397.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
809865520,6024383,BOSCH,Ручная циркулярная пила BOSCH PKS 55 (0603500020),4302,1774565,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Bosch,bosch,Пила дискова Bosch PKS 55 (0.603.500.020),,4305,1,https://comfy.ua/pila-diskovaja-bosch-pks-55-0-603-500-020.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
809870150,,,,,.1776008,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V240D Blanco diva 240 мм,,112,1,https://comfy.ua/tarelka-obedennaja-vittora-v240d-blanco-diva-240-mm.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
809870213,,,,,.1746458,Техника для кухни >> Мелкая техника,wmf,Міксер WMF 416560011 KULT X HAND MIXER ED,,2499,1,https://comfy.ua/mikser-wmf-416560011-kult-x-hand-mixer-ed.html,3399,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
809903021,6664116,GUSTO,Нож для нарезки GUSTO Classic 20.3 см (GT-4001-2),178,1776414,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Gusto,gusto,Ніж для м'яса Gusto GT-4001-2 Classic 20.3 см,,178,1,https://comfy.ua/nozh-dlja-mjasa-gusto-gt-4001-2-classic-20-3-sm.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
809903607,6676719,VINZER,Пресс для чеснока VINZER 50203,774,1776495,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Vinzer,vinzer,Прес для часнику Vinzer 50203,,774,1,https://comfy.ua/press-dlja-chesnoka-vinzer-50203.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
809907221,6828110,LIITOKALA,Зарядное устройство Liitokala Lii-S2,389,1776514,"Аудио, фото и видео >> Аксессуары для фото, видео >> Аккумуляторы, батарейки и зарядные устройства >> Аккумуляторы, батарейки и зарядные устройства LiitoKala",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala Lii-S2,,389,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-liitokala-lii-s2.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
809907633,6562385,JOSEPH JOSEPH,Набор ножей JOSEPH JOSEPH Elevate 7 пр (10537),9269,1776954,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Joseph Joseph,joseph-joseph,Набір ножів Joseph Joseph 5 пр. 10537,,7855,1,https://comfy.ua/nabor-nozhej-joseph-joseph-5-pr-10537.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
809910909,,,,,1770151,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон Helper,helper,Засіб для чищення скла Helper Морская свежесть  500 мл,,54,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-helper-morskaja-svezhest-500-ml.html,64,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
809911169,6583465,FROSCH,Чистящее средство FROSCH Малина 750 мл (4001499943430),150,1770121,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Frosch,frosch,Засіб для чищення універсальний Frosch Малина 750 мл,,99,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-malina-750-ml.html,143,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
809911172,,,,,1770092,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Frosch,frosch,Засіб для чищення унітазу Frosch Гель Оцет 750 мл,,102,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-frosch-gel-uksus-750-ml.html,176,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
