991941734,6860258,arrtx,__arrtx_oros_asm03pl_24____lc302505,1039,1848641,______________arrtx,arrtx,__arrtx_oros_asm03pl_24____lc302505,column,1169,1,httpscomfyuanabormarkerovarrtxorosasm03pl24cvetafioletovyeottenkihtml,1299,05112025_2039,column,__42,Фастів,0
992262496,,,,,1848419,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Epson",epson,Чорнило Epson L8160/L8180 Magenta (C13T07D34A),,765,1,https://comfy.ua/chernila-epson-l8160-l8180-magenta-c13t07d34a.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
992262498,,,,,1848417,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Epson",epson,Чорнило Epson L8160/L8180 Black (C13T07C14A),,765,1,https://comfy.ua/chernila-epson-l8160-l8180-black-c13t07c14a.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
992329124,6842048,ECG,Плитка ECG EV 2512 White,2261,1846656,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты ECG,ecg,Плита електрична настільна ECG EV 2512 White,,2185,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-ecg-ev-2512-white.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
992526238,,,,,1848740,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Braun,braun,Блендер заглибний Braun MQ7035 WH,,3399,1,https://comfy.ua/blender-pogruzhnoj-braun-mq7035-wh.html,3999,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
992526521,7170892,WEILOR,Духовой шкаф WEILOR FTO6F11BK,15999,1849026,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FTO6F11BK,,15999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fto6f11bk.html,19999,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
992526692,,,,,1848946,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Flip Cars,flip-cars,Машинка-трансформер Flip Cars 2 в 1 Монстр-трак Вовк (EU463875A-01),,129,1,https://comfy.ua/mashinka-transformer-flip-cars-2-v-1-monstr-trak-volk-eu463875a-01.html,189,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
992526853,7170891,WEILOR,Духовой шкаф WEILOR FTO6F11BI,15999,1849025,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FTO6F11BI,,15999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fto6f11bi.html,19999,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
992677166,6440029,SAME TOY,Гончарный круг SAME TOY (103Ut),799,1702426,Детские товары >> Творчество и развитие,same-toy,Ліплення із глини Same Toy Гончарний Коло (103Ut),,719,1,https://comfy.ua/lepka-iz-gliny-same-toy-goncharnyj-krug-103ut.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
992910479,6803536,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 500х400 мм (FK0220500401N2Z),5489,1844250,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 500x400 мм (FK0220500401N2Z),,5559,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-500x400-mm-fk0220500401n2z.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
992937863,,,,,1845575,Техника для дома >> Климатическая техника,toshiba,Кондиціонер спліт Toshiba RAS-13N4KVRG-UA/RAS-13N4AVRG-UA,,59999,1,https://comfy.ua/catalog/product/view/id/2833173,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
992939298,7193834,ELECTROLUX,Конвектор ELECTROLUX ECH/AG2-1500 EF EU,3599,1844915,Техника для дома >> Климатическая техника,electrolux,Конвектор Electrolux ECH/AG2-1500 ЕF EU,,3599,1,https://comfy.ua/konvektor-electrolux-ech-ag2-1500-ef-eu.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
992945529,6803512,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 300 х 1000 мм (FK0220301001N2Z),8038,1844249,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 300x1000 мм (FK0220301001N2Z),,8139,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-300x1000-mm-fk0220301001n2z.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
992945530,6803552,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 500х500 мм (FTV220500501R2Z),8559,1844261,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 500x500 мм (FTV220500501R2Z),,8665,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-500x500-mm-ftv220500501r2z.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
992945531,6803543,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 300 х 800 мм (FTV220300801R2Z),8921,1844258,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 300x800 мм (FTV220300801R2Z),,9029,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-300x800-mm-ftv220300801r2z.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
992945532,6803553,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 500 х 600 мм (FTV220500601R2Z),9232,1844263,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 500x600 мм (FTV220500601R2Z),,9345,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-500x600-mm-ftv220500601r2z.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
992945535,6803535,KERMI,Радиатор KERMI Therm-X2 Profil-K FK0 22 500 х 1600 мм (FK0220501601N2Z),14115,1844257,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Profil-K FK0 22 500x1600 мм (FK0220501601N2Z),,14289,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-k-fk0-22-500x1600-mm-fk0220501601n2z.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
992982698,6727873,SENCOR,Фен SENCOR SHD 6800RG,1029,1849233,Красота и здоровье >> Уход за волосами >> Фены >> Фены Sencor,sencor,Фен Sencor SHD 6800RG,,1299,1,https://comfy.ua/fen-sencor-shd-6800rg.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
993268735,,,,,.1846614,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ritar,Акумулятор для ДБЖ Ritar 6V 10AH Gray Case (RT6100/08214) AGM,,595,1,https://comfy.ua/akkumuljator-dlja-ibp-ritar-6v-10ah-gray-case-rt6100-08214-agm.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
993268736,,,,,.1846616,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ritar,Акумулятор для ДБЖ Ritar 12V 7AH (HR1228W/01709) AGM,,702,1,https://comfy.ua/akkumuljator-dlja-ibp-ritar-12v-7ah-hr1228w-01709-agm.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
993268737,,,,,.1846615,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",ritar,Акумулятор для ДБЖ Ritar 12V 5.5AH (HR1222W/01708) AGM,,644,1,https://comfy.ua/akkumuljator-dlja-ibp-ritar-12v-5-5ah-hr1222w-01708-agm.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
993335364,6745260,VILGRAND,Весы кухонные VILGRAND VKS-525 Peppers,440,1847865,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные ViLgrand,vilgrand,Ваги кухонні ViLgrand VKS-525 Peppers,,399,1,https://comfy.ua/vesy-kuhonnye-vilgrand-vks-525-peppers.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
993335396,6745256,VILGRAND,Весы кухонные VILGRAND VKS-519 Tomato,435,1847863,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные ViLgrand,vilgrand,Ваги кухонні ViLgrand VKS-519 Tomato,,399,1,https://comfy.ua/vesy-kuhonnye-vilgrand-vks-519-tomato.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
993335419,6745261,VILGRAND,Весы кухонные VILGRAND VKS-533C Blue,379,1847866,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные ViLgrand,vilgrand,Ваги кухонні ViLgrand VKS-533C Blue,,299,1,https://comfy.ua/vesy-kuhonnye-vilgrand-vks-533c-blue.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
993335422,6745262,VILGRAND,Весы кухонные VILGRAND VKS-533C Green,379,1847867,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные ViLgrand,vilgrand,Ваги кухонні ViLgrand VKS-533C Green,,299,1,https://comfy.ua/vesy-kuhonnye-vilgrand-vks-533c-green.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
993335441,6745258,VILGRAND,Весы кухонные VILGRAND VKS-517 Yellow,409,1847862,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные ViLgrand,vilgrand,Ваги кухонні ViLgrand VKS-517 Yellow,,329,1,https://comfy.ua/vesy-kuhonnye-vilgrand-vks-517-yellow.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
993335452,,,,,1847859,Техника для кухни >> Мелкая техника,erstech,Ваги кухонні Erstech ЕKS-5181 Black,,435,1,https://comfy.ua/vesy-kuhonnye-erstech-eks-5181-black.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
993335459,6792774,ERSTECH,Весы кухонные ERSTECH ЕKS-5181 Red,299,1847860,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Erstech,erstech,Ваги кухонні Erstech ЕKS-5181 Red,,435,1,https://comfy.ua/vesy-kuhonnye-erstech-eks-5181-red.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
993410212,6855601,BOSCH,Дисковая пила BOSCH GKS 140 (0.601.6B3.020),5640,1845195,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Bosch,bosch,Пила дискова Bosch GKS 140 (0.601.6B3.020),,5639,1,https://comfy.ua/pila-diskovaja-bosch-gks-140-0-601-6b3-020.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
993410216,6726021,EINHELL,Пила торцовочная EINHELL TC-SM 2531/2 U (4300805),10383,1845307,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Einhell,einhell,Пила торцева Einhell TC-SM 2531/2 U (4300805),,10385,1,https://comfy.ua/pila-torcevaja-einhell-tc-sm-2531-2-u-4300805.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
993410220,6855610,BOSCH,Торцовочная пила BOSCH GCM 216 1300 Вт 216 мм (0.601.B33.000),7170,1845197,Инструменты и автотовары >> Электроинструменты >> Пилы дисковые и торцовочные >> Пилы дисковые и торцовочные Bosch,bosch,Пила торцева Bosch GCM 216 (0.601.B33.000),,7169,1,https://comfy.ua/pila-torcevaja-bosch-gcm-216-0-601-b33-000.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
993518836,6721935,HANSA,Плита комбинированная HANSA FCMX69235,19999,1841635,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCMX69235,,19999,1,https://comfy.ua/plita-gazovaja-hansa-fcmx69235.html,22249,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
993521157,,,,,.1849901,Детские товары >> Прогулки и поездки,avova,Вкладиш в автокрісло Avova Sperber-Fix Koala Grey,,725,1,https://comfy.ua/vkladysh-v-avtokreslo-avova-sperber-fix-koala-grey.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
993521996,,,,,.1849900,Детские товары >> Прогулки и поездки,avova,Вкладиш в автокрісло Avova Sperber-Fix Atlantic Blue,,725,1,https://comfy.ua/vkladysh-v-avtokreslo-avova-sperber-fix-atlantic-blue.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
993538578,6739048,RITAR,ИБП RITAR RTP500L-UX-IEC Proxima-L 300W (RTP500L-UX-IEC/06799),1957,1846608,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Ritar",ritar,Джерело безперебійного живлення Ritar Proxima-L 300W (RTP500L-UX-IEC/06799),,2165,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-ritar-proxima-l-300w-rtp500l-ux-iec-06799.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
993538581,6739052,RITAR,ИБП RITAR RTP650L-UX-IEC Proxima-L 390W (RTP650L-UX-IEC/06809),2515,1846610,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Ritar",ritar,Джерело безперебійного живлення Ritar Proxima-L 390W (RTP650L-UX-IEC/06809),,2516,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-ritar-proxima-l-390w-rtp650l-ux-iec-06809.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
993569409,,,,,1846460,"Дом, отдых и зоотовары >> Освещение",taotronics,Настільна лампа TaoTronics TT-DL19 Black,,1999,1,https://comfy.ua/catalog/product/view/id/2836783,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
993610198,6757102,ROTEX,Кофемолка ROTEX RCG210-B,789,1841619,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Rotex,rotex,Кавомолка Rotex RCG210-B,,679,1,https://comfy.ua/kofemolka-rotex-rcg210-b.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
993615813,6902527,BOSCH,Секатор аккумуляторный BOSCH Pro Pruner 12В 2 х 3 Ач 25 мм (0.601.9K1.021),11202,1848461,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Bosch,bosch,Секатор акумуляторний Bosch Pro Pruner (0.601.9K1.021),,11205,1,https://comfy.ua/sekator-akkumuljatornyj-bosch-pro-pruner-0-601-9k1-021.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
993632197,,,,,1846381,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer",gt-racer,Стілець кухоний GT Racer X-D27 Beige,,1299,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d27-beige.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
993632202,,,,,1846384,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer",gt-racer,Стілець кухоний GT Racer X-D27 Velvet Brown,,1299,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d27-velvet-brown.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
993632203,,,,,1846385,Дом и отдых >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer,gt-racer,Стілець кухоний GT Racer X-D27 Velvet Gray,,1299,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d27-velvet-gray.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
993649639,,,,,1846656,Техника для кухни >> Крупная техника,ecg,Плита електрична настільна ECG EV 2512 White,,2185,1,https://comfy.ua/catalog/product/view/id/2847743,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
993664205,6803554,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 500 х 700 мм (FTV220500701R2Z),9901,1844265,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Therm-X2 Profil-V FTV 22 500x700 мм (FTV220500701R2Z),,10025,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-22-500x700-mm-ftv220500701r2z.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
993667584,,,,,.1844226,OUTLET,tucano,Чохол для ноутбуку Tucano Blue (BFC1314-B),,372,1,https://comfy.ua/chehol-dlja-noutbuka-tucano-blue-bfc1314-b.html,799,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
993673466,,,,,.1848322,OUTLET,tucano,Сумка для ноутбуку Tucano Astra 13'' Black (BAST13S-BK),,698,1,https://comfy.ua/sumka-dlja-noutbuka-tucano-astra-13-black-bast13s-bk.html,1499,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
993690066,7088157,DE BUYER,Форма DE BUYER 26 см (4844.26),999,1073420,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко de Buyer,de-buyer,Форма для приготування de Buyer 4844.26,,1245,1,https://comfy.ua/forma-dlja-prigotovlenija-de-buyer-4844-26.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
