773383068,6676681,russell_hobbs,___russell_hobbs_2801056_black,1499,1718328,____________russell_hobbs,russellhobbs,___russell_hobbs_2801056_black,column,1699,1,httpscomfyuamelnicadljaspecijrussellhobbs2801056blackhtml,1999,05112025_1851,column,__42,Фастів,0
773383445,,,,,1687572,Посуда >> Для сервировки,wmf,Набір підставок для склянок WMF 621586030 loft Bar 6,,1899,1,https://comfy.ua/nabor-podstavok-dlja-stakanov-wmf-621586030-loft-bar-6.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
773383497,,,,,1684311,Посуда >> Для напитков,wmf,Набір склянок для віскі WMF 907369990 EASY 6 шт. 300 мл,,2699,1,https://comfy.ua/nabor-stakanov-dlja-viski-wmf-907369990-easy-6-sht-300-ml.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
773383499,,,,,1684310,Посуда >> Для напитков,wmf,Набір склянок WMF 907379990 Easy 6 шт. 350 мл,,2699,1,https://comfy.ua/nabor-stakanov-wmf-907379990-easy-6-sht-350-ml.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
773383501,,,,,1684321,Посуда >> Для напитков,wmf,Набір для напоїв WMF 617709994 BASIC 1 л + 2 склянки 250 мл,,2899,1,https://comfy.ua/nabor-dlja-napitkov-wmf-617709994-basic-1-l-2-stakany-250-ml.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
773389701,,,,,1727762,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Кабель PowerPlant DVI-I (24+5) (M) - VGA (M) 1m (CA911981),,299,1,https://comfy.ua/perehodnik-powerplant-dvi-i-24-5-m-vga-m-1m-ca911981.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
773502478,6660735,PRIME TECHNICS,Стиральная машина PRIME TECHNICS PWF 6109 IB,10797,1732272,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Prime Technics,prime-technics,Пральна машина Prime Technics PWF 6109 IB,,10799,1,https://comfy.ua/stiral-naja-mashina-prime-technics-pwf-6109-ib.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
773502501,6678390,ECG,Пылесос ECG VP 3189 S,4305,1729680,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ECG,ecg,Пилосос для сухого прибирання з мішком ECG VP 3189 S,,4305,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-ecg-vp-3189-s.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
773502504,,,,,1263168,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Scentos,scentos,"Набір маркерів Scentos Набір ароматних маркерів для малювання, 10 кольорів (40720)",,79,1,https://comfy.ua/nabor-markerov-scentos-nabor-aromatnyh-markerov-dlja-risovanija-10-cvetov-40720.html,139,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
773502508,,,,,1730023,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIТ-2430,,549,1,https://comfy.ua/utjug-holmer-hit-2430.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
773502510,6996289,HOLMER,Утюг HOLMER HIТ-2538,709,1730022,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIТ-2538,,659,1,https://comfy.ua/utjug-holmer-hit-2538.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
773502511,6996288,HOLMER,Утюг HOLMER HIT-2425,489,1730021,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIТ-2425,,489,1,https://comfy.ua/utjug-holmer-hit-2425.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
773502513,6996287,HOLMER,Утюг HOLMER HIТ-2535,629,1730020,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIТ-2535,,629,1,https://comfy.ua/utjug-holmer-hit-2535.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
773502514,6996286,HOLMER,Утюг HOLMER HIТ-2640,749,1730019,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIТ-2640,,639,1,https://comfy.ua/utjug-holmer-hit-2640.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
773510869,6375980,SIGIKID,Игрушка SIGIKID 38407SK,1153,1700047,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Мишка в плаття 40 см (38407SK),,1399,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-mishka-v-plat-e-40-sm-38407sk.html,,06.11.2025 1:25,,"вул. Соборна, 42",Фастів,0
773510874,,,,,1700052,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Кролик з брязкальцем 26 см (41419SK),,999,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-krolik-s-pogremushkoj-26-sm-41419sk.html,1442,06.11.2025 1:20,,"вул. Соборна, 42",Фастів,0
773510875,,,,,1700056,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Мишка 32 см (41534SK),,1192,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-myshka-32-sm-41534sk.html,1490,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
773510876,,,,,1700057,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Мишка 23 см (41535SK),,1315,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-myshka-23-sm-41535sk.html,,06.11.2025 1:26,,"вул. Соборна, 42",Фастів,0
773510877,,,,,1700058,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Мишка 15 см (41536SK),,589,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-myshka-15-sm-41536sk.html,,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
773510878,6376002,SIGIKID,Мягкая музыкальная игрушка SIGIKID 38791SK,1219,1700127,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка тварина Sigikid Собачка (38791SK),,1039,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-sobachka-38791sk.html,1489,06.11.2025 1:23,,"вул. Соборна, 42",Фастів,0
773510882,,,,,1700122,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка тварина Sigikid Песик 27 см (38784SK),,1485,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-pesik-27-sm-38784sk.html,,06.11.2025 1:23,,"вул. Соборна, 42",Фастів,0
773510885,6375990,SIGIKID,Игрушка SIGIKID 38686SK,1159,1700107,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка тварина Sigikid Жаба (38686SK),,1409,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-ljagushka-38686sk.html,,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
773510886,6375866,SIGIKID,Погремушка SIGIKID 38681SK,467,1700106,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка тварина Sigikid Жабеня (38681SK),,395,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-ljagushonok-38681sk.html,567,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
773510888,6375983,SIGIKID,Игрушка SIGIKID 38680SK,813,1700105,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка тварина Sigikid Жаба (38680SK),,689,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-ljagushka-38680sk.html,988,06.11.2025 1:29,,"вул. Соборна, 42",Фастів,0
773510890,6376000,SIGIKID,Мягкая игрушка SIGIKID 38766SK,1153,1700114,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка тварина Sigikid Жаба (38766SK),,1399,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-ljagushka-38766sk.html,,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
773510894,6376019,SIGIKID,Мягкая игрушка SIGIKID 38569SK,1259,1700101,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Монстр (38569SK),,1529,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-monstr-38569sk.html,,06.11.2025 1:45,,"вул. Соборна, 42",Фастів,0
773510902,6375979,SIGIKID,Игрушка SIGIKID 48800SK,1033,1700072,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Sigikid,sigikid,М'яка іграшка Sigikid Слоник 22 см (48800SK),,1255,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-slonik-22-sm-48800sk.html,,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
773510903,,,,,1700069,Детские товары >> Игрушки,sigikid,М'яка іграшка Sigikid Овечка 17 см (48165SK),,589,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-ovechka-17-sm-48165sk.html,,06.11.2025 1:29,,"вул. Соборна, 42",Фастів,0
773510904,,,,,.1700070,Детские товары >> Игрушки,sigikid,М'яка іграшка Sigikid Овечка 23 см (41468SK),,1305,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-sigikid-ovechka-23-sm-41468sk.html,,06.11.2025 1:24,,"вул. Соборна, 42",Фастів,0
773515909,,,,,.1731288,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",pipo,Маршрутизатор інтернет WiFi4 PiPo PP323/01733,,499,1,https://comfy.ua/marshrutizator-ethernet-pipo-pp323-01733.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
773601569,6661090,CANYON,Мышь CANYON MW-15 Wireless Gold (CNE-CMSW15GO),329,1729188,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",canyon,Миша бездротова Canyon CNE-CMSW15GO,,329,1,https://comfy.ua/catalog/product/view/id/1857933,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
773601570,6661091,CANYON,Мышь CANYON MW-15 Wireless Pearl White (CNE-CMSW15PW),329,1729189,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",canyon,Миша бездротова Canyon CNE-CMSW15PW,,255,1,https://comfy.ua/catalog/product/view/id/1857963,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
773601709,,,,,1732185,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",hp,Точка доступу HP Aruba On AP17 (R2X11A),,15109,1,https://comfy.ua/tochka-dostupa-hp-aruba-on-ap17-r2x11a.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
773604677,,,,,1728951,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Миша бездротова A4tech Fstyler FG20 (White),,399,1,https://comfy.ua/catalog/product/view/id/1857893,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
773653752,6705113,SWISS DIAMOND,Сковорода Вок с крышкой SWISS DIAMOND XD Induction 28 см Black (XD61128ic),10335,1732394,Посуда >> Для приготовления >> Сковороды >> Сковороды Swiss Diamond,swiss-diamond,Сковорода ВОК Swiss Diamond XD Induction 28 см (XD61128ic),,13780,1,https://comfy.ua/skovoroda-vok-swiss-diamond-xd-induction-28-sm-xd61128ic.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
773692329,,,,,1729179,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Canyon",canyon,Килимок для миші ігровий Canyon CND-CMP10,,649,1,https://comfy.ua/kovrik-dlja-myshi-canyon-cnd-cmp10.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
773692397,,,,,1729191,Смартфоны и телефоны >> Аксессуары для смартфонов,canyon,Бездротовий зарядний пристрій Canyon CNS-WCS302W,,1699,1,https://comfy.ua/catalog/product/view/id/1857953,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
773692399,,,,,1729192,Смартфоны и телефоны >> Аксессуары для смартфонов,canyon,Бездротовий зарядний пристрій Canyon CNS-WCS303B,,1999,1,https://comfy.ua/catalog/product/view/id/1857973,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
773696221,6658567,2E,Гарнитура 2E CH13 Over-Ear USB (2E-CH13SU),399,1723408,"Аудио, фото и видео >> Наушники >> Наушники 2E",2e,Гарнітура дротова 2E 2E-CH13SU,,399,1,https://comfy.ua/garnitura-provodnaja-2e-2e-ch13su.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
773707298,6656684,MODECOM,Гарнитура MODECOM Volcano RGB Prometheus 7.1 Black USB,1688,1725813,"Аудио, фото и видео >> Наушники >> Наушники Modecom",modecom,Гарнітура дротова ігрова Modecom Volcano RGB Prometheus 7.1 Black USB (S-MC-899-PROMETHEUS-100),,1689,1,https://comfy.ua/garnitura-provodnaja-igrovaja-modecom-volcano-rgb-prometheus-7-1-black-usb-s-mc-899-prometheus-100.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
773707306,6656685,MODECOM,Гарнитура MODECOM Volcano RGB Prometheus 7.1 White USB,1637,1725814,"Аудио, фото и видео >> Наушники >> Наушники Modecom",modecom,Гарнітура дротова ігрова Modecom Volcano RGB Prometheus 7.1 White USB (S-MC-899-PROMETHEUS-200),,1639,1,https://comfy.ua/garnitura-provodnaja-igrovaja-modecom-volcano-rgb-prometheus-7-1-white-usb-s-mc-899-prometheus-200.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
773714697,,,,,1729670,Техника для кухни >> Крупная техника,ecg,Мікрохвильова піч (НВЧ) ECG MTM 2070 W,,3799,1,https://comfy.ua/catalog/product/view/id/1863843,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
773715737,6963283,MAXMARK,Термос MAXMARK 460 мл Gold (MK-LK1460GD),332,1730883,Посуда >> Для напитков >> Термопосуда >> Термопосуда Maxmark,maxmark,Термос Maxmark МК-LK1460GD,,499,1,https://comfy.ua/termos-maxmark-mk-lk1460gd.html,999,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
773717806,6963286,MAXMARK,Термос MAXMARK 1 л (MK-SIL1000R),368,1730878,Посуда >> Для напитков >> Термопосуда >> Термопосуда Maxmark,maxmark,Термос Maxmark МК-SIL1000R,,409,1,https://comfy.ua/termos-maxmark-mk-sil1000r.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
773731388,6805226,MAXMARK,Набор ножей MAXMARK 9 пр (MK-K08),1699,1730873,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Maxmark,maxmark,Набір ножів Maxmark MK-K08,,1426,1,https://comfy.ua/nabor-nozhej-maxmark-mk-k08.html,3619,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
773746514,6645373,MAXMARK,Набор ножей MAXMARK 6 пр (MK-K06),1719,1730871,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Maxmark,maxmark,Набір ножів Maxmark MK-K06,,1719,1,https://comfy.ua/nabor-nozhej-maxmark-mk-k06.html,3979,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
