820680670,column,column,column,column,1768145,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,__qbox_a6616,column,43169,1,httpscomfyuasistemnyjblokqboxa6616html,49619,05112025_1940,column,__42,Фастів,0
821220881,6228447,KARCHER,Сменный пистолет KARCHER Good (2.641-959.0),1149,1791118,Техника для дома >> Аксессуары к мелкой технике,karcher,Насадка-пістолет для мінімийки Karcher Good 16MPa/60AC (2.641-959.0),,1149,1,https://comfy.ua/catalog/product/view/id/2288673,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
821397406,,,,,1797992,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,"Картриджі для лазерних принтерів PrintPro Canon 737 MF211/212, HP M125/M126 (PP-C737)",,499,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-printpro-canon-737-mf211-212-hp-m125-m126-pp-c737.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
821487161,,,,,.1745153,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-HR71VF\MUZ-HR71VF,,76169,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-hr71vf-muz-hr71vf.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
821501143,6700816,GRUNHELM,Плита комбинированная GRUNHELM FG5612BR,10099,1789561,Техника для кухни >> Крупная техника >> Плиты >> Плиты Grunhelm,grunhelm,Плита газова Grunhelm FG5612BR,,9615,1,https://comfy.ua/plita-jelektricheskaja-grunhelm-fg5612br.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
821512267,6573467,HANSA,Духовой шкаф Hansa BOES68181,10099,1798883,Техника для кухни >> Крупная техника,hansa,Духова шафа електрична Hansa BOES68181,,10549,1,https://comfy.ua/catalog/product/view/id/2345713,11999,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
821564636,,,,,1790266,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",western-digital,"""Жорсткий диск внутрішній Western Digital Ultrastar DC HC550 18 TB 7200rpm 512MB 3.5"""" SATA III (WUH721818ALE6L4_0F38459)""",,20279,1,https://comfy.ua/catalog/product/view/id/2302763,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
821644339,,,,,1791831,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",asus,USB-адаптер мережі WiFi Asus USB-AC58,,1079,1,https://comfy.ua/catalog/product/view/id/2297023,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
821693532,,,,,1787367,Смарт-часы и гаджеты >> Электротранспорт >> Электровелосипеды >> Электровелосипеды Fiido,fiido,Електровелосипед Fiido D11 Blue,,39999,1,https://comfy.ua/jelektrovelosiped-fiido-d11-blue.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
821694470,,,,,1797507,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Colorway,colorway,Автотримач Colorway Magnetic Metallic Air Vent-1 Black (CW-CHM04-BK),,219,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-colorway-magnetic-metallic-air-vent-1-black-cw-chm04-bk.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
821701670,,,,,1722580,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",rapoo,Маршрутизатор інтернет WiFi4 Rapoo D5,,987,1,https://comfy.ua/marshrutizator-internet-wifi4-rapoo-d5.html,1599,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
821702945,6548021,HANSA,Плита комбинированная HANSA FCMS582258,14999,1788101,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCMS582258,,15499,1,https://comfy.ua/plita-gazovaja-hansa-fcms582258.html,18049,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,1
821702955,6573467,HANSA,Духовой шкаф Hansa BOES68181,10099,1798883,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Hansa,hansa,Духова шафа електрична Hansa BOES68181,,10549,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-hansa-boes68181.html,11999,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
821702968,6736098,TEKA,Варочная поверхность TEKA IRF 9480 TFT,59999,1798797,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Teka,teka,Варильна поверхня електрична Teka IRF 9480 TFT,,59999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-teka-irf-9480-tft.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
821703014,,,,,1800480,Детские товары >> Кормление >> Поильники >> Поильники Janod,janod,Пляшка для води дитяча Janod Пава (J03290-3),,195,1,https://comfy.ua/butylka-dlja-vody-detskaja-janod-pava-j03290-3.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
821703154,,,,,.1783140,Телевизоры и мультимедиа >> Телевизоры,loewe,Телевізор LOEWE bild v.55 dr+,,139989,1,https://comfy.ua/televizor-loewe-bild-v-55-dr.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
821703155,6892164,HANSA,Плита комбинированная HANSA FCMX58253,17699,1797159,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCMX 58253,,17699,1,https://comfy.ua/plita-jelektricheskaja-hansa-fcmx-58253.html,18649,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
821835160,6700787,VINZER,Нож филейный VINZER Professional 15 см (50265),435,1799627,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж обвалочний Vinzer 15.2 см (50265),,384,1,https://comfy.ua/nozh-obvalochnyj-vinzer-15-2-sm-50265.html,480,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
821835160,7058896,VINZER,Нож филейный VINZER Professional Line 13.8 см (50265),480,1799627,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж обвалочний Vinzer 15.2 см (50265),,384,1,https://comfy.ua/nozh-obvalochnyj-vinzer-15-2-sm-50265.html,480,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
821835161,6700786,VINZER,Нож филейный VINZER Professional 17.5 см (50264),489,1799625,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж обвалочний Vinzer 17.8 см (50264),,432,1,https://comfy.ua/nozh-obvalochnyj-vinzer-17-8-sm-50264.html,540,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
821835161,7058886,VINZER,Нож обвалочный VINZER Professional Line 17 см (50264),540,1799625,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж обвалочний Vinzer 17.8 см (50264),,432,1,https://comfy.ua/nozh-obvalochnyj-vinzer-17-8-sm-50264.html,540,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
821835244,6700783,VINZER,Нож филейный VINZER Professional 20 см (50261),625,1799621,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж для м'яса Vinzer 19.6 см (50261),,552,1,https://comfy.ua/nozh-dlja-mjasa-vinzer-20-3-sm-50261.html,690,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
821835244,7058884,VINZER,"Нож для мяса VINZER Professional Line 19,6 см (50261)",690,1799621,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж для м'яса Vinzer 19.6 см (50261),,552,1,https://comfy.ua/nozh-dlja-mjasa-vinzer-20-3-sm-50261.html,690,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
821835246,7058691,VINZER,"Нож разделочный VINZER Professional Line 18,5 см (50260)",632,1799620,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж для м'яса Vinzer 20.3 см (50260),,632,1,https://comfy.ua/nozh-dlja-mjasa-vinzer-20-3-sm-50260.html,790,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
821854189,6812206,RUSSELL HOBBS,Рисоварка RUSSELL HOBBS Medium 27030-56,1768,1800872,Техника для кухни >> Мелкая техника,russell-hobbs,Мультиварка Russell Hobbs Medium 27030-56,,2099,1,https://comfy.ua/catalog/product/view/id/2355423,2129,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
