1645896742,column,column,column,column,2791375,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,____gelius_odyssey_gpwch010_15w_black,column,1999,1,httpscomfyuaderzhateldljamobilnogoustrojstvageliusodysseygpwch01015wblackhtml,column,05112025_1722,column,__42,Фастів,0
1645898709,,,,,.2789190,Техника для кухни >> Мир кофе,gaggia,Кавоварка ріжкова Gaggia EG2115/01 Espresso Evolution Black,,9999,1,https://comfy.ua/kofevarka-rozhkovaja-gaggia-eg2115-01-espresso-evolution-black.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1645901326,6935186,BRAUN,Гриль BRAUN MultiGrill 7 CG7040,6999,2764045,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Braun,braun,Гриль-барбекю електричний Braun CG7040,,6999,1,https://comfy.ua/gril-barbekju-jelektricheskij-braun-cg7040.html,10099,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1645901332,6935187,BRAUN,Гриль BRAUN MultiGrill 7 CG7044 (0X17900002),8699,2764046,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Braun,braun,Гриль-барбекю електричний Braun CG7044,,8699,1,https://comfy.ua/gril-barbekju-jelektricheskij-braun-cg7044.html,12099,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1645904437,,,,,2801614,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",msi,Монітор ігровий MSI G24C6 E2,,4899,1,https://comfy.ua/monitor-igrovoj-msi-g24c6-e2.html,6199,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1645906119,,,,,2784933,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Ajax",ajax,Бездротовий датчик температури Ajax FireProtect 2 SB Heat CO (000035055),,3999,1,https://comfy.ua/besprovodnoj-datchik-temperatury-ajax-fireprotect-2-sb-heat-co-000035055.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1645906404,,,,,2789149,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Захисне скло для смартфону MAKE FCFG Xiaomi Redmi 13C/Poco C65 (MGF-XR13C/PC65),,149,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-make-fcfg-xiaomi-redmi-13c-poco-c65-mgf-xr13c-pc65.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1645906509,,,,,.2708573,Инструменты и автотовары >> Ручные инструменты,milwaukee,Полотно Milwaukee TC GRIT 150 мм 3 шт. (48001420),,589,1,https://comfy.ua/polotno-milwaukee-tc-grit-150-mm-3-sht-48001420.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
1645906510,,,,,.2693341,Инструменты и автотовары >> Ручные инструменты,milwaukee,Полотно Milwaukee 240 мм 3 шт. (48001077),,619,1,https://comfy.ua/polotno-milwaukee-240-mm-3-sht-48001077.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
1645907171,,,,,.2717735,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Doogee X95 Paper pack (1283126540561),,159,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-doogee-x95-paper-pack-1283126540561.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1645907172,,,,,.2717740,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Tecno Camon 16 Paper pack (1283126539541),,159,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-tecno-camon-16-paper-pack-1283126539541.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1645907370,,,,,.2765760,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for VIVO Y15/ Y17/ Y3 Paper pack (1283126535734),,149,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-vivo-y15-y17-y3-paper-pack-1283126535734.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1645907716,,,,,.2763752,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Full Glue HD for Xiaomi Redmi A1 / A1+ / Poco C50 Black (ARM64873),,99,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-full-glue-hd-for-xiaomi-redmi-a1-a1-poco-c50-black-arm64873.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1645910089,,,,,.2600917,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA OnePlus Nord 2 CE матова (DV-OP-NRD2ceU),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-oneplus-nord-2-ce-matovaja-dv-op-nrd2ceu.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1645910821,,,,,.2741562,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Infinix Note 30 VIP (ARM70645),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-infinix-note-30-vip-arm70645.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1645911160,,,,,.2797627,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung S23 FE матова (DV-SM-AS23FEM),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-s23-fe-matovaja-dv-sm-as23fem.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1645911162,,,,,.2797625,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung Galaxy A05 матова (DV-SM-A05M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-galaxy-a05-matovaja-dv-sm-a05m.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1645911163,,,,,.2797623,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung Galaxy A05 (DV-SM-A05),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-galaxy-a05-dv-sm-a05.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1645911165,,,,,.2797431,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Oppo A38 матова (DV-OPP-A38M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-oppo-a38-matovaja-dv-opp-a38m.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1645911166,,,,,.2797420,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Motorola G14 матова (DV-MOT- G14M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-motorola-g14-matovaja-dv-mot-g14m.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1645911168,,,,,.2797425,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Nokia G42 (DV-NK-G42),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-nokia-g42-dv-nk-g42.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1645911169,,,,,.2797418,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Motorola G14 (DV-MOT- G14),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-motorola-g14-dv-mot-g14.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1645911198,,,,,.2797433,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Realme C53 (DV-RLM-C53),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-realme-c53-dv-rlm-c53.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1645911199,,,,,.2797422,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Moto G84 (DV-MOT-G84),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-moto-g84-dv-mot-g84.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1645911202,,,,,.2797424,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Moto G84 матова (DV-MOT-G84M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-moto-g84-matovaja-dv-mot-g84m.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1645911351,,,,,.2523934,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Meizu M6T (ARM58354),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-meizu-m6t-arm58354.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1645913152,,,,,.2571471,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Realme 10 Pro+ 5G (ARM66402),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-realme-10-pro-5g-arm66402.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1645913153,,,,,.2585881,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Infinix Note 10 Pro (ARM62279),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-infinix-note-10-pro-arm62279.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1645913155,,,,,.2585730,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for TECNO Spark Go 2022 (KG5) (ARM63680),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-tecno-spark-go-2022-kg5-arm63680.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1645913162,,,,,.2585721,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Tecno Camon 20 4G (ARM69128),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-tecno-camon-20-4g-arm69128.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1645913167,,,,,.2588523,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Motorola Edge 30 Pro (ARM61319),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-motorola-edge-30-pro-arm61319.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1645915252,,,,,.2600915,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA OnePlus Nord 2 CE двухстороння (DV-OP-NRD2ceFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-oneplus-nord-2-ce-dvuhstoronnjaja-dv-op-nrd2cefb.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1645915254,,,,,.2602233,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Realme GT2 Pro двухстороння (DV-RLM-GT2ProFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-realme-gt2-pro-dvuhstoronnjaja-dv-rlm-gt2profb.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1645916485,,,,,.2717739,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфону Piko Full Glue for Tecno Camon 16 (1283126511097),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-tecno-camon-16-1283126511097.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1645916489,,,,,.2797441,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Xiaomi 13T двостороння (DV-XM-13TFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-xiaomi-13t-dvohstoronnjaja-dv-xm-13tfb.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1645916492,,,,,.2797624,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung Galaxy A05 двостороння (DV-SM-A05FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-samsung-galaxy-a05-dvustoronnjaja-dv-sm-a05fb.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1645916495,,,,,.2797423,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Moto G84 двостороння (DV-MOT-G84FB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-moto-g84-dvohstoronnjaja-dv-mot-g84fb.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1645916717,,,,,.2563025,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart Clear + Matte for Samsung S23 Plus 5G (ARM66863),,299,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-clear-matte-for-samsung-s23-plus-5g-arm66863.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1645916718,,,,,.2563026,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart Clear + Matte for Samsung S23 Ultra 5G (ARM66864),,299,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-clear-matte-for-samsung-s23-ultra-5g-arm66864.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1645916719,,,,,.2563022,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Clear + Matte for Samsung S22 Ultra 5G (ARM66861),,299,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-clear-matte-for-samsung-s22-ultra-5g-arm66861.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1645918691,,,,,.2765763,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo Full Glue для Tecno Spark 8T (1283126542275),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-full-glue-dlja-tecno-spark-8t-1283126542275.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1645918946,,,,,.2588519,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Motorola Edge 20 (ARM61234),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-motorola-edge-20-arm61234.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1645918948,,,,,.2588520,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Motorola Edge 20 lite (ARM61235),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-motorola-edge-20-lite-arm61235.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1645919072,,,,,.2775132,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Oukitel OKT3 (ARM73624),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-oukitel-okt3-arm73624.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
1645919073,,,,,.2775133,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Oukitel OKT3 (ARM73625),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-oukitel-okt3-arm73625.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
1645919074,,,,,.2765766,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",acclab,"""Захисне скло для планшета ACCLAB Full Glue for Xiaomi PAD 5 11"""" (1283126575587)""",,349,1,https://comfy.ua/zaschitnoe-steklo-dlja-plansheta-acclab-full-glue-for-xiaomi-pad-5-11-1283126575587.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1645921796,6949680,KISONLI,Колонки KISONLI T-004/23418 Black,297,2220459,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Kisonli",kisonli,Комп'ютерна акустика звичайна 2.0 Kisonli T-004/23418 Black,,329,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-kisonli-t-004-23418-black.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
