1392170553,column,column,column,column,2094533,____________lionelo,lionelo,____lionelo_zanna_pink_bubblegum,column,5299,1,httpscomfyuastulchikdljakormlenijaklassicheskijlionelozannapinkbubblegumhtml,column,05112025_2105,column,__42,Фастів,0
1392574620,6825583,PERFELLI,Вытяжка PERFELLI K 6402 WH 850 LED,3699,1987811,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli K 6402 WH 850 LED,,3699,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-k-6402-wh-850-led.html,4399,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1392574621,6893167,PERFELLI,Вытяжка PERFELLI K 6402 BL 850 LED,3699,1987810,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli K 6402 BL 850 LED,,3699,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-k-6402-bl-850-led.html,4399,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1392574622,,,,,2094542,Техника для кухни >> Крупная техника,minola,Витяжка вбудована Minola HBI 52621 WH GLASS 700 LED,,3125,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-52621-wh-glass-700-led.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1392574623,,,,,2094541,Техника для кухни >> Крупная техника,minola,Витяжка вбудована Minola HBI 52621 BL GLASS 700 LED,,3599,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-52621-bl-glass-700-led.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1392574624,7170385,PERFELLI,Вытяжка PERFELLI DNS 6482 D 850 WH LED,4999,2094261,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 6482 D 850 WH LED,,4999,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-6482-d-850-wh-led.html,6499,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1392574627,6825582,PERFELLI,Вытяжка PERFELLI K 6402 SG 850 LED,3699,1988515,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli K 6402 SG 850 LED,,3699,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-k-6402-sg-850-led.html,4399,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1392574628,7170384,PERFELLI,Вытяжка PERFELLI DNS 6482 D 850 BL LED,4899,2094260,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli DNS 6482 D 850 BL LED,,4899,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dns-6482-d-850-bl-led.html,6299,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1392574688,,,,,2086883,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Peg-Perego,peg-perego,Автокрісло Peg-Perego Primo Viaggio Lounge Black Shine (IMLO000000DX13),,8559,1,https://comfy.ua/avtokreslo-peg-perego-primo-viaggio-lounge-black-shine-imlo000000dx13.html,11799,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1392575031,6815979,SENCOR,Электрочайник SENCOR SWK 2190WH,1499,2102823,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Sencor,sencor,Електричний чайник Sencor SWK 2190WH,,1499,1,https://comfy.ua/jelektricheskij-chajnik-sencor-swk-2190wh.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1392575909,6725356,JVC,Автомобильная акустика JVC CS-DR1720,1859,1806645,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика JVC,jvc,Автоакустика JVC CS-DR1720,,1859,1,https://comfy.ua/avtoakustika-jvc-cs-dr1720.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
