1395576083,column,column,column,column,2082114,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,__cobra_gaming_a3616h1s235f7916,column,29579,1,httpscomfyuasistemnyjblokcobragaminga3616h1s235f7916html,33999,05112025_1759,column,__42,Фастів,0
1395576093,,,,,.2082124,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H2S2.35.F7926),,31493,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h2s2-35-f7926.html,36199,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1395576094,,,,,.2082125,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H2S2.35.F7927W),,36974,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h2s2-35-f7927w.html,42499,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1395576096,,,,,.2082127,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H2S5.35.F7929W),,36278,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h2s5-35-f7929w.html,41699,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1395576097,,,,,.2082128,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H2S5.35.F7930),,32189,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h2s5-35-f7930.html,36999,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1395576098,,,,,.2082129,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H2S5.35.F7931W),,37670,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h2s5-35-f7931w.html,43299,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1395576100,,,,,.2082131,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.S5.35.F7933W),,33233,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-s5-35-f7933w.html,38199,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1395576101,,,,,.2082132,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S5.35.F7934),,29144,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s5-35-f7934.html,33499,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1395576102,,,,,.2082133,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S5.35.F7935W),,34712,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s5-35-f7935w.html,39899,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1395576103,,,,,.2082134,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.S10.35.F7936),,29057,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-s10-35-f7936.html,33399,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1395576104,,,,,.2082135,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.S10.35.F7937W),,34625,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-s10-35-f7937w.html,39799,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1395576105,,,,,.2082136,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S10.35.F7938),,30536,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s10-35-f7938.html,35099,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1395576106,,,,,.2082137,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S10.35.F7939W),,36104,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s10-35-f7939w.html,41499,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1395576107,,,,,.2082138,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.S20.35.F7940),,31667,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-s20-35-f7940.html,36399,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1395576108,,,,,.2082139,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.S20.35.F7941W),,37235,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-s20-35-f7941w.html,42799,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1395576109,,,,,.2082140,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S20.35.F7942),,33146,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s20-35-f7942.html,38099,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1395576110,,,,,.2082141,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S20.35.F7943W),,38627,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s20-35-f7943w.html,44399,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1395576558,,,,,2082481,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.S10.37T.F7966),,58846,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-s10-37t-f7966.html,71199,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1395608205,,,,,.2102134,Детские товары >> Игрушки,engino,Пластиковий конструктор Engino Stem Як працює гідравліка? (STL24),,1049,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-kak-rabotaet-gidravlika-stl24.html,,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
1395608206,,,,,.2102132,Детские товары >> Игрушки,engino,Пластиковий конструктор Engino Stem Як працює сонячна енергія (STL20-EN),,1049,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-kak-rabotaet-solnechnaja-jenergija-stl20-en.html,,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
1395608207,,,,,2102136,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Engino,engino,Пластиковий конструктор Engino Stem Як працює інерція (STL26),,1049,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-kak-rabotaet-inercija-stl26.html,,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
1395608209,,,,,2102133,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Engino,engino,Пластиковий конструктор Engino Stem Як працює теплиця (STL23),,1049,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-kak-rabotaet-teplica-stl23.html,,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
1395608210,,,,,.2102137,Детские товары >> Игрушки,engino,Пластиковий конструктор Engino Stem Мікробіологія (STL27),,1049,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-mikrobiologija-stl27.html,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
1395608211,,,,,2102135,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Engino,engino,Пластиковий конструктор Engino Stem Як працює морське судно (STL25),,1049,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-kak-rabotaet-morskoe-sudno-stl25.html,,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
1395609472,,,,,.2102120,Детские товары >> Игрушки,engino,"Пластиковий конструктор Engino Stem Механіка: Колеса, осі та похилі площини (STEM02)",,1469,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-mehanika-kolesa-osi-i-naklonnye-ploskosti-stem02.html,,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
1395609476,,,,,2102119,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Engino,engino,Пластиковий конструктор Engino Stem Механіка: Важелі і Зчеплення (STEM01),,1469,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-mehanika-rychagi-i-sceplenie-stem01.html,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
1395609479,,,,,2102118,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Engino,engino,Пластиковий конструктор Engino Qboidz Фермерський трактор з 10 бонусними моделями (QB50),,1889,1,https://comfy.ua/plastikovyj-konstruktor-engino-boidz-fermerskij-traktor-s-10-bonusnymi-modeljami-qb50.html,,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
1395609485,,,,,2102128,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Engino,engino,Пластиковий конструктор Engino Stem Ботанічна лабораторія (міні теплиця) (STEM47),,3359,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-botanicheskaja-laboratorija-mini-teplica-stem47.html,,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
1395609487,,,,,.2102114,Детские товары >> Игрушки,engino,Пластиковий конструктор Engino Ginobot- додатки до мехатроніки (E52-1),,4535,1,https://comfy.ua/plastikovyj-konstruktor-engino-ginobot-prilozhenija-k-mehatronike-e52-1.html,,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
1395609490,,,,,.2102110,Детские товары >> Игрушки,engino,Пластиковий конструктор Engino Stem& Robotics Mini Set v2 (E20),,19599,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-robotics-mini-set-v2-e20.html,,06.11.2025 0:25,,"вул. Соборна, 42",Фастів,0
1395609491,,,,,2102113,Comfy KIDS >> Игрушки >> Конструкторы >> Конструкторы Engino,engino,"Пластиковий конструктор Engino Ginobot – робот, преміум (E51-1)",,10079,1,https://comfy.ua/plastikovyj-konstruktor-engino-ginobot-robot-premium-e51-1.html,,05.11.2025 23:51,,"вул. Соборна, 42",Фастів,0
1395609493,,,,,.2102112,Детские товары >> Игрушки,engino,Електронний конструктор Engino Stem& Robotics Produino Set v2 (E40),,37469,1,https://comfy.ua/plastikovyj-konstruktor-engino-stem-robotics-produino-set-v2-e40.html,,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0
1395624195,,,,,2049521,Техника для кухни >> Крупная техника,vestfrost,Холодильник Vestfrost CNF289XB,,16999,1,https://comfy.ua/holodil-nik-vestfrost-cnf289xb.html,18999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,1
1395632458,,,,,.2109449,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Корпус Chieftec ATX без БЖ Black (GS-01B-OP),,2969,1,https://comfy.ua/korpus-chieftec-atx-bez-bp-black-gs-01b-op.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1395636462,6814750,ROWENTA,Выпрямитель ROWENTA SF161LF0,999,2106263,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Rowenta,rowenta,Вирівнювач волосся Rowenta SF161LF0,,999,1,https://comfy.ua/vyprjamitel-volos-rowenta-sf161lf0.html,1199,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1395813829,6863288,ARDESTO,Плитка ARDESTO ECS-J220G,849,2107759,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Ardesto,ardesto,Плита електрична настільна Ardesto ECS-J220G,,849,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-ardesto-ecs-j220g.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1395813830,6863289,ARDESTO,Плитка ARDESTO ECS-J225W,949,2107760,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Ardesto,ardesto,Плита електрична настільна Ardesto ECS-J225W,,949,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-ardesto-ecs-j225w.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1395904508,6861600,ESPERANZA,Мясорубка ESPERANZA EKM031,1899,2106652,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Esperanza,esperanza,М'ясорубка Esperanza EKM031,,1899,1,https://comfy.ua/mjasorubka-esperanza-ekm031.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1395904532,6814742,ROWENTA,Фен ROWENTA CV581LF0,899,2103815,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rowenta,rowenta,Фен Rowenta CV581LF0,,899,1,https://comfy.ua/fen-rowenta-cv581lf0.html,1199,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,3
1395904533,6814745,ROWENTA,Фен ROWENTA CV888LF0,2099,2052119,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rowenta,rowenta,Фен Rowenta CV888LF0,,2099,1,https://comfy.ua/fen-rowenta-cv888lf0.html,2599,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,2
1396084561,6816257,SAMSUNG,Смартфон SAMSUNG Galaxy S21 FE 8/256 Gb Dual Sim Gray (SM-G990BZAWSEK),19999,2113762,Смартфоны и телефоны >> Смартфоны >> Смартфоны Samsung >> Серия Samsung Galaxy S21FE,samsung,Смартфон Samsung Galaxy S21FE 8/256Gb Gray (SM-G990BZAWSEK),,19999,1,https://comfy.ua/smartfon-samsung-galaxy-s21fe-8-256gb-gray-sm-g990bzawsek.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1396115665,,,,,2108245,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fsp,Блок живлення для ПК FSP Hydro G PRO 1000W (HG2-1000),,7999,1,https://comfy.ua/blok-pitanija-dlja-pk-fsp-hydro-g-pro-1000w-hg2-1000.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1396115668,,,,,.2108254,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fsp,Блок живлення для ПК FSP Hydro PTM PRO 650W (HPT2-650M),,5209,1,https://comfy.ua/blok-pitanija-dlja-pk-fsp-hydro-ptm-pro-650w-hpt2-650m.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1396115672,,,,,.2109436,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec PPS-550FC,,4169,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-pps-550fc.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1396115674,,,,,.2109460,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Блок живлення для ПК Xilence XP1250MR9,,7299,1,https://comfy.ua/blok-pitanija-dlja-pk-xilence-xp1250mr9.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1396115675,,,,,.2108243,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fsp,Блок живлення для ПК FSP FSP1200-50AAG,,6629,1,https://comfy.ua/blok-pitanija-dlja-pk-fsp-fsp1200-50aag.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1396115678,,,,,.2109440,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Блок живлення для ПК Chieftec GPX-650FC,,4249,1,https://comfy.ua/blok-pitanija-dlja-pk-chieftec-gpx-650fc.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
