1418674116,column,column,column,column,2174840,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",orico,_usb_orico_typec_usb30_3xusb_20_ah13gybp,column,439,1,httpscomfyuahabusboricotypecusb303xusb20ah13gybphtml,column,05112025_1755,column,__42,Фастів,0
1419324717,6963973,SENCOR,Пылесос SENCOR SVC190W,1099,2146393,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Sencor,sencor,Пилосос ручний для дому Sencor SVC190W,,869,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-sencor-svc190w.html,1025,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1419324810,,,,,1783756,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Kenwood,kenwood,Насадка для кухонних машин Kenwood KAX92.A0ME Pasta Shaper,,5699,1,https://comfy.ua/nasadka-dlja-kuhonnoj-mashiny-kenwood-kax92-a0me-pasta-shaper.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1419324973,6871627,GRAPHITE,"Круг лепестковый GRAPHITE 125x22.2 мм, K80 (55H989)",53,2173235,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски GRAPHITE,graphite,Круг шліфувальний GRAPHITE K80 125x22.2 мм (55H989),,99,1,https://comfy.ua/krug-shlifoval-nyj-graphite-k80-125x22-2-mm-55h989.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
1419325300,,,,,.2150786,Инструменты и автотовары >> Расходные материалы,haisser,Круг відрізний по металу Haisser 305х3.0х32 мм (4111713),,159,1,https://comfy.ua/krug-otreznoj-po-metallu-haisser-305h3-0h32-mm-4111713.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
1419325305,,,,,.2147169,Инструменты и автотовары >> Расходные материалы,haisser,Круг відрізний по металу Haisser 230х6.3х22.2 (4112702),,179,1,https://comfy.ua/krug-otreznoj-po-metallu-haisser-230h6-3h22-2-4112702.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1419327333,,,,,2172114,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники MAKE",make,Кабель синхронізації даних MAKE Type-C to Type-C PD 1м Denim Grey (MCB-CD8GR),,329,1,https://comfy.ua/kabel-sinhronizacii-dannyh-make-type-c-to-type-c-pd-1m-denim-grey-mcb-cd8gr.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,2
1419555588,6821893,APPLE,Гарнитура AirPods Pro 2nd generation,11499,1659050,"Аудио, фото и видео >> Наушники >> Наушники Apple",apple,Навушники вкладиші бездротові TWS Apple AirPods pro 2nd Gen (MQD83TY/A),,10499,1,https://comfy.ua/naushniki-vkladyshy-besprovodnye-tws-apple-airpods-pro-2nd-gen.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1419556424,6774238,SIMFER,Варочная поверхность SIMFER H60V41M516,6499,2177415,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Simfer,simfer,Варильна поверхня газова Simfer H60V41M516,,6499,1,https://comfy.ua/varochnaja-panel-gazovaja-simfer-h60v41m516.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1419557944,,,,,2177453,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Apple,apple,Чохол для смартфону Apple iPhone 14 Silicone Case with MagSafe - PRODUCTRED (MPRW3),,2799,1,https://comfy.ua/chehol-dlja-smartfona-apple-iphone-14-silicone-case-with-magsafe-productred-mprw3.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1419557967,,,,,2173014,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Apple,apple,Чохол для смартфону Apple iPhone 14 Silicone Case with MagSafe - Lilac (MPRY3),,2499,1,https://comfy.ua/chehol-dlja-smartfona-apple-iphone-14-silicone-case-with-magsafe-lilac-mpry3.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1419558198,,,,,2172393,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов Apple,apple,Чохол для смартфону Apple iPhone 14 Leather Case with MagSafe - Midnight (MPP43),,2499,1,https://comfy.ua/chehol-dlja-smartfona-apple-iphone-14-leather-case-with-magsafe-midnight-mpp43.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1419792364,6855628,EINHELL,"Садовый измельчитель EINHELL GC-KS 2540 CB, 2000 Вт, ножі, 40мм, бак 55л",8124,1994504,Инструменты и автотовары >> Садовые инструменты >> Измельчители ветвей >> Измельчители ветвей Einhell,einhell,Подрiбнювач садовий Einhell GC-KS 2540 CB (3430400),,8125,1,https://comfy.ua/izmel-chitel-sadovyj-einhell-gc-ks-2540-cb-3430400.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1419915168,,,,,2177322,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,msi,Геймпад MSI Force GC20 V2 White (S10-04G0020-EC4),,1499,1,https://comfy.ua/gejmpad-msi-force-gc20-v2-white-s10-04g0020-ec4.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1420098675,,,,,2155118,"Аудио, фото и видео >> Аксессуары для фото, видео",raver-by-emos,"Аккумулятор тип AAA RAVER by EMOS B7414 (АAA) HR03,NiMH, 400mAh, блістер 2шт.",,219,1,https://comfy.ua/akkumuljator-tip-aaa-emos-raver-ni-mh-aaa-hr03-400mah-bl-2-sht-b7414.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1420098676,,,,,.2149529,"Аудио, фото и видео >> Аксессуары для фото, видео",pkcell,Акумулятор тип AA PKCELL Ni-MH AA/HR06 600 mAh BL 2 шт. (PC/AA600-2BA/09320),,99,1,https://comfy.ua/akkumuljator-tip-aa-pkcell-ni-mh-aa-hr06-600-mah-bl-2-sht-pc-aa600-2ba-09320.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1420099055,6819113,ENCHEN,Ирригатор ENCHEN Mint 3,999,2148220,Красота и здоровье >> Уход за полостью рта >> Ирригаторы и насадки >> Ирригаторы и насадки Enchen,enchen,Іригатор Enchen Mint3,,699,1,https://comfy.ua/irrigator-enchen-mint3.html,1199,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1420101037,,,,,2162332,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi CabrioFix i-Size Essential Graphite,,7560,1,https://comfy.ua/avtokreslo-maxi-cosi-cabriofix-i-size-essential-graphite.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1420101038,,,,,2162333,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi CabrioFix i-Size Essential Green,,7560,1,https://comfy.ua/avtokreslo-maxi-cosi-cabriofix-i-size-essential-green.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1420102072,,,,,2172376,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Nuvita",nuvita,Набір дитячого манікюрного приладдя Nuvita безпечні ножиці з акс. зелений (NV1138COOLGREEN),,199,1,https://comfy.ua/nabor-detskih-manikjurnyh-prinadlezhnostej-nuvita-bezopasnye-nozhnichki-s-aks-zelenyj-nv1138coolgreen.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1420102110,,,,,2154208,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Vega,vega,Зубна щітка електрична Vega VK-400B,,509,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-vega-vk-400b.html,589,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1420102111,,,,,2154715,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Vega,vega,Зубна щітка електрична Vega VK-400P,,509,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-vega-vk-400p.html,589,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1420102362,,,,,1986065,Игровые консоли и гейминг >> Комплектующие для игровых ПК,team,Память DDR Team 16GB/3200 Elite (TED416G3200C2201),,3485,1,https://comfy.ua/pamjat-ddr-team-16gb-3200-elite-ted416g3200c2201.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1420103550,6684992,TEFAL,Весы напольные TEFAL PP1401V0,799,2138206,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Tefal,tefal,Ваги підлогові Tefal PP1401V0,,799,1,https://comfy.ua/vesy-napol-nye-tefal-pp1401v0.html,1199,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,1
1420104132,,,,,2166316,Детские товары >> Игрушки >> Пазлы >> Пазлы Djeco,djeco,Пазли (3-4 роки) Djeco Тріо «Історії» (DJ08117),,449,1,https://comfy.ua/pazly-kartonnye-3-4-goda-djeco-trio-istorii-dj08117.html,,06.11.2025 1:43,,"вул. Соборна, 42",Фастів,0
1420134781,,,,,1999528,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник аудіо PowerPlant 6.35 мм (M)-3.5 мм (F) (CA913190),,59,1,https://comfy.ua/perehodnik-audio-powerplant-6-35-mm-m-3-5-mm-f-ca913190.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1420135108,,,,,2155121,"Аудио, фото и видео >> Аксессуары для фото, видео",powerplant,З/пристрій для акумуляторів AA/AAA PowerPlant Dual Sony NP-F970 (CH980222),,1099,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-powerplant-dual-sony-np-f970-ch980222.html,2199,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1420140547,,,,,2150726,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов MAKE,make,Мережевий зарядний пристрій MAKE 45W PD+QC White (MCW-325PWH),,749,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-make-45w-pd-qc-white-mcw-325pwh.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
