752437553,6425984,lori,_lori_____lo31060z,214,1692946,____________lori,lori,_lori_____15__lo31060z,column,215,1,httpscomfyuaminikuklalorimarijaikoshkamoka15smlo31060zhtml,column,05112025_2043,column,__42,Фастів,0
752437600,6611110,DRIVEN,Машинка Driven Micro Трактор (WH1071Z),261,1700186,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Driven,driven,Наземна спецтехніка Driven Micro Трактор (WH1071Z),,289,1,https://comfy.ua/nazemnaja-spectehnika-driven-micro-traktor-wh1071z.html,559,05.11.2025 23:48,,"вул. Соборна, 42",Фастів,0
752437605,,,,,1702963,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Торговий Центр (WZ6617Z),,2799,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-torgovyj-centr-wz6617z.html,4879,06.11.2025 1:43,,"вул. Соборна, 42",Фастів,0
752437607,,,,,1702961,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Вітальня. Кейс Блакитний з аксесуарами (WZ6599Z),,1129,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-gostinaja-kejs-goluboj-s-aksessuarami-wz6599z.html,,06.11.2025 1:35,,"вул. Соборна, 42",Фастів,0
752437608,6611184,GOKI,Набор для кукол GOKI Мебель для спальни (51745G),700,1700792,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол goki",goki,Меблі і будиночки для ляльки goki Меблі для спальні (51745G),,739,1,https://comfy.ua/mebel-i-domiki-dlja-mini-kukly-goki-mebel-dlja-spal-ni-51745g.html,,06.11.2025 0:06,,"вул. Соборна, 42",Фастів,0
752437615,,,,,1702960,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Спальня. Кейс Фіолетовий з аксесуарами (WZ6598Z),,669,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-spal-nja-kejs-fioletovyj-s-aksessuarami-wz6598z.html,949,06.11.2025 1:46,,"вул. Соборна, 42",Фастів,0
752437624,6611165,GOKI,Игровой набор GOKI Кукольный домик-конструктор (51737G),2198,1700790,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол goki",goki,Меблі і будиночки для ляльки goki Конструктор (51737G),,2329,1,https://comfy.ua/mebel-i-domiki-dlja-mini-kukly-goki-konstruktor-51737g.html,,06.11.2025 0:06,,"вул. Соборна, 42",Фастів,0
752437626,6611846,OUR GENERATION,Кукла Our Generation Хоуп 46 см (BD31085Z),1486,.1692737,Детские товары >> Игрушки,our-generation,Лялька Our Generation Хоуп 46 см (BD31085Z),,1469,1,https://comfy.ua/kukla-klassicheskaja-our-generation-houp-46-sm-bd31085z.html,1999,06.11.2025 1:07,,"вул. Соборна, 42",Фастів,0
752437632,6611542,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Школьные аксессуары (WZ6540Z),451,1702952,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Шкільні Аксесуари (WZ6540Z),,569,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-shkol-nye-aksessuary-wz6540z.html,799,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
752437634,6611595,LORI,Кукла LORI Наездница Тиган 15 см (LO31031Z),174,1692922,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы LORI,lori,Лялька Lori Наїзниця Тіган 15 см (LO31031Z),,175,1,https://comfy.ua/mini-kukla-lori-naezdnica-tigan-15-sm-lo31031z.html,,06.11.2025 0:37,,"вул. Соборна, 42",Фастів,0
752437637,6611175,GOKI,Набор для кукол GOKI Мебель для детской комнаты (51719G),400,1700783,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол goki",goki,Меблі і будиночки для ляльки goki Меблі для дитячої кімнати (51719G),,425,1,https://comfy.ua/mebel-i-domiki-dlja-klassicheskoj-kukly-goki-mebel-dlja-detskoj-komnaty-51719g.html,,05.11.2025 23:56,,"вул. Соборна, 42",Фастів,0
752437641,6611530,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Кемпер голубой (6486Z),2145,1702951,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Кемпер Блакитний (6486Z),,2899,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-kemper-goluboj-6486z.html,,05.11.2025 23:53,,"вул. Соборна, 42",Фастів,0
752437648,7085554,MIRACULOUS,Кукла Miraculous Леди Баг и Суперкот S2 - Рена Руж с аксессуарами (50004),1095,1698063,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Miraculous,miraculous,"""Колекційна фігурка Miraculous """"Леді Баг і Супер-Кіт"""" S2 Рена Руж з аксесуарами 26 см (50004)""",,1095,1,https://comfy.ua/kollekcionnaja-figurka-miraculous-ledi-bag-i-super-kot-s2-rena-ruzh-s-aksessuarami-26-sm-50004-ledi-bag-i-super-kot-s2-rena-ruzh-s-aksessuarami-26-sm-50004.html,,06.11.2025 1:42,,"вул. Соборна, 42",Фастів,0
752437652,6611547,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Пляжный домик (6252Z),539,1702949,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Пляжний Будиночок (6252Z),,539,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-pljazhnyj-domik-6252z.html,,06.11.2025 1:41,,"вул. Соборна, 42",Фастів,0
752437654,7085553,MIRACULOUS,Кукла Miraculous Леди Баг и Суперкот S2 - Квин Би с аксессуарами (50003),979,1698062,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Miraculous,miraculous,"""Колекційна фігурка Miraculous """"Леді Баг і Супер-Кіт"""" S2 Квін Бі з аксесуарами 26 см (50003)""",,969,1,https://comfy.ua/kollekcionnaja-figurka-miraculous-ledi-bag-i-super-kot-s2-kvin-bi-s-aksessuarami-26-sm-50003.html,,06.11.2025 1:36,,"вул. Соборна, 42",Фастів,0
752437657,6611551,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Терраса и камин (6170Z),560,1702948,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Тераса і Камін (6170Z),,579,1,https://comfy.ua/nabor-igrovyh-figurok-li-l-woodzeez-terassa-i-kamin-6170z.html,759,06.11.2025 1:38,,"вул. Соборна, 42",Фастів,0
752437668,,,,,1698059,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Miraculous,miraculous,"""Колекційна фігурка Miraculous """"Леді Баг і Супер-Кіт"""" S2 Супер-Кіт з аксесуарами 27 см (50002)""",,1195,1,https://comfy.ua/kollekcionnaja-figurka-miraculous-ledi-bag-i-super-kot-s2-super-kot-s-aksessuarami-27-sm-50002.html,,06.11.2025 1:27,,"вул. Соборна, 42",Фастів,0
752437675,,,,,.1692741,Детские товары >> Игрушки,our-generation,Лялька Our Generation Таліта з капелюхом 46 см (BD31140Z),,1469,1,https://comfy.ua/kukla-klassicheskaja-our-generation-talita-so-shljapoj-46-sm-bd31140z.html,1999,06.11.2025 1:07,,"вул. Соборна, 42",Фастів,0
752437685,,,,,1698029,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Miraculous,miraculous,"""Колекційна фігурка Miraculous """"Леді Баг і Супер-Кіт"""" S2 Леді Баг з аксесуарами 26 см (50001)""",,1195,1,https://comfy.ua/kollekcionnaja-figurka-miraculous-ledi-bag-i-super-kot-s2-ledi-bag-s-aksessuarami-26-sm-50001.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
752437689,,,,,1696926,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Ігровий набір Wader Гараж """"Сервіс"""" з дорогою (50470)""",,1239,1,https://comfy.ua/igrovoj-nabor-wader-garazh-servis-s-dorogoj-50470.html,1564,05.11.2025 23:42,,"вул. Соборна, 42",Фастів,0
752437690,,,,,1697167,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Tigres,tigres,Пластиковий конструктор Tigres 93 ел. в сумці (39128),,275,1,https://comfy.ua/plastikovyj-konstruktor-tigres-93-jel-v-sumke-39128.html,,06.11.2025 1:23,,"вул. Соборна, 42",Фастів,0
752437692,,,,,1696925,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,"""Ігровий набір Wader Гараж """"Сервіс"""" (50460)""",,1275,1,https://comfy.ua/igrovoj-nabor-wader-garazh-servis-50460.html,,06.11.2025 0:14,,"вул. Соборна, 42",Фастів,0
752437693,,,,,1697162,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Tigres,tigres,Пластиковий конструктор Tigres 50 ел. (39094),,155,1,https://comfy.ua/plastikovyj-konstruktor-tigres-50-jel-39094.html,,06.11.2025 1:23,,"вул. Соборна, 42",Фастів,0
752437702,,,,,1696923,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника Wader,wader,Ігровий набір Wader Мега гараж (50320),,3165,1,https://comfy.ua/igrovoj-nabor-wader-mega-garazh-50320.html,,05.11.2025 23:43,,"вул. Соборна, 42",Фастів,0
752437722,,,,,1697155,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Tigres,tigres,Пластиковий конструктор Tigres 244 ел. (39076),,689,1,https://comfy.ua/plastikovyj-konstruktor-tigres-244-jel-39076.html,,06.11.2025 1:23,,"вул. Соборна, 42",Фастів,0
752437726,,,,,1696835,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,Мозаїка для малюків Tigres Міні (39112),,69,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-mini-39112.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
752437727,,,,,1696836,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,Мозаїка для малюків Tigres 39113,,129,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-39113.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
752437728,,,,,1696837,Comfy KIDS >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,Мозаїка для малюків Tigres 275 ел. (39314),,145,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-275-jel-39314.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
752437729,,,,,1696838,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,Мозаїка для малюків Tigres Фантазія 32 ел. (39123),,94,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-fantazija-32-jel-39123.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
752437730,,,,,1696839,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,Мозаїка для малюків Tigres Фантазія 60 ел. (39124),,159,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-fantazija-60-jel-39124.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
752437731,,,,,1696840,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,Мозаїка для малюків Tigres Фантазія 96 ел. (39125),,235,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-fantazija-96-jel-39125.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
752437732,,,,,1696842,Comfy KIDS >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,Мозаїка для малюків Tigres 39370,,549,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-39370.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
752437738,,,,,1700523,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,"""Мозаїка для малюків Tigres 'Игро-Пазли"""" 20 ел. (39182)""",,225,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-igro-pazly-20-jel-39182.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
752437739,,,,,1700524,Детские товары >> Творчество и развитие >> Мозаика >> Мозаика Tigres,tigres,"""Мозаїка для малюків Tigres 'Игро-Пазли Super"""" 39 ел. (39315)""",,369,1,https://comfy.ua/mozaika-dlja-malyshej-tigres-igro-pazly-super-39-jel-39315.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
752437745,,,,,1702428,Comfy KIDS >> Творчество и развитие >> Все для рисования >> Все для рисования Janod,janod,Мольберт Janod Двосторонній (J09611),,4499,1,https://comfy.ua/mol-bert-janod-dvustoronnij-j09611.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
752437752,,,,,1699608,"Comfy KIDS >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол LORI",lori,Одяг та аксесуари для міні-ляльки Lori с кружевами (LO30002Z),,159,1,https://comfy.ua/odezhda-i-aksessuary-dlja-mini-kukly-lori-s-kruzhevami-lo30002z.html,,06.11.2025 0:14,,"вул. Соборна, 42",Фастів,0
752437753,6611618,LORI,Набор одежды LORI для кукол Пуховой жилет (LO30004Z),140,1699610,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол LORI",lori,Одяг та аксесуари для міні-ляльки Lori Пуховый Жилет (LO30004Z),,159,1,https://comfy.ua/odezhda-i-aksessuary-dlja-mini-kukly-lori-puhovyj-zhilet-lo30004z.html,,06.11.2025 0:00,,"вул. Соборна, 42",Фастів,0
752437754,6611611,LORI,Набор одежды LORI для кукол голубое пальто (LO30005Z),140,1699611,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол LORI",lori,Одяг та аксесуари для міні-ляльки Lori Голубое Пальто (LO30005Z),,149,1,https://comfy.ua/odezhda-i-aksessuary-dlja-mini-kukly-lori-goluboe-pal-to-lo30005z.html,,06.11.2025 1:20,,"вул. Соборна, 42",Фастів,0
752437760,6613792,LORI,Набор одежды для кукол LORI Красное пальто (LO30014Z),140,1699617,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол LORI",lori,Одяг та аксесуари для міні-ляльки Lori Красное Платье с узором (LO30014Z),,159,1,https://comfy.ua/odezhda-i-aksessuary-dlja-mini-kukly-lori-krasnoe-plat-e-s-uzorom-lo30014z.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
752437765,6611605,LORI,Набор аксессуаров LORI для верховой езды LO37022Z,254,1699626,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол LORI",lori,Одяг та аксесуари для міні-ляльки Lori для верховой езды (LO37022Z),,289,1,https://comfy.ua/odezhda-i-aksessuary-dlja-mini-kukly-lori-dlja-verhovoj-ezdy-lo37022z.html,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
752437790,6611326,JANOD,Игровой центр-ходунки Janod Котёнок (J08005),2799,1702666,"Comfy KIDS >> Игрушки для малышей >> Каталки, толкачи и прыгуны >> Каталки, толкачи и прыгуны Janod",janod,Каталка Janod Кошеня (J08005),,2799,1,https://comfy.ua/katalka-janod-kotenok-j08005.html,3499,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
752437803,,,,,1700562,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Driven,driven,Ігровий набір Driven Turbocharge Stunt Extreme 16 ел. (WH1112Z),,629,1,https://comfy.ua/igrovoj-nabor-driven-turbocharge-stunt-extreme-16-jel-wh1112z.html,899,05.11.2025 23:53,,"вул. Соборна, 42",Фастів,0
