1689107934,column,column,column,column,2951403,_____________armorstandart,armorstandart,___armorstandart_for_xiaomi_mi_band_765_rm_portal_3__arm77052,column,249,1,httpscomfyuaremeshokdljafitnesbrasletaarmorstandartforxiaomimiband765rmportalarm77052html,column,05112025_1836,column,__42,Фастів,0
1689110091,,,,,.2966222,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",cabletime,Хаб USB Cabletime USB 3.0 - USB 3.0 (3 Ports) + RJ45 0.15m (CA913374),,2299,1,https://comfy.ua/hab-usb-cabletime-usb-3-0-usb-3-0-3-ports-rj45-0-15m-ca913374.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1689112407,6973918,RESTO,Сотейник RESTO Capella 28 см Black (93511),1199,2918925,Посуда >> Для приготовления >> Сковороды >> Сковороды RESTO,resto,Сковорода універсальна RESTO CAPELLA 28 см (93511),,1199,1,https://comfy.ua/skovoroda-universal-naja-resto-capella-28-sm-93511.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1689112925,6969996,BRAUN,Фотоэпилятор BRAUN Silk-expert Pro 5 PL5152 (80770436),17199,2961801,Красота и здоровье >> Уход за телом >> Фотоэпиляторы >> Фотоэпиляторы Braun,braun,Фотоепілятор Braun PL5152,,17199,1,https://comfy.ua/fotojepiljator-braun-pl5152.html,28999,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1689113315,6986711,ROTEX,Миксер ROTEX RHM190-W,399,2959120,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Rotex,rotex,Міксер Rotex RHM190-W,,399,1,https://comfy.ua/mikser-rotex-rhm190-w.html,559,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1689113523,6937090,SEVERIN,Вспениватель молока SEVERIN SM 3590,499,2830029,Техника для кухни >> Мир кофе >> Капучинаторы >> Капучинаторы Severin,severin,Модуль для збивання молока Severin SM 3590,,559,1,https://comfy.ua/modul-dlja-vzbivanija-moloka-severin-sm-3590.html,677,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1689113524,6937089,SEVERIN,Вспениватель молока SEVERIN SM 3584,3377,2830028,Техника для кухни >> Мир кофе >> Капучинаторы >> Капучинаторы Severin,severin,Модуль для збивання молока Severin SM 3584,,3377,1,https://comfy.ua/modul-dlja-vzbivanija-moloka-severin-sm-3584.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1689115147,6975301,EGE,Гладильная доска EGE ONE Newspaper White 30*105 см,829,2921620,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",ege,Прасувальна дошка EGE ONE 30х105 см (18358 Newspaper White),,1399,1,https://comfy.ua/gladil-naja-doska-ege-one-30h105-sm-18358-newspaper-white.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1689117708,,,,,1006624,Посуда >> Нарезка и измельчение,krauff,Ніж для хліба Krauff 29-250-003,,461,1,https://comfy.ua/nozh-dlja-hleba-krauff-29-250-003.html,545,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1689117709,,,,,.1006625,Посуда >> Нарезка и измельчение,krauff,Ніж слайсерний Krauff 29-250-004,,491,1,https://comfy.ua/nozh-slajsernyj-krauff-29-250-004.html,545,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1689127454,6944240,SNAIGE,Холодильник SNAIGE RF56SM-S5RB2E,21849,2512258,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Snaige,snaige,Холодильник Snaige RF56SM-S5RB2E,,21849,1,https://comfy.ua/holodil-nik-snaige-rf56sm-s5rb2e.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1689129898,7046172,OSRAM,Лампочка OSRAM LED E14 6.5Вт 3000К 560Лм Р60 (4058075623927),67,2955401,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E14 6.5Вт 3000К 560Лм Р60 VALUE (4058075623927),,145,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e14-6-5vt-3000k-560lm-r60-value-4058075623927.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1689129899,7046180,OSRAM,Лампочка OSRAM LED E27 6.5Вт 4000К 560Лм Р60 (4058075624139),67,2955390,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 6.5Вт 4000К 560Лм Р60 VALUE (4058075624139),,145,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-6-5vt-4000k-560lm-r60-value-4058075624139.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1689129900,7046178,OSRAM,Лампочка OSRAM LED E27 6.5Вт 3000К 560Лм Р60 (4058075624108),60,2955389,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 6.5Вт 3000К 560Лм Р60 VALUE (4058075624108),,145,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-6-5vt-3000k-560lm-r60-value-4058075624108.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1689129901,7046183,OSRAM,Лампочка OSRAM LED E27 8.5Вт 3000К 800Лм A75 (4058075623149),61,2955383,Дом и отдых >> Освещение >> Лампочки >> Лампочки Osram,osram,Лампочка світлодіодна Osram LED E27 8.5Вт 3000К 800Лм A75 VALUE (4058075623149),,179,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-8-5vt-3000k-800lm-a75-value-4058075623149.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1689129971,7046174,OSRAM,Лампочка OSRAM LED E27 10.5Вт 4000К 960Лм A100 (4058075623316),70,2955399,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 10.5Вт 4000К 960Лм A100 VALUE (4058075623316),,76,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-10-5vt-4000k-960lm-a100-value-4058075623316.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1689129972,7046173,OSRAM,Лампочка OSRAM LED E14 7.5Вт 3000К 800Лм Р75 (4058075624016),81,2955400,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Світлодіодна лампочка Osram LED E14 7.5Вт 3000К 800Лм Р75 VALUE (4058075624016),,81,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e14-7-5vt-3000k-800lm-r75-value-4058075624016.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1689129973,7046181,OSRAM,Лампочка OSRAM LED E27 7.5Вт 3000К 800Лм Р75 (4058075624191),81,2955387,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 7.5Вт 3000К 800Лм Р75 VALUE (4058075624191),,81,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-7-5vt-3000k-800lm-r75-value-4058075624191.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1689129974,7046182,OSRAM,Лампочка OSRAM LED E27 7.5Вт 4000К 800Лм Р75 (4058075624221),81,2955388,Дом и отдых >> Освещение >> Лампочки >> Лампочки Osram,osram,Лампочка світлодіодна Osram LED E27 7.5Вт 4000К 800Лм Р75 VALUE (4058075624221),,81,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-7-5vt-4000k-800lm-r75-value-4058075624221.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1689129977,,,,,2955406,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E14 4.3Вт 2700К 350Лм R50 STAR (4058075126022),,92,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e14-4-3vt-2700k-350lm-r50-star-4058075126022.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1689129980,7046192,OSRAM,Светодиодная лампа OSRAM LED E27 8.5Вт A60 2шт (4058075152670),94,2955386,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 8.5Вт 4000К 806Лм A60 2 шт. (4058075152670),,94,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-8-5vt-4000k-806lm-a60-2-sht-4058075152670.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1689129981,7046191,OSRAM,Светодиодная лампа OSRAM LED E27 8.5Вт A60 2 шт (4058075152656),94,2955385,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 8.5Вт 2700К 806Лм A60 2 шт. (4058075152656),,94,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-8-5vt-2700k-806lm-a60-2-sht-4058075152656.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1689129982,7046177,OSRAM,Лампочка OSRAM LED E27 4.3Вт 2700К 350Лм R63 STAR (4058075125988),105,2955392,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 4.3Вт 2700К 350Лм R63 STAR (4058075125988),,105,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-4-3vt-2700k-350lm-r63-star-4058075125988.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1689129985,7046187,OSRAM,Лампочка OSRAM LED GU5.3 8Вт 2700К 621Лм MR16 12В STAR (4058075433762),143,2955377,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED GU5.3 8Вт 2700К 621Лм MR16 12В STAR (4058075433762),,145,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-gu5-3-8vt-2700k-621lm-mr16-12v-star-4058075433762.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1689129986,,,,,2955378,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED GU5.3 8Вт 4000К 621Лм MR1650 12В STAR (4058075433786),,145,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-gu5-3-8vt-4000k-621lm-mr1650-12v-star-4058075433786.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1689130048,7046193,OSRAM,Светодиодная лампа OSRAM LED E14 4.9Вт B40 3шт (4099854047091),139,2955405,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E14 4.9Вт 2700К 470Лм B40 3 шт. (4099854047091),,139,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e14-4-9vt-2700k-470lm-b40-3-sht-4099854047091.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1689130050,7046199,OSRAM,Светодиодная лампа OSRAM LED E27 8.5Вт A60 3 шт (4058075127531),109,2955384,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 8.5Вт 4000К 806Лм A60 3 шт. (4058075127531),,109,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-8-5vt-4000k-806lm-a60-3-sht-4058075127531.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1689130051,7046195,OSRAM,Светодиодная лампа OSRAM LED E27 10Вт A60 3 шт (4058075819436),129,2955397,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 10Вт 2700К 1055Лм A60 3 шт. (4058075819436),,129,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-10vt-2700k-1055lm-a60-3-sht-4058075819436.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1689130052,,,,,2955393,Дом и отдых >> Освещение >> Лампочки >> Лампочки Osram,osram,Лампочка світлодіодна Osram LED E27 4.3Вт 2700К 350Лм R80 STAR (4058075433304),,149,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-4-3vt-2700k-350lm-r80-star-4058075433304.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1689130053,7046190,OSRAM,Светодиодная лампа OSRAM LED E27 6.5Вт A60 2 шт (4099854064098),169,2955391,"Дом, отдых и зоотовары >> Освещение",osram,Лампочка світлодіодна Osram LED E27 6.5Вт 2700К 806Лм A60 2 шт. (4099854064098),,169,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-6-5vt-2700k-806lm-a60-2-sht-4099854064098.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1689130054,7046200,OSRAM,Светодиодная лампа OSRAM LED E14 4.9Вт B40 4 шт (4058075819610),144,2955404,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E14 4.9Вт 4000К 470Лм B40 4 шт. (4058075819610),,145,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e14-4-9vt-2700k-470lm-b40-4-sht-4058075819610.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1689130055,,,,,2955403,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E14 4.9Вт 4000К 470Лм B40 4 шт. (4058075819474),,145,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e14-4-9vt-4000k-470lm-b40-4-sht-4058075819474.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1689130056,,,,,.2955381,"Дом, отдых и зоотовары >> Освещение",osram,Лампочка світлодіодна Osram LED GU10 4.3Вт 2700К 350Лм PAR16 3 шт. (4058075818392),,139,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-gu10-4-3vt-2700k-350lm-par16-3-sht-4058075818392.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1689130057,7046201,OSRAM,Светодиодная лампа OSRAM LED E27 10Вт A60 4шт (4058075184992),185,2955398,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED E27 10Вт 2700К 1055Лм A60 4 шт. (4058075184992),,219,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-e27-10vt-2700k-1055lm-a60-4-sht-4058075184992.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1689132070,6984504,KARCHER,Пылесос KARCHER VC 3 (1.198-051.0),4999,2961922,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Karcher,karcher,Пилосос для сухого прибирання без мішка Karcher VC 3 (1.198-051.0),,4999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-karcher-vc-3-1-198-051-0.html,5999,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1689157090,,,,,.2917992,Смартфоны и телефоны >> Аксессуары для смартфонов,rivacase,Мережевий зарядний пристрій RIVACASE PS4101 W00 White,,259,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-rivacase-ps4101-w00-white.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1689157133,,,,,2917995,Смартфоны и телефоны >> Аксессуары для смартфонов,rivacase,Мережевий зарядний пристрій RIVACASE 1 USB Type-C White (PS4102 W00),,309,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-rivacase-1-usb-type-c-white-ps4102-w00.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1689157328,,,,,.2917993,Смартфоны и телефоны >> Аксессуары для смартфонов,rivacase,Мережевий зарядний пристрій RIVACASE 1 USB Type-C White (PS4101 WD4),,359,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-rivacase-1-usb-type-c-white-ps4101-wd4.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1689157335,,,,,.2917996,Смартфоны и телефоны >> Аксессуары для смартфонов,rivacase,Мережевий зарядний пристрій RIVACASE 1 USB Type-C White (PS4102 WD4),,399,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-rivacase-1-usb-type-c-white-ps4102-wd4.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1689161672,,,,,2964911,"Техника для дома >> Умный дом >> Датчики температуры, влажности >> Датчики температуры, влажности Sonoff",sonoff,Бездротовий датчик температури і вологості повітря Sonoff THS01,,499,1,https://comfy.ua/besprovodnoj-datchik-temperatury-i-vlazhnosti-vozduha-sonoff-ths01.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1689161673,,,,,.2964908,Техника для дома >> Умный дом,sonoff,Бездротовий датчик температури Sonoff THR316,,1399,1,https://comfy.ua/besprovodnoj-datchik-temperatury-sonoff-thr316.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1689161674,,,,,.2964909,Техника для дома >> Умный дом,sonoff,Бездротовий датчик температури Sonoff THR320,,1499,1,https://comfy.ua/besprovodnoj-datchik-temperatury-sonoff-thr320.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1689162119,7009293,IIYAMA,Монитор IIYAMA XUB2292HSU-W6,4766,2972015,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA XUB2292HSU-W6,,4765,1,https://comfy.ua/monitor-iiyama-xub2292hsu-w6.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1689162120,7009297,IIYAMA,Монитор IIYAMA XUB2493HS-B6,4966,2972018,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA XUB2493HS-B6,,4965,1,https://comfy.ua/monitor-iiyama-xub2493hs-b6.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1689162143,6999508,IIYAMA,Монитор IIYAMA XUB2492QSU-B1,8025,2972016,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA XUB2492QSU-B1,,8025,1,https://comfy.ua/monitor-iiyama-xub2492qsu-b1.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1689162806,7062976,IIYAMA,Монитор IIYAMA ProLite T2755MSC-B1,19456,2972020,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA T2755MSC-B1,,19455,1,https://comfy.ua/monitor-iiyama-t2755msc-b1.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1689162810,6999517,IIYAMA,Монитор IIYAMA Prolite T2752MSC-B1 Black,18606,2972021,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA T2752MSC-B1,,18605,1,https://comfy.ua/monitor-iiyama-t2752msc-b1.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
