784649770,column,column,column,column,1707373,__________syma,syma,___syma_x23_white_x23,column,2749,1,httpscomfyuakvadrokopterdljadetejsymax23whitex23html,column,05112025_2326,column,__42,Фастів,0
784883456,6440445,FUN PROMOTION,Светлячки-фокусники FUN PROMOTION (FUN-BBVL-48CDU-UK),58,1702882,Детские товары >> Творчество и развитие >> Исследования и фокусы >> Исследования и фокусы Fun Promotion,fun-promotion,Набір для фокусів Fun Promotion Bright Bugz Світлячки-Фокусники (FUN-BBVL-48CDU-UK),,68,1,https://comfy.ua/nabor-dlja-fokusov-fun-promotion-bright-bugz-svetljachki-fokusniki-fun-bbvl-48cdu-uk.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
784883484,,,,,1733905,"Аудио, фото и видео >> Наушники >> Наушники HP",hp,Навушники вкладиші дротові HP DHH-1126 Type-C,,375,1,https://comfy.ua/naushniki-vkladyshi-provodnye-hp-dhh-1126-type-c.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
784883485,6658627,HP,Гарнитура HP DHH-1111 White,149,1733906,"Аудио, фото и видео >> Наушники >> Наушники HP",hp,Навушники вкладиші дротові HP DHH-1111WT White,,149,1,https://comfy.ua/naushniki-vkladyshi-provodnye-hp-dhh-1111wt-white.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
785230250,,,,,.1733909,"Аудио, фото и видео >> Наушники",hp,"Гарнітура дротова ігрова HP DHE-8010 Blue LED, Black",,975,1,https://comfy.ua/garnitura-provodnaja-igrovaja-hp-dhe-8010-blue-led-black.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
785245312,6812275,ASEL,Электропечь ASEL AF 33-23 RED,2649,1707073,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ASEL,asel,Піч електрична ASEL AF 33-23 Red,,2649,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-asel-af-33-23-red.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
785245313,6824176,ASEL,Электропечь ASEL AF 40-23 Grey (РН013932),3669,1707075,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ASEL,asel,Піч електрична ASEL AF 40-23 Grey,,3669,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-asel-af-40-23-grey.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
785245315,6842009,ASEL,Электропечь ASEL AF 50-23 RED,4175,1707078,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ASEL,asel,Піч електрична ASEL AF 50-23 Red,,4175,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-asel-af-50-23-red.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
785252570,,,,,1740978,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель USB type A - USB type A Cablexpert CC-USB2-AMAF-75CM/300-BK 0.75m,,39,1,https://comfy.ua/kabel-usb-type-a-usb-type-a-cablexpert-cc-usb2-amaf-75cm-300-bk-0-75m.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
785252625,6661575,2E,Микрофон 2E Maono AU-K04 3.5 mm (2E-MV010),799,1741094,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны 2E",2e,Мікрофон вокальний провідний 2E Maono AU-K04 6.35mm (2E-MV010 6.35mm),,799,1,https://comfy.ua/mikrofon-vokal-nyj-provodnoj-2e-maono-au-k04-3-5mm-2e-mv010-3-5mm.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
785252626,6661571,2E,Микрофон 2E Maono AU-A04 Streaming KIT USB (2E-MPC011),1999,1741092,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны 2E",2e,Мікрофон вокальний провідний 2E Maono AU-A04 Streaming KIT USB (2E-MPC011),,1999,1,https://comfy.ua/mikrofon-vokal-nyj-provodnoj-2e-maono-au-a04-streaming-kit-usb-2e-mpc011.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
785252627,6661577,2E,Микрофон с триподом 2E Maono AU-CM10S Vlog KIT 3.5 mm (2E-MM011),1349,1741091,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны 2E",2e,"Мікрофон вокальний провідний 2E Maono AU-CM10S Vlog KIT, 3.5mm (2E-MM011)",,2249,1,https://comfy.ua/mikrofon-vokal-nyj-provodnoj-2e-maono-au-cm10s-vlog-kit-3-5mm-2e-mm011.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
785252628,6661572,2E,Микрофон 2E Maono AU-903 Streaming KIT USB (2E-MPC020),1549,1741093,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны 2E",2e,Мікрофон вокальний провідний 2E с триподом Maono AU-903 Streaming KIT USB (2E-MPC020),,1549,1,https://comfy.ua/mikrofon-vokal-nyj-provodnoj-2e-s-tripodom-maono-au-903-streaming-kit-usb-2e-mpc020.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
785257878,,,,,1741085,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP115 Multi-Angle Adjustable Stand for iPad Black (50748),,299,1,https://comfy.ua/derzhatel-dlja-plansheta-ugreen-lp115-multi-angle-adjustable-stand-for-ipad-black-50748.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
785257879,,,,,1741083,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Підставка для мобільного пристрою UGREEN LP115 Multi-Angle Adjustable Stand for iPad White (30485),,279,1,https://comfy.ua/derzhatel-dlja-plansheta-ugreen-lp115-multi-angle-adjustable-stand-for-ipad-white-30485.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
785257900,,,,,1740194,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды FLORINA,florina,Кришка для посуду FLORINA 24 см (3P6851),,221,1,https://comfy.ua/kryshka-dlja-posudy-florina-24-sm-3p6851.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
785257901,,,,,1740195,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды FLORINA,florina,Кришка для посуду FLORINA 26 см (3P5868),,242,1,https://comfy.ua/kryshka-dlja-posudy-florina-26-sm-3p5868.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
785257902,,,,,1740196,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды FLORINA,florina,Кришка для посуду FLORINA 30 см (3P5890),,250,1,https://comfy.ua/kryshka-dlja-posudy-florina-30-sm-3p5890.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
785258771,6796495,FLORINA,Крышка Florina 3 в 1 24/26/28 см (3P0202),479,1740193,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды FLORINA,florina,"Кришка для посуду FLORINA 3 в 1 24, 26, 28 см (3P0202)",,479,1,https://comfy.ua/kryshka-dlja-posudy-florina-3-v-1-24-26-28-sm-3p0202.html,569,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
785259176,,,,,.1740190,Посуда >> Для приготовления,florina,Сковорода універсальна FLORINA Aqura 26 см (1P0391),,679,1,https://comfy.ua/skovoroda-universal-naja-florina-aqura-26-sm-1p0391.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
785260211,6662400,TEFAL,Утюг TEFAL FV6870E0,2999,1740841,Техника для дома >> Мелкая техника,tefal,Праска Tefal Smart protect plus FV6870E0,,2999,1,https://comfy.ua/catalog/product/view/id/1915273,3899,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
785260243,6369458,BREF,Кассета BREF Сила-Актив. Лимонная свежесть 50г (9000100625289),65,1740420,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Bref,bref,Туалетний блок Bref Сила Актив Лимонная Свежесть 50 г (9000100625289),,59,1,https://comfy.ua/tualetnyj-blok-bref-sila-aktiv-limonnaja-svezhest-50-g-9000100625289.html,91,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
785260245,6369464,BREF,Кассета BREF Сила-Актив. Свежесть лаванды 50г (9000100956079),55,1740422,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Bref,bref,Туалетний блок Bref Сила актив Лаванда 50 г (9000100956079),,64,1,https://comfy.ua/tualetnyj-blok-bref-sila-aktiv-lavanda-50-g-9000100956079.html,91,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
785260247,6710461,SANO,Туалетный блок Sano Blue 55 г (7290010935635),139,1740052,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Sano,sano,Туалетний блок Sano Синій 55 г (7290010935635),,99,1,https://comfy.ua/tualetnyj-blok-sano-sinij-55-g-7290010935635.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
785260248,,,,,1740053,Бытовая химия >> Все для уборки,sano,Туалетний блок Sano Яблуко 55 г (7290005426971),,100,1,https://comfy.ua/tualetnyj-blok-sano-jabluko-55-g-7290005426971.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
785262713,6940785,2E,Микрофон петличный 2E ML020 3.5mm (2E-ML020),549,1741090,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны 2E",2e,Мікрофон до комп'ютера 2E Maono AU-402L 3.5mm (2E-ML020),,469,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-2e-maono-au-402l-3-5mm-2e-ml020.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
785263185,,,,,.1739659,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Процесорний кулер Xilence M403PRO.ARGB (XC129),,1249,1,https://comfy.ua/processornyj-kuler-xilence-m403pro-argb-xc129.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
785282926,,,,,1664236,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Bosch,bosch,Вимірювальний пристрій Bosch GLL 3-80 (AA) + кейс (0.601.063.S00),,12579,1,https://comfy.ua/izmeritel-nyj-pribor-bosch-gll-3-80-aa-kejs-0-601-063-s00.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
785299073,6635690,BOSCH,Лазерный нивелир BOSCH GCL 2-50 (0.601.066.F01),10962,1591512,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Bosch,bosch,Вимірювальний пристрій Bosch GCL 2-50+ кейс (0.601.066.F01),,10965,1,https://comfy.ua/izmeritel-nyj-pribor-bosch-gcl-2-50-rm1-bm3-lr6-kejs-0-601-066-f01.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
785299083,6333905,BOSCH,Лазерный нивелир BOSCH GCL 2-15 + RM1+кейс (0601066E02),6864,1591508,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Bosch,bosch,Вимірювальний пристрій Bosch GCL 2-15 + RM1 + BM3 clip + кейс (0.601.066.E02),,6865,1,https://comfy.ua/izmeritel-nyj-pribor-bosch-gcl-2-15-rm1-bm3-clip-kejs-0-601-066-e02.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
785299475,6635696,BOSCH,Нивелир лазерный BOSCH BoschAdvancedLevel 360 Se (0.603.663.B04),10638,1660453,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Bosch,bosch,Вимірювальний пристрій Bosch AdvancedLevel 360 Set + штатив TT150 (0.603.663.B04),,10639,1,https://comfy.ua/izmeritel-nyj-pribor-bosch-advancedlevel-360-set-shtativ-tt150-0-603-663-b04.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
785322894,,,,,1739372,Детские товары >> Игрушки для малышей,tigres,Ігровий центр для малюка Tigres Столик для піску і води (39678),,825,1,https://comfy.ua/catalog/product/view/id/1899033,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
785329422,,,,,1702260,Детские товары >> Игрушки,silverlit,Інтерактивний робот Silverlit Macrobot (88045),,3499,1,https://comfy.ua/interaktivnyj-robot-silverlit-macrobot-88045.html,,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
785329426,,,,,.1739083,Детские товары >> Подгузники и пеленание,eko-pups,"Вкладиші для багаторазових підгузків ЕКО ПУПС урологічна прокладка Premium Kids 12-17 кг, Жовтий (art.IUP12-17y)",,299,1,https://comfy.ua/vkladyshi-dlja-mnogorazovyh-podguznikov-jeko-pups-urologicheskaja-prokladka-jeko-pups-premium-kids-12-17-kg-zheltyj-art-iup12-17y.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
785329427,,,,,.1739086,Детские товары >> Подгузники и пеленание,eko-pups,"Вкладиші для багаторазових підгузків ЕКО ПУПС урологічна прокладка Premium Kids 5-9 кг Жовтий, (IUP5-9y)",,215,1,https://comfy.ua/vkladyshi-dlja-mnogorazovyh-podguznikov-jeko-pups-urologicheskaja-prokladka-premium-kids-5-9-kg-zheltyj-iup5-9y.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
785329429,,,,,1739064,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники ЕКО ПУПС,eko-pups,"Вкладиші для багаторазових підгузків ЕКО ПУПС Abso Maxi Розмір 5-9, 2 шт. (ВК4-2)",,389,1,https://comfy.ua/vkladyshi-dlja-mnogorazovyh-podguznikov-jeko-pups-abso-maxi-razmer-5-9-2-sht-vk4-2.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
