1662902273,column,column,column,column,2887090,Бытовая химия >> Для кухни и мытья посуды,galax,_____galax______950_,column,75,1,httpscomfyuasredstvodljaruchnogomytjaposudygalaxkoncentratglicerinizalojevera950ghtml,128,05112025_1922,column,__42,Фастів,0
1662902305,,,,,2886376,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские BabyOno,babyono,Нагрудник тканинний BabyOno Джунглі від 2 років (1477/02),,379,1,https://comfy.ua/nagrudnik-tkanevyj-babyono-dzhungli-ot-2-let-1477-02.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1662902306,,,,,2886380,Детские товары >> Кормление >> Нагрудники детские >> Нагрудники детские BabyOno,babyono,Нагрудник тканинний BabyOno Квіточки від 2 років (1477/01),,379,1,https://comfy.ua/nagrudnik-tkanevyj-babyono-cvetochki-ot-2-let-1477-01.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1662902371,,,,,.2839791,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",gembird,Хаб USB Gembird UHB-U3P1U2P3-02,,189,1,https://comfy.ua/hab-usb-gembird-uhb-u3p1u2p3-02.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1662902376,,,,,.2839779,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",choetech,Хаб USB Choetech USB-C на HDMI (HUB-H16-GY),,929,1,https://comfy.ua/hab-usb-choetech-usb-c-na-hdmi-hub-h16-gy.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1662902601,,,,,.2888871,Детские товары >> Кормление,nip,Пляшка для годування NIP Вишенька-Зелена Серія 0+ M (35125),,449,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-vishenka-zelenaja-serija-0-m-35125.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1662902602,,,,,.2888872,Детские товары >> Кормление,nip,Пляшка для годування NIP Вишенька-Зелена Серія 0+ M (35126),,449,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-vishenka-zelenaja-serija-0-m-35126.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1662902605,6951075,RONIX,Плоскогубцы RONIX RH-1157 180 мм,179,2832286,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Ronix",ronix,Плоскогубці Ronix RH-1157,,179,1,https://comfy.ua/ploskogubcy-ronix-rh-1157.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1662902606,6951088,RONIX,Клещи RONIX 205 мм (RH-1841),219,2832291,Инструменты и автотовары >> Ручные инструменты,ronix,Кліщі Ronix RH-1841,,219,1,https://comfy.ua/kleschi-ronix-rh-1841.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1662902608,6951083,RONIX,Клещи многофункциональные RONIX 180мм (RH-1820),299,2832289,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Ronix",ronix,Кліщі Ronix RH-1820,,299,1,https://comfy.ua/kleschi-ronix-rh-1820.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1662902625,6951084,RONIX,Клещи многофункциональные RONIX 180 мм (RH-1821),349,2832290,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Ronix",ronix,Кліщі Ronix RH-1821,,349,1,https://comfy.ua/kleschi-ronix-rh-1821.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1662902747,,,,,2693140,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Milwaukee,milwaukee,Набір викруток Milwaukee VDE PZ/SL (4932478737),,1375,1,https://comfy.ua/nabor-otvertok-milwaukee-vde-pz-sl-4932478737.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1662902748,,,,,.2693141,Инструменты и автотовары >> Ручные инструменты,milwaukee,Набір викруток Milwaukee VDE SL/PZ/PH (4932478738),,1715,1,https://comfy.ua/nabor-otvertok-milwaukee-vde-sl-pz-ph-4932478738.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1662902771,,,,,2888870,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Nip",nip,Пляшка для годування NIP 240 мл Вишенька-Зелена Серія Х  (35118),,619,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-120-ml-soska-ot-0-mes-m-35118.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1662902791,,,,,2889452,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели BabyOno,babyono,Прорізувач з охолодженням BabyOno Перші зубки Рожевий (1008/02),,169,1,https://comfy.ua/prorezyvatel-s-ohlazhdeniem-babyono-pervye-zubki-rozovyj-1008-02.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1662902850,,,,,2889444,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Nip,nip,Тримач пустушок NIP Х Зелена Серія (38637-51),,465,1,https://comfy.ua/derzhatel-pustyshek-nip-h-zelenaja-serija-38637-51.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1662902851,,,,,2889443,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Nip,nip,Тримач пустушок NIP Д Зелена Серія (38639-51),,465,1,https://comfy.ua/derzhatel-pustyshek-nip-d-zelenaja-serija-38639-51.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1662903173,,,,,2870171,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (5-7 років) Trefl """"Дружелюбні тролі""""  (60 ел.)  (17386)""",,145,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-druzhestvennye-trolli-60-jelm-17386.html,,06.11.2025 0:03,,"вул. Соборна, 42",Фастів,0
1662903305,7037687,TUTIS,Коляска универсальная 2 в 1 TUTIS Uno5 plus LEATHER COLLECTION Licorice (1402166),30960,2913865,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Tutis,tutis,Коляска універсальна 2 в 1 Tutis Uno5 plus Leather Collection Licorice,,30960,1,https://comfy.ua/koljaska-universal-naja-2-v-1-tutis-uno5-plus-leather-collection-licorice.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1662903306,7082991,TUTIS,Коляска универсальная 2 в 1 TUTIS Uno5 plus LEATHER COLLECTION Caramel (1402167),30960,2913864,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Tutis,tutis,Коляска універсальна 2 в 1 Tutis Uno5 plus Leather Collection Caramel,,30960,1,https://comfy.ua/koljaska-universal-naja-2-v-1-tutis-uno5-plus-leather-collection-caramel.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1662903311,,,,,2907418,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Britax-Romer,britax-romer,Коляска прогулянкова Britax-Romer SMILE 5Z Soft Taupe,,26064,1,https://comfy.ua/koljaska-progulochnaja-britax-romer-smile-5z-soft-taupe.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1662903312,,,,,2897501,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Britax-Romer,britax-romer,Коляска прогулянкова Britax-Romer SMILE 5Z Urban Olive,,26064,1,https://comfy.ua/koljaska-progulochnaja-britax-romer-smile-5z-urban-olive.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1662903605,,,,,2870254,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl """"Дісней крізь роки"""" / Дісней  (500 ел.) (37465)""",,275,1,https://comfy.ua/pazly-kartonnye-8-trefl-disnej-skvoz-gody-disnej-500-jelm-37465.html,,05.11.2025 23:40,,"вул. Соборна, 42",Фастів,0
1662903618,,,,,2876064,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl """"Пляж Вайкікі"""" Гаваї  (1000 елем.) (10742)""",,329,1,https://comfy.ua/pazly-kartonnye-8-trefl-pljazh-vajkiki-gavaji-1000-jelem-10742.html,,05.11.2025 23:47,,"вул. Соборна, 42",Фастів,0
1662903630,,,,,2876040,Детские товары >> Игрушки,trefl,"""Пазли (до 2 років) Trefl розмальовка - Скай та Маршал """"Щенячий патруль""""  (10 + 10 елем.BABY MAXI) (43007)""",,325,1,https://comfy.ua/pazly-kartonnye-do-2-let-trefl-raskraska-skaj-i-marshal-schenjachij-patrul-10-10-jelem-baby-maxi-43007.html,,05.11.2025 23:39,,"вул. Соборна, 42",Фастів,0
1662903632,,,,,2876065,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl """"Початок ери драконів"""" (1000 елем.) (10739)""",,355,1,https://comfy.ua/pazly-kartonnye-8-trefl-nachalo-jery-drakonov-1000-jelem-10739.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
1662903651,,,,,.2908250,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot The Witcher Northern Realms 500 шт. (5908305246756),,749,1,https://comfy.ua/pazly-kartonnye-8-good-loot-the-witcher-northern-realms-500-sht-5908305246756.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
1662903652,,,,,.2908251,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot The Elder Scrolls V – Skyrim 1000 шт. (5908305246763),,749,1,https://comfy.ua/pazly-kartonnye-8-good-loot-the-elder-scrolls-v-skyrim-1000-sht-5908305246763.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
1662903653,,,,,.2908253,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot Imagination: Ernst Haeckel Hummingbirds/Kolibry 1000 шт. (5908305246794),,749,1,https://comfy.ua/pazly-kartonnye-8-good-loot-imagination-ernst-haeckel-hummingbirds-kolibry-1000-sht-5908305246794.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
1662903654,,,,,.2908249,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot Tekken 8 Key Art 1000 шт. (5908305246732),,749,1,https://comfy.ua/pazly-kartonnye-8-good-loot-tekken-8-key-art-1000-sht-5908305246732.html,,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
1662903655,,,,,.2908247,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot Imagination: Rafal Olbinski Defence Against Banality 1000 шт. (5908305243731),,799,1,https://comfy.ua/pazly-kartonnye-8-good-loot-imagination-rafal-olbinski-defence-against-banality-1000-sht-5908305243731.html,,05.11.2025 23:43,,"вул. Соборна, 42",Фастів,0
1662903656,,,,,.2908252,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot Diablo IV Horadrim 1000 шт. (5908305246787),,749,1,https://comfy.ua/pazly-kartonnye-8-good-loot-diablo-iv-horadrim-1000-sht-5908305246787.html,,05.11.2025 23:58,,"вул. Соборна, 42",Фастів,0
1662903657,,,,,.2908254,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot Diablo IV Lilith Composition 1000 шт. (5908305246800),,699,1,https://comfy.ua/pazly-kartonnye-8-good-loot-diablo-iv-lilith-composition-1000-sht-5908305246800.html,,05.11.2025 23:42,,"вул. Соборна, 42",Фастів,0
1662903658,,,,,.2908255,Детские товары >> Игрушки,good-loot,Пазли (8 +) Good Loot World of Warcraft Cataclysm Classic 1000 шт. (5908305246817),,749,1,https://comfy.ua/pazly-kartonnye-8-good-loot-world-of-warcraft-cataclysm-classic-1000-sht-5908305246817.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
1662903663,7031116,TREFL,"""Пазл TREFL 13500 елм. - Безграничная коллекция: """"Золотая коллекция Дисней"""" (81026)""",3599,2870256,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Безмежна колекція: """"Золота колекція Дісней""""  (13500 ел.) (81026)""",,3619,1,https://comfy.ua/pazly-kartonnye-8-trefl-bezgranichnaja-kollekcija-zolotaja-kollekcija-disnej-13500-jelm-81026.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1662903698,6988254,GRUNHELM,Весы кухонные GRUNHELM KES-01B,369,2914838,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Grunhelm,grunhelm,Ваги кухонні Grunhelm KES-01B,,369,1,https://comfy.ua/vesy-kuhonnye-grunhelm-kes-01b.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1662903699,6988253,GRUNHELM,Весы кухонные GRUNHELM KES-01W,319,2914839,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Grunhelm,grunhelm,Ваги кухонні Grunhelm KES-01W,,369,1,https://comfy.ua/vesy-kuhonnye-grunhelm-kes-01w.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1662903937,6967671,HEINNER,Весы кухонные HEINNER HKS-5-RSB,399,2897934,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Heinner,heinner,Ваги кухонні Heinner HKS-5-RSB,,399,1,https://comfy.ua/vesy-kuhonnye-heinner-hks-5-rsb.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1662903939,6891967,HEINNER,Весы кухонные HEINNER HKS-5SL,449,2897935,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Heinner,heinner,Ваги кухонні Heinner HKS-5SL,,449,1,https://comfy.ua/vesy-kuhonnye-heinner-hks-5sl.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1662903941,6891964,HEINNER,Весы кухонные HEINNER HKS-5BB,599,2897932,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Heinner,heinner,Ваги кухонні Heinner HKS-5BB,,599,1,https://comfy.ua/vesy-kuhonnye-heinner-hks-5bb.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1662903942,6891965,HEINNER,Весы кухонные HEINNER HKS-5IX,599,2563073,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Heinner,heinner,Ваги кухонні Heinner HKS-5IX,,599,1,https://comfy.ua/vesy-kuhonnye-heinner-hks-5ix.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1662903943,6891968,HEINNER,Весы кухонные HEINNER HKS-5SS,749,2897936,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Heinner,heinner,Ваги кухонні Heinner HKS-5SS,,749,1,https://comfy.ua/vesy-kuhonnye-heinner-hks-5ss.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1662904330,,,,,2859165,Бытовая химия >> Средства для чистки техники,wmf,Фільтр для очистки води для кавомашини WMF XW133000,,699,1,https://comfy.ua/fil-tr-dlja-ochistki-vody-dlja-kofemashiny-wmf-xw133000.html,999,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1662904372,,,,,.2558606,Бытовая химия >> Средства для чистки техники,purify-agent,Засіб для видалення масляного нальоту Purify Agent Milk Cleaner 250 мл (4820093485074),,149,1,https://comfy.ua/sredstvo-dlja-udalenija-masljanogo-naleta-purify-agent-milk-cleaner-250-ml-4820093485074.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1662904719,6973325,HEINNER,Кофеварка рожковая HEINNER HEM-1100BKRD,3549,2897466,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Heinner,heinner,Кавоварка ріжкова Heinner HEM-1100BKRD,,3549,1,https://comfy.ua/kofevarka-rozhkovaja-heinner-hem-1100bkrd.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1662904720,6973328,HEINNER,Кофеварка рожковая HEINNER HEM-200BL,2499,2897924,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Heinner,heinner,Кавоварка ріжкова Heinner HEM-200BL,,2499,1,https://comfy.ua/kofevarka-rozhkovaja-heinner-hem-200bl.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1662904721,6973329,HEINNER,Кофеварка рожковая HEINNER HEM-200GR,2499,2897925,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо Heinner,heinner,Кавоварка ріжкова Heinner HEM-200GR,,2499,1,https://comfy.ua/kofevarka-rozhkovaja-heinner-hem-200gr.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
