1431918442,6823497,logitech,_logitech_g715_wireless_gaming_ua_tactile_white__920010465,8289,2214816,________________logitech,logitech,___logitech_g715_aurora_wireless_gaming_gx_brown_lightspeedbluetooth_920010465,column,8289,1,httpscomfyuaklaviaturabesprovodnajaigrovajalogitechg715aurorawirelessgaminggxbrownlightspeedbluetooth920010465html,column,05112025_2118,column,__42,Фастів,0
1432142897,6822865,LG,Холодильник LG GW-B509SBNM,26499,2210338,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники LG,lg,Холодильник LG GW-B509SBNM,,26499,1,https://comfy.ua/holodil-nik-lg-gw-b509sbnm.html,28999,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1432142965,6470134,LG,Холодильник LG GW-B459SLCM,25499,1450880,Техника для кухни >> Крупная техника,lg,Холодильник LG GW-B459SLCM,,23499,1,https://comfy.ua/holodil-nik-lg-gw-b459slcm.html,25499,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1432143086,6470133,LG,Холодильник LG GW-B509SEKM,25578,1450879,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники LG,lg,Холодильник LG GW-B509SEKM,,23999,1,https://comfy.ua/holodil-nik-lg-gw-b509sekm.html,26999,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1432143087,6822866,LG,Холодильник LG GW-B509SLNM,26499,2210340,Техника для кухни >> Крупная техника,lg,Холодильник LG GW-B509SLNM,,23999,1,https://comfy.ua/holodil-nik-lg-gw-b509slnm.html,28799,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1432157756,,,,,2216070,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",world-of-warcraft,Килимок для миші ігровий World of Warcraft Burning Crusade Illidan XL (5292910016300),,670,1,https://comfy.ua/kovrik-dlja-myshi-world-of-warcraft-burning-crusade-illidan-xl-5292910016300.html,889,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1432157757,,,,,.2215052,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",diablo,Килимок для миші ігровий Diablo IV - Lilith XL (FBLMPD4LILITH21XL),,670,1,https://comfy.ua/kovrik-dlja-myshi-diablo-iv-iv-lilith-xl-5292910016485.html,889,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1432157998,,,,,2216072,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши World of Warplanes",world-of-warcraft,Килимок для миші ігровий World of Warcraft Classic Ragnaros XL (5292910016270),,669,1,https://comfy.ua/kovrik-dlja-myshi-world-of-warcraft-classic-ragnaros-xl-5292910016270.html,888,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1432157999,,,,,2215051,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Diablo",diablo,Килимок для миші ігровий Diablo IV - Gate of Hell XL (FBLMPD4HELLGT21XL),,670,1,https://comfy.ua/kovrik-dlja-myshi-diablo-iv-iv-gate-of-hell-xl-5292910016454.html,889,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1432158000,,,,,.2215053,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",diablo,Килимок для миші ігровий Diablo IV - Skeleton King XL (FBLMPD4SKELET21XL),,670,1,https://comfy.ua/kovrik-dlja-myshi-diablo-iv-iv-skeleton-king-xl-5292910016393.html,889,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
1432158004,,,,,.2216073,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",world-of-warcraft,Килимок для миші ігровий World of Warcraft Shadowlands Sylvanas XL (5292910016218),,670,1,https://comfy.ua/kovrik-dlja-myshi-world-of-warcraft-shadowlands-sylvanas-xl-5292910016218.html,889,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1432182163,6824667,VENTOLUX,Варочная поверхность VENTOLUX HG430-B3 S (AN),4599,2135724,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG430-B3 S (AN),,4599,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg430-b3-s-an.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1432190536,6823527,STEELSERIES,Гарнитура STEELSERIES Arctis Nova 1 Black (61606),2999,2218252,"Аудио, фото и видео >> Наушники >> Наушники SteelSeries",steelseries,Гарнітура дротова ігрова SteelSeries Arctis Nova 1 Black (61606),,2999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-steelseries-arctis-nova-1-black-61606.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1432190537,6823528,STEELSERIES,Гарнитура STEELSERIES Arctis Nova 1 White (61607),2799,2218253,"Аудио, фото и видео >> Наушники >> Наушники SteelSeries",steelseries,Гарнітура дротова ігрова SteelSeries Arctis Nova 1 White (61607),,2799,1,https://comfy.ua/garnitura-provodnaja-igrovaja-steelseries-arctis-nova-1-white-61607.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1432194924,6903610,ABYSTYLE,Термокружка ABYSTYLE GAME OF THRONES Winter is coming (ABYTUM001),689,2219323,Посуда >> Для напитков >> Термопосуда >> Термопосуда Game of Thrones,game-of-thrones,Термочашка GAME OF THRONES Winter is coming 355 мл (ABYTUM001),,689,1,https://comfy.ua/termokruzhka-game-of-thrones-winter-is-coming-355-ml-3700789239079.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1432194925,6903611,ABYSTYLE,Термокружка ABYSTYLE GAME OF THRONES Winter is here 355 мл (ABYTUM002),399,2219324,Посуда >> Для напитков >> Термопосуда >> Термопосуда Game of Thrones,game-of-thrones,Термочашка Game of Thrones Winter is here 355 мл (3700789239086),,399,1,https://comfy.ua/termokruzhka-game-of-thrones-winter-is-here-355-ml-3700789239086.html,689,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1432194926,6645060,WORLD OF WARCRAFT,Термокружка Abystyle World of Warcraft  For the Alliance (ABYTUM015),699,2219325,Посуда >> Для напитков >> Термопосуда >> Термопосуда World of Warplanes,world-of-warplanes,Термочашка World of Warcraft For the Alliance 355 мл (3665361021940),,699,1,https://comfy.ua/termokruzhka-world-of-warcraft-for-the-alliance-355-ml-3665361021940.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1432194927,6644575,HARRY POTTER,Термокружка HARRY POTTER Marauder's Map 355 мл (ABYTUM006),699,2219327,Посуда >> Для напитков >> Термопосуда >> Термопосуда Harry Potter,harry-potter,Термочашка Harry Potter Marauder's Map 355 мл (3700789270720),,699,1,https://comfy.ua/termokruzhka-harry-potter-marauder-s-map-355-ml-3700789270720.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1432194928,6764584,ABYSTYLE,Термокружка ABYSTYLE GAME OF THRONES Throne 355 мл(ABYTUM019),699,2219329,Посуда >> Для напитков >> Термопосуда >> Термопосуда Game of Thrones,game-of-thrones,Термочашка Game of Thrones Throne 355 мл (3665361028642),,699,1,https://comfy.ua/termokruzhka-game-of-thrones-throne-355-ml-3665361028642.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1432194929,6645061,WORLD OF WARCRAFT,Термомокружка Abystyle World of Warcraft For the Horde (ABYTUM014),689,2219326,Посуда >> Для напитков >> Термопосуда >> Термопосуда World of Warplanes,world-of-warplanes,Термочашка World of Warcraft For the Horde 355 мл (3665361021919),,689,1,https://comfy.ua/termokruzhka-world-of-warcraft-for-the-horde-355-ml-3665361021919.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1432195007,,,,,1291232,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry 42x27 см 029654,,3325,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-42x27-sm-029654.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1432195008,7061234,EMILE HENRY,Форма для запекания EMILE HENRY Ovenware 42.5 х 28 см Red (349654),2421,1303770,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry 42x27 см 349654,,3325,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-42x27-sm-349654.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1432195010,,,,,2218241,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry хліба 39.5х16х15 см 795503,,6450,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-hleba-39-5h16h15-sm-795503.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1432195011,7061185,EMILE HENRY,Форма EMILE HENRY Bakeware Черный (799108),6841,2218234,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Emile Henry,emile-henry,Форма для приготування Emile Henry хліба 33.5x28.5x16.5 см 799108,,8025,1,https://comfy.ua/forma-dlja-prigotovlenija-emile-henry-hleba-33-5x28-5x16-5-sm-799108.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1432261107,6644838,RICK AND MORTY,Стакан Abystyle Rick and Morty Portals Large Glass 400 ml (ABYVER131),526,2218305,Посуда >> Для напитков >> Стаканы >> Стаканы Rick&Morty,rickmorty,Склянка RICK AND MORTY Portals (ABYVER131),,599,1,https://comfy.ua/stakan-rick-morty-portals-3665361028680.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1432278202,6851372,WHIRLPOOL,Стиральная машина Whirlpool TDLR 65230 UA,20999,2218477,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Whirlpool,whirlpool,Пральна машина Whirlpool TDLR 65230 UA,,20999,1,https://comfy.ua/stiral-naja-mashina-whirlpool-tdlr-65230-ua.html,22499,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1432286374,,,,,.2216217,Техника для кухни >> Крупная техника,nortberg,Витяжка декоративна NORTBERG Sento Black Matt 60,,12653,1,https://comfy.ua/vytjazhka-dekorativnaja-nortberg-sento-black-matt-60.html,21629,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1432286377,,,,,2216214,Техника для кухни >> Крупная техника,nortberg,Витяжка вбудована NORTBERG Micra Black Matt 60,,20665,1,https://comfy.ua/vytjazhka-vstraivaemaja-nortberg-micra-black-matt-60.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1432302862,,,,,2218465,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link EAP653,,4399,1,https://comfy.ua/tochka-dostupa-tp-link-eap653.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1432302863,,,,,.2217112,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ruijie,Точка доступу Ruijie RG-RAP2200(F),,4399,1,https://comfy.ua/tochka-dostupa-ruijie-rg-rap2200-f.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1432303723,,,,,2211930,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Bosch,bosch,Насадка для кухонних машин Bosch MUZS2FWW,,2799,1,https://comfy.ua/nasadka-dlja-kuhonnoj-mashiny-bosch-muzs2fww.html,4429,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1432303725,,,,,2211934,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Bosch,bosch,Насадка для кухонної машини Bosch MUZ5CC2,,5749,1,https://comfy.ua/nasadka-dlja-kuhonnoj-mashiny-bosch-muz5cc2.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1432432537,6821291,RAZER,Гарнитура RAZER Barracuda (RZ04-03790100-R3M1),8999,2217188,"Аудио, фото и видео >> Наушники >> Наушники Razer",razer,Гарнітура бездротова ігрова Razer Barracuda (RZ04-03790100-R3M1),,8999,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-razer-barracuda-rz04-03790100-r3m1.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1432436066,6869483,BORMIOLI ROCCO,Салатник Bormioli Rocco Toledo 23 см 2100 мл (400880FAC121990),148,2220237,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Bormioli Rocco,bormioli-rocco,Салатник Bormioli Rocco Toledo 23 см 2100 мл (400880FAC121990),,135,1,https://comfy.ua/salatnik-bormioli-rocco-toledo-23-sm-2100-ml-400880fac121990.html,208,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1432445660,,,,,.2218472,"Аудио, фото и видео >> Аксессуары для фото, видео",kingston,Карта пам'яті Kingston 32GB Canvas React Plus SDHC UHS-II 3 00R/260W U3 V90 (SDR2/32GB),,1229,1,https://comfy.ua/karta-pamjati-kingston-32gb-canvas-react-plus-sdhc-uhs-ii-3-00r-260w-u3-v90-sdr2-32gb.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1432445876,,,,,2217100,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Netis",netis,Маршрутизатор інтернет WiFi5 Netis N5,,949,1,https://comfy.ua/marshrutizator-internet-wifi5-netis-n5.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1432445877,7121174,NETIS,Маршрутизатор NETIS N3,1099,2217099,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Netis",netis,Маршрутизатор інтернет WiFi5 Netis N3,,995,1,https://comfy.ua/marshrutizator-internet-wifi5-netis-n3.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1432445883,7130599,RUIJIE,Wi-Fi роутер RUIJIE Reyee RG-EW3200GX PRO,6479,2217110,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Ruijie",ruijie,Маршрутизатор інтернет WiFi6 Ruijie RG-EW3200GX PRO,,6479,1,https://comfy.ua/marshrutizator-internet-wifi6-ruijie-rg-ew3200gx-pro.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1432445919,,,,,2218452,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Asus",asus,Маршрутизатор інтернет WiFi6 Asus 4G-AX56,,7889,1,https://comfy.ua/marshrutizator-internet-wifi6-asus-4g-ax56u.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1432445921,6854516,TP-LINK,MESH система TP-LINK DECO X20 3PK AX1800 (DECO-X20-3-PACK),7499,2218457,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,MESH система WiFi6 TP-Link Deco X20 (3-pack),,8499,1,https://comfy.ua/mesh-sistema-wifi5-tp-link-deco-x20-3-pack.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1432445922,,,,,2218456,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,MESH система WiFi5 TP-Link Deco X60(3-pack),,14999,1,https://comfy.ua/mesh-sistema-wifi5-tp-link-deco-x60-3-pack.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1432445996,6885530,PHILIPS,Монитор PHILIPS 24E1N5300HE/00,10320,2220422,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Philips",philips,Монітор Philips 24E1N5300HE/00,,10059,1,https://comfy.ua/monitor-philips-24e1n5300he-00.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1432446315,6823493,LOGITECH,Мышь LOGITECH G502 X PLUS Black (910-006162),6199,2220445,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова ігрова Logitech G502 X Plus Wireless Black (910-006162),,6199,1,https://comfy.ua/mysh-besprovodnaja-logitech-g502-x-plus-wireless-black-910-006162.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1432446547,,,,,2210531,Техника для дома >> Аксессуары к крупной технике >> Комплекты креплений для установки >> Комплекты креплений для установки Siemens,siemens,Комплект кріплень для установки в колону Siemens WZ27400,,2855,1,https://comfy.ua/komplekt-kreplenij-dlja-ustanovki-v-kolonnu-siemens-wz27400.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1432446548,,,,,.1936938,Инструменты и автотовары >> Расходные материалы,ryobi,Сумка для інструментів Ryobi RSSSOT1,,1599,1,https://comfy.ua/sumka-dlja-instrumentov-ryobi-rsssot1.html,1879,05.11.2025 22:01,,"вул. Соборна, 42",Фастів,0
1432467991,,,,,2217081,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Werk,werk,Свердло Werk Sds-plus 08х400x460 мм (WE102113/3132210),,129,1,https://comfy.ua/sverlo-werk-sds-plus-08h400x460-mm-we102113-3132210.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1432468081,,,,,2212941,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Сталь,stal,Свердло Сталь SDS-plus 16x250x310 мм (3162227),,115,1,https://comfy.ua/sverlo-stal-sds-plus-16x250x310-mm-3162227.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
