1646459090,6941679,twinkly,_twinkly_smart_led_twinkly_strings_rgbw_600_gen_ii_tws600sppbeu,10989,2710546,_____new_year_______twinkly,twinkly,__twinkly_smart_led_strings_rgbw_600_gen_ii_ip44_48____tws600sppbeu,column,10989,1,httpscomfyuagirljandalinejnajatwinklysmartledstringsrgbw600geniiip4448mkabelchernyjtws600sppbeuhtml,column,05112025_2003,column,__42,Фастів,0
1646551737,,,,,2724104,"Аудио, фото и видео >> Аксессуары для фото, видео",sandisk,Карта пам'яті SanDisk Ultra microSDXC 512GB (SDSQUNR-512G-GN3MN),,1979,1,https://comfy.ua/karta-pamjati-sandisk-ultra-microsdxc-512gb-sdsqunr-512g-gn3mn.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1646592409,,,,,2806031,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Hisense,hisense,Мікрохвильова піч (НВЧ) Hisense H20MOWS4,,3699,1,https://comfy.ua/mikrovolnovaja-pech-svch-hisense-h20mows4.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1646602771,7066620,VOLTENO,Масляный обогреватель VOLTENO VO0272,3375,2790093,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Volteno,volteno,Обігрівач масляний Volteno VO0272,,3375,1,https://comfy.ua/obogrevatel-masljanyj-volteno-vo0272.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1646602787,7066628,VOLTENO,Масляный обогреватель VOLTENO VO2829 mini,3825,2790090,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Volteno,volteno,Обігрівач масляний Volteno VO2829,,3825,1,https://comfy.ua/obogrevatel-masljanyj-volteno-vo2829.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1646608142,6945304,ARDESTO,Микроволновая печь ARDESTO GO-S724B,2047,2808114,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Ardesto,ardesto,Мікрохвильова піч (НВЧ) Ardesto GO-S724B,,1999,1,https://comfy.ua/mikrovolnovaja-pech-svch-ardesto-go-s724b.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1646614063,7130616,RUIJIE,Маршрутизатор RUIJIE RG-M32,5299,2806066,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Ruijie",ruijie,MESH система WiFi6 Ruijie RG-M32,,5299,1,https://comfy.ua/mesh-sistema-wifi6-ruijie-rg-m32.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1646621216,,,,,2719385,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Milwaukee",milwaukee,Цвяхосмик Milwaukee 25.4 см (4932478252),,1119,1,https://comfy.ua/gvozdoder-milwaukee-25-4-sm-4932478252.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1646626769,6946919,TESLA,Телевизор TESLA Q55S935GUS,20888,2805914,Телевизоры и мультимедиа >> Телевизоры,tesla,Телевізор Tesla Q55S935GUS,,15999,1,https://comfy.ua/televizor-tesla-q55s935gus.html,17999,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1646631631,,,,,2684448,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения VIOLET HOUSE,violet-house,Ємність для зберігання VIOLET HOUSE 0971 Family Box 11 л,,249,1,https://comfy.ua/emkost-dlja-hranenija-violet-house-0971-family-box-11-l.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1646639974,6948163,IIYAMA,Монитор IIYAMA XU2792HSU-B6,5655,2802728,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA XU2792HSU-B6,,5655,1,https://comfy.ua/monitor-iiyama-xu2792hsu-b6.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1646640469,6922952,INSPIRE,Светодиодная лента INSPIRE LED USB 5V (J2M120-N),318,2769101,"Дом, отдых и зоотовары >> Освещение",inspire,Світлодіодна стрічка INSPIRE USB 5V 8W 4100К (J2M120-N),,359,1,https://comfy.ua/svetodiodnaja-lenta-inspire-usb-5v-8w-4100k-j2m120-n.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1646641378,6922953,INSPIRE,Светодиодная лента с датчиком движения INSPIRE LED USB 5V 1 м (Ins-6000-1m),429,2769102,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники INSPIRE",inspire,Світлодіодна стрічка INSPIRE USB 5V 4W 6000К (Ins-6000-1m),,429,1,https://comfy.ua/svetodiodnaja-lenta-inspire-usb-5v-4w-6000k-ins-6000-1m.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1646641380,6922954,INSPIRE,Светодиодная лента с датчиком движения INSPIRE LED USB 5V 2 м (Ins-6000-2m),472,2769103,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники INSPIRE",inspire,Світлодіодна стрічка INSPIRE USB 5V 8W 6000К (Ins-6000-2m),,475,1,https://comfy.ua/svetodiodnaja-lenta-inspire-usb-5v-8w-6000k-ins-6000-2m.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1646649405,,,,,.2807422,Техника для кухни >> Крупная техника,whirlpool,Посудомийна машина окремостояча Whirlpool W7F HS31,,25499,1,https://comfy.ua/posudomoechnaja-mashina-otdel-nostojaschaja-whirlpool-w7f-hs31.html,28699,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1646653723,6939188,ARDESTO,Салатник ARDESTO Lecco 14 см Grey (AR2914LRG),119,2763747,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Ardesto,ardesto,Салатник Ardesto Lecco 14 см (AR2914LRG),,119,1,https://comfy.ua/salatnik-ardesto-lecco-14-sm-ar2914lrg.html,165,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1646654868,6915702,LUMINARC,Тарелка столовая мелкая LUMINARC DIWALI PARADISE BLUE 25 см (V5720),68,2780190,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Тарілка обідня Luminarc Diwali Paradise Blue  25 см (V5720),,165,1,https://comfy.ua/tarelka-obedennaja-luminarc-diwali-paradise-blue-25-sm-v5720.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1646655849,,,,,.2569515,Техника для кухни >> Мелкая техника,smeg,Набір насадок для блендера Smeg HBAC11CR,,2849,1,https://comfy.ua/nabor-nasadok-dlja-blendera-smeg-hbac11cr.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
