1402005503,column,column,column,column,2139502,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tucano,___tucano_sandy_1314_black_bfsan1314bk,column,1549,1,httpscomfyuacheholdljanoutbukatucanosandy1314blackbfsan1314bkhtml,column,05112025_2201,column,__42,Фастів,0
1404203468,6820039,ARDESTO,Сушилка для овощей ARDESTO FDB-5321T White,1789,2137041,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов Ardesto,ardesto,Сушарка для фруктів та овочів Ardesto FDB-5321T,,1789,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-ardesto-fdb-5321t.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1404203469,6806885,PHILCO,Сушилка PHILCO PHFD 7067 (41012629),5499,2138209,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов Philco,philco,Сушарка для фруктів та овочів Philco PHFD 7067,,5499,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-philco-phfd-7067.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1404203529,6820034,ARDESTO,Кофеварка ARDESTO FCM-E15BG Biege,3499,2137345,Техника для кухни >> Мир кофе,ardesto,Кавоварка ріжкова Ardesto FCM-E15BG,,3499,1,https://comfy.ua/kofevarka-rozhkovaja-ardesto-fcm-e15bg.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1404240694,,,,,2127982,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Ozone,ozone,Телевізор Ozone 24FN22T2,,3699,1,https://comfy.ua/televizor-ozone-24fn22t2.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1404240695,,,,,.1997523,Техника для дома >> Швейное оборудование,bernina,Швейно-вишивальна машина Bernina 590,,169989,1,https://comfy.ua/shvejnaja-mashina-bernina-590.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1404250124,,,,,2137151,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Peg-Perego,peg-perego,Стільчик для годування класичний Peg-Perego Siesta Follow Me Lucent (IH03000002BL46PP),,11399,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-peg-perego-siesta-follow-me-lucent-ih03000002bl46pp.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1404250827,,,,,2137148,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Peg-Perego,peg-perego,Коляска прогулянкова Peg-Perego Selfie 500 (IP22000000GS53SQ53),,10989,1,https://comfy.ua/koljaska-progulochnaja-peg-perego-selfie-500-ip22000000gs53sq53.html,13814,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1404251163,6857200,TEFAL,Мультипечь TEFAL EY505D15,4299,2133625,Техника для кухни >> Мелкая техника >> Мультипечи и аэрогрили >> Мультипечи и аэрогрили Tefal,tefal,Мультипіч Tefal EY505D15,,4299,1,https://comfy.ua/mul-tipech-tefal-ey505d15.html,8599,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1404253855,6809019,PHILIPS,Тостер PHILIPS HD2590/00,1699,2079405,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Philips,philips,Тостер Philips HD2590/00,,1699,1,https://comfy.ua/toster-philips-hd2590-00.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1404253856,6809021,PHILIPS,Тостер PHILIPS Daily Collection HD2582/00,1499,2075018,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Philips,philips,Тостер Philips HD2582/00,,1499,1,https://comfy.ua/toster-philips-hd2582-00.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1404254400,,,,,1885960,Игровые консоли и гейминг >> Комплектующие для игровых ПК,patriot,Память DDR Patriot 2x8GB DDR4 3200 Patriot Viper Elite II Red (PVE2416G320C8K),,4075,1,https://comfy.ua/pamjat-ddr-patriot-2x8gb-ddr4-3200-patriot-viper-elite-ii-red-pve2416g320c8k.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1404255226,6814744,TEFAL,Весы напольные TEFAL BM9600S1,1199,2138210,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Tefal,tefal,Ваги підлогові Tefal BM9600S1,,1199,1,https://comfy.ua/vesy-napol-nye-tefal-bm9600s1.html,1669,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,3
1404255228,6805971,TEFAL,Весы напольные TEFAL BM9620S1,1599,2138207,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Tefal,tefal,Ваги підлогові Tefal BM9620S1,,1599,1,https://comfy.ua/vesy-napol-nye-tefal-bm9620s1.html,1859,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1404256079,,,,,2135956,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов MAKE,make,Чохол для смартфону MAKE Silicone Apple iPhone 13 Midnight (MCL-AI13MN),,449,1,https://comfy.ua/chehol-dlja-smartfona-make-silicone-apple-iphone-13-midnight-mcl-ai13mn.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1404256080,,,,,2135957,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов MAKE,make,Чохол для смартфону MAKE Silicone Apple iPhone 13 Navy Blue (MCL-AI13NB),,449,1,https://comfy.ua/chehol-dlja-smartfona-make-silicone-apple-iphone-13-navy-blue-mcl-ai13nb.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1404256081,,,,,2135958,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов MAKE,make,Чохол для смартфону MAKE Silicone Apple iPhone 13 Soft Pink (MCL-AI13SP),,449,1,https://comfy.ua/chehol-dlja-smartfona-make-silicone-apple-iphone-13-soft-pink-mcl-ai13sp.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,1
1404646404,6723690,RINGEL,Кастрюля RINGEL Expert 2.5 л (RG 2018-18),1086,2136010,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ringel,ringel,Каструля Ringel Expert 18 см 2.5 л (RG 2018-18),,714,1,https://comfy.ua/kastrjulja-ringel-expert-18-sm-2-5-l-rg-2018-18.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1404646408,6723689,RINGEL,"Кастрюля RINGEL Expert 1,6 л (RG 2018-16)",635,2136009,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ringel,ringel,Каструля Ringel Expert 16 см 1.6 л (RG 2018-16),,946,1,https://comfy.ua/kastrjulja-ringel-expert-16-sm-1-6-l-rg-2018-16.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1404654425,6815956,ARDESTO,Вентилятор ARDESTO FNT-R36X1WY22,1999,2127973,Техника для дома >> Климатическая техника >> Вентиляторы >> Вентиляторы Ardesto,ardesto,Вентилятор підлоговий Ardesto FNT-R36X1WY22,,1999,1,https://comfy.ua/ventiljator-napol-nyj-ardesto-fnt-r36x1wy22.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1404660708,6825285,KINGSTON,Флеш-драйв KINGSTON 256GB USB-A 3.2 Gen 1 DT Max (DTMAXA/256GB),1589,2139660,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston 256GB USB3.2 Gen 2 DataTraveler Max (DTMAXA/256GB),,1589,1,https://comfy.ua/flesh-usb-kingston-256gb-usb3-2-gen-2-datatraveler-max-dtmaxa-256gb.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1404662144,6869529,MPM,Соковыжималка MPM шнековая MSO-12M,3499,2141821,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки MPM,mpm,Соковитискач шнековий MPM MSO-12M,,3499,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-mpm-mso-12m.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1404663337,,,,,.2142151,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Anti-Shock for Samsung Galaxy A53 SM-A535 Clear (707502),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-anti-shock-for-samsung-galaxy-a53-sm-a535-clear-707502.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1404664040,,,,,2133617,Посуда >> Для напитков,ardesto,Набір склянок з подвійними стінками Ardesto 350 мл 2 шт (AR2635CP),,333,1,https://comfy.ua/nabor-stakanov-s-dvojnymi-stenkami-ardesto-350-ml-2-sht-ar2635cp.html,659,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,5
1404669148,,,,,.2142094,Игровые консоли и гейминг >> Комплектующие для игровых ПК,2e,Корпусний вентилятор 2E Gaming (2E-F120OI-ARGB),,389,1,https://comfy.ua/korpusnyj-ventiljator-2e-gaming-2e-f120oi-argb.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1404669342,,,,,.2142057,"Аудио, фото и видео >> Аксессуары для фото, видео",sandisk,Карта пам'яті SanDisk microSD 256GB C10 UHS-I U3 Extreme V30 (SDSQXAV-256G-GN6MN),,1499,1,https://comfy.ua/karta-pamjati-sandisk-microsd-256gb-c10-uhs-i-u3-r190-w130mb-s-extreme-v30-sdsqxav-256g-gn6mn.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1404669345,,,,,2142061,"Аудио, фото и видео >> Аксессуары для фото, видео",sandisk,Карта пам'яті SanDisk microSD 512GB C10 UHS-I U3 Extreme Pro V30+SD (SDSQXCD-512G-GN6MA),,3229,1,https://comfy.ua/karta-pamjati-sandisk-microsd-512gb-c10-uhs-i-u3-r200-w140mb-s-extreme-pro-v30-sd-sdsqxcd-512g-gn6ma.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1404669382,,,,,.2142058,"Аудио, фото и видео >> Аксессуары для фото, видео",sandisk,Карта пам'яті SanDisk microSD 512GB C10 UHS-I U3 Extreme V30 (SDSQXAV-512G-GN6MN),,3329,1,https://comfy.ua/karta-pamjati-sandisk-microsd-512gb-c10-uhs-i-u3-r190-w130mb-s-extreme-v30-sdsqxav-512g-gn6mn.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1404669789,,,,,.2109442,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Корпус Chieftec ATX без БЖ Black (CG-04B-OP),,2299,1,https://comfy.ua/korpus-chieftec-atx-bez-bp-black-cg-04b-op.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1404669794,,,,,.2142033,Игровые консоли и гейминг >> Комплектующие для игровых ПК,2e,"Корпус 2E BASIS MiniT, Micro ATX,Mini ITX, 2xUSB2.0, 1xUSB3.0, 1x120мм ARGB без БЖ (2E-RD850)",,999,1,https://comfy.ua/korpus-2e-basis-minit-micro-atx-mini-itx-2xusb2-0-1xusb3-0-1x120mm-argb-bez-bp-2e-rd850.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1404673201,6825570,PERFELLI,Варочная поверхность PERFELLI HI 674 BL,9999,2096083,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня електрична Perfelli HI 674 BL,,9999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-perfelli-hi-674-bl.html,11999,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1404673202,6825572,PERFELLI,Варочная поверхность PERFELLI HI 674 WH,13999,2096084,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня електрична Perfelli HI 674 WH,,13999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-perfelli-hi-674-wh.html,16999,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1404673203,6825573,PERFELLI,Варочная поверхность PERFELLI HI 684 BL,10399,2096086,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня електрична Perfelli HI 684 BL,,10399,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-perfelli-hi-684-bl.html,12999,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1404673204,6825574,PERFELLI,Варочная поверхность PERFELLI HI 684 WH,14399,2096087,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня електрична Perfelli HI 684 WH,,14399,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-perfelli-hi-684-wh.html,17999,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1404673205,6825571,PERFELLI,Варочная поверхность PERFELLI HI 674 GR,13999,2096085,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня електрична Perfelli HI 674 GR,,13999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-perfelli-hi-674-gr.html,16999,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1404678412,,,,,2116518,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Canyon,canyon,Мережевий зарядний пристрій Canyon CNE-CHA20B02,,339,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-canyon-cne-cha20b02.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1404684246,6820373,ARDESTO,Форма ARDESTO Black Mars 3л 32.5х19.6х13.4см (AR2409BG),670,2137016,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Black Mars 3 л (AR2409BG),,675,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-black-mars-3-l-ar2409bg.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1404684249,6820371,ARDESTO,Форма ARDESTO Gemini 29.8х18.8х4 см (AR2411BP),202,2137018,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini 29.8x18.8x4 см (AR2411BP),,202,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-29-8x18-8x4-sm-ar2411bp.html,395,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1404702107,6720848,BRAVO CHEF,Нож поварской BRAVO CHEF 20 см (BC-11000-4),155,2137365,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Bravo chef,bravo-chef,Ніж кухонний BRAVO CHEF 20 см (BC-11000-4),,155,1,https://comfy.ua/nozh-kuhonnyj-bravo-chef-20-sm-bc-11000-4.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1404702402,,,,,2113724,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Док-станція Baseus USB3.1 Type C(PD)100W/HDMI 4K 30Hz/3хUSB3.2/RJ45/SD+TF 8in1 Grey (CAHUB-CV0G),,2399,1,https://comfy.ua/dok-stancija-baseus-usb3-1-type-c-pd-100w-hdmi-4k-30hz-3husb3-2-rj45-sd-tf-8in1-grey-cahub-cv0g.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1404707396,6987420,WUESTHOF,Топорик WUESTHOF Classic 16 см (1040102816),11322,2142129,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Сокира кухонна Wuesthof 16 см 1040102816,,13319,1,https://comfy.ua/topor-kuhonnyj-wuesthof-16-sm-1040102816.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1404708059,6878476,BANZAI,Бойлер BANZAI 80 DINOX20 E-ANODE VH,10699,2142123,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Banzai,banzai,Водонагрівач Banzai 80 DINOX20 E-ANODE VH,,10699,1,https://comfy.ua/vodonagrevatel-banzai-80-dinox20-e-anode-vh.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1404708059,6614061,BANZAI,Бойлер BANZAI 80 DINOX20 E-ANODE,10399,2142123,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Banzai,banzai,Водонагрівач Banzai 80 DINOX20 E-ANODE VH,,10699,1,https://comfy.ua/vodonagrevatel-banzai-80-dinox20-e-anode-vh.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1404741110,6720878,BRAVO CHEF,Лопатка BRAVO CHEF 22.5 см (BC-5100/2),59,2137362,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Bravo chef,bravo-chef,Лопатка кухонна BRAVO CHEF 22.5 см (BC-5100/2),,59,1,https://comfy.ua/lopatka-kuhonnaja-bravo-chef-22-5-sm-bc-5100-2.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1404741269,,,,,2143840,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров Hama,hama,Кріплення настільне Hama 00118491 Holder 2 33-81 см 2 scr Black,,3205,1,https://comfy.ua/kreplenie-nastol-noe-hama-00118491-holder-2-33-81-sm-2-scr-black.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1404741287,,,,,.2139674,Техника для дома >> Климатическая техника,solerpalau,Теплова завіса Soler&Palau COR-9-1500 N,,116209,1,https://comfy.ua/teplovaja-zavesa-soler-palau-cor-9-1500-n.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1404752942,,,,,.2142119,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora М'ята 270 мм (VT-P-1270M),,216,1,https://comfy.ua/tarelka-obedennaja-vittora-mjata-270-mm-vt-p-1270m.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
